,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,28049354,Liam McAlinden,"WB (L), AM (RL), ST (C)",7.7,12,10,12,10,14,13,12,10,10,9,11,10,11,5,15,12,6,12,7,11,9,8,8,9,10,6,7,8,9,9,2,6,8,6,6,10,1,3,2,2,1,1,2,3,1,2,2,12,12,5,5,12,5,14,10,11,11
1,28058863,Osayamen Osawe,"M (L), AM (RL), ST (C)",7.15,13,11,10,9,14,14,10,12,10,9,14,8,8,7,13,11,6,11,7,8,10,11,6,8,10,11,9,7,10,8,6,5,8,11,6,10,1,1,2,1,2,3,2,4,2,2,3,12,14,11,5,14,15,9,15,10,15
2,28047215,Akwasi Asante,"AM (L), ST (C)",7.09,11,8,9,12,12,12,10,14,10,9,11,11,8,11,11,9,6,11,6,11,9,13,5,7,10,12,11,8,10,11,7,6,9,9,5,9,3,2,1,2,2,2,2,1,1,3,3,11,10,3,7,10,12,9,12,10,9
3,29118944,Joe Quigley,ST (C),7.07,10,11,12,15,11,11,12,14,7,10,12,9,10,9,12,6,6,10,7,13,8,14,4,5,9,10,9,4,13,8,6,3,7,12,6,10,1,1,2,1,3,3,3,2,1,1,2,12,13,5,4,10,9,12,8,7,9
4,29174560,Rob Harker,ST (C),7.05,12,6,12,15,13,12,14,10,5,11,6,11,8,8,6,7,14,15,5,9,6,10,7,4,8,12,9,7,12,9,8,7,9,4,6,11,3,2,2,3,2,2,2,2,1,1,1,11,20,8,5,3,13,9,11,11,18
5,29218611,Finley Thorndike,"AM (C), ST (C)",7.04,13,12,12,11,11,14,11,8,8,10,13,12,10,8,17,14,2,12,11,9,11,11,7,9,13,11,12,8,7,10,6,7,10,8,7,13,2,3,1,1,2,3,3,3,1,2,1,11,20,3,11,13,6,13,11,8,15
6,29020518,Alex Fisher,ST (C),7.0,11,9,9,12,14,10,10,13,5,9,16,8,8,8,14,10,8,11,8,16,9,19,7,8,8,8,8,7,12,9,9,7,8,11,8,8,1,1,1,3,4,1,1,1,1,1,2,6,12,1,5,14,5,16,16,14,14
7,29129406,Harry Cardwell,ST (C),6.99,10,9,12,13,9,9,12,14,9,10,10,10,9,10,10,3,4,11,7,10,7,13,7,8,9,11,9,9,11,7,3,6,9,13,9,11,2,2,4,3,2,1,1,1,1,3,2,10,11,1,3,5,5,11,11,6,10
8,90047169,Matt Warburton,"M (C), AM (RC), ST (C)",6.97,11,10,10,7,11,10,10,7,9,10,7,10,10,9,14,11,7,11,6,12,11,10,10,9,10,12,10,11,7,11,4,6,11,12,6,11,1,3,3,2,3,1,1,1,2,3,2,12,12,3,4,12,3,15,12,10,9
9,28122179,Max Thompson,"AM (RL), ST (C)",6.97,15,11,6,10,11,14,11,7,8,9,8,7,9,9,10,6,4,7,5,10,8,10,9,10,11,8,10,7,7,11,4,6,7,6,5,9,1,2,3,1,1,1,3,1,2,1,1,11,12,6,7,15,6,11,11,15,12
