UID,Name,Position,Pens Saved Ratio,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43017977,Pietro Terracciano,GK,38%,10,12,15,17,13,9,13,14,4,14,14,14,14,10,13,8,12,7,15,14,11,10,3,3,3,2,9,5,10,2,3,2,10,3,2,9,14,16,15,8,14,15,15,14,15,12,16,12,14,5,5,12,6,16,16,13,13,- -  -,
43017867,Simone Colombi,GK,67%,10,12,12,13,14,10,13,12,15,12,12,12,13,11,17,6,13,4,12,9,7,10,5,2,3,3,5,8,4,1,1,3,4,1,1,6,13,12,13,6,13,13,16,7,15,10,14,16,15,11,5,12,4,17,13,14,18,- -  -,
43006905,Paolo Branduani,GK,17%,9,11,13,16,12,9,11,10,9,8,12,12,11,11,12,3,12,3,12,8,4,8,2,2,1,2,6,7,6,3,3,2,7,3,1,3,12,13,13,11,13,12,13,13,12,13,13,12,13,10,8,12,4,14,15,13,14,- -  -,
43005156,Giacomo Poluzzi,GK,22%,11,11,12,12,13,12,15,13,7,10,10,10,11,12,15,2,11,4,12,13,10,15,4,1,2,3,4,8,7,3,3,2,8,2,2,5,12,12,12,10,13,12,12,10,14,10,12,11,13,5,7,8,7,20,14,13,15,- -  -,
43001937,Antony Iannarilli,GK,20%,10,12,10,13,13,10,14,13,9,13,13,12,13,13,18,13,11,13,13,15,8,12,4,6,4,4,9,10,7,8,10,3,10,1,7,7,10,11,12,14,12,11,12,9,14,13,11,10,13,12,7,12,3,15,6,8,3,- -  -,
42058460,Mahdi Zoabi,GK,33%,10,13,7,17,14,11,6,7,10,9,15,7,8,13,12,2,9,1,13,7,6,6,3,1,2,1,1,4,1,3,3,1,10,3,1,1,11,12,9,5,9,12,11,13,9,15,5,12,13,4,12,10,11,13,14,13,6,- -  -,
42004125,Boris Kleyman,GK,25%,10,12,11,14,14,9,8,12,11,11,12,12,9,10,11,6,13,5,13,12,8,6,5,3,2,1,9,9,9,2,1,1,9,3,1,10,11,13,13,10,12,13,13,12,14,16,12,10,11,8,6,10,6,10,12,14,12,- -  -,
39029824,Rúnar Alex Rúnarsson,GK,33%,10,15,10,12,12,10,13,11,9,13,12,9,12,10,10,3,10,2,12,13,8,12,2,1,3,3,10,5,7,1,2,2,10,1,2,7,12,11,12,9,14,12,13,10,15,10,12,15,12,9,10,3,5,12,11,13,13,- -  -,Set
38044157,Ádám Varga,GK,20%,11,11,11,18,12,9,10,11,12,12,10,11,11,11,13,1,2,1,12,10,10,9,5,1,1,3,8,7,1,1,1,1,9,4,2,8,15,13,10,5,12,10,10,11,12,14,11,13,14,3,11,2,5,8,6,13,18,- -  -,
38041719,Balázs Tóth,GK,33%,10,12,9,11,13,8,12,11,9,9,11,8,13,13,14,3,8,2,10,11,10,10,2,1,1,3,7,4,5,3,2,3,8,3,2,8,14,13,11,5,13,12,11,10,13,7,11,12,12,7,6,1,11,13,9,12,13,- -  -,
