UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
14000219,Ángel Di María,M/AM (RLC),7.34,14,16,12,10,15,14,12,10,12,16,12,14,12,14,16,17,10,15,4,12,18,12,16,17,16,14,16,14,5,17,4,4,17,14,7,19,3,2,3,1,3,3,1,4,2,1,3,18,15,10,14,16,9,18,6,16,12,- -  -,
28106878,Marcus Edwards,AM (RLC),6.78,16,17,14,7,13,15,12,6,8,14,8,16,10,14,12,17,5,15,7,11,16,8,12,13,17,13,16,13,10,12,5,5,14,14,6,16,1,3,1,3,2,2,4,3,4,3,2,6,10,14,8,8,6,10,7,12,5,- -  -,Wnt
29233143,Harvey Elliott,"M (C), AM (RLC)",6.85,12,14,16,5,12,14,13,12,13,13,12,15,13,13,16,15,9,14,11,15,15,17,12,15,16,11,17,12,6,11,5,9,16,11,8,16,3,1,2,2,1,1,3,2,2,1,2,15,11,8,5,13,7,13,9,12,12,- -  -,
67215283,Carles Pérez,"M (RC), AM (RLC)",6.86,16,17,11,6,13,15,12,9,12,11,12,12,12,11,13,15,6,11,6,11,13,12,13,13,16,10,17,9,9,14,6,7,13,10,7,15,1,4,2,2,3,3,1,1,3,3,1,13,12,6,6,10,10,12,12,17,13,- -  -,
57149755,Andrei Cordea,M/AM (R),6.99,16,15,10,8,12,11,12,11,10,12,10,14,12,13,14,12,9,8,13,15,12,13,9,11,11,12,11,10,10,12,6,6,13,12,6,12,2,2,2,1,3,1,2,2,2,3,1,16,15,5,9,14,4,15,16,13,16,- -  -,Wnt
45109737,Kanya Fujimoto,"M (C), AM (RC)",6.94,12,14,14,7,12,13,13,8,8,11,10,15,12,15,12,14,13,9,12,14,16,14,14,15,14,12,15,12,6,13,5,4,15,9,6,16,3,3,1,2,2,1,1,3,2,1,2,11,15,1,5,12,6,14,11,11,14,- -  -,
86009323,Ángel Mena,"M (RC), AM (RL)",7.02,15,11,13,7,8,15,13,12,9,12,8,12,12,12,13,14,11,12,12,14,12,11,13,14,12,13,14,14,9,11,9,9,14,13,7,13,2,1,2,3,1,1,1,2,1,4,1,8,15,6,9,12,9,12,11,12,5,- -  -,
19028921,Everton Ribeiro,M/AM (RC),6.75,14,15,7,4,13,11,12,6,12,15,11,13,13,14,14,18,16,14,8,15,16,14,13,13,16,12,16,13,8,12,8,8,16,13,9,17,2,2,3,2,1,2,1,2,1,3,1,12,12,11,8,13,8,12,7,16,11,- -  -,
67173045,Isi Palazón,M/AM (RL),7.15,14,16,15,7,11,14,14,12,10,13,12,13,12,15,14,15,8,13,9,10,14,14,9,13,16,14,15,8,7,11,6,5,13,11,9,14,1,2,1,3,3,3,3,3,3,2,2,12,14,10,11,11,9,15,10,11,10,- -  -,Wnt
29090530,Solly March,WB/M/AM (RL),6.83,14,13,13,10,12,14,14,9,9,12,10,13,14,14,14,13,8,12,13,15,12,14,13,13,14,9,13,13,8,13,4,8,13,10,10,14,2,3,3,1,2,3,4,2,3,1,2,13,15,5,6,15,12,18,8,17,13,- -  -,
85059096,Anthony Knockaert,"M (R), AM (RLC)",7.34,13,13,12,6,16,13,12,9,13,11,12,13,9,9,15,17,8,14,8,7,14,14,13,12,14,12,13,14,8,14,6,7,13,10,8,15,1,1,1,3,2,3,3,1,1,3,2,16,10,12,14,14,5,14,6,14,5,- -  -,Wnt
47005271,Arvydas Novikovas,"M (R), AM (RL)",7.05,13,14,13,7,12,15,13,11,9,11,9,9,10,11,10,14,5,13,10,10,13,14,12,14,13,10,14,12,9,14,5,6,12,12,10,14,2,3,3,1,1,2,2,1,2,3,1,14,10,16,5,11,8,12,10,11,6,- -  -,
89046527,Joe Aribo,"M (C), AM (RLC)",6.76,11,14,15,14,14,13,14,15,7,16,6,15,10,12,11,15,5,14,9,11,14,15,10,11,16,14,19,8,8,12,6,6,13,9,10,16,1,3,2,2,4,1,1,2,3,3,1,11,10,3,4,10,4,13,10,13,13,- -  -,Wnt
53145323,Håkon Evjen,"M (RC), AM (RLC)",6.89,15,14,10,5,12,14,15,6,12,12,7,13,11,9,14,14,5,13,9,12,13,14,7,11,15,12,14,7,9,12,7,9,13,8,12,14,3,3,1,1,4,1,2,4,2,2,2,12,11,4,3,7,5,14,11,13,11,- -  -,
67246435,Álex Collado,M/AM (RLC),7.09,14,14,13,8,14,13,13,8,8,10,13,14,12,13,16,17,12,15,7,9,15,8,13,14,16,11,15,14,8,13,7,7,14,13,7,16,1,1,3,2,1,1,4,3,3,2,1,15,16,5,7,15,8,15,11,16,15,- -  -,
30024204,Jaime Romero,M/AM (RL),6.77,13,11,12,9,8,13,7,9,9,11,9,13,8,10,14,16,8,16,6,9,11,10,15,15,16,12,13,11,7,12,8,5,13,12,7,15,3,2,2,1,1,3,3,2,3,3,2,14,10,11,9,14,14,10,7,9,8,- -  -,Opt
55030095,Hernâni,M/AM (RL),6.79,13,13,12,10,12,14,12,8,10,12,7,11,8,10,12,15,8,14,8,9,11,9,14,15,14,12,14,12,10,12,8,6,13,12,6,15,2,1,3,3,2,2,2,3,3,1,1,14,9,9,8,13,11,12,12,14,10,- -  -,
83261140,Francisco Conceição,AM (R),6.85,15,16,11,5,13,14,11,9,13,11,15,12,11,11,14,19,9,13,5,8,12,13,12,13,16,11,14,11,6,11,3,4,13,11,5,15,1,2,3,1,1,1,2,3,1,3,3,13,11,15,14,13,3,15,5,6,8,- -  -,
23260457,Ali Gholizadeh,AM (RL),7.07,14,12,12,8,12,15,13,14,12,12,15,14,12,14,14,16,7,14,8,12,11,14,12,12,15,10,14,12,9,8,5,6,10,14,9,14,1,1,1,2,3,1,3,3,2,3,2,11,14,8,7,11,12,12,11,15,11,- -  -,
20046630,Alex Méndez,"M (RC), AM (RLC)",6.89,12,14,14,9,12,12,12,10,8,10,9,15,9,12,12,14,12,12,8,9,14,10,13,13,13,9,14,14,6,13,11,5,13,12,9,16,1,2,3,3,2,1,1,1,2,2,3,12,10,6,6,10,5,13,11,13,12,- -  -,Wnt
24039616,Ivan Fiolić,"M (C), AM (RC)",6.89,15,15,13,8,12,12,10,8,11,10,8,12,7,8,10,14,10,12,4,11,12,11,16,17,14,11,15,13,9,13,5,4,12,13,6,13,1,2,1,2,2,2,2,2,1,2,3,11,13,5,8,11,8,10,8,12,10,- -  -,Trn
