UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
85093001,Thomas Lemar,"WB (L), M/AM (LC)",7.07,15,16,11,7,13,14,13,9,9,12,10,13,12,12,15,16,10,14,8,14,15,15,16,15,15,12,15,16,6,13,2,7,16,14,6,16,3,4,1,2,1,1,2,2,3,3,1,15,14,3,5,15,12,16,18,17,16,- -  -,
62070416,Filip Kostić,"WB/M (L), AM (RL)",7.19,15,13,16,10,16,16,16,13,13,11,14,11,11,12,15,12,7,13,8,13,13,14,15,18,13,10,13,12,6,13,10,7,15,11,8,14,2,3,2,1,2,1,2,3,3,1,1,17,14,12,8,13,5,13,10,17,12,- -  -,nEU
12063540,Mortadha Ben Ouannes,"D/M (L), AM (RL)",7.21,14,13,12,13,12,12,13,12,13,13,12,13,12,14,14,14,9,13,12,13,13,13,9,13,12,12,13,12,13,10,11,12,13,7,12,14,3,3,2,1,2,2,1,1,1,1,2,13,15,8,10,13,8,14,5,15,20,- -  -,
55070264,Nuno Santos,"WB/M (L), AM (RL)",6.87,15,13,16,7,13,15,12,8,16,12,16,14,12,13,16,14,10,14,8,11,15,15,15,16,14,14,14,14,7,14,10,6,15,10,7,15,3,3,1,2,1,1,3,3,2,3,3,13,13,12,17,12,12,16,9,14,8,- -  -,
37049339,Javairo Dilrosun,M/AM (RL),6.53,17,17,10,8,12,16,12,9,9,11,6,11,8,7,12,16,6,10,6,11,11,12,12,15,17,11,14,11,5,11,8,5,11,10,7,16,1,3,3,3,1,3,1,3,3,2,1,12,8,7,5,11,15,10,12,11,14,- -  -,Lst
57163533,Marius Ştefănescu,"D (L), AM (RL)",7.03,13,13,13,11,13,13,13,13,8,11,12,11,11,12,11,7,6,11,13,13,13,12,10,13,13,11,12,9,10,10,9,10,12,11,10,12,1,3,1,3,2,2,2,1,1,1,2,11,10,7,5,8,5,14,10,11,18,- -  -,
14078688,Franco Cervi,M/AM (L),6.98,15,15,16,7,17,15,15,8,16,14,13,10,14,11,18,13,9,15,13,14,13,18,12,10,13,11,12,12,4,13,8,11,13,12,13,13,3,2,2,1,4,3,2,3,4,1,2,13,13,6,14,10,11,14,7,13,11,- -  -,
67053759,Fidel Chaves,"M (L), AM (LC)",7.15,14,15,13,11,13,13,14,10,9,13,9,13,12,13,15,14,6,14,15,13,16,13,15,15,14,14,14,13,10,13,5,8,15,16,10,17,3,2,3,3,2,1,1,3,2,2,1,14,13,6,3,13,4,17,12,13,13,- -  -,
55038591,Christian Atsu,"M (L), AM (RL)",6.83,16,15,12,5,12,15,12,10,5,10,10,12,10,9,13,14,7,13,5,12,11,12,11,11,11,10,12,13,7,13,7,5,10,11,3,12,3,2,1,1,3,2,2,3,2,3,3,17,11,4,6,12,8,16,16,12,16,- -  -,
5119982,Jonny Hayes,D/WB/M/AM (L),6.83,13,11,10,9,12,14,11,7,6,11,14,12,12,11,18,12,6,14,12,13,11,17,10,11,11,10,11,9,6,12,3,9,10,7,10,12,3,4,1,3,2,3,3,4,3,2,1,17,11,3,5,11,5,18,14,13,11,- -  -,
91144336,Mats Köhlert,"D/M (L), AM (RL)",6.80,14,15,10,8,14,14,11,10,13,11,14,9,9,9,16,16,9,12,7,16,10,17,11,12,13,9,12,10,7,9,5,6,10,10,8,13,2,4,1,2,1,1,2,2,1,3,1,11,11,5,7,12,6,12,15,15,15,- -  -,
19180534,Murilo Souza,"M (L), AM (RL)",6.93,15,14,11,8,13,13,13,8,8,12,6,12,12,10,13,13,8,12,7,11,13,12,11,12,14,13,13,11,5,11,12,7,13,11,10,14,1,2,1,3,1,1,3,2,1,3,3,13,11,5,9,10,5,13,10,13,11,- -  -,
93023836,Ken Sema,D/WB/M/AM (L),6.95,13,13,15,8,13,14,14,15,13,11,9,13,13,13,14,12,8,14,11,14,11,15,12,15,13,11,12,12,9,12,3,6,11,10,11,11,3,3,2,3,2,3,2,1,2,2,2,13,14,9,9,10,6,17,12,10,9,- -  -,Set
96088106,Przemysław Płacheta,WB/M/AM (L),6.46,17,15,12,10,11,18,12,8,12,7,7,10,10,9,14,14,4,11,10,11,12,12,11,10,12,10,10,12,7,10,5,8,11,9,8,11,2,2,2,2,3,3,2,1,2,1,3,14,12,6,6,11,6,15,13,9,10,- -  -,Set
18058287,Gaetan Hendrickx,M/AM (LC),6.93,13,11,7,6,9,13,16,7,14,11,13,11,15,14,15,14,8,12,8,14,13,14,10,10,13,10,12,9,6,10,9,5,12,14,9,13,1,3,1,3,1,1,3,3,3,2,1,14,15,8,11,12,10,12,12,16,8,- -  -,
18008390,Nils Schouterden,D/WB/M/AM (L),6.94,13,11,10,7,10,12,8,9,15,12,14,12,10,10,11,11,10,13,8,13,10,13,14,13,12,11,11,11,5,11,5,7,14,8,6,11,3,2,3,3,4,2,4,1,3,1,3,15,13,8,12,10,7,8,11,12,7,- -  -,
83206395,Francisco Moura,D/WB/M/AM (L),6.92,15,13,11,10,13,14,13,12,9,12,11,12,11,11,13,13,8,12,9,9,11,13,11,11,14,10,13,10,8,8,10,8,12,9,12,15,3,4,4,3,4,4,3,2,3,2,3,14,12,8,8,10,8,15,11,12,14,- -  -,
85068494,Nicolas Gavory,D/WB/M/AM (L),6.96,13,13,12,12,14,12,13,10,12,12,12,12,12,12,14,12,11,14,8,14,11,14,12,13,11,7,13,13,9,10,11,12,13,7,8,13,1,1,3,3,2,1,1,1,2,1,1,14,14,4,8,13,7,12,9,15,16,- -  -,
55079802,Derick Poloni,D/WB/M/AM (L),6.59,15,13,8,9,14,14,12,8,10,10,8,10,7,9,15,13,8,12,8,10,12,11,11,13,12,8,11,12,5,8,10,7,11,6,10,12,1,1,1,2,2,3,2,3,1,3,3,15,11,11,10,13,4,14,15,15,11,- -  -,
70065879,Halil Akbunar,M/AM (RL),6.93,17,17,7,13,15,14,12,7,14,10,15,12,13,10,13,14,12,10,6,13,10,15,13,12,14,10,12,9,5,13,2,5,12,8,7,11,1,1,3,2,1,1,2,3,1,1,4,15,13,8,5,12,8,13,12,13,15,- -  -,
29024807,Luke Freeman,M/AM (RLC),7.05,12,14,15,7,13,11,13,9,9,11,10,14,11,13,12,14,10,13,10,12,13,13,13,14,12,11,13,13,5,12,6,8,13,11,11,14,2,2,1,2,1,3,1,1,2,2,2,14,13,8,5,14,8,12,14,9,7,- -  -,Wnt
85145157,Arnaud Nordin,M/AM (L),7.10,16,15,13,6,12,14,14,12,8,12,12,13,10,11,12,13,10,13,10,12,10,13,6,12,15,12,14,7,7,12,5,3,12,11,4,14,2,2,1,1,2,4,4,3,3,3,2,14,12,7,8,16,10,10,9,15,15,- -  -,
70087947,Cengizhan Akgün,"M (LC), AM (RL)",7.09,13,13,11,10,13,13,13,12,11,13,6,9,11,12,9,16,12,12,9,7,13,9,7,10,12,13,11,10,11,11,6,10,12,7,8,13,2,3,3,3,1,3,2,3,1,3,2,8,12,17,15,10,8,8,9,13,5,- -  -,
