,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,85093001.0,Thomas Lemar,"WB (L), M/AM (LC)",7.07,15.0,16.0,11.0,7.0,13.0,14.0,13.0,9.0,9.0,12.0,10.0,13.0,12.0,12.0,15.0,16.0,10.0,14.0,8.0,14.0,15.0,15.0,16.0,15.0,15.0,12.0,15.0,16.0,6.0,13.0,2.0,7.0,16.0,14.0,6.0,16.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,15.0,14.0,3.0,5.0,15.0,12.0,16.0,18.0,17.0,16.0
1,62070416.0,Filip Kostić,"WB/M (L), AM (RL)",7.19,15.0,13.0,16.0,10.0,16.0,16.0,16.0,13.0,13.0,11.0,14.0,11.0,11.0,12.0,15.0,12.0,7.0,13.0,8.0,13.0,13.0,14.0,15.0,18.0,13.0,10.0,13.0,12.0,6.0,13.0,10.0,7.0,15.0,11.0,8.0,14.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,17.0,14.0,12.0,8.0,13.0,5.0,13.0,10.0,17.0,12.0
2,12063540.0,Mortadha Ben Ouannes,"D/M (L), AM (RL)",7.21,14.0,13.0,12.0,13.0,12.0,12.0,13.0,12.0,13.0,13.0,12.0,13.0,12.0,14.0,14.0,14.0,9.0,13.0,12.0,13.0,13.0,13.0,9.0,13.0,12.0,12.0,13.0,12.0,13.0,10.0,11.0,12.0,13.0,7.0,12.0,14.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,13.0,15.0,8.0,10.0,13.0,8.0,14.0,5.0,15.0,20.0
3,55070264.0,Nuno Santos,"WB/M (L), AM (RL)",6.87,15.0,13.0,16.0,7.0,13.0,15.0,12.0,8.0,16.0,12.0,16.0,14.0,12.0,13.0,16.0,14.0,10.0,14.0,8.0,11.0,15.0,15.0,15.0,16.0,14.0,14.0,14.0,14.0,7.0,14.0,10.0,6.0,15.0,10.0,7.0,15.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,13.0,13.0,12.0,17.0,12.0,12.0,16.0,9.0,14.0,8.0
4,37049339.0,Javairo Dilrosun,M/AM (RL),6.53,17.0,17.0,10.0,8.0,12.0,16.0,12.0,9.0,9.0,11.0,6.0,11.0,8.0,7.0,12.0,16.0,6.0,10.0,6.0,11.0,11.0,12.0,12.0,15.0,17.0,11.0,14.0,11.0,5.0,11.0,8.0,5.0,11.0,10.0,7.0,16.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,12.0,8.0,7.0,5.0,11.0,15.0,10.0,12.0,11.0,14.0
5,57163533.0,Marius Ştefănescu,"D (L), AM (RL)",7.03,13.0,13.0,13.0,11.0,13.0,13.0,13.0,13.0,8.0,11.0,12.0,11.0,11.0,12.0,11.0,7.0,6.0,11.0,13.0,13.0,13.0,12.0,10.0,13.0,13.0,11.0,12.0,9.0,10.0,10.0,9.0,10.0,12.0,11.0,10.0,12.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,11.0,10.0,7.0,5.0,8.0,5.0,14.0,10.0,11.0,18.0
6,14078688.0,Franco Cervi,M/AM (L),6.98,15.0,15.0,16.0,7.0,17.0,15.0,15.0,8.0,16.0,14.0,13.0,10.0,14.0,11.0,18.0,13.0,9.0,15.0,13.0,14.0,13.0,18.0,12.0,10.0,13.0,11.0,12.0,12.0,4.0,13.0,8.0,11.0,13.0,12.0,13.0,13.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,13.0,13.0,6.0,14.0,10.0,11.0,14.0,7.0,13.0,11.0
7,67053759.0,Fidel Chaves,"M (L), AM (LC)",7.15,14.0,15.0,13.0,11.0,13.0,13.0,14.0,10.0,9.0,13.0,9.0,13.0,12.0,13.0,15.0,14.0,6.0,14.0,15.0,13.0,16.0,13.0,15.0,15.0,14.0,14.0,14.0,13.0,10.0,13.0,5.0,8.0,15.0,16.0,10.0,17.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,14.0,13.0,6.0,3.0,13.0,4.0,17.0,12.0,13.0,13.0
8,55038591.0,Christian Atsu,"M (L), AM (RL)",6.83,16.0,15.0,12.0,5.0,12.0,15.0,12.0,10.0,5.0,10.0,10.0,12.0,10.0,9.0,13.0,14.0,7.0,13.0,5.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,12.0,13.0,7.0,13.0,7.0,5.0,10.0,11.0,3.0,12.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,17.0,11.0,4.0,6.0,12.0,8.0,16.0,16.0,12.0,16.0
9,5119982.0,Jonny Hayes,D/WB/M/AM (L),6.83,13.0,11.0,10.0,9.0,12.0,14.0,11.0,7.0,6.0,11.0,14.0,12.0,12.0,11.0,18.0,12.0,6.0,14.0,12.0,13.0,11.0,17.0,10.0,11.0,11.0,10.0,11.0,9.0,6.0,12.0,3.0,9.0,10.0,7.0,10.0,12.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,17.0,11.0,3.0,5.0,11.0,5.0,18.0,14.0,13.0,11.0
