UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28003213,Joe Bennett,D/WB (L),6.75,11,13,13,10,14,10,12,10,11,14,12,14,12,10,13,9,12,14,12,14,12,15,11,11,10,8,12,13,10,8,9,12,12,7,12,13,1,2,4,3,1,2,3,2,1,3,3,11,13,13,14,11,8,12,11,14,12,- -  -,Opt
89061100,Liam Gordon,"D (LC), WB (L)",6.67,14,13,10,8,12,14,12,9,9,10,10,10,11,10,7,9,7,11,11,11,12,12,7,10,10,8,11,7,9,4,10,8,8,4,11,12,3,3,2,3,1,1,2,2,2,1,2,8,11,2,7,8,5,9,5,13,6,- -  -,
67101620,Álex Muñoz,"D (LC), WB (L)",7.39,13,13,9,13,13,14,14,12,10,13,12,13,12,13,13,13,11,15,12,13,13,13,11,14,12,11,12,12,11,17,11,12,13,12,13,13,3,3,1,3,1,3,4,2,2,1,1,14,14,9,9,12,11,12,13,15,12,- -  -,
89068489,Joe Rabbetts,D/WB/M (L),-,11,13,8,9,14,11,10,8,5,8,8,9,8,10,14,9,12,8,6,10,9,10,5,8,9,3,7,7,7,5,5,9,7,2,10,8,3,1,2,1,3,1,2,2,1,2,2,10,8,7,12,6,5,10,12,12,17,- -  -,
90057085,Cohen Bramall,D/WB (L),6.59,18,13,12,8,12,17,13,10,11,9,9,9,9,10,12,11,5,11,11,9,8,10,13,12,9,7,10,13,7,8,8,9,10,6,8,12,2,3,2,2,3,3,3,3,1,3,1,14,12,13,6,9,5,5,7,13,6,- -  -,
91175517,David Raum,D/WB/M/AM (L),6.84,15,13,12,9,17,15,16,12,15,13,13,12,13,14,16,13,10,15,11,16,13,17,15,16,12,11,11,13,7,11,15,11,13,9,11,11,1,2,1,2,1,2,3,2,2,2,2,14,13,10,10,15,4,14,8,12,10,- -  -,
91188343,Chima Okoroji,D/WB (L),7.18,15,13,12,9,16,13,14,9,14,10,10,12,11,9,14,12,7,13,11,11,12,15,10,12,12,6,13,9,8,8,14,11,13,7,11,12,1,1,2,2,3,3,2,1,3,2,1,15,14,8,6,14,7,11,14,15,14,- -  -,
67065536,Sergio Escudero,D/WB/M (L),6.82,14,13,13,12,12,12,14,11,8,13,12,12,12,13,13,13,8,12,12,14,12,15,10,13,12,9,12,10,11,14,15,12,13,9,12,13,1,1,3,1,3,1,3,3,2,1,3,10,13,7,8,14,10,13,13,13,18,- -  -,
28028966,Jamie Reckord,"D (LC), WB (L)",6.55,11,13,12,9,11,13,11,10,11,9,12,9,8,8,12,8,8,9,9,9,10,14,8,9,9,10,8,10,11,7,12,9,9,10,12,8,1,2,1,2,3,2,3,2,3,3,2,9,13,5,8,9,6,12,11,14,12,- -  -,
