,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,43124221.0,Pasquale Mazzocchi,D/WB (RL),6.7,14.0,15.0,11.0,8.0,13.0,14.0,14.0,11.0,13.0,14.0,15.0,14.0,13.0,13.0,17.0,12.0,9.0,14.0,12.0,14.0,11.0,16.0,11.0,14.0,15.0,7.0,14.0,8.0,7.0,9.0,8.0,11.0,13.0,7.0,12.0,13.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,13.0,16.0,6.0,12.0,12.0,7.0,11.0,12.0,16.0,13.0
1,55061773.0,Wilson Manafá,"D/WB (RL), M/AM (R)",6.49,16.0,14.0,12.0,8.0,11.0,15.0,15.0,12.0,14.0,11.0,12.0,9.0,13.0,10.0,15.0,13.0,7.0,12.0,10.0,11.0,10.0,15.0,6.0,11.0,12.0,7.0,12.0,5.0,7.0,6.0,11.0,9.0,11.0,7.0,11.0,11.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,14.0,13.0,4.0,7.0,11.0,10.0,14.0,11.0,18.0,12.0
2,67144651.0,Jonny,D/WB (RL),6.91,15.0,14.0,12.0,10.0,15.0,15.0,15.0,12.0,14.0,14.0,14.0,13.0,16.0,14.0,14.0,8.0,12.0,11.0,14.0,15.0,9.0,16.0,6.0,14.0,14.0,10.0,10.0,7.0,11.0,7.0,13.0,14.0,14.0,8.0,14.0,12.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,10.0,17.0,1.0,14.0,14.0,6.0,12.0,13.0,15.0,20.0
3,25019925.0,Jan Bořil,D/WB (L),7.17,12.0,13.0,13.0,11.0,14.0,11.0,14.0,13.0,15.0,12.0,15.0,12.0,13.0,12.0,17.0,6.0,14.0,13.0,12.0,17.0,10.0,17.0,2.0,8.0,9.0,10.0,9.0,3.0,12.0,9.0,17.0,13.0,11.0,9.0,13.0,10.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,9.0,15.0,12.0,11.0,15.0,8.0,14.0,14.0,15.0,10.0
4,28011401.0,Adam Smith,"D (RLC), WB (RL)",6.67,14.0,13.0,11.0,7.0,15.0,14.0,14.0,11.0,10.0,13.0,13.0,13.0,12.0,12.0,14.0,9.0,11.0,13.0,13.0,13.0,9.0,15.0,6.0,12.0,12.0,7.0,13.0,6.0,7.0,9.0,3.0,12.0,13.0,4.0,13.0,13.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,14.0,16.0,2.0,10.0,14.0,5.0,15.0,13.0,14.0,11.0
5,37060600.0,Ferdi Kadıoğlu,"D/WB (RL), M (C), AM (L)",6.68,15.0,13.0,12.0,8.0,11.0,12.0,14.0,11.0,11.0,13.0,12.0,13.0,11.0,11.0,13.0,12.0,7.0,13.0,11.0,12.0,14.0,12.0,11.0,12.0,14.0,12.0,13.0,8.0,7.0,12.0,15.0,12.0,13.0,10.0,11.0,14.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,15.0,15.0,10.0,8.0,10.0,3.0,13.0,12.0,16.0,13.0
6,43049523.0,Gaetano Letizia,D/WB (RL),7.07,14.0,13.0,12.0,9.0,15.0,14.0,12.0,11.0,14.0,12.0,12.0,12.0,11.0,12.0,15.0,8.0,12.0,14.0,12.0,12.0,15.0,12.0,6.0,16.0,13.0,12.0,14.0,8.0,11.0,8.0,11.0,10.0,12.0,6.0,12.0,12.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,14.0,15.0,11.0,6.0,13.0,6.0,16.0,7.0,16.0,12.0
7,81061844.0,Jamar Purcell,D (L),6.54,14.0,13.0,14.0,6.0,14.0,13.0,11.0,10.0,13.0,11.0,9.0,10.0,9.0,11.0,13.0,7.0,9.0,7.0,9.0,13.0,8.0,13.0,4.0,11.0,10.0,6.0,12.0,2.0,4.0,5.0,7.0,9.0,10.0,2.0,13.0,13.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,11.0,11.0,3.0,6.0,9.0,3.0,9.0,13.0,19.0,17.0
8,85077900.0,Maxime Colin,"D (RL), WB (R)",6.9,12.0,13.0,14.0,11.0,14.0,13.0,15.0,12.0,11.0,12.0,14.0,11.0,12.0,11.0,15.0,10.0,8.0,10.0,12.0,14.0,9.0,15.0,9.0,12.0,11.0,5.0,13.0,6.0,12.0,8.0,13.0,12.0,12.0,7.0,12.0,12.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,12.0,13.0,6.0,9.0,12.0,7.0,18.0,16.0,15.0,15.0
9,2000052464.0,Ethan Jones,D (L),,14.0,13.0,4.0,9.0,14.0,13.0,6.0,6.0,10.0,3.0,6.0,3.0,8.0,13.0,16.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,3.0,7.0,2.0,1.0,7.0,1.0,3.0,1.0,4.0,6.0,3.0,1.0,11.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,11.0,5.0,5.0,12.0,18.0,12.0,10.0,13.0,8.0,18.0
