,Name,Position,projected_rating
0,Crysencio Summerville,"M (R), AM (RL)",2.0655681179621674
9,Connor Mahoney,M/AM (RL),1.7561982436743877
29,Randell Williams,WB/M/AM (RL),1.5978614409582055
193,Anass Zaroury,AM (RL),1.0931534955115199
23,Przemysław Płacheta,WB/M/AM (L),1.070503688876784
82,Jay Dasilva,D/WB/M/AM (L),1.0265666417012544
47,Matt Phillips,"WB (R), M/AM (RL)",0.6352699221443852
176,Ken Sema,D/WB/M/AM (L),0.3017761164580891
63,Robbie Brady,D/WB/M/AM (L),0.07712319248635469
68,Cyrus Christie,D/WB/M/AM (R),-0.0453218921213644
