UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61045142,Jamie Lindsay,"DM, M (C)",6.74,11,9,8,10,13,10,15,11,12,12,15,12,11,11,14,10,11,13,12,14,11,18,7,7,11,8,12,8,9,12,7,11,12,9,13,11,2,2,1,2,1,2,3,2,1,3,2,11,12,6,8,12,8,13,13,12,12,- -  -,Wnt
61069620,Lyndon Dykes,ST (C),6.77,14,9,14,14,15,11,13,16,15,12,15,11,12,11,14,11,6,13,8,15,12,16,7,10,10,12,12,6,15,10,16,5,9,15,8,11,1,1,2,2,1,4,3,3,4,1,2,12,14,7,11,12,6,9,11,10,16,- -  -,
28005828,Jake Livermore,"D (C), DM, M (C)",6.97,10,11,14,12,15,10,15,13,14,13,12,12,12,11,13,11,14,13,13,15,12,16,9,9,12,9,11,7,11,9,5,12,11,6,11,11,2,1,3,2,2,1,3,1,3,1,2,11,15,4,8,14,5,10,9,15,8,- -  -,
61069648,Jason Kerr,D (C),6.81,11,9,11,12,15,12,10,14,8,12,13,11,12,11,16,4,14,13,14,14,12,14,2,6,12,9,11,4,14,9,5,13,12,8,14,12,3,2,1,2,3,2,2,2,2,3,1,8,13,5,4,14,3,12,15,13,19,- -  -,Wnt
28016099,Andreas Weimann,"AM (RLC), ST (C)",6.78,14,15,12,9,15,13,15,8,13,15,10,9,10,11,13,13,9,13,7,9,13,16,7,12,10,15,14,8,12,12,5,5,12,11,6,13,1,2,2,1,2,2,2,3,3,3,3,12,12,8,10,12,4,11,12,15,13,- -  -,Set
28016309,Kyle Bartley,D (C),6.68,11,10,11,16,13,8,14,15,13,12,13,10,11,11,15,10,14,6,14,11,9,14,5,6,8,7,9,3,16,8,4,14,9,5,14,9,3,3,2,1,1,3,2,1,2,3,1,14,13,3,16,11,12,14,12,8,10,- -  -,
70076282,Ozan Tufan,"DM, M/AM (C)",6.71,12,10,15,11,14,12,12,14,11,12,16,13,10,11,12,11,11,12,11,15,13,13,6,5,14,13,13,4,13,15,8,12,15,10,13,12,2,2,2,2,1,1,2,1,1,1,1,10,11,10,8,11,7,8,15,17,10,- -  -,
70099193,Doğukan Sinik,"M (RL), AM (RLC)",7.01,15,12,13,8,13,14,12,11,14,11,11,11,11,11,12,14,7,12,10,12,12,15,12,12,13,9,12,9,8,11,4,8,12,10,9,13,2,3,1,2,3,3,3,3,2,3,1,14,12,11,6,12,5,13,13,15,15,- -  -,
28017523,Jack Hunt,D/WB (R),6.83,13,12,11,9,13,12,13,10,12,12,13,13,12,11,13,11,10,12,13,14,11,15,10,13,12,7,11,5,10,7,7,9,12,5,12,11,1,1,1,1,3,2,3,2,1,2,2,14,14,7,7,14,2,13,13,14,11,- -  -,
