UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
28025342,Dave Stephens,D (C),6.84,5,10,15,17,5,6,6,18,10,7,9,9,10,3,11,1,12,4,15,13,5,10,1,2,6,4,5,2,14,2,4,15,5,7,12,3,1,3,2,3,3,3,2,3,1,3,1,12,14,2,7,4,12,13,14,3,14,- -  -,
89048145,Ryan Upward,"D (R), DM, M (C)",6.57,10,9,12,10,12,11,13,12,15,10,13,8,8,4,13,1,11,11,12,13,8,13,5,8,8,7,8,5,9,7,3,11,10,3,13,5,2,1,1,3,2,3,2,1,3,1,3,10,6,8,11,12,7,11,9,7,11,- -  -,Frt
29164662,Justin Amaluzor,"M/AM (RL), ST (C)",7.09,14,13,10,11,12,14,11,12,10,8,12,7,8,5,6,9,5,8,5,8,8,9,7,9,13,8,8,6,7,5,6,7,8,7,6,9,1,4,2,3,1,3,1,1,1,1,3,12,11,3,7,8,6,9,11,12,18,- -  -,
29174248,Ali Omar,D (C),6.68,8,10,12,14,14,10,12,14,11,9,11,8,9,5,5,8,5,8,10,4,7,6,3,4,8,6,9,6,13,6,10,12,9,7,11,8,3,2,1,1,1,1,4,3,3,1,4,7,6,14,13,5,4,5,6,7,4,- -  -,
31036052,Josh Shonibare,M/AM (RL),6.86,14,12,8,6,11,12,8,7,9,4,10,9,7,5,9,11,4,6,6,8,7,10,8,8,10,8,8,5,6,9,6,6,9,4,7,10,3,1,3,2,2,4,3,3,3,3,2,11,12,5,7,3,12,16,14,13,12,- -  -,
29045197,Will Evans,D (C),6.89,9,9,10,16,11,9,12,16,15,9,9,9,10,5,13,9,12,8,10,11,8,10,4,7,10,9,10,6,14,8,6,12,10,5,13,8,15,3,1,1,2,14,1,2,2,3,3,9,11,2,7,8,4,10,9,11,11,- -  -,
29116248,Callum Powell,"AM (RLC), ST (C)",7.05,13,12,8,5,11,13,10,13,5,8,8,10,7,5,16,12,5,11,8,3,10,10,5,6,13,12,10,9,6,7,3,6,7,12,8,12,2,3,4,2,2,3,1,2,1,3,3,15,10,7,5,6,7,12,14,8,12,- -  -,
29087369,Érico Sousa,M/AM (RL),6.82,12,13,9,6,10,14,9,9,8,9,9,9,6,6,11,13,6,11,5,10,11,10,9,8,13,9,10,8,6,9,7,6,11,9,7,12,2,2,1,3,2,3,1,3,3,2,2,12,8,12,5,7,11,10,12,9,12,- -  -,
28115529,Micah Obiero,ST (C),6.76,16,10,6,11,13,14,10,6,11,8,2,8,8,6,6,12,1,11,7,6,7,7,6,5,7,11,11,7,8,6,3,6,5,1,3,8,2,1,2,1,1,3,2,2,1,3,3,9,10,1,10,6,13,11,11,12,12,- -  -,
90087648,Zak Goodson,"AM (R), ST (C)",6.49,14,14,7,6,7,14,6,6,6,8,5,6,6,6,10,11,9,7,4,6,7,7,5,9,5,12,11,5,12,6,4,4,7,1,4,9,2,1,1,1,3,1,2,3,3,1,3,13,9,7,11,4,10,7,10,12,11,- -  -,Wnt
95039162,Idris Kanu,"M (R), AM (RLC), ST (C)",6.76,13,13,13,10,13,13,13,10,8,9,8,9,8,6,12,13,5,10,8,8,8,7,5,8,13,8,8,4,7,8,4,4,8,10,7,10,2,2,1,1,2,3,1,1,2,1,3,14,8,3,3,5,5,10,9,9,9,- -  -,
29158345,Jordy Mongoy,"M/AM (RL), ST (C)",6.53,12,11,9,7,9,13,11,8,5,9,6,9,9,6,15,7,4,10,5,9,11,10,4,6,8,9,7,5,7,6,4,5,7,8,6,10,2,1,3,1,2,3,3,3,3,1,2,10,8,6,3,7,8,9,10,10,12,- -  -,Lst
28100408,Olufela Olomola,"M (R), AM (RL), ST (C)",6.67,14,9,10,8,13,12,11,13,10,9,9,9,9,6,13,10,8,9,7,11,9,11,5,6,9,7,10,7,8,9,5,5,8,10,7,10,3,2,1,3,1,4,2,2,1,1,3,15,7,3,4,8,10,13,8,10,8,- -  -,Inj
28116354,Tushaun Walters,"AM (RL), ST (C)",7.01,15,10,7,6,14,13,8,7,13,6,7,7,8,6,9,11,5,7,5,9,7,10,4,6,7,6,8,7,9,7,4,3,5,7,2,6,1,2,3,4,1,1,3,3,1,2,1,11,16,3,8,6,11,13,11,12,17,- -  -,
28127526,Rio Campbell,"M (RL), AM (RLC), ST (C)",6.84,14,12,11,6,13,11,6,6,8,7,4,7,6,6,9,12,10,6,4,7,6,8,7,10,12,6,9,6,6,9,6,6,5,1,7,9,2,1,1,1,1,1,1,1,3,2,3,12,8,2,10,9,13,13,14,12,15,- -  -,Inj
28045083,Adam Mitter,"D (RC), DM",6.69,12,14,9,12,14,11,11,12,11,9,10,5,5,6,17,4,1,8,15,9,9,10,8,11,4,4,10,7,12,2,4,13,10,4,11,6,3,1,1,1,1,4,2,3,2,2,2,11,10,3,15,10,6,8,11,12,17,- -  -,
72052956,Justin Donawa,"M (R), AM (RL)",6.76,17,11,10,9,18,16,10,10,5,6,9,6,5,6,15,8,4,9,3,6,6,10,4,7,10,9,8,4,11,4,12,3,6,4,3,8,2,2,4,2,3,1,1,2,1,2,2,15,6,8,5,7,5,15,12,10,15,- -  -,
29107140,Ryan Fallowfield,D/WB (R),6.75,13,13,8,9,8,12,16,9,11,9,13,4,6,6,15,8,8,9,7,13,9,16,7,10,9,6,8,6,8,6,8,8,8,6,10,10,2,1,4,1,4,3,1,3,3,1,3,8,9,4,9,8,16,7,7,9,5,- -  -,
7940975,Alan Massey,D (C),6.75,5,7,5,15,13,5,9,14,15,9,15,8,10,6,14,6,16,5,12,16,5,14,4,5,7,4,8,6,13,4,12,9,8,8,12,6,1,2,2,1,1,2,1,2,2,2,3,10,16,5,13,14,4,10,13,13,15,- -  -,Req
31034601,Ricky Korboa,M/AM (RL),6.81,13,13,10,6,9,13,11,6,5,8,7,7,6,6,12,17,5,10,4,10,9,10,8,10,13,9,10,8,5,8,2,3,9,8,3,11,4,1,2,2,2,1,3,3,2,1,1,11,10,2,7,9,10,12,12,12,12,- -  -,Wnt
29091707,Junior Morias,"AM (C), ST (C)",6.67,12,12,9,9,12,12,9,14,12,9,12,8,9,6,15,12,5,12,6,12,9,12,5,10,9,11,7,6,7,10,14,5,9,11,4,10,1,3,1,3,1,3,3,3,2,2,1,15,9,12,7,8,8,8,6,13,5,- -  -,Wnt
2000059168,Jordan Addo-Antoine,D/WB (L),6.58,14,14,14,11,13,15,6,4,12,8,1,6,8,6,3,6,5,6,8,13,6,11,6,13,8,4,9,1,4,5,6,6,13,5,9,12,1,3,3,1,2,1,2,2,3,1,1,11,10,3,6,7,12,11,12,12,10,- -  -,Loa
29141961,Connor Stevens,D (C),6.68,11,8,12,15,17,11,11,14,14,8,10,9,11,6,4,6,7,8,13,8,8,10,2,3,6,5,7,4,13,4,4,8,6,4,9,5,1,1,1,2,1,3,3,2,2,1,3,10,11,3,5,8,4,10,11,6,16,- -  -,
28059820,Bruno Andrade,"M (RL), AM (RLC), ST (C)",6.88,12,12,7,7,11,12,9,7,6,8,4,11,6,7,5,14,1,12,7,4,11,6,11,10,10,9,10,12,7,10,3,8,9,13,7,10,1,1,3,3,1,2,3,2,2,2,2,5,9,16,1,9,6,5,7,10,8,- -  -,Opt
225123,Alfie Lloyd,"AM (R), ST (C)",7.09,15,13,7,5,12,14,10,4,6,10,4,10,4,7,12,14,11,10,8,6,9,12,7,6,10,12,10,5,8,5,6,2,7,1,2,10,1,2,2,3,3,2,1,3,2,3,4,14,20,3,5,8,8,11,12,8,16,- -  -,
5008153,Jamal Fyfield,D (C),6.89,9,10,11,14,16,10,11,15,10,11,10,9,7,7,11,10,16,9,14,12,10,13,4,8,10,5,10,4,12,5,7,11,8,8,10,8,1,2,3,3,1,3,2,2,3,3,4,11,14,7,12,12,7,16,14,15,16,- -  -,
28064022,Nathan Thomas,M/AM (RL),6.87,13,14,10,7,13,14,8,8,14,9,8,8,5,7,9,15,5,10,4,7,10,9,10,11,14,11,11,10,6,12,5,7,11,8,5,11,1,1,2,2,1,1,1,1,2,2,2,18,7,12,5,8,14,6,7,11,5,- -  -,
28080365,Rhys Browne,"AM (RLC), ST (C)",6.89,13,10,9,8,7,11,8,9,9,8,10,9,9,7,10,13,6,10,5,11,9,12,7,7,12,8,11,5,8,7,5,5,10,9,5,11,3,1,3,1,2,2,2,2,1,1,3,10,10,2,4,6,9,12,10,10,9,- -  -,Lst
29151021,Cameron Salkeld,"D/M/AM (R), ST (C)",6.67,11,8,8,7,10,12,11,12,17,6,15,7,8,7,17,11,3,10,7,10,5,17,7,7,7,8,8,6,10,8,2,10,9,5,10,7,3,3,1,3,2,2,3,4,3,1,2,12,8,5,5,7,4,11,11,15,20,- -  -,
5113245,Adam Chicksen,"D (LC), WB (L)",6.74,10,11,8,6,14,11,14,9,6,9,8,10,9,7,14,8,6,10,11,12,8,13,6,12,10,9,10,5,8,6,8,9,12,6,11,10,1,2,1,2,2,2,1,3,2,1,3,13,13,5,5,7,15,18,13,15,6,- -  -,
29164150,Lewis Baines,"D (LC), WB (L)",6.70,9,8,9,13,14,11,10,11,11,9,14,11,9,7,10,3,9,10,12,13,10,12,2,5,9,4,6,3,12,6,5,10,13,4,13,11,1,2,3,3,1,2,1,3,2,1,3,11,10,1,6,5,10,13,11,10,18,- -  -,
5118434,Chris Holroyd,"AM (RC), ST (C)",6.58,10,11,10,9,11,11,8,6,8,11,9,9,9,7,13,10,6,11,7,11,9,13,4,8,7,11,9,9,10,8,4,4,10,9,7,11,3,1,2,3,2,1,3,1,1,3,2,11,11,7,2,6,3,13,12,11,13,- -  -,
28083035,Matt Lowe,"AM (RLC), ST (C)",6.82,13,10,10,10,14,12,11,10,8,7,12,8,9,7,7,6,6,11,6,8,7,11,7,9,11,8,8,9,9,8,5,5,9,5,7,8,3,1,3,2,3,1,2,3,1,2,3,7,10,2,7,8,9,8,8,9,8,- -  -,Req
2000095549,Seb Drozd,"D/WB/M (L), AM (RLC), ST (C)",6.93,9,9,10,6,14,8,8,6,8,8,8,10,7,7,11,11,6,9,6,8,8,9,8,8,12,10,10,7,7,7,8,6,7,9,5,9,3,4,3,1,3,3,1,1,1,1,4,11,11,2,7,18,9,11,12,10,15,- -  -,
28086269,Cole Kpekawa,D (LC),6.70,12,9,10,14,14,12,11,12,10,10,9,8,9,7,8,6,6,8,10,10,12,12,6,6,8,9,8,8,11,9,11,10,8,5,10,9,2,3,1,3,1,1,1,2,1,1,2,10,9,12,12,10,12,6,12,11,7,- -  -,
29141400,Maziar Kouhyar,"M (RC), AM (RLC)",6.99,11,11,13,9,14,11,10,8,10,10,13,11,7,7,17,11,7,10,5,13,11,14,12,10,12,8,12,12,5,10,5,5,11,9,4,12,1,1,1,3,2,2,2,1,1,3,2,15,14,8,7,10,11,15,12,12,15,- -  -,Wnt
29187947,Tom Pugh,"D (R), DM, M (C)",6.77,9,9,8,7,13,9,11,11,12,8,13,8,11,7,13,7,7,9,11,15,9,14,8,9,9,7,11,7,10,9,8,11,12,6,13,9,3,1,1,1,3,3,2,2,3,1,3,14,10,7,12,7,3,16,14,11,15,- -  -,
29073024,Luke Hannant,M/AM (RLC),7.00,12,11,11,6,15,11,13,9,12,10,12,9,10,7,14,7,9,9,10,11,9,13,10,9,9,6,9,10,7,8,5,9,9,5,9,9,1,1,1,3,1,2,3,2,1,3,2,7,14,3,8,12,4,12,12,15,12,- -  -,Wnt
29187154,Kyran Lofthouse,D/WB/M/AM (R),6.70,14,12,10,4,11,13,9,9,9,8,6,7,7,7,9,8,4,8,8,8,7,11,3,12,10,7,8,3,6,7,6,8,9,2,9,10,2,1,1,2,2,2,2,2,2,3,1,12,11,6,4,9,11,9,9,15,11,- -  -,
2000065694,Oli Coker,M/AM (C),6.48,10,9,5,7,13,11,11,9,11,6,8,6,8,7,10,6,12,12,8,9,14,9,6,3,8,9,9,7,7,7,2,6,11,4,6,9,2,1,2,1,1,1,1,1,1,1,1,11,8,6,12,7,13,12,10,11,13,- -  -,Loa
20044972,Michael O'Sullivan,D (C),6.75,9,9,11,12,16,9,9,15,8,10,9,7,10,7,6,5,8,5,13,7,6,8,5,4,1,6,7,1,9,3,5,9,5,5,14,5,3,2,3,3,1,1,2,1,3,4,3,9,12,3,5,14,5,10,9,18,13,- -  -,
