UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
8718372,Manuel Neuer,GK,7.23,11,12,14,17,19,11,12,16,13,16,15,20,15,15,18,12,18,13,16,13,15,16,2,6,12,7,12,8,11,7,12,9,15,13,11,12,15,16,14,18,14,18,16,8,16,20,18,16,17,12,4,19,7,18,12,6,18,- -  -,
18026122,Thibaut Courtois,GK,7.00,12,13,14,18,12,11,8,14,8,15,15,12,16,16,16,14,13,2,16,14,9,11,5,2,10,1,10,7,10,1,2,2,13,2,2,12,20,16,14,5,16,16,18,6,19,12,15,14,16,10,5,18,5,15,14,15,14,- -  -,
19058734,Alisson,GK,7.05,13,16,16,13,17,13,12,15,12,17,14,17,15,16,19,13,11,11,18,11,12,17,3,3,10,1,15,2,7,2,1,3,14,5,2,14,15,13,14,12,16,15,18,14,17,16,15,17,17,6,5,16,8,18,15,2,17,- -  -,
35017428,Marc-André ter Stegen,GK,7.26,14,14,16,16,15,11,13,15,11,17,15,18,15,13,18,5,14,3,12,14,9,10,5,3,1,2,13,9,7,1,2,2,17,5,3,14,13,15,15,12,14,19,14,10,18,18,17,18,16,5,6,15,8,18,14,16,8,- -  -,
64016316,Jan Oblak,GK,6.93,11,13,13,13,9,13,13,13,8,11,13,17,16,16,15,15,11,2,16,13,8,13,5,3,2,3,12,8,3,3,2,2,16,12,2,11,15,15,15,4,18,16,16,9,19,15,14,19,16,7,9,15,4,10,15,14,14,- -  -,
85121966,Édouard Mendy,GK,7.01,12,15,14,17,15,11,14,15,10,14,12,13,16,16,12,8,10,3,16,13,8,10,2,3,1,2,11,6,8,1,2,1,14,1,1,11,18,16,13,14,16,13,14,8,16,12,12,14,15,7,10,15,6,14,13,16,14,- -  -,Set
43252073,Gianluigi Donnarumma,GK,7.07,10,16,16,18,15,12,15,16,8,17,16,14,15,15,15,6,14,2,15,15,9,13,3,1,4,3,7,1,7,1,8,2,7,6,7,6,17,14,16,9,15,13,16,14,18,11,12,16,18,5,4,15,4,13,15,3,14,- -  -,
28009478,Wojciech Szczęsny,GK,7.04,9,15,11,17,12,12,11,15,12,13,14,17,12,12,15,7,8,4,14,9,10,11,3,1,3,1,11,1,5,3,3,2,12,5,2,8,16,14,14,13,18,16,16,7,17,16,14,13,16,12,5,14,8,16,9,2,14,- -  -,
83169226,Diogo Costa,GK,7.09,12,15,13,13,14,11,12,14,14,14,14,16,15,15,15,1,9,1,15,14,14,13,4,2,2,3,12,6,5,3,1,2,14,3,1,12,14,14,15,7,14,16,15,8,16,12,13,13,17,6,11,14,9,16,14,15,16,- -  -,Wnt
67200923,Unai Simón,GK,6.61,13,14,7,15,17,13,12,12,14,13,12,15,13,14,15,1,12,2,15,13,14,12,3,1,1,2,13,8,13,2,1,1,12,4,1,13,16,15,15,13,14,13,15,9,16,13,15,10,15,8,7,7,9,10,14,17,17,- -  -,Inj
24025298,Dominik Livaković,GK,7.04,11,15,12,14,13,10,11,13,4,14,11,14,15,14,13,8,14,2,14,14,10,10,3,2,2,3,8,6,7,3,3,2,13,5,2,7,14,10,9,4,13,12,19,16,18,9,15,13,15,2,3,11,4,18,18,13,19,- -  -,
70099201,Altay Bayındır,GK,6.83,10,16,10,18,10,10,11,15,5,15,10,14,8,11,12,4,15,3,14,10,10,12,4,3,3,1,12,9,8,1,3,2,14,3,3,12,17,10,12,10,16,14,17,13,17,6,10,12,16,5,5,12,8,17,15,14,13,- -  -,Wnt
8428653,Hugo Lloris,GK,6.75,10,14,11,13,15,9,13,13,15,17,17,7,15,14,15,6,15,6,16,15,9,14,6,3,5,1,8,8,9,1,2,4,8,1,10,10,11,12,13,12,16,11,15,13,17,13,11,14,16,4,2,14,14,17,18,3,19,- -  -,Set
14020367,Emiliano Martínez,GK,6.72,10,16,13,15,13,10,12,12,7,13,12,12,14,13,14,8,13,11,13,12,7,13,3,3,1,1,11,2,5,1,3,2,12,3,2,11,15,14,12,10,16,14,15,10,18,14,12,13,14,5,7,14,6,15,9,3,14,- -  -,Wnt
