,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,8718372.0,Manuel Neuer,GK,7.23,11.0,12.0,14.0,17.0,19.0,11.0,12.0,16.0,13.0,16.0,15.0,20.0,15.0,15.0,18.0,12.0,18.0,13.0,16.0,13.0,15.0,16.0,2.0,6.0,12.0,7.0,12.0,8.0,11.0,7.0,12.0,9.0,15.0,13.0,11.0,12.0,15.0,16.0,14.0,18.0,14.0,18.0,16.0,8.0,16.0,20.0,18.0,16.0,17.0,12.0,4.0,19.0,7.0,18.0,12.0,6.0,18.0
1,18026122.0,Thibaut Courtois,GK,7.0,12.0,13.0,14.0,18.0,12.0,11.0,8.0,14.0,8.0,15.0,15.0,12.0,16.0,16.0,16.0,14.0,13.0,2.0,16.0,14.0,9.0,11.0,5.0,2.0,10.0,1.0,10.0,7.0,10.0,1.0,2.0,2.0,13.0,2.0,2.0,12.0,20.0,16.0,14.0,5.0,16.0,16.0,18.0,6.0,19.0,12.0,15.0,14.0,16.0,10.0,5.0,18.0,5.0,15.0,14.0,15.0,14.0
2,19058734.0,Alisson,GK,7.05,13.0,16.0,16.0,13.0,17.0,13.0,12.0,15.0,12.0,17.0,14.0,17.0,15.0,16.0,19.0,13.0,11.0,11.0,18.0,11.0,12.0,17.0,3.0,3.0,10.0,1.0,15.0,2.0,7.0,2.0,1.0,3.0,14.0,5.0,2.0,14.0,15.0,13.0,14.0,12.0,16.0,15.0,18.0,14.0,17.0,16.0,15.0,17.0,17.0,6.0,5.0,16.0,8.0,18.0,15.0,2.0,17.0
3,35017428.0,Marc-André ter Stegen,GK,7.26,14.0,14.0,16.0,16.0,15.0,11.0,13.0,15.0,11.0,17.0,15.0,18.0,15.0,13.0,18.0,5.0,14.0,3.0,12.0,14.0,9.0,10.0,5.0,3.0,1.0,2.0,13.0,9.0,7.0,1.0,2.0,2.0,17.0,5.0,3.0,14.0,13.0,15.0,15.0,12.0,14.0,19.0,14.0,10.0,18.0,18.0,17.0,18.0,16.0,5.0,6.0,15.0,8.0,18.0,14.0,16.0,8.0
4,64016316.0,Jan Oblak,GK,6.93,11.0,13.0,13.0,13.0,9.0,13.0,13.0,13.0,8.0,11.0,13.0,17.0,16.0,16.0,15.0,15.0,11.0,2.0,16.0,13.0,8.0,13.0,5.0,3.0,2.0,3.0,12.0,8.0,3.0,3.0,2.0,2.0,16.0,12.0,2.0,11.0,15.0,15.0,15.0,4.0,18.0,16.0,16.0,9.0,19.0,15.0,14.0,19.0,16.0,7.0,9.0,15.0,4.0,10.0,15.0,14.0,14.0
5,85121966.0,Édouard Mendy,GK,7.01,12.0,15.0,14.0,17.0,15.0,11.0,14.0,15.0,10.0,14.0,12.0,13.0,16.0,16.0,12.0,8.0,10.0,3.0,16.0,13.0,8.0,10.0,2.0,3.0,1.0,2.0,11.0,6.0,8.0,1.0,2.0,1.0,14.0,1.0,1.0,11.0,18.0,16.0,13.0,14.0,16.0,13.0,14.0,8.0,16.0,12.0,12.0,14.0,15.0,7.0,10.0,15.0,6.0,14.0,13.0,16.0,14.0
6,43252073.0,Gianluigi Donnarumma,GK,7.07,10.0,16.0,16.0,18.0,15.0,12.0,15.0,16.0,8.0,17.0,16.0,14.0,15.0,15.0,15.0,6.0,14.0,2.0,15.0,15.0,9.0,13.0,3.0,1.0,4.0,3.0,7.0,1.0,7.0,1.0,8.0,2.0,7.0,6.0,7.0,6.0,17.0,14.0,16.0,9.0,15.0,13.0,16.0,14.0,18.0,11.0,12.0,16.0,18.0,5.0,4.0,15.0,4.0,13.0,15.0,3.0,14.0
7,28009478.0,Wojciech Szczęsny,GK,7.04,9.0,15.0,11.0,17.0,12.0,12.0,11.0,15.0,12.0,13.0,14.0,17.0,12.0,12.0,15.0,7.0,8.0,4.0,14.0,9.0,10.0,11.0,3.0,1.0,3.0,1.0,11.0,1.0,5.0,3.0,3.0,2.0,12.0,5.0,2.0,8.0,16.0,14.0,14.0,13.0,18.0,16.0,16.0,7.0,17.0,16.0,14.0,13.0,16.0,12.0,5.0,14.0,8.0,16.0,9.0,2.0,14.0
8,83169226.0,Diogo Costa,GK,7.09,12.0,15.0,13.0,13.0,14.0,11.0,12.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,15.0,1.0,9.0,1.0,15.0,14.0,14.0,13.0,4.0,2.0,2.0,3.0,12.0,6.0,5.0,3.0,1.0,2.0,14.0,3.0,1.0,12.0,14.0,14.0,15.0,7.0,14.0,16.0,15.0,8.0,16.0,12.0,13.0,13.0,17.0,6.0,11.0,14.0,9.0,16.0,14.0,15.0,16.0
9,67200923.0,Unai Simón,GK,6.61,13.0,14.0,7.0,15.0,17.0,13.0,12.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,15.0,1.0,12.0,2.0,15.0,13.0,14.0,12.0,3.0,1.0,1.0,2.0,13.0,8.0,13.0,2.0,1.0,1.0,12.0,4.0,1.0,13.0,16.0,15.0,15.0,13.0,14.0,13.0,15.0,9.0,16.0,13.0,15.0,10.0,15.0,8.0,7.0,7.0,9.0,10.0,14.0,17.0,17.0
