UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
52060430,Dylan Connolly,M/AM (RL),6.95,16,12,12,10,10,16,13,8,8,10,10,8,7,5,13,14,2,11,5,11,8,14,8,9,10,9,9,8,7,8,3,5,8,11,7,9,2,1,3,3,2,3,3,3,3,2,3,13,10,15,12,12,8,5,3,11,5,- -  -,Wnt
29175340,Josh Kay,"WB (L), M (LC), AM (RLC)",6.70,13,9,9,9,13,12,9,9,11,8,7,7,6,5,13,15,6,9,7,7,8,11,8,8,10,9,10,9,6,10,9,5,8,10,6,11,1,2,2,2,1,1,2,1,2,1,3,7,11,4,5,8,5,6,8,11,9,- -  -,
28090966,Wes McDonald,"M (RL), AM (RLC)",6.61,14,10,10,8,12,12,11,11,7,9,8,10,9,5,12,15,6,9,8,8,10,7,8,10,12,10,10,9,7,9,8,7,10,9,7,10,1,2,1,3,3,3,1,3,2,3,3,14,5,2,5,8,5,13,12,9,13,- -  -,Wnt
29191713,Timmy Abraham,"AM (R), ST (C)",6.81,17,12,12,13,17,17,11,8,9,9,6,7,10,5,4,15,4,7,6,8,10,10,6,5,6,7,7,5,9,8,5,4,6,7,4,9,2,3,2,1,3,3,3,1,3,3,2,12,8,4,8,13,7,13,8,7,19,- -  -,Wnt
28127357,Amadou Diallo,"AM (RLC), ST (C)",6.79,14,11,4,4,16,13,13,6,5,7,5,11,7,5,11,13,11,10,6,7,5,8,6,10,8,8,13,6,7,8,4,6,11,6,7,9,3,3,3,2,1,2,3,1,1,3,2,8,11,2,14,8,15,12,10,10,15,- -  -,
29218010,Tyrese Sinclair,"AM (RLC), ST (C)",6.64,13,12,9,15,8,12,9,6,8,9,10,8,7,6,12,12,7,10,6,12,10,13,11,11,11,9,10,11,10,10,5,5,9,6,7,11,3,1,4,3,1,2,2,1,1,2,2,13,6,5,15,7,13,12,9,12,14,- -  -,Wnt
29233931,Sam Folarin,"WB/M/AM (R), ST (C)",6.75,14,13,8,9,11,12,10,9,9,7,10,8,6,6,13,12,8,7,6,11,9,9,8,11,11,9,8,6,7,9,6,6,8,7,5,9,2,2,2,2,1,2,4,3,3,1,2,14,8,10,4,12,8,11,10,10,12,- -  -,
29110541,Kwame Thomas,ST (C),6.68,11,11,5,14,9,10,11,14,14,9,10,9,10,6,10,10,4,11,7,14,10,12,9,11,9,9,11,8,11,9,3,7,9,9,5,9,1,3,2,2,3,1,3,2,1,2,1,7,9,8,12,6,12,12,8,3,9,- -  -,Ask
28094797,David Tutonda,D/WB/M (L),6.98,14,14,11,11,12,13,12,10,9,9,10,9,9,6,10,14,9,9,8,10,8,11,5,12,12,7,11,5,8,4,10,9,11,7,10,12,3,3,1,1,3,2,2,3,3,2,1,10,8,5,8,12,7,11,11,13,11,- -  -,Wnt
28107092,Jordan Green,M/AM (RL),6.78,15,12,12,8,12,14,7,8,13,9,9,8,9,7,13,13,6,11,9,15,9,17,6,10,13,9,10,7,7,8,3,6,9,9,8,10,3,3,2,3,3,2,2,2,2,4,1,13,7,5,8,8,7,13,12,11,10,- -  -,Wnt
2000047231,James Sweet,"D/WB (R), DM, M (RC)",6.85,12,13,10,9,14,12,11,9,8,10,11,10,8,7,13,11,8,9,9,13,13,13,9,10,10,7,12,9,8,7,10,8,12,6,10,12,3,1,2,2,1,3,3,4,1,1,3,12,10,6,12,7,5,12,9,9,16,- -  -,
29191562,Rio Adebisi,"D (RL), WB (L)",6.75,13,12,12,8,15,15,13,11,10,7,10,8,8,7,15,5,4,9,9,13,10,14,4,9,9,4,9,4,8,3,9,7,10,7,9,12,3,3,3,3,3,2,1,1,3,1,2,13,11,3,6,14,5,15,12,11,10,- -  -,
95036573,Omari Patrick,"AM (RL), ST (C)",6.76,14,12,9,12,12,14,12,13,9,8,9,11,10,7,8,13,4,8,6,11,8,11,3,7,12,9,8,7,7,11,3,4,8,6,5,9,2,4,1,1,1,3,1,2,3,3,3,7,11,2,3,5,2,10,10,9,12,- -  -,Wnt
90085941,Jake Young,"AM (RLC), ST (C)",6.80,12,10,11,11,11,13,8,8,6,9,7,12,8,7,10,14,3,11,11,9,11,8,8,7,13,11,11,9,7,11,1,5,8,6,6,12,1,3,3,1,3,2,2,1,2,2,2,12,8,11,5,12,3,9,12,6,14,- -  -,
90057559,Alex Newby,"M (C), AM (RLC)",6.80,12,12,11,6,8,12,10,7,5,9,7,11,7,7,10,12,6,11,5,8,10,10,8,10,12,10,11,11,6,10,5,5,11,9,4,11,3,4,3,3,3,2,2,2,3,2,2,11,12,2,5,11,6,10,13,11,17,- -  -,
