UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
67174729,Adama Traoré,M/AM (RL),6.78,20,15,15,14,12,20,10,17,12,9,11,10,8,6,14,18,5,9,10,9,10,10,7,13,18,10,12,8,10,13,7,7,11,9,7,12,2,2,2,3,1,4,2,3,3,4,2,14,10,11,11,10,6,11,10,12,11,- -  -,Set
28094856,Daniel James,M/AM (RL),6.82,19,16,12,6,15,19,16,5,14,10,16,7,9,6,15,12,4,12,6,16,7,18,4,11,13,7,11,4,5,8,2,5,8,10,6,11,3,2,1,2,1,2,4,3,3,2,1,15,10,5,12,13,5,14,11,13,14,- -  -,
29199843,Siriki Dembélé,"M/AM (RL), ST (C)",6.85,16,15,14,6,12,15,10,8,12,10,8,12,8,6,11,17,5,11,6,10,10,11,8,11,16,11,11,7,5,9,2,5,11,9,6,15,3,2,4,3,1,1,3,1,1,2,3,12,10,5,3,12,10,14,11,9,11,- -  -,
61083649,Nathan Patterson,"D (RL), WB (R)",6.88,15,12,12,11,14,15,17,13,9,12,10,13,15,8,14,7,4,13,13,13,14,13,12,13,11,12,12,6,8,11,11,11,12,5,13,9,1,3,1,1,1,4,1,2,2,3,2,12,11,6,13,14,6,14,16,11,15,- -  -,
71099020,Emmanuel Dennis,"WB/M (R), AM (RLC)",6.64,18,15,12,6,13,18,12,13,14,12,16,14,9,9,12,14,8,10,5,10,7,10,8,12,13,13,13,8,8,10,5,5,12,14,7,13,4,2,3,2,1,1,2,2,1,3,3,16,10,8,12,12,5,7,8,11,9,- -  -,
55063406,Daniel Podence,"M (L), AM (RLC)",6.88,16,17,16,3,14,16,14,5,15,11,13,9,9,9,15,18,6,14,6,8,14,14,12,13,17,9,16,10,4,8,4,6,13,10,5,16,1,3,1,1,1,2,3,3,1,1,2,13,13,9,13,12,11,11,8,7,10,- -  -,Wnt
28122040,Sam Greenwood,"M (C), AM (RLC), ST (C)",6.78,14,12,10,10,13,13,13,8,12,11,11,12,11,9,13,13,8,13,9,13,10,12,11,9,11,14,12,14,10,10,3,6,12,13,7,12,2,2,3,4,3,2,3,3,1,3,3,12,12,6,7,9,5,12,11,14,11,- -  -,
18083491,Leon Bailey,M/AM (RL),6.97,17,16,10,12,14,17,13,10,13,12,12,13,11,9,15,18,9,13,7,10,13,13,14,15,15,13,13,12,8,14,11,5,12,12,7,15,3,1,2,3,1,4,2,1,3,2,1,18,13,16,8,13,13,10,10,14,10,- -  -,
48036492,Rúben Vinagre,D/WB/M/AM (L),6.71,15,15,11,8,11,15,12,10,11,12,12,14,8,9,11,16,9,14,8,10,13,14,12,13,14,10,13,8,9,9,11,8,13,10,10,15,2,2,1,1,4,1,3,1,1,3,3,14,11,10,8,13,8,10,12,15,13,- -  -,
55061773,Wilson Manafá,"D/WB (RL), M/AM (R)",6.84,16,14,12,8,10,15,15,12,14,11,12,9,11,9,15,13,7,12,10,11,10,15,6,11,12,7,11,5,7,6,11,9,11,7,11,11,3,3,2,3,2,2,2,3,2,2,3,14,13,4,7,11,10,14,11,18,12,- -  -,
29178504,Djed Spence,"D (R), WB (RL), M/AM (R)",6.77,17,14,12,12,13,15,14,10,11,11,11,10,10,9,10,13,7,13,9,9,11,12,6,12,13,11,10,6,7,7,10,10,10,6,11,10,2,3,2,1,1,2,1,3,2,2,1,15,10,11,13,12,4,7,8,12,13,- -  -,
24014057,Mislav Oršić,"M/AM (L), ST (C)",6.88,16,15,12,10,16,18,13,8,6,11,5,11,11,9,13,13,4,16,11,10,11,15,16,11,11,16,12,14,8,17,4,6,11,14,8,13,2,3,3,1,3,1,1,3,1,1,3,12,10,2,6,18,7,18,16,14,12,- -  -,
19202502,Luciano,"AM (RLC), ST (C)",6.62,14,14,12,11,11,14,12,10,10,13,10,14,13,9,13,14,9,13,6,11,13,13,11,10,13,14,13,13,13,13,9,7,14,14,7,13,1,2,3,3,1,2,1,2,3,2,1,13,14,8,9,11,12,12,6,12,9,- -  -,
29142372,Ben Godfrey,"D (RC), DM",6.46,16,14,15,13,15,17,16,16,14,11,14,12,13,9,15,7,12,11,12,14,12,17,5,8,8,9,13,5,13,12,7,13,13,7,15,13,2,1,4,3,1,1,1,2,2,2,2,16,11,1,7,13,5,17,11,15,15,- -  -,
29110623,Ollie Watkins,"AM (RL), ST (C)",7.04,15,15,11,12,17,14,17,14,10,13,15,10,12,9,15,13,9,14,5,16,12,19,8,11,13,15,12,7,13,11,5,6,13,11,7,12,2,4,3,2,1,1,2,1,3,2,4,13,14,6,4,13,5,16,11,12,13,- -  -,
72045910,Jack Harrison,M/AM (RL),6.80,14,14,15,7,16,15,17,8,11,12,13,12,11,9,17,15,8,13,11,14,14,15,13,13,13,12,17,8,5,11,5,5,12,11,6,13,2,2,3,2,1,2,2,2,4,1,1,16,10,6,9,9,8,18,12,14,13,- -  -,Inj
91157307,Deniz Undav,"AM (RLC), ST (C)",6.74,13,12,16,11,9,13,13,15,10,11,16,13,11,9,15,10,6,13,12,12,12,11,7,9,13,17,13,8,14,9,4,5,10,11,7,12,3,3,2,3,1,2,2,3,2,3,1,14,15,14,10,10,10,8,7,13,10,- -  -,Set
70093800,Çağlar Söyüncü,D (C),6.82,14,12,15,16,13,12,13,16,12,14,17,12,12,10,16,9,12,7,14,13,13,15,4,7,12,7,12,5,14,8,8,15,10,8,16,10,3,3,2,3,2,1,2,1,3,2,1,15,12,5,13,15,9,12,11,8,7,- -  -,
28091349,Adam Armstrong,"AM (L), ST (C)",6.99,17,14,10,8,14,17,15,9,7,13,11,10,11,10,13,11,6,11,6,13,10,12,7,8,13,13,13,12,8,14,4,5,10,13,5,11,1,3,3,1,1,3,2,3,3,1,3,15,13,4,6,12,2,15,13,13,15,- -  -,
61043070,John McGinn,"DM, M/AM (C)",6.94,13,13,14,9,15,14,17,15,15,13,12,13,11,10,16,13,10,13,13,16,14,17,11,13,14,13,13,10,9,15,9,10,14,10,14,15,2,1,1,2,1,2,1,3,1,4,1,13,14,4,14,13,5,16,15,11,15,- -  -,Inj
13136629,Taiwo Awoniyi,ST (C),6.78,16,15,16,11,13,16,13,16,14,14,13,9,11,10,13,13,5,15,5,11,11,13,7,9,15,16,14,8,14,11,5,4,11,12,4,14,3,1,1,3,3,1,1,2,3,1,2,14,13,10,5,13,5,11,10,6,12,- -  -,
