UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
23401721,David Osagie,ST (C),6.56,13,10,5,10,7,10,7,5,5,5,1,7,5,4,8,8,1,12,5,4,4,5,2,1,13,8,11,4,11,2,1,3,5,3,1,8,1,3,2,2,1,3,2,2,1,3,4,10,9,8,5,9,13,10,13,12,12,- -  -,
13207679,Danielson Gomes,ST (C),6.38,12,6,5,7,8,9,3,6,15,2,4,6,4,4,11,12,7,13,3,3,4,4,5,1,12,12,10,4,12,4,1,4,3,3,1,11,3,1,3,1,2,2,2,3,2,1,3,12,9,8,7,3,12,12,12,7,15,- -  -,
65046027,Nathaneal Trout,ST (C),6.83,13,13,6,3,12,13,11,4,14,8,7,12,6,4,15,11,10,7,5,5,6,6,3,1,13,13,13,1,12,5,1,4,6,10,2,9,2,2,3,2,3,2,2,3,3,2,2,10,8,5,9,13,7,10,10,10,20,- -  -,
2000197572,Dorde Smiljic,ST (C),6.17,12,12,3,8,15,12,5,5,8,2,4,4,1,4,16,12,9,4,3,3,1,4,1,2,9,12,12,1,9,4,1,1,4,1,1,11,3,1,1,2,1,2,2,2,2,3,4,11,4,3,10,16,7,10,13,7,8,- -  -,Ama
42077023,Musa Tarabin,"AM (C), ST (C)",6.60,12,11,10,5,13,12,10,13,15,12,4,4,5,4,10,13,3,11,8,4,9,14,8,11,12,10,15,8,7,10,8,7,10,11,3,13,1,1,2,1,2,2,3,2,4,1,3,14,13,16,16,7,8,6,4,13,3,- -  -,
59145997,Giorgi Lomtadze,ST (C),6.02,13,13,6,10,13,12,6,7,14,7,2,9,5,5,6,10,8,12,6,5,6,6,4,2,13,13,13,5,8,4,1,4,6,5,1,10,3,1,3,4,3,1,3,1,1,3,2,10,10,1,8,11,13,10,13,8,15,- -  -,
13209501,Yassine Lamine,ST (C),6.60,13,13,7,9,10,13,12,5,8,6,4,11,7,5,12,12,9,13,7,6,7,8,3,6,13,13,11,6,13,7,1,5,4,5,1,9,1,1,3,3,1,2,2,3,2,2,3,13,10,5,11,12,12,10,7,11,10,- -  -,
88031635,Blake Driehuis,ST (C),6.50,13,12,13,12,9,11,14,5,5,7,2,11,2,5,10,11,2,10,6,7,6,12,5,6,10,11,11,6,5,3,1,6,11,7,2,11,2,3,3,3,3,1,2,1,3,2,3,10,8,6,8,10,7,9,13,10,18,- -  -,Ama
19149114,Jean Moser,ST (C),6.60,12,13,11,10,12,14,12,12,10,5,8,11,7,5,12,8,3,10,6,7,7,8,7,6,11,10,13,2,8,8,2,2,8,6,1,11,3,1,2,1,3,1,2,3,1,2,3,8,9,6,9,7,11,11,9,9,20,- -  -,
2000025523,Davide Agliardi,ST (C),6.59,13,11,6,10,13,10,6,8,8,4,5,10,6,5,13,10,9,11,7,5,6,6,4,5,14,14,13,3,8,6,1,4,7,10,1,11,2,2,1,3,4,1,3,3,3,2,3,13,17,8,7,8,11,13,7,9,15,- -  -,Yth
12093256,Alexandre Sanou,"M/AM (C), ST (C)",6.72,12,13,5,7,15,12,12,7,9,7,4,5,4,5,17,10,3,9,7,5,6,7,4,2,8,10,13,4,6,5,3,4,9,6,5,10,1,2,2,2,1,2,3,2,2,1,2,10,10,5,9,8,13,7,12,9,10,- -  -,Inj
2000029082,Mikołaj Stangel,"AM (C), ST (C)",7.07,13,14,8,4,12,14,5,7,8,6,4,7,4,5,8,13,4,11,6,5,11,8,7,7,12,14,11,6,10,7,1,3,7,8,4,11,2,2,1,2,4,1,2,1,3,3,1,13,10,4,13,14,5,10,9,8,18,- -  -,Yth
2000056532,Alexandru Despa,ST (C),6.71,14,13,8,3,11,14,8,6,7,7,8,9,7,5,12,9,7,9,4,5,5,8,3,3,13,14,13,6,13,5,3,6,6,8,3,8,3,1,4,3,2,3,2,1,1,3,4,12,12,8,8,10,8,15,12,11,19,- -  -,
13219889,Ademola Adebambo,ST (C),6.56,14,12,9,13,8,10,8,8,13,11,6,8,8,5,14,14,3,14,9,7,8,9,8,4,12,11,15,7,11,9,3,7,9,5,1,15,2,1,1,1,3,1,3,1,1,1,1,11,20,7,14,1,14,11,11,13,17,- -  -,
23190466,Ulysse Diallo,ST (C),6.89,15,13,11,12,16,15,11,9,10,7,11,6,7,5,13,15,6,11,7,8,7,10,6,9,11,10,12,11,10,11,6,4,8,7,5,12,2,3,3,1,1,1,3,2,4,1,1,12,11,6,5,8,13,5,9,11,6,- -  -,
2000202758,Tijani Fahie,ST (C),7.04,13,10,6,5,12,13,7,6,6,8,7,7,3,6,3,13,13,12,6,5,7,6,4,6,13,13,13,5,10,6,3,5,6,3,1,10,1,1,1,2,2,2,3,3,2,1,3,10,13,6,5,9,10,12,12,11,20,- -  -,
13225601,Tito Okello,"AM (C), ST (C)",6.81,13,13,8,8,11,13,13,13,6,11,9,9,7,6,18,13,3,14,8,7,10,10,5,9,12,14,13,7,9,9,1,7,8,3,5,14,3,3,3,3,2,3,3,1,1,2,2,10,13,4,9,8,6,12,11,11,14,- -  -,
12092149,Moumouni Kaboré,ST (C),6.66,13,13,3,6,8,13,6,5,8,9,8,9,7,6,17,13,1,13,7,6,7,6,6,6,13,13,11,7,13,7,1,6,7,6,3,13,4,2,3,3,3,2,2,2,3,1,2,12,9,4,11,12,10,11,9,10,14,- -  -,
2000095747,Duhamel Mabengue,ST (C),6.84,13,9,3,11,10,10,5,8,12,4,4,9,6,6,7,11,1,11,6,6,8,7,6,4,13,13,13,6,13,7,6,5,5,10,2,11,2,3,3,3,1,3,2,1,2,1,3,10,14,5,7,8,5,13,7,9,18,- -  -,
