,UID,Name,Position,Con/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
0,67184473.0,José Antonio Caro,GK,0.83,10.0,13.0,10.0,12.0,11.0,9.0,11.0,12.0,7.0,10.0,12.0,10.0,12.0,12.0,12.0,9.0,16.0,11.0,12.0,11.0,10.0,11.0,3.0,1.0,1.0,1.0,11.0,6.0,7.0,2.0,1.0,2.0,12.0,2.0,2.0,10.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,5.0,14.0,9.0,13.0
1,2002084480.0,Arman Manukyan,GK,0.98,5.0,14.0,8.0,13.0,14.0,3.0,5.0,5.0,10.0,8.0,17.0,10.0,8.0,8.0,13.0,2.0,14.0,2.0,14.0,11.0,12.0,5.0,4.0,1.0,1.0,1.0,4.0,7.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,13.0,9.0,6.0,4.0,7.0,7.0,4.0,14.0,13.0,10.0,8.0
2,2002075044.0,Nicolò Magistrelli,GK,0.88,6.0,14.0,13.0,13.0,8.0,4.0,4.0,7.0,10.0,8.0,8.0,5.0,9.0,8.0,13.0,3.0,12.0,2.0,8.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,11.0,10.0,10.0,1.0,4.0,7.0,7.0,18.0,9.0,8.0,7.0
3,2002079982.0,Kim Christian Høyenhall,GK,0.75,10.0,12.0,17.0,15.0,12.0,13.0,12.0,9.0,12.0,10.0,13.0,10.0,13.0,14.0,13.0,2.0,10.0,1.0,13.0,15.0,9.0,14.0,3.0,2.0,2.0,1.0,5.0,7.0,1.0,2.0,3.0,3.0,12.0,1.0,2.0,7.0,14.0,11.0,14.0,1.0,15.0,12.0,15.0,10.0,15.0,12.0,13.0
4,78076993.0,Cristopher Fiermarin,GK,1.0,12.0,15.0,10.0,13.0,10.0,13.0,10.0,8.0,10.0,12.0,15.0,12.0,11.0,14.0,15.0,2.0,14.0,3.0,10.0,10.0,12.0,8.0,4.0,1.0,1.0,3.0,10.0,6.0,1.0,1.0,3.0,2.0,13.0,2.0,3.0,5.0,12.0,13.0,14.0,6.0,7.0,14.0,13.0,6.0,12.0,8.0,13.0
5,13164770.0,Reda Tagnaouti,GK,1.1,12.0,14.0,11.0,14.0,12.0,11.0,10.0,7.0,7.0,14.0,10.0,12.0,12.0,15.0,5.0,2.0,12.0,2.0,14.0,11.0,14.0,10.0,5.0,1.0,2.0,1.0,9.0,10.0,1.0,1.0,2.0,2.0,7.0,3.0,3.0,6.0,14.0,13.0,10.0,16.0,13.0,8.0,16.0,7.0,12.0,13.0,14.0
6,43068340.0,Matteo Grandi,GK,0.68,10.0,12.0,12.0,13.0,16.0,12.0,12.0,11.0,11.0,10.0,12.0,10.0,12.0,12.0,12.0,5.0,12.0,5.0,11.0,10.0,11.0,9.0,4.0,1.0,3.0,3.0,6.0,6.0,4.0,1.0,1.0,3.0,8.0,4.0,3.0,7.0,13.0,12.0,13.0,8.0,12.0,11.0,12.0,13.0,11.0,13.0,14.0
7,52029704.0,Aaron McCarey,GK,0.73,8.0,10.0,9.0,13.0,12.0,9.0,5.0,10.0,8.0,9.0,12.0,9.0,12.0,11.0,14.0,3.0,9.0,2.0,11.0,9.0,10.0,11.0,3.0,3.0,1.0,3.0,8.0,5.0,7.0,3.0,2.0,3.0,11.0,3.0,1.0,8.0,11.0,11.0,10.0,5.0,12.0,13.0,9.0,3.0,10.0,7.0,12.0
8,2002075061.0,Han Ang,GK,0.82,9.0,16.0,11.0,11.0,11.0,8.0,11.0,9.0,9.0,13.0,14.0,9.0,14.0,15.0,16.0,3.0,12.0,1.0,14.0,14.0,9.0,12.0,5.0,3.0,2.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,10.0,3.0,2.0,6.0,10.0,11.0,12.0,9.0,15.0,9.0,13.0,10.0,16.0,9.0,13.0
9,29222551.0,Jordan Amissah,GK,0.91,13.0,12.0,6.0,14.0,15.0,12.0,5.0,9.0,9.0,14.0,16.0,11.0,9.0,10.0,8.0,1.0,4.0,2.0,13.0,10.0,11.0,9.0,6.0,3.0,3.0,3.0,4.0,8.0,1.0,2.0,2.0,2.0,11.0,2.0,2.0,5.0,14.0,12.0,10.0,5.0,11.0,13.0,12.0,10.0,10.0,6.0,10.0
