UID,Name,Position,Conv %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
96143066,Kacper Skibicki,WB/M/AM (R),9%,16,13,10,8,12,14,14,6,9,11,14,7,11,7,13,15,4,14,7,12,8,12,11,10,12,10,8,7,5,12,4,5,11,6,5,9,1,1,4,2,1,2,2,3,3,3,2,11,10,7,4,12,3,13,9,18,8,- -  -,
2000025757,Dariusz Sulma,AM (RL),17%,12,12,7,7,13,12,13,6,5,7,11,8,6,8,15,13,7,8,6,9,6,10,3,7,7,7,8,3,2,4,5,2,6,2,4,7,3,2,2,2,2,3,2,1,3,2,1,13,9,4,13,8,7,10,12,12,20,- -  -,
2000161791,Lee Hyun-Ju,"DM, M (C), AM (RLC)",33%,13,13,8,4,13,11,11,6,8,11,9,12,7,9,12,13,8,12,8,12,13,11,12,9,13,10,13,10,4,8,4,7,12,11,7,13,1,2,1,1,1,4,1,2,2,2,1,12,12,7,6,14,7,10,12,14,16,- -  -,Loa
2000216570,Jakub Dufek,AM (C),50%,12,14,7,9,9,13,10,4,11,6,3,8,3,13,11,13,5,7,6,6,10,7,2,4,7,12,13,4,5,7,1,3,13,5,5,8,4,2,1,1,2,1,1,3,1,3,3,11,7,8,8,5,7,9,12,10,13,- -  -,
2000101493,Cedric Zajkowski,M/AM (L),25%,13,13,7,2,11,12,7,8,14,6,8,10,4,10,5,13,3,10,4,6,9,12,7,12,13,9,12,6,2,7,5,2,9,5,7,12,1,1,2,3,2,2,1,3,1,3,3,12,11,5,9,7,12,11,8,12,10,- -  -,
96148927,Norbert Wojtuszek,"DM, M/AM (C)",12%,10,11,10,9,12,11,11,8,9,10,13,10,12,9,15,9,7,9,11,12,10,13,8,9,12,8,12,5,8,9,7,9,11,4,11,11,1,1,1,4,2,1,1,1,3,3,3,11,12,3,9,12,11,10,11,12,12,- -  -,
19335634,Itaitinga,"M (L), AM (RL)",29%,12,11,14,12,14,13,13,13,11,12,9,11,11,13,3,12,7,12,7,12,10,13,8,10,13,6,13,8,9,9,5,6,12,10,8,13,2,3,1,1,2,1,3,1,1,4,2,15,9,14,5,8,8,11,13,13,17,- -  -,
2000147299,Ayukayoh Mengot,M/AM (RL),33%,14,12,7,6,14,14,8,5,13,8,6,11,7,10,6,14,3,8,6,7,6,12,8,12,9,7,12,6,5,7,6,5,10,2,6,11,3,1,2,4,3,3,1,2,3,2,4,10,15,2,9,8,12,12,9,15,12,- -  -,Loa
92099175,Julian Guttau,"M (L), AM (LC)",10%,15,11,11,8,15,11,9,10,13,12,5,8,10,12,15,10,8,11,10,11,10,13,10,15,15,10,11,9,3,12,5,8,15,7,10,12,3,2,1,2,4,2,2,2,2,1,2,11,20,1,8,13,9,11,11,13,16,- -  -,
91177386,Ole Pohlmann,"M (RL), AM (RLC)",11%,14,11,11,11,15,12,9,7,11,7,7,13,10,15,17,15,13,15,9,11,10,10,10,15,11,8,12,10,9,11,6,8,12,6,4,15,1,3,1,1,3,1,3,2,1,4,1,12,11,1,11,7,7,12,14,18,18,- -  -,Loa
2000222549,Lukáš Hájek,M/AM (L),9%,14,14,8,3,12,14,8,4,11,8,7,7,7,12,4,12,1,9,5,6,6,7,8,12,8,5,11,6,5,5,5,3,5,5,5,6,1,1,2,2,3,1,3,4,1,1,1,12,10,4,15,13,6,10,12,12,16,- -  -,
2000025768,Kacper Noworyta,ST (C),10%,11,9,12,17,13,11,9,11,11,8,11,11,5,7,7,7,2,11,3,10,9,10,8,7,6,9,6,8,9,7,3,4,4,5,7,6,1,2,3,2,1,4,3,2,3,2,1,11,8,5,12,12,7,13,11,10,10,- -  -,
2000045277,Kacper Nowicki,M/AM (C),20%,13,9,7,9,12,12,9,5,15,5,7,11,5,11,5,13,9,8,7,7,12,11,3,3,7,10,12,6,6,7,1,4,13,8,7,13,2,1,4,2,4,1,1,3,2,1,3,9,19,2,6,4,8,10,14,8,16,- -  -,
2000193532,Yannick Freischlad,ST (C),20%,13,14,4,7,12,13,9,7,12,12,7,12,7,9,16,9,2,14,1,6,6,8,4,6,11,14,12,3,13,7,1,4,7,7,2,9,2,2,3,3,2,2,1,3,1,3,1,13,10,3,12,4,10,11,9,11,16,- -  -,
96162658,Janusz Nojszewski,M/AM (C),11%,14,14,8,6,17,14,8,5,13,7,5,7,7,13,15,12,1,5,7,8,11,12,6,7,12,11,13,6,6,8,1,4,7,1,4,9,2,2,3,2,1,2,3,4,1,2,2,11,4,7,10,8,9,9,12,9,15,- -  -,
2000216583,Mohammed Marzuq Yahaya,ST (C),100%,11,14,8,8,15,12,9,7,15,6,7,12,7,10,7,12,6,11,6,6,7,8,5,2,13,13,13,6,14,6,6,2,5,7,3,12,3,2,3,2,3,1,1,2,3,2,3,11,9,8,11,2,11,8,11,10,10,- -  -,
2000054232,Lucas Demitra,"AM (R), ST (C)",20%,13,11,8,8,14,14,8,4,5,8,8,8,6,9,10,13,10,13,7,6,8,9,5,8,10,8,11,6,8,8,5,6,12,4,5,14,1,1,1,1,1,1,4,4,2,3,1,11,7,5,9,11,12,11,12,8,20,- -  -,
91179526,Connor Krempicki,M/AM (C),4%,12,10,12,8,10,12,13,13,12,12,13,12,12,13,12,12,6,12,8,12,12,13,7,11,11,9,13,7,7,9,6,10,12,6,9,13,2,1,3,1,1,4,2,3,2,1,2,13,13,2,7,8,9,12,12,8,18,- -  -,
37078347,Mathijs Tielemans,M/AM (C),10%,12,11,12,5,13,13,11,10,8,15,6,12,6,11,12,7,7,13,12,11,8,11,10,7,12,11,12,10,9,10,10,6,15,10,5,10,3,4,3,3,1,3,2,2,3,2,3,12,11,4,6,15,6,12,13,14,15,- -  -,
96116988,Filip Marchwiński,AM (RLC),15%,13,12,11,11,7,11,10,9,13,11,13,9,10,11,10,15,7,12,9,12,12,13,7,10,11,10,11,11,7,9,3,4,12,10,4,12,2,3,1,2,2,3,3,1,2,4,1,11,7,5,10,12,10,9,13,13,13,- -  -,
16282750,Ronny Rikal,AM (RL),8%,12,9,11,12,15,11,7,10,10,10,11,9,9,9,5,7,6,11,12,10,11,9,8,10,11,8,9,8,7,10,9,8,11,4,10,10,1,3,2,4,2,3,3,3,2,3,3,11,8,8,6,6,10,10,12,15,15,- -  -,Inj
2000050580,Filipe de Carvalho Ferreira,M/AM (L),13%,13,15,10,9,14,15,8,7,5,6,9,5,5,11,15,8,3,9,2,9,10,10,6,9,11,10,14,8,9,7,6,8,9,7,9,10,1,3,1,2,3,3,3,3,2,3,2,10,11,4,15,11,7,9,9,14,12,- -  -,
37070385,Thijs van Leeuwen,AM (RLC),14%,12,11,12,7,8,12,11,7,5,14,7,11,10,14,11,12,6,12,5,13,10,14,10,14,13,11,13,9,6,9,6,6,13,5,5,14,2,1,2,3,1,1,3,2,1,4,2,10,10,5,13,3,9,9,14,17,10,- -  -,
2000097325,Lovro Zvonarek,"M (C), AM (RLC)",10%,12,13,11,8,14,12,12,9,12,12,12,12,11,11,13,13,13,13,11,12,14,12,13,10,12,11,14,12,6,12,4,9,13,12,11,13,2,3,1,3,3,2,2,1,2,2,2,16,12,4,7,12,6,16,13,15,12,- -  -,Loa
2000065479,Anton Kade,"M (L), AM (RL)",18%,16,14,10,14,14,15,6,5,6,11,4,9,9,8,15,13,5,11,9,10,11,10,9,11,14,9,13,9,6,11,7,6,12,3,8,14,3,1,2,3,3,1,2,2,3,2,2,11,11,3,15,2,12,12,12,14,15,- -  -,
28120040,Jayden Braaf,"M (L), AM (RL)",28%,15,13,15,6,13,14,11,7,7,8,10,11,8,10,3,14,8,9,4,5,9,12,11,11,14,12,7,12,7,11,4,5,11,6,12,13,1,3,1,4,1,2,3,1,1,3,1,13,10,14,10,8,7,10,11,12,19,- -  -,Loa
96137882,Marcel Wędrychowski,M/AM (RL),4%,12,12,11,8,12,12,13,13,5,10,7,8,9,9,15,12,10,11,6,8,9,11,7,10,11,9,11,9,5,7,5,4,9,5,8,11,1,1,3,3,2,3,2,2,2,1,1,11,10,5,5,8,13,10,10,13,14,- -  -,
2000177067,Evangelos Soferis,"AM (R), ST (C)",33%,10,16,15,4,11,13,13,6,15,6,13,9,4,9,4,14,10,8,5,13,7,12,6,6,10,8,12,6,9,7,1,4,8,5,5,9,1,2,2,3,3,1,2,2,2,3,3,13,10,8,13,7,9,8,9,7,17,- -  -,
2000085970,Jardell Kanga,"M (R), AM (RL), ST (C)",14%,15,15,9,11,15,13,12,9,7,10,6,11,8,8,13,13,3,11,7,8,12,10,5,9,14,11,12,7,6,8,6,5,9,10,6,12,2,1,1,1,2,3,2,3,1,3,2,14,11,2,6,13,4,12,12,7,15,- -  -,
2000197242,Marko Mladenović,M/AM (C),33%,8,12,9,6,9,12,10,6,13,11,12,9,4,14,6,12,12,11,8,8,14,12,6,9,13,11,13,5,7,6,1,4,12,11,5,12,3,1,3,2,3,3,3,1,3,3,3,9,20,1,10,3,9,13,12,13,15,- -  -,
33049957,Fredrik Jensen,"M/AM (LC), ST (C)",3%,11,12,10,10,16,13,14,11,10,12,8,14,10,12,11,13,7,15,9,13,13,16,10,11,11,11,11,10,7,13,6,6,12,10,7,14,3,3,3,3,3,4,1,1,2,3,2,12,11,5,7,12,7,13,15,15,18,- -  -,Inj
96143927,Arkadiusz Pyrka,"M (R), AM (RL)",13%,16,13,8,8,13,15,10,6,9,8,8,8,7,9,14,10,12,9,5,9,7,10,9,8,9,4,9,6,4,2,8,5,8,5,5,10,3,2,1,1,3,1,2,2,1,1,3,12,15,1,10,7,5,10,12,7,10,- -  -,
2000109847,Tomasz Mucha,M/AM (C),17%,13,13,6,6,14,13,13,5,15,7,5,4,4,10,8,10,9,7,6,7,13,8,6,6,8,10,13,6,3,6,1,5,6,3,5,10,3,2,1,2,1,3,1,3,2,1,3,12,19,1,9,7,13,12,8,11,19,- -  -,
16283617,Csaba Bukta,AM (RL),7%,15,12,7,9,13,15,13,10,10,10,10,8,7,7,15,9,7,12,8,13,11,12,7,11,11,5,10,10,6,9,9,11,10,5,9,11,2,2,2,3,3,2,3,1,3,3,2,12,10,4,12,5,6,10,6,12,19,- -  -,
2000174897,Daniel Gorden Raul,ST (C),32%,14,10,9,11,8,12,6,9,6,5,4,9,2,7,5,11,8,14,3,5,7,6,1,4,13,11,12,5,13,5,1,3,5,6,3,9,2,3,2,4,1,3,3,2,3,2,3,11,6,3,6,15,7,8,11,10,16,- -  -,
2000196841,Daniel Raul,ST (C),5%,12,11,5,9,13,12,3,3,12,9,5,12,1,7,10,8,9,13,3,2,3,4,2,2,12,13,11,3,11,4,1,1,4,7,1,7,2,1,2,3,1,1,4,3,2,3,2,12,10,1,13,12,8,11,10,9,13,- -  -,
25061822,David Pech,"AM (RL), ST (C)",14%,14,15,10,9,10,14,14,12,5,7,5,6,7,9,15,12,7,8,5,9,6,9,8,10,12,10,13,7,7,9,7,5,8,10,6,12,3,1,2,2,4,3,1,1,3,1,1,13,9,7,6,10,10,10,13,6,10,- -  -,
37084339,Fedde de Jong,"M (C), AM (RLC)",4%,12,12,12,11,12,13,12,11,9,12,10,12,12,13,15,9,14,13,10,13,12,14,4,5,9,8,12,9,8,12,4,6,12,6,7,13,2,3,1,2,3,2,1,2,1,2,3,12,13,6,5,10,4,13,12,5,18,- -  -,Inj
28116304,Xavier Amaechi,"M (R), AM (RL)",8%,15,14,10,7,15,15,11,7,10,11,7,12,9,7,12,12,6,11,8,11,12,12,10,9,12,9,10,8,6,8,3,4,9,8,5,15,3,3,4,2,2,2,3,1,1,3,1,16,10,10,6,12,11,11,15,9,15,- -  -,
2000037230,Kacper Zaborski,AM (L),14%,14,11,6,7,13,12,5,6,7,6,8,6,7,8,17,13,4,7,7,8,7,9,9,12,11,11,13,7,9,8,3,7,10,1,4,14,1,3,3,4,3,2,3,1,3,1,1,11,12,1,9,13,11,12,12,12,16,- -  -,
2000147358,David Tkáč,M/AM (L),2%,14,12,9,3,13,14,10,1,7,8,9,9,7,13,7,14,11,9,8,9,9,13,8,12,14,9,11,5,5,8,7,6,14,6,8,8,1,3,3,3,3,2,3,1,2,3,1,11,8,8,7,9,5,12,10,10,11,- -  -,
93123140,Mayckel Lahdo,M/AM (RL),11%,16,14,12,9,12,15,12,13,13,12,12,8,9,7,14,15,7,13,8,11,9,11,8,9,13,10,12,8,6,8,5,7,10,9,6,11,1,1,1,2,2,2,1,3,3,2,2,12,9,7,11,12,5,12,9,9,9,- -  -,
93099931,Rami Al Hajj,M/AM (C),13%,13,14,12,12,13,13,13,11,12,14,8,10,10,12,13,14,10,13,7,9,10,11,9,11,12,12,12,10,11,13,7,4,13,10,4,15,1,1,3,4,3,1,1,1,3,2,2,12,10,2,5,9,5,11,11,12,15,- -  -,
2000100724,Jordi Blom,AM (R),3%,13,10,8,2,7,13,7,5,10,6,8,10,8,7,4,10,12,12,8,8,9,9,7,8,12,10,11,7,4,4,4,6,8,1,6,12,1,3,1,3,1,4,2,3,3,3,1,11,10,7,12,9,8,10,10,10,10,- -  -,
37085284,Mees Rijks,"AM (C), ST (C)",12%,10,12,11,12,13,12,7,6,6,13,12,13,8,16,9,11,6,13,6,11,8,12,11,10,12,11,12,13,12,12,4,5,12,7,5,16,2,2,1,3,1,1,2,3,1,3,1,11,11,2,10,11,12,11,12,11,18,- -  -,
2000059430,Jakub Konstantyn,"M (L), AM (RL)",14%,12,11,9,9,11,9,8,6,9,9,3,5,8,9,10,10,13,11,7,8,10,12,8,13,13,8,14,7,5,4,6,4,5,5,8,11,3,2,1,2,1,2,2,4,2,1,1,11,9,2,12,13,10,11,10,18,14,- -  -,
37076180,Zenya Deurloo,AM (L),7%,13,13,8,1,14,14,13,6,6,10,8,6,5,13,11,11,12,9,7,7,8,9,6,8,7,8,13,7,7,7,6,5,9,8,6,9,1,2,1,3,2,4,2,3,2,3,2,10,11,4,11,13,6,10,11,14,16,- -  -,
2000037399,Jakub Gut,AM (C),8%,11,12,8,10,9,10,10,8,5,10,9,14,8,10,9,12,12,8,7,6,11,12,8,8,13,8,10,8,10,9,5,3,9,8,3,12,4,1,1,4,2,1,3,3,1,2,1,9,11,7,10,11,8,10,8,13,16,- -  -,
