UID,Name,Position,Conv %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
28049778,Gavin Massey,WB/M/AM (R),17%,13,12,11,10,11,13,12,11,8,10,9,8,8,11,10,12,7,13,8,12,10,13,7,11,12,11,11,6,8,9,5,7,10,10,7,10,3,3,2,2,2,2,1,2,2,3,2,12,14,6,4,11,16,9,11,12,10,- -  -,
29107387,Otis Khan,"D/WB/M (R), AM (RLC)",17%,12,12,10,7,10,10,11,6,10,9,8,9,8,8,13,13,4,10,7,8,10,9,10,11,11,8,10,13,5,10,2,5,10,10,7,11,3,2,1,1,2,3,2,2,2,4,2,16,11,12,6,11,4,12,8,12,6,- -  -,
29157637,James Brophy,D/WB/M/AM (L),40%,15,15,7,8,14,13,11,7,4,8,10,10,7,7,10,6,7,8,8,11,7,13,7,8,12,7,10,6,5,8,9,8,9,10,8,9,2,2,3,3,3,1,1,3,3,3,3,11,12,1,7,10,10,10,5,14,17,- -  -,Wnt
28106233,Luke McCormick,"DM, M/AM (C)",10%,11,11,10,8,13,11,11,9,14,11,13,12,11,11,15,12,15,12,10,13,12,13,12,10,8,10,11,13,7,11,5,10,10,12,11,13,1,3,3,2,2,3,1,2,1,2,1,13,11,4,11,12,11,14,12,15,13,- -  -,Unh
28086658,Paul Lewis,M/AM (C),25%,10,10,10,10,13,10,12,10,12,10,12,12,10,8,12,12,10,12,10,10,13,10,10,10,10,13,10,10,10,13,8,10,13,9,10,10,2,3,1,1,3,2,3,3,3,2,2,7,13,3,10,10,8,10,12,11,12,- -  -,
28048721,Daniel Johnson,M/AM (C),7%,13,14,12,7,13,11,13,9,10,13,8,16,10,10,11,13,12,13,9,12,15,11,9,11,12,12,16,13,5,12,6,7,16,17,10,14,1,3,1,1,3,1,2,2,1,1,3,13,12,7,7,13,10,12,11,10,8,- -  -,Inj
28101722,Ovie Ejaria,"M (C), AM (LC)",17%,13,16,16,11,10,11,11,9,5,10,8,15,8,7,9,18,6,11,6,8,11,9,9,11,16,12,15,11,9,12,5,7,14,10,8,14,3,1,1,2,1,3,1,1,1,2,2,9,10,15,5,11,12,8,14,9,16,- -  -,Wnt
28094949,Harry Wilson,AM (RLC),5%,14,14,14,6,13,14,13,8,11,12,9,15,9,14,15,14,12,14,7,12,14,13,14,15,15,14,14,16,5,14,3,6,14,15,7,15,2,3,2,2,2,1,3,2,1,2,1,14,12,8,5,12,9,14,10,9,13,- -  -,
29055655,Sean McConville,"WB/M (RL), AM (RLC), ST (C)",9%,9,8,9,9,9,10,8,9,12,10,8,11,10,11,13,14,13,10,9,11,11,9,13,12,11,13,11,14,8,9,6,5,11,7,7,10,3,4,1,3,1,1,1,2,3,4,2,11,11,8,10,11,11,12,7,14,4,- -  -,Wnt
28111345,Connor Malley,"DM, M (C), AM (RC), ST (C)",18%,9,12,9,7,11,10,12,9,6,11,10,10,9,11,8,10,10,8,6,9,13,8,7,10,11,9,11,10,5,10,4,6,12,7,8,13,2,2,3,4,1,2,1,2,1,1,2,11,9,5,5,8,4,13,11,10,12,- -  -,
29235857,Cian Hayes,M/AM (RL),4%,12,13,12,7,12,11,11,8,8,8,9,9,12,11,8,10,7,10,9,14,12,16,8,13,13,9,9,7,7,8,2,3,12,8,7,12,2,4,2,4,4,3,3,1,3,2,1,10,9,7,4,8,6,9,11,10,12,- -  -,
28058626,Jamar Loza,AM (RL),17%,13,13,8,9,12,13,9,9,15,8,10,7,6,7,10,8,9,10,7,9,9,6,2,8,11,10,9,6,6,8,4,7,10,9,7,11,2,1,2,2,1,3,4,1,1,2,3,11,7,9,10,6,4,10,6,11,4,- -  -,Lst
29121437,Philip Billing,"DM, M/AM (C)",20%,12,14,13,15,16,13,15,15,13,12,13,13,11,13,13,10,8,12,11,12,11,14,6,10,12,12,13,7,8,12,17,10,14,12,11,13,3,2,2,3,1,3,2,2,2,2,2,13,13,12,6,12,7,10,9,14,12,- -  -,Set
28090966,Wes McDonald,"M (RL), AM (RLC)",9%,14,10,10,8,12,12,11,11,7,9,8,10,9,5,12,15,6,9,8,8,10,7,8,10,12,10,10,9,7,9,8,7,10,9,7,10,1,2,1,3,3,3,1,3,2,3,3,14,5,2,5,8,5,13,12,9,13,- -  -,Wnt
4002123,Shaun Whalley,"M (R), AM (RC)",5%,10,9,10,7,12,10,8,8,10,10,9,12,12,11,12,11,8,11,9,12,12,11,9,12,11,11,11,10,6,12,5,8,11,11,5,12,1,3,2,4,1,1,1,2,2,3,2,6,11,8,9,12,13,16,11,13,12,- -  -,Lst
29143049,Sam Austin,"WB (R), M/AM (RLC)",33%,12,12,7,7,14,12,10,6,3,5,7,10,8,8,13,8,12,9,8,13,7,13,5,10,9,10,9,4,5,10,2,6,7,3,5,9,2,1,3,2,3,2,1,2,2,2,1,12,17,3,2,5,2,18,15,13,12,- -  -,
29156656,Ben Tollitt,"M (RLC), AM (RL)",36%,13,12,10,9,10,12,10,10,7,9,7,10,8,8,12,13,6,9,4,6,9,10,9,10,12,9,9,6,4,9,3,2,9,7,2,7,1,1,2,4,1,2,2,4,1,1,2,9,12,7,4,10,6,12,11,8,12,- -  -,Wnt
28101729,Adam Phillips,"DM, M/AM (C)",17%,12,11,11,10,11,11,9,11,11,9,8,13,10,10,12,14,10,12,7,11,13,11,11,12,11,11,12,13,6,13,2,7,12,15,9,13,3,3,3,2,1,1,2,1,2,1,1,11,9,4,5,10,13,13,11,10,13,- -  -,
29038690,Jamie Paterson,M/AM (RLC),22%,12,15,14,7,10,11,9,5,9,13,7,13,8,10,8,15,10,14,8,13,13,10,8,13,13,12,13,11,5,11,4,5,13,11,6,14,3,3,3,2,2,1,4,2,1,3,2,14,11,14,6,14,12,10,11,15,12,- -  -,
29179717,Pedro Neto,"M (RL), AM (RLC), ST (C)",4%,17,14,12,7,14,16,12,7,9,10,9,12,10,12,15,16,8,13,7,11,11,10,13,13,17,13,13,11,7,12,3,5,13,8,3,14,1,2,1,4,2,3,1,2,4,1,2,15,14,8,11,12,4,15,16,17,15,- -  -,Set
29139360,Reeco Hackett,"WB (L), M (R), AM (RL), ST (C)",14%,13,14,8,14,8,13,14,13,12,9,8,9,6,8,12,8,4,9,9,9,9,11,2,9,10,8,9,11,11,9,3,5,8,12,7,9,3,2,1,2,3,2,3,2,1,2,2,10,9,5,7,7,11,12,10,14,9,- -  -,Wnt
28107484,Diallang Jaiyesimi,AM (RLC),19%,13,14,9,9,14,14,11,10,9,9,10,9,8,10,13,14,4,10,7,10,10,11,6,8,13,8,11,7,8,10,3,9,10,11,8,12,3,1,2,1,1,1,2,1,2,3,1,10,11,2,3,7,1,9,8,11,12,- -  -,Wnt
28084779,Sheyi Ojo,"M (RL), AM (RLC)",15%,16,13,12,10,9,15,12,11,9,11,10,11,10,10,7,13,4,14,9,10,12,6,7,12,13,11,12,7,6,11,2,8,11,8,8,14,3,1,3,4,2,4,3,1,3,1,2,12,11,5,3,11,7,12,12,11,12,- -  -,
29084030,Duane Holmes,"M (RC), AM (RLC)",24%,13,14,13,7,13,13,12,8,11,12,9,10,10,9,10,12,7,12,9,12,13,13,9,10,12,9,11,8,6,11,13,7,12,9,10,12,3,3,1,2,3,2,2,4,1,1,2,15,12,3,6,13,13,12,14,15,12,- -  -,
28000906,Tom Cleverley,"M (C), AM (LC)",7%,11,14,10,7,17,11,15,6,14,12,13,14,15,11,18,8,15,13,10,16,12,16,13,13,9,10,13,13,6,12,9,9,13,8,12,13,3,1,2,1,4,1,3,1,3,2,2,13,13,2,10,10,13,18,15,17,14,- -  -,Lst
5008069,Scott Sinclair,"M (L), AM (RLC), ST (C)",3%,11,11,11,7,15,10,7,6,9,13,9,13,8,10,10,13,8,13,6,10,11,9,13,11,12,14,12,12,7,11,5,3,10,15,4,12,3,1,3,3,1,2,3,2,2,1,1,11,12,10,6,12,9,12,15,11,14,- -  -,Wnt
28127526,Rio Campbell,"M (RL), AM (RLC), ST (C)",15%,14,12,11,6,13,11,6,6,8,7,4,7,6,6,9,12,10,6,4,7,6,8,7,10,12,6,9,6,6,9,6,6,5,1,7,9,2,1,1,1,1,1,1,1,3,2,3,12,8,2,10,9,13,13,14,12,15,- -  -,Inj
28108498,Luke Bolton,"WB/M/AM (R), ST (C)",23%,15,12,7,8,12,14,12,12,9,8,12,7,8,9,11,12,6,7,8,14,8,14,8,7,10,8,10,8,7,8,7,8,9,9,9,11,1,3,2,3,1,2,1,1,3,3,3,13,10,7,6,7,8,11,13,16,8,- -  -,Wnt
29146090,Carlton Ubaezuonu,M/AM (L),20%,13,10,10,11,10,13,9,10,9,6,10,8,4,7,14,13,2,5,5,8,7,7,3,8,11,6,8,2,9,6,4,5,7,4,5,9,2,1,1,3,4,2,2,1,2,1,3,12,8,11,7,8,12,16,14,7,15,- -  -,
29191145,Jack Rudoni,M/AM (RLC),7%,12,13,11,11,10,11,14,8,11,10,11,14,11,11,16,14,7,15,9,13,11,15,11,10,13,11,12,9,11,8,3,8,13,11,12,14,3,2,2,3,2,3,3,3,1,2,1,15,11,5,8,12,7,16,12,14,10,- -  -,
