,UID,Name,Position,Tck R,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,18089311.0,Jonas Vinck,"D (RC), WB (R)",74.0,14.0,11.0,9.0,8.0,16.0,13.0,12.0,10.0,11.0,12.0,14.0,10.0,12.0,11.0,15.0,5.0,15.0,11.0,8.0,14.0,8.0,14.0,11.0,12.0,10.0,8.0,10.0,9.0,7.0,8.0,10.0,12.0,10.0,6.0,10.0,9.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,14.0,12.0,3.0,5.0,14.0,6.0,10.0,13.0,17.0,17.0
1,98017542.0,Naser Aliji,D/WB/M/AM (L),55.0,12.0,13.0,10.0,10.0,13.0,12.0,11.0,9.0,13.0,9.0,13.0,12.0,9.0,11.0,12.0,13.0,8.0,13.0,10.0,14.0,13.0,10.0,10.0,11.0,10.0,10.0,13.0,12.0,8.0,12.0,12.0,10.0,12.0,9.0,11.0,13.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,15.0,11.0,8.0,10.0,12.0,10.0,13.0,12.0,14.0,9.0
2,22012980.0,Radoslav Dimitrov,D (R),54.0,12.0,11.0,10.0,10.0,12.0,12.0,11.0,10.0,14.0,12.0,14.0,13.0,13.0,12.0,14.0,12.0,11.0,12.0,12.0,12.0,11.0,14.0,11.0,13.0,10.0,8.0,12.0,10.0,11.0,9.0,11.0,13.0,12.0,10.0,12.0,11.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,13.0,14.0,14.0,10.0,12.0,5.0,12.0,11.0,15.0,7.0
3,5317128.0,Denys Kulakov,D/WB (R),87.0,13.0,11.0,11.0,10.0,17.0,14.0,12.0,9.0,13.0,13.0,10.0,10.0,11.0,11.0,12.0,8.0,6.0,10.0,10.0,10.0,10.0,13.0,13.0,12.0,5.0,7.0,11.0,5.0,12.0,7.0,8.0,13.0,11.0,10.0,13.0,12.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,13.0,16.0,11.0,6.0,7.0,6.0,12.0,11.0,13.0,12.0
4,85074543.0,Damien Dussaut,D (R),66.0,12.0,12.0,12.0,10.0,12.0,12.0,13.0,12.0,11.0,10.0,9.0,12.0,11.0,11.0,13.0,12.0,9.0,11.0,12.0,13.0,12.0,13.0,11.0,12.0,11.0,8.0,12.0,8.0,10.0,8.0,12.0,11.0,12.0,6.0,12.0,12.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,16.0,13.0,4.0,7.0,13.0,6.0,11.0,14.0,15.0,11.0
5,19108533.0,Junior Morais,D (RL),69.0,9.0,11.0,11.0,9.0,13.0,12.0,9.0,8.0,10.0,13.0,11.0,12.0,11.0,12.0,12.0,12.0,7.0,12.0,11.0,16.0,13.0,14.0,13.0,15.0,9.0,10.0,14.0,8.0,6.0,14.0,12.0,12.0,13.0,12.0,14.0,14.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,11.0,15.0,8.0,8.0,15.0,7.0,13.0,10.0,13.0,11.0
6,71096232.0,Anton Krivotsyuk,"D (LC), WB (L)",80.0,10.0,11.0,10.0,13.0,10.0,11.0,11.0,13.0,12.0,12.0,8.0,12.0,11.0,12.0,16.0,9.0,12.0,10.0,12.0,11.0,11.0,12.0,4.0,8.0,8.0,7.0,10.0,8.0,12.0,9.0,11.0,12.0,10.0,10.0,13.0,7.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,10.0,9.0,7.0,13.0,11.0,10.0,12.0,10.0,12.0,19.0
7,12056232.0,Oussama Haddadi,"D (LC), WB (L)",74.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,13.0,10.0,11.0,12.0,12.0,9.0,13.0,12.0,13.0,10.0,12.0,12.0,8.0,11.0,10.0,8.0,9.0,13.0,10.0,11.0,10.0,11.0,12.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,12.0,14.0,6.0,9.0,12.0,7.0,12.0,5.0,13.0,16.0
8,66000842.0,Choi Chul-Soon,"D (RLC), WB (R), DM",83.0,11.0,10.0,10.0,9.0,15.0,11.0,9.0,10.0,12.0,12.0,13.0,9.0,15.0,11.0,5.0,4.0,13.0,8.0,13.0,12.0,10.0,14.0,7.0,11.0,8.0,5.0,10.0,7.0,7.0,3.0,11.0,14.0,13.0,9.0,15.0,8.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,11.0,9.0,1.0,6.0,14.0,8.0,13.0,11.0,13.0,10.0
9,8058701.0,Fedor Kudryashov,D (LC),73.0,10.0,9.0,13.0,10.0,16.0,9.0,11.0,11.0,12.0,13.0,13.0,12.0,12.0,11.0,12.0,8.0,10.0,10.0,14.0,14.0,9.0,15.0,8.0,10.0,8.0,6.0,10.0,6.0,12.0,7.0,11.0,12.0,11.0,5.0,12.0,11.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,14.0,14.0,4.0,13.0,11.0,10.0,14.0,10.0,14.0,7.0
