,Name,Position,projected_rating
38,Jamie Proctor,ST (C),6.9912165355504765
32,Aaron Drinan,"AM (RL), ST (C)",6.914426960725146
1,Bartosz Cybulski,ST (C),6.805957726985636
22,Billy Chadwick,"M (C), AM (RLC), ST (C)",6.798845233622631
6,Ben Morris,"AM (RL), ST (C)",6.659650264532373
66,Omar Bugiel,ST (C),6.630487720629553
30,Ethan Freemantle,"AM (R), ST (C)",6.626080784715676
18,Jack Marriott,ST (C),6.6040773292813775
28,Brad Young,ST (C),6.567918741548535
12,Saikou Janneh,"AM (RL), ST (C)",6.547741502446039
4,Kyle Wootton,ST (C),6.532950884852067
2,Ryan Loft,ST (C),6.531430312968222
9,Jack Stretton,"AM (RL), ST (C)",6.50538828679836
23,Kieran Phillips,"AM (RLC), ST (C)",6.423555864514553
37,Sodiq Sanusi,ST (C),6.336081156844076
33,Charley Kendall,ST (C),6.285210740974776
20,Luke Charman,ST (C),6.21552195924944
7,Isaac Olaofe,"M/AM (RL), ST (C)",6.192118304582994
39,George Lloyd,ST (C),6.18405643560288
15,Luke Plange,"AM (RL), ST (C)",6.159182122498792
11,Kabongo Tshimanga,ST (C),6.1284354326326405
17,Will Harris,"AM (RLC), ST (C)",6.115156298340114
14,Aaron Collins,"AM (RLC), ST (C)",6.101142907843861
3,Jake Scrimshaw,"AM (RLC), ST (C)",6.086754486859637
55,Kylian Kouassi,ST (C),6.005908455730341
10,Rob Harker,ST (C),5.968309406746891
196,Steve Jones,"AM (C), ST (C)",5.965189876015989
29,David Oliver,"AM (R), ST (C)",5.950127301542059
205,Dave Hughes,"M (C), ST (C)",5.941562655685986
8,Danai Jeff,"M (C), ST (C)",5.892376586883036
34,Aaron Cosgrave,"AM (RL), ST (C)",5.862116313951832
63,Paul Grant,"M (C), ST (C)",5.834203578557275
0,Armstrong Oko-Flex,"M/AM (RL), ST (C)",5.773937051118495
19,D'Mani Mellor,"AM (RL), ST (C)",5.767069411665028
53,Michael Cheek,ST (C),5.722989214626798
71,Junior Dixon,ST (C),5.688757115580881
171,Ahmed Touré,"M (C), AM (LC), ST (C)",5.676711183087878
172,Ali Donnellan,"M/AM (C), ST (C)",5.653904003003588
26,Glen Sani,"AM (R), ST (C)",5.586001688523958
13,Graham Hill,"AM (RLC), ST (C)",5.577194920027234
49,Kemar Breese,"AM (C), ST (C)",5.5608434770708985
51,Matt Warburton,"M (RC), AM (RLC), ST (C)",5.547880580289341
27,Daniel O'Reilly,"AM (LC), ST (C)",5.507936606094792
25,Ole Dag Kosberg,"AM (RLC), ST (C)",5.503475628046659
192,Dannie Blair,"AM (C), ST (C)",5.48434732459394
178,Emmanuel Ross,"AM (RC), ST (C)",5.480583902248827
47,Bobby Pointon,"M (R), AM (RC), ST (C)",5.474193804038475
46,Marek Seman,"AM (R), ST (C)",5.450732928851478
59,Choz Norcross,"AM (RLC), ST (C)",5.417061301247142
201,Shavon Edwards,"AM (RC), ST (C)",5.40765670393214
5,Aidan Tallon,ST (C),5.402376481121404
58,Kostas Georgiou,"M (L), AM (RLC), ST (C)",5.389530850689532
173,Jerome Ealy,"AM (RC), ST (C)",5.3197875876151945
44,Glynn Woodward,"M/AM (R), ST (C)",5.283938385727668
54,Finnlay Maddra,"AM (RC), ST (C)",5.27604952414793
40,Adam Campbell,"AM (RLC), ST (C)",5.269855592726355
52,Cosmos Whittamore,"AM (RC), ST (C)",5.228292323294134
45,Ethan Wheatley,ST (C),5.160827881392695
65,Cameron Kelly,"AM (LC), ST (C)",5.147664686058315
48,Luis Lawson,"AM (RL), ST (C)",5.122116568455396
36,Alex Fletcher,"AM (RL), ST (C)",5.121660586860857
194,Ross Brunt,"AM (R), ST (C)",5.073157281129487
212,Bryan O'Neill,"AM (RC), ST (C)",5.06207412447122
24,Adam Redmond,"AM (RLC), ST (C)",4.973941611924142
60,Neil Starkey,"M/AM (R), ST (C)",4.960398632671482
42,Ralph Nkomba,"AM (RL), ST (C)",4.95178853248323
56,Max Wright,"AM (RL), ST (C)",4.937560085360378
80,Bernard Batte,"M (RC), AM (C), ST (C)",4.901699990685239
21,Peng Chao,"M (C), AM (R), ST (C)",4.896485301168921
35,Edward Yamoah,"AM (RLC), ST (C)",4.889287295736475
31,Corie Andrews,"AM (RL), ST (C)",4.843943316381225
16,Jacob Hamilton,"D (R), AM (RL), ST (C)",4.789452822980859
180,Simon Shuttleworth,ST (C),4.781539543826222
186,Ant Farley,ST (C),4.7239620834501626
41,Kai Garratt,ST (C),4.720482297822317
209,Ian Bennett,"AM (RC), ST (C)",4.705006930144684
73,Joe Allen,"AM (RC), ST (C)",4.690144234780921
199,Jesse Kersh,"AM (LC), ST (C)",4.626889014122673
168,George Wendo,"M/AM (C), ST (C)",4.621030206479696
208,Vince Evans,"M (C), AM (R), ST (C)",4.60234258872212
79,Wally South,"M (C), AM (RC), ST (C)",4.596536396000338
69,Ryan Owens,"AM (RL), ST (C)",4.544136824485689
67,Josh Phillips,ST (C),4.508913257956275
190,Freddie Davidson,ST (C),4.483148917408889
175,Jack Sarahs,"AM (C), ST (C)",4.480930018970873
70,Charlie Burden-Whittleton,ST (C),4.470460263244551
78,Chris Massey,"AM (RL), ST (C)",4.467755370020338
61,William Uchenna,ST (C),4.417279329332361
206,Andy Knight,"AM (L), ST (C)",4.400055976261527
189,Math Jones,ST (C),4.399753433433526
43,Nacho Torrella,"M (C), AM (RC), ST (C)",4.3934396351206955
204,David Knowles,"AM (R), ST (C)",4.368168349862813
68,Mark McKinley,"M (R), AM (RLC), ST (C)",4.358393654640883
57,Deale Asplin-Rowley,"M (R), AM (RLC), ST (C)",4.325842104961339
184,Ryan Gray,"AM (C), ST (C)",4.2686217441790095
75,Jack Thomas,"AM (RL), ST (C)",4.226475734235577
215,Rickie Cottam,"AM (RL), ST (C)",4.220792380904746
