UID,Name,Position,Drb/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
31040645,Armstrong Oko-Flex,"M/AM (RL), ST (C)",2.86,14,12,13,14,10,14,10,4,13,10,8,8,7,10,5,11,7,12,6,8,8,9,5,8,12,11,12,7,5,7,7,6,8,4,6,10,1,3,2,1,2,3,3,2,1,2,1,- -  -,Wnt
29233078,Bartosz Cybulski,ST (C),0.97,10,10,11,17,14,13,15,13,7,13,11,14,9,11,9,12,9,14,7,13,8,12,2,9,10,11,10,5,14,8,4,6,9,9,6,10,3,1,1,3,1,3,1,1,1,2,2,- -  -,Wnt
28100764,Ryan Loft,ST (C),0.56,12,12,11,15,11,10,13,13,7,11,14,10,9,12,14,7,8,9,7,13,9,13,5,7,9,12,12,8,12,7,2,8,8,12,8,11,1,3,3,2,2,3,2,1,3,2,3,- -  -,Wnt
2002095644,Paul Duffin,"M/AM (RC), ST (C)",1.74,10,8,10,10,8,13,12,10,15,11,9,11,5,7,14,13,13,9,5,14,9,12,6,7,11,10,10,8,8,3,2,6,12,7,8,15,2,2,3,1,3,1,3,3,1,3,2,- -  -,
28116646,Jake Scrimshaw,"AM (RLC), ST (C)",1.89,12,10,11,7,13,13,16,12,14,13,10,11,12,12,14,6,8,11,9,12,8,15,2,5,9,11,9,3,10,9,3,4,9,12,3,11,2,1,2,4,3,2,1,3,3,3,3,- -  -,Wnt
29127946,Kyle Wootton,ST (C),0.44,11,9,12,15,12,11,11,15,10,12,12,13,10,10,10,7,5,13,5,12,9,13,3,6,7,12,11,4,13,8,3,5,10,11,4,11,3,3,1,2,1,1,2,2,3,1,2,- -  -,Wnt
2002081487,Stephen Gold,"AM (C), ST (C)",-,7,9,14,12,11,8,9,9,5,12,3,8,2,10,4,12,14,12,1,7,9,5,8,4,7,9,13,11,6,7,2,1,9,5,2,11,3,1,3,3,3,1,2,3,3,2,2,- -  -,
2000022070,Quaine Bartley,ST (C),-,8,7,11,15,15,8,11,16,14,11,13,12,9,9,13,11,8,11,8,13,7,13,8,6,7,10,10,9,9,7,7,6,7,8,6,12,3,3,2,2,1,1,1,1,3,3,4,- -  -,
2002095500,Aidan Tallon,ST (C),-,12,10,14,14,12,10,10,12,8,6,5,11,4,7,14,12,8,11,1,7,6,11,3,5,8,15,9,6,10,7,4,1,8,7,1,12,3,2,2,3,1,3,1,3,1,2,2,- -  -,Loa
2000140751,Lewis Trickett,"M (L), AM (RL), ST (C)",-,14,12,9,15,12,11,7,5,6,8,5,12,3,8,13,13,7,7,5,6,8,7,4,7,11,8,12,7,7,7,1,4,6,1,1,9,2,3,4,3,1,1,3,4,1,2,1,- -  -,
