UID,Name,Position,Drb/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29106073,Patrick Brough,"D (LC), WB (L)",1.51,11,9,9,13,15,11,14,10,11,12,10,10,11,11,12,8,4,11,11,14,8,15,9,11,8,8,8,7,11,8,7,10,8,6,11,8,1,1,1,2,2,3,3,3,1,3,1,- -  -,Trn
43049523,Gaetano Letizia,D/WB (RL),1.33,11,10,10,9,16,11,9,8,14,13,12,12,12,13,15,8,12,14,12,12,15,12,6,16,10,12,14,8,11,8,11,11,12,6,12,13,3,2,1,3,3,2,3,1,1,3,3,- -  -,
2002094874,Stuart Connor,"M (RC), AM (R)",2.27,14,14,17,4,13,12,11,9,18,10,7,9,7,10,10,11,13,9,6,11,9,13,6,11,13,8,11,10,5,9,6,6,10,8,6,15,2,1,1,1,1,3,3,2,2,2,1,- -  -,
28103233,Brandon Barzey,"WB (R), M (RC), AM (R)",1.40,12,12,12,6,6,11,8,8,10,5,8,8,5,7,12,7,6,7,4,11,4,11,6,7,10,7,9,5,5,4,8,4,7,1,4,10,3,1,3,1,2,1,2,4,3,2,1,- -  -,
29164662,Justin Amaluzor,"M/AM (RL), ST (C)",3.53,14,13,10,11,12,13,10,12,10,7,12,8,7,5,13,10,5,8,4,7,8,8,6,9,11,7,7,5,6,4,5,5,7,6,5,8,3,2,1,2,3,1,2,2,3,1,3,- -  -,
45095522,Sei Muroya,"D (RL), WB (R)",1.38,13,12,11,6,15,16,13,9,13,12,13,12,12,12,13,12,6,12,12,12,10,13,3,11,11,8,11,3,5,7,15,10,12,5,11,13,2,1,1,2,2,4,2,3,1,1,2,- -  -,
98038279,Silvan Hefti,"D (RC), WB (R)",3.10,14,14,15,12,15,13,16,13,12,13,14,14,14,13,12,8,10,12,14,14,11,15,6,12,10,8,11,7,11,11,11,12,13,7,14,13,1,3,3,2,3,1,1,1,3,1,2,- -  -,
28047503,Frederic Veseli,D (RLC),2.26,10,8,13,13,15,11,14,10,13,12,13,12,12,12,12,10,12,7,13,15,7,15,6,5,6,6,10,7,13,6,8,13,10,7,12,9,3,3,2,2,3,2,1,1,4,2,4,- -  -,
28127358,Kai Corbett,"M (R), AM (RL)",3.13,12,12,10,8,10,13,10,7,6,9,5,11,8,10,13,15,3,9,5,9,11,8,12,11,12,10,9,13,4,8,1,5,9,14,4,12,2,1,1,3,1,2,2,3,1,1,2,- -  -,
28086122,Jack Stacey,"D (RL), WB (R)",2.63,15,14,11,11,18,15,17,12,8,12,11,12,12,13,14,10,9,12,12,12,11,15,11,11,12,9,12,8,7,11,8,12,10,10,13,11,1,3,2,1,3,3,3,1,3,1,2,- -  -,Wnt
2002080846,Tom Howard,D/WB/M (L),1.07,16,17,12,9,15,16,17,13,13,13,7,9,13,15,20,11,5,12,9,14,10,15,2,11,9,5,11,2,8,5,5,10,10,7,13,15,2,2,4,1,2,3,3,2,2,2,3,- -  -,Inj
29218346,Dillon De Silva,M/AM (RL),2.65,13,12,8,1,10,12,5,5,15,7,5,12,4,9,2,11,3,5,4,7,9,9,6,9,11,5,9,4,4,4,4,3,5,3,3,10,4,1,3,1,2,3,1,1,2,3,3,- -  -,
70097785,Barış Alıcı,"M (R), AM (RL)",2.07,15,15,10,10,12,15,11,9,6,12,7,10,8,12,12,14,7,12,7,10,9,12,7,10,13,12,12,7,7,6,4,4,12,8,4,12,3,3,3,3,1,2,2,3,2,2,1,- -  -,
29190715,Josh Neufville,"M/AM (R), ST (C)",2.51,13,12,12,12,11,12,10,10,7,9,11,10,10,9,13,12,7,10,5,9,10,11,10,8,11,10,10,7,7,10,5,5,9,8,6,11,1,4,1,3,3,3,3,1,1,1,3,- -  -,
29169658,Steven Sessegnon,"D (RLC), WB (R)",2.46,15,15,8,8,16,14,15,9,8,10,8,13,12,11,13,12,10,9,12,12,12,13,12,10,12,8,11,9,10,7,11,10,11,11,12,13,1,3,2,3,3,4,3,3,3,1,1,- -  -,
55061470,Nélson Semedo,D/WB/M (R),2.87,16,16,14,7,16,14,13,12,13,14,14,10,12,11,15,14,6,15,12,14,12,15,7,12,13,8,15,7,6,9,10,10,12,8,13,15,3,3,1,2,3,1,2,3,2,2,1,- -  -,Trn
53161610,Marcus Holmgren Pedersen,"D/WB (RL), AM (R)",3.54,17,15,9,12,16,17,15,9,14,13,14,10,11,11,15,13,8,11,13,14,11,14,10,14,12,8,12,10,8,9,11,12,13,7,13,14,1,1,1,3,3,2,1,3,2,4,1,- -  -,
91119808,Christopher Lenz,D/WB/M (L),1.35,13,12,12,12,15,12,16,12,13,13,14,13,15,13,12,11,12,11,13,16,11,14,9,12,11,6,13,9,11,9,11,13,13,9,13,13,1,1,2,3,2,3,3,3,2,3,3,- -  -,
2000141093,Joe Nyahwema,M/AM (RL),2.40,11,11,8,3,9,13,8,6,9,8,7,6,2,7,10,12,8,9,2,5,5,7,5,11,8,4,7,2,4,3,2,2,8,1,3,8,3,3,3,3,2,3,3,4,2,1,1,- -  -,Inj
13183907,Wajdi Kechrida,"D/WB (R), DM, M (C)",2.21,14,12,13,9,14,14,13,10,10,13,11,12,14,10,14,11,10,11,12,13,10,13,11,11,11,5,12,6,6,4,5,12,13,8,11,12,2,4,2,3,2,1,2,2,2,1,3,- -  -,
28028952,Andy Yiadom,"D (RLC), WB (RL), DM",3.41,11,7,9,10,16,8,11,10,16,12,17,12,13,10,15,11,16,11,12,14,9,15,8,10,9,9,12,7,12,7,9,13,11,5,15,11,1,1,2,3,2,2,1,1,1,3,1,- -  -,
43161628,Fabio Depaoli,D/WB/M/AM (R),1.96,13,15,13,5,14,14,14,10,14,12,10,10,15,12,15,13,10,11,12,12,11,14,9,13,9,6,12,7,8,9,13,10,12,8,12,13,1,1,1,3,1,3,2,2,1,3,3,- -  -,
2002082640,Tishan Francis,D/WB/M/AM (R),2.88,14,14,10,10,11,14,15,11,13,10,17,4,8,14,14,11,8,11,7,16,9,13,6,10,12,3,12,9,8,4,1,5,10,3,10,14,1,2,4,2,2,3,1,2,3,2,4,- -  -,
29177374,Alfie Doughty,"D/WB (L), M (RLC), AM (RL)",2.05,15,14,12,13,12,14,14,10,7,11,11,11,9,10,15,11,7,11,8,12,10,12,8,12,13,9,11,6,7,7,5,6,10,5,8,10,2,2,2,1,2,3,1,2,2,3,2,- -  -,
