UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
93064996,Hugo Andersson,D (C),89%,8,7,12,17,11,11,12,15,12,12,13,12,13,12,13,5,11,8,13,12,10,13,6,8,9,8,11,10,15,6,8,13,12,6,12,9,1,2,1,2,1,2,1,3,3,2,1,- -  -,
33002162,Paulus Arajuuri,D (C),83%,7,5,13,16,12,7,11,15,15,11,15,10,11,12,11,8,12,7,14,15,7,13,4,7,7,6,8,3,13,3,5,15,11,8,14,9,3,1,3,3,3,3,1,1,1,1,3,- -  -,
27132241,Anders Bærtelsen,D (C),96%,12,12,12,15,13,11,13,14,13,12,10,11,12,10,12,7,13,7,13,11,12,12,6,6,6,5,11,7,12,10,9,13,12,8,12,10,1,2,3,3,2,4,1,4,2,2,1,- -  -,Inj
93026368,Alexander Blomqvist,D (C),88%,11,8,13,12,13,12,12,13,13,12,12,11,12,12,13,6,11,6,12,11,9,11,5,9,5,4,8,7,12,5,13,12,10,9,12,9,3,2,1,3,2,2,2,2,4,3,4,- -  -,
2000066187,Dánjal Danielsen,D (C),83%,9,6,7,15,9,7,7,10,9,10,8,7,7,8,8,6,9,5,7,10,5,8,3,4,5,7,6,3,12,4,5,8,6,6,7,6,1,3,1,2,1,4,2,1,1,2,1,- -  -,Yth
85046304,Bradley Diallo,D (C),89%,9,11,12,11,15,10,10,12,12,11,12,10,12,12,12,10,6,8,10,11,8,13,8,11,10,7,10,8,12,10,12,12,11,9,11,10,2,4,3,2,1,3,2,1,1,1,2,- -  -,
12078292,Djibril Diop,D (C),88%,11,11,13,15,12,12,9,14,13,10,14,10,11,11,12,5,7,10,11,10,10,11,4,5,7,8,11,5,13,6,6,12,12,6,11,11,1,2,3,1,1,1,3,2,2,3,2,- -  -,
2000126877,Aksel Emil Halsgaard,D (C),83%,10,12,8,12,10,12,8,11,10,14,9,11,12,14,17,5,4,2,12,6,4,7,2,2,2,6,7,2,13,3,2,13,10,6,13,6,1,3,1,3,1,3,2,2,1,1,2,- -  -,Inj
93126016,Victor Eriksson,D (C),90%,10,7,15,16,11,13,12,15,8,12,14,8,12,11,12,4,11,5,13,11,8,11,6,7,5,5,10,7,13,6,9,13,10,6,12,10,2,1,2,2,2,3,2,4,3,2,3,- -  -,
68005895,David Fällman,D (C),85%,10,6,13,15,10,12,15,13,14,13,17,11,13,12,14,8,15,10,14,13,11,12,8,11,6,7,9,6,13,7,9,13,12,7,13,9,4,2,1,3,2,1,2,2,1,1,2,- -  -,
27109879,Joel Felix,D (C),88%,12,12,13,15,12,12,13,14,14,12,13,12,12,12,11,8,9,11,11,13,11,12,6,7,7,7,10,6,12,6,8,13,12,8,12,11,2,3,1,3,2,2,3,2,1,2,4,- -  -,
