UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000173292,Aneury Abreu,D (C),69%,7,11,4,10,10,10,8,5,10,8,5,1,9,12,15,5,7,1,10,2,1,4,1,1,1,1,3,1,6,1,1,5,3,1,8,2,1,2,2,3,3,3,2,3,1,2,3,- -  -,
2000164212,Gawain Austin,D (C),80%,11,7,10,14,13,10,6,9,11,7,1,9,12,11,7,5,10,9,12,8,5,9,5,5,4,4,9,1,11,6,5,10,9,2,15,8,1,3,3,4,3,1,4,2,3,1,2,- -  -,
2000186717,Hakim Baird,D (C),80%,10,10,8,12,12,9,10,7,13,6,8,10,9,6,5,5,13,7,9,8,5,8,3,1,7,1,5,1,6,3,7,10,8,4,12,7,2,2,2,1,4,1,3,1,2,2,3,- -  -,
29129364,Colin Bernard,D (C),77%,4,4,12,9,5,4,4,11,9,8,7,7,9,9,16,5,6,6,14,6,5,7,2,1,2,1,5,3,10,1,2,8,6,4,11,1,2,1,2,1,1,1,4,2,3,3,3,- -  -,
2000046544,Noah Bradshaw,D (C),34%,8,9,8,11,12,7,6,5,5,9,7,9,7,7,12,5,8,4,5,7,6,8,6,2,7,4,5,3,9,7,3,6,7,4,11,3,1,1,4,2,2,1,3,2,3,3,3,- -  -,
2000046542,Sedu Bradshaw,D (C),64%,8,6,8,17,7,9,9,8,15,7,7,11,6,8,9,5,1,4,6,7,3,8,6,2,3,2,7,5,9,6,1,7,9,2,9,3,3,3,2,3,3,2,3,2,3,2,1,- -  -,
82085020,Brian López,D (C),72%,13,10,7,7,12,10,5,8,15,9,8,2,5,13,7,5,11,5,13,5,4,6,3,2,1,1,2,1,9,2,1,13,6,1,12,1,1,1,1,3,1,1,1,2,2,2,1,- -  -,
30040161,Javille Brooks,"D (C), ST (C)",82%,6,6,5,13,14,7,6,6,8,10,6,10,6,8,8,8,12,8,7,5,3,5,5,2,1,11,7,5,11,2,1,10,5,3,7,7,1,2,3,1,2,2,2,3,2,1,3,- -  -,
81062231,Richard Brown,D (C),80%,14,13,10,10,14,13,7,13,10,11,10,12,10,5,15,5,12,8,15,8,10,10,4,1,4,5,11,2,10,4,6,11,12,5,12,8,2,2,3,1,1,1,4,3,1,1,1,- -  -,
30040164,Ikenya Browne,D (C),46%,4,6,5,10,18,6,7,10,5,9,7,3,7,8,4,5,10,4,13,4,4,5,1,1,1,1,3,1,7,1,1,13,4,1,7,3,2,2,1,1,2,3,2,1,1,1,3,- -  -,
2000046494,Caleb Bryan,D (C),81%,9,10,9,12,15,10,9,5,9,9,6,8,11,7,11,5,10,8,9,8,6,9,6,4,4,6,5,2,10,6,3,7,8,3,13,5,1,1,1,2,4,1,3,3,1,3,2,- -  -,
30001726,Christopher Bryan,D (C),76%,3,5,4,11,20,5,2,5,13,8,8,3,4,12,20,5,17,1,11,3,2,6,1,1,1,1,4,1,11,1,1,9,4,1,9,1,3,2,1,1,1,3,1,3,2,3,1,- -  -,Inj
86008162,Eduardo Centeno,D (C),79%,10,5,5,12,10,8,4,5,15,12,9,7,12,13,5,5,5,5,12,6,6,6,2,4,1,4,7,1,11,6,3,13,7,3,13,4,3,2,4,3,3,3,3,1,1,2,2,- -  -,
81061918,Prince Christie,D (C),83%,14,12,10,14,13,14,11,13,11,12,10,7,10,10,6,6,2,8,11,9,11,10,7,6,2,3,8,6,10,7,5,11,12,7,10,12,4,1,3,3,1,3,2,3,1,4,1,- -  -,
2000139894,Malik Cocking,D (C),75%,10,10,11,11,13,10,9,9,12,11,9,13,8,7,16,5,11,6,12,9,4,10,4,1,4,5,9,5,9,8,7,12,10,5,15,8,2,3,2,2,1,3,3,1,1,1,2,- -  -,
82071006,Shane Codrington,D (C),78%,13,11,7,9,8,11,6,8,13,9,9,7,8,12,9,5,13,4,13,6,6,7,3,3,1,1,6,2,10,4,2,13,3,1,13,2,3,3,1,2,1,3,2,2,3,3,2,- -  -,
2000182000,Josiah Cooper,D (C),80%,11,9,7,9,15,10,7,8,15,5,6,8,8,14,12,5,5,1,10,5,1,7,1,1,3,3,7,1,13,4,6,14,7,4,10,3,2,2,1,3,3,2,1,3,2,1,1,- -  -,
2000130488,Jonoy Cunningham,D (C),45%,13,10,9,17,9,13,5,9,8,9,10,10,11,6,4,5,4,9,9,8,7,9,6,3,5,8,9,4,10,6,3,10,14,4,15,10,3,4,2,3,2,1,1,2,1,1,3,- -  -,
90051196,Benjamin Cupid,D (C),78%,8,6,6,7,11,5,8,4,7,8,6,6,5,13,7,5,6,2,12,5,1,6,2,1,1,1,6,1,12,4,1,11,6,1,6,2,1,2,3,1,2,2,2,3,2,2,1,- -  -,
2002091037,Richard Daniel,D (C),71%,9,7,4,13,11,8,9,5,12,7,10,5,8,6,7,4,8,3,9,8,3,13,3,4,3,2,6,2,5,5,5,6,6,4,12,5,2,1,2,1,2,3,1,3,2,2,3,- -  -,Yth
81061846,Raheem Depass,D (C),67%,13,10,8,11,13,13,10,12,7,8,6,10,8,8,14,5,10,6,14,7,6,8,3,1,2,3,9,6,7,1,3,10,11,6,13,9,1,1,2,1,1,1,1,1,1,1,3,- -  -,
45021542,Peterson Desrivieres,D (C),84%,9,7,8,14,5,9,7,5,9,12,9,8,10,14,5,5,7,5,10,7,2,8,5,2,1,5,6,1,9,4,1,10,7,5,11,5,4,3,1,2,3,4,3,2,3,2,2,- -  -,
82001298,Patrick Dill,D (C),81%,5,5,3,13,13,4,8,7,15,9,5,4,6,13,10,5,6,3,6,3,2,4,2,1,1,1,4,1,7,1,1,7,3,1,12,1,1,1,1,1,3,2,2,1,1,2,3,- -  -,
2000165655,Ricardo Dixon,D (C),86%,10,10,9,12,7,10,10,7,10,5,9,10,8,9,14,5,10,7,10,8,4,9,1,5,5,3,8,2,10,1,1,10,8,3,15,5,2,2,2,1,2,3,4,1,2,2,1,- -  -,
90051057,Ashton Dumas,D (C),79%,8,4,4,10,18,4,5,5,15,4,6,4,6,12,16,5,8,2,7,3,1,4,1,1,1,1,3,1,4,1,1,8,1,1,8,1,1,1,1,2,1,1,2,4,2,1,3,- -  -,
82076379,Kelvin Durán,D (C),75%,13,13,6,11,7,13,12,5,8,6,8,3,7,13,11,5,14,4,10,5,1,7,2,2,2,1,5,1,8,2,4,13,3,4,11,1,2,4,1,3,1,3,4,2,1,3,1,- -  -,
2000083412,Camajé Easton-Smith,D (C),81%,12,8,7,10,13,10,4,4,12,11,8,7,11,14,15,5,11,5,10,6,5,6,4,3,4,3,7,1,9,5,1,13,7,3,7,4,2,2,1,2,1,3,1,1,2,3,1,- -  -,
2000165680,Phillip Eubanks,D (C),89%,11,10,9,16,12,7,11,9,8,9,10,9,11,10,11,6,3,6,8,8,7,9,6,5,1,3,8,3,10,8,1,11,9,7,13,4,1,2,2,2,3,4,2,3,1,1,3,- -  -,
