UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000112048,Fils Abanda,D (C),81%,13,11,7,6,16,10,9,6,15,12,9,6,11,11,12,5,10,5,13,6,1,7,4,3,1,4,7,6,10,2,2,12,6,4,13,3,3,3,1,1,1,2,1,1,2,1,1,- -  -,
13203970,Ramón Akapo,D (C),84%,10,10,8,2,10,9,5,6,8,9,9,5,12,14,16,5,8,3,14,7,7,8,2,3,1,1,8,1,13,7,1,10,7,1,14,7,1,3,2,2,3,2,2,1,3,2,3,- -  -,
13177273,Abdoulaye Alingar,D (C),95%,5,9,9,19,14,5,8,9,14,8,10,6,10,10,13,5,12,7,15,8,4,10,4,2,1,3,7,2,10,5,8,8,8,2,15,8,1,2,3,1,2,3,3,3,4,2,1,- -  -,
2000084995,Hervé Apinda,D (C),72%,12,14,8,8,11,14,11,6,10,10,9,8,10,10,10,5,6,6,14,7,1,7,1,2,4,2,7,1,13,2,1,9,8,2,9,4,3,1,2,3,3,1,1,3,2,2,2,- -  -,
2000098558,Nelson Assayi,D (C),76%,13,13,7,9,11,13,10,7,13,11,8,2,7,13,15,5,10,6,9,6,5,6,1,1,2,1,4,1,9,6,4,14,7,1,12,1,2,2,3,1,3,3,3,2,3,2,1,- -  -,
2000224521,Latifou Badarou,D (C),82%,13,13,7,9,15,13,13,5,13,8,8,5,11,10,9,5,12,5,11,7,5,8,1,1,1,1,6,1,10,6,1,13,7,2,13,5,1,2,2,3,3,1,3,3,1,1,2,- -  -,
2000221216,Franck Baho,D (C),81%,7,12,8,7,14,10,9,9,13,12,9,8,10,14,2,7,12,4,14,7,4,8,1,6,1,4,8,1,10,5,4,14,8,4,14,6,3,1,1,1,4,3,2,1,3,2,3,- -  -,
12093527,Lassina Ballo,D (C),75%,13,13,7,5,10,13,10,13,14,8,9,7,7,10,3,6,4,5,13,6,6,7,1,1,1,5,7,3,13,6,1,13,4,3,13,4,2,1,1,2,3,3,3,2,3,1,3,- -  -,
2000086321,Magassa Batiga,D (C),78%,11,8,10,12,14,12,6,7,8,12,10,11,10,11,17,5,14,9,11,9,7,10,5,4,4,3,8,3,11,7,6,10,10,2,15,9,3,3,3,2,1,3,1,1,2,2,2,- -  -,
2000104178,Willy Batoum,D (C),79%,11,8,6,4,9,11,12,9,12,11,9,7,8,14,17,6,2,3,12,6,3,7,4,1,3,4,7,1,14,1,3,11,7,3,11,2,3,3,2,3,2,3,1,3,1,2,2,- -  -,
