UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000189394,Alexis Álvarez,D (C),79%,5,10,3,4,15,10,3,5,14,6,4,1,8,12,16,5,7,1,10,2,1,4,1,1,1,1,3,1,9,1,1,11,1,1,11,1,3,2,3,1,1,1,1,2,2,1,2,- -  -,
87043411,Giovanni Avila,D (C),88%,6,10,3,13,11,8,1,4,14,4,3,3,3,12,13,5,6,2,9,2,1,4,2,1,1,1,1,1,12,1,1,11,3,2,7,1,1,2,2,3,1,1,4,3,3,2,1,- -  -,
80030756,Lautaro Ayala,D (C),80%,10,12,8,10,17,10,13,7,14,11,10,8,13,13,15,5,10,6,13,7,5,8,3,5,1,3,6,1,13,4,4,13,8,4,13,6,2,2,2,3,2,1,3,3,3,1,2,- -  -,
2000183592,Jorge Barría,D (C),79%,12,12,3,6,15,12,7,3,9,7,3,2,4,10,8,5,13,2,12,2,1,3,1,1,1,1,3,1,8,1,1,9,3,1,7,1,2,3,1,2,1,1,3,1,3,4,4,- -  -,
2000216525,Juan Benítez,D (C),83%,13,13,7,9,15,13,11,8,6,11,9,7,10,13,5,5,12,6,13,6,2,7,4,3,1,1,6,2,12,6,1,12,7,2,8,2,1,2,4,1,1,1,1,3,2,2,3,- -  -,
80026240,Alvin Benneth,D (C),86%,12,7,10,8,15,10,5,13,6,13,11,10,10,15,9,5,11,9,15,9,5,9,7,8,3,5,10,9,15,5,3,13,8,4,11,9,1,2,1,2,1,3,2,2,1,3,1,- -  -,
80031683,Dionisio Bernal,D (C),75%,14,14,8,6,12,14,14,12,6,9,9,8,11,13,14,5,5,7,13,7,5,9,2,1,1,3,8,1,11,2,2,8,7,6,13,3,1,1,1,3,1,4,1,1,1,3,2,- -  -,
80013700,Keyner Brown,D (C),80%,15,16,11,4,10,14,11,7,13,13,5,10,11,15,10,5,10,6,14,9,5,10,7,4,2,6,8,9,4,6,3,15,11,6,12,3,1,2,2,3,1,3,2,1,3,3,2,- -  -,
51016473,José Luis Calderón,D (C),75%,13,11,10,11,10,13,13,7,12,10,9,9,8,12,4,5,10,6,9,6,1,10,1,1,1,2,4,3,10,4,6,13,5,1,12,4,3,3,1,1,3,1,4,1,2,4,1,- -  -,
78043507,Santiago Carrera,D (C),88%,8,8,14,14,10,9,10,13,14,9,14,12,13,8,13,4,9,10,12,12,10,13,6,8,8,7,10,3,15,9,4,13,11,8,11,10,4,3,1,2,2,2,2,3,3,1,1,- -  -,
80027437,Julio Cascante,D (C),90%,13,11,11,14,17,14,14,12,16,11,11,11,10,9,12,4,9,8,11,12,8,12,5,6,8,6,10,2,13,9,6,12,10,4,13,10,2,2,2,3,1,3,1,2,3,1,1,- -  -,
80024795,Santiago Cedeño,D (C),79%,11,6,8,8,12,9,11,9,9,12,9,6,8,14,8,5,14,7,12,7,4,8,1,1,4,4,8,1,13,3,1,12,8,1,14,3,3,2,3,2,1,3,2,1,2,3,3,- -  -,
80032971,Emanuel Chanis,D (C),77%,14,13,9,7,14,13,7,8,6,12,9,5,7,10,16,6,3,7,10,8,6,8,4,5,4,1,6,1,14,4,1,14,7,1,15,4,3,2,3,1,3,3,1,3,2,4,1,- -  -,
76050895,Gustavo Chará,D (C),84%,12,11,10,13,12,13,12,13,6,11,11,10,10,10,11,6,11,9,11,10,9,11,6,4,5,6,8,3,12,8,7,11,10,5,11,9,2,3,2,3,2,1,1,1,1,2,1,- -  -,
2000054601,Diego Chévez,D (C),80%,10,11,3,9,8,11,10,5,7,8,2,2,8,12,5,5,4,1,7,1,1,5,1,1,1,1,1,1,3,1,1,8,1,1,8,1,3,1,2,1,3,2,3,2,1,2,3,- -  -,
80027500,Shaquille Coronado,D (C),76%,13,12,8,9,15,10,13,9,15,13,10,8,12,13,13,5,10,7,13,8,3,8,1,1,7,3,8,1,13,6,2,11,8,1,10,3,4,1,1,3,3,3,1,3,2,2,1,- -  -,
87043738,Santos Crisanto,D (C),84%,11,13,7,8,14,13,9,10,12,12,9,5,12,13,13,5,10,6,13,6,6,7,6,3,1,1,7,3,13,1,1,8,7,1,12,3,1,2,1,2,2,2,2,1,2,1,2,- -  -,
2000012539,Jorge Cruz,D (C),67%,10,10,4,8,12,8,2,2,9,7,6,2,3,12,8,5,1,3,11,3,1,4,2,1,1,1,4,1,6,1,1,12,4,1,12,3,3,3,2,1,1,2,1,1,1,2,2,- -  -,
2000013676,Melvin Cruz,D (C),71%,7,10,5,11,10,10,6,7,10,6,6,4,4,13,14,5,1,4,7,3,1,4,1,1,1,1,1,1,8,1,1,11,3,1,8,3,4,2,2,2,1,2,3,1,2,2,2,- -  -,
2000061016,Chamir Dupuy,D (C),87%,11,11,7,13,15,9,12,12,9,8,9,7,6,13,18,5,12,5,11,6,4,8,3,2,1,6,7,1,13,5,1,13,4,2,11,3,1,1,3,2,3,3,2,2,4,2,3,- -  -,
