UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000046670,Reda Akbib,D (C),89%,13,12,8,13,11,14,11,9,7,7,9,8,13,14,9,5,8,7,14,7,1,8,4,2,1,1,8,1,14,3,4,12,8,3,13,5,1,2,1,1,3,3,1,1,1,2,2,- -  -,
2000010595,Joshua Akpudje,D (C),100%,13,8,12,14,12,12,14,15,13,12,13,10,9,10,12,6,9,8,10,11,7,9,3,4,3,5,6,4,12,5,5,12,10,8,12,5,2,2,3,2,2,1,3,1,1,1,3,- -  -,
2000098756,Stelios Andreou,D (C),79%,12,13,12,13,15,13,14,13,12,13,13,11,11,13,14,8,11,10,13,13,8,12,4,7,8,4,11,8,11,8,6,14,10,8,11,9,1,1,2,3,3,3,2,2,2,2,3,- -  -,
2000197590,Mert Asma,D (C),77%,6,10,5,4,13,9,7,4,9,6,5,4,7,12,14,5,3,3,13,4,4,5,3,1,2,2,4,1,11,1,1,13,4,1,9,4,1,1,2,2,2,4,2,1,1,3,2,- -  -,
91175089,Maxime Awoudja,D (C),88%,14,12,12,14,14,16,13,13,13,11,14,10,9,10,11,11,8,8,11,12,10,13,5,7,12,7,10,8,15,11,8,13,13,8,12,11,3,2,3,1,3,2,2,3,1,3,3,- -  -,
27092169,Jonas Bager,D (C),83%,13,12,9,15,14,14,14,14,15,11,15,10,13,11,13,1,10,10,13,13,9,13,4,9,7,6,11,4,11,6,6,14,11,5,14,6,2,1,1,3,2,2,1,3,3,3,2,- -  -,
2000130458,Abdul-Wahid Bancé,D (C),73%,14,11,7,6,10,9,6,11,11,7,8,7,8,15,16,6,7,4,11,6,6,7,1,1,6,1,5,1,12,4,2,13,7,1,9,1,3,2,3,4,3,2,1,1,3,3,4,- -  -,Inj
28129876,Jamal Baptiste,D (C),81%,12,8,11,11,12,11,12,9,6,13,11,12,10,12,15,6,12,9,16,10,11,11,6,4,2,9,12,3,13,7,7,8,16,4,13,13,2,2,2,3,3,2,2,2,2,3,3,- -  -,Int
63036074,Marek Kristian Bartos,D (C),79%,14,12,8,12,15,14,12,9,9,9,6,8,12,15,6,5,10,7,7,7,2,8,2,3,1,6,8,4,12,7,5,9,8,1,13,6,3,3,2,3,1,3,3,3,1,1,2,- -  -,
91188907,Maximilian Bauer,D (C),84%,10,10,14,14,14,12,13,14,10,11,14,13,13,12,14,6,11,5,12,14,11,11,4,5,8,6,10,4,13,7,8,14,12,9,13,11,3,3,1,2,2,3,3,3,1,3,2,- -  -,
14185337,Juan Bedouret,D (C),85%,10,10,9,13,12,10,12,13,9,10,10,9,11,14,6,5,2,8,14,8,4,9,6,6,10,8,12,10,12,10,8,13,13,10,13,12,3,2,3,2,2,2,3,1,3,3,1,- -  -,
2000214618,Kylian Bengourane,D (C),79%,8,9,4,10,13,9,5,8,6,7,8,5,7,14,18,5,10,5,14,6,3,7,2,3,1,1,7,1,10,1,1,12,5,4,8,6,1,2,1,2,3,3,1,3,2,1,2,- -  -,
24043896,Filip Benković,D (C),71%,9,10,11,17,14,12,12,14,15,13,14,12,12,10,15,6,11,7,13,14,10,13,2,3,8,5,11,8,16,9,10,14,12,4,15,12,3,2,1,2,3,2,1,1,3,1,3,- -  -,Inj
37051626,Léon Bergsma,D (C),82%,8,10,12,12,15,10,12,10,11,13,11,13,13,13,10,5,12,7,13,14,12,12,6,6,7,4,10,7,11,7,9,14,13,7,13,12,3,3,1,2,4,1,1,1,2,1,2,- -  -,
95069956,Brice Bernard,D (C),74%,12,9,6,8,13,10,4,7,12,8,8,4,7,13,10,5,12,5,12,5,2,6,1,4,1,4,5,1,10,5,2,13,5,1,8,1,2,1,4,3,1,3,1,3,1,2,2,- -  -,
85072759,Gautier Bernardelli,D (C),87%,8,7,14,14,12,10,11,14,12,10,13,10,9,10,9,6,8,7,11,12,11,11,5,6,6,5,10,9,14,10,6,10,9,8,9,10,2,2,3,3,2,3,2,3,1,4,1,- -  -,
37005546,Tom Beugelsdijk,D (C),92%,9,8,15,16,7,9,12,15,17,9,17,12,10,11,14,8,15,10,12,14,9,17,5,8,9,5,10,10,16,9,10,11,13,5,16,12,2,2,1,2,1,2,1,1,2,3,1,- -  -,
37063774,Sam Beukema,D (C),92%,12,12,14,13,13,13,13,13,13,12,13,13,14,12,15,9,15,9,12,13,8,15,4,5,7,8,9,12,15,6,8,13,10,11,13,10,2,2,2,2,1,1,4,2,1,1,4,- -  -,
35017427,Julian Börner,D (C),89%,11,9,13,15,13,12,12,15,17,11,16,10,12,12,16,7,15,7,13,12,9,12,3,7,8,7,10,3,16,6,6,13,11,7,12,10,1,2,3,1,1,1,3,3,2,2,1,- -  -,
25043970,Tomáš Břečka,D (C),78%,13,11,11,13,13,13,12,13,13,12,11,13,12,11,12,11,15,9,11,16,6,9,5,6,9,9,9,9,14,8,11,13,12,10,12,10,1,1,2,3,2,1,2,1,3,2,2,- -  -,
25055424,David Broukal,D (C),86%,11,13,7,9,6,13,12,11,14,11,8,6,10,13,9,5,9,6,13,6,1,8,5,3,5,1,7,2,8,5,1,13,6,3,13,5,3,2,1,2,3,1,2,1,3,2,3,- -  -,
2000066621,Mathis Bruns,D (C),90%,14,13,8,16,10,13,6,11,9,10,9,5,13,14,10,7,6,5,6,7,6,8,5,1,1,1,6,1,14,6,2,12,8,3,12,6,4,3,3,1,4,2,4,1,1,1,2,- -  -,
95071685,Théo Brusco,D (C),74%,12,12,7,9,12,11,10,6,8,10,9,7,8,13,8,5,1,6,13,6,1,7,3,6,2,2,7,1,13,4,4,13,2,1,11,5,1,3,1,3,4,2,4,4,3,3,1,- -  -,
2000171001,Tarek Buchmann,D (C),81%,14,12,13,14,14,14,12,13,12,12,13,14,12,10,16,11,12,9,13,12,13,13,3,8,11,7,12,4,13,6,4,13,13,7,13,13,1,1,3,1,1,3,3,1,2,3,2,- -  -,Loa
84156311,Marco Burch,D (C),87%,11,12,13,12,13,13,15,14,5,14,9,13,13,13,12,8,10,9,13,14,14,14,6,7,8,7,13,6,14,7,7,13,13,6,14,12,4,1,1,1,4,3,3,3,1,1,1,- -  -,Opt
2000085289,Martin Cernek,D (C),70%,13,11,6,12,11,13,8,7,7,7,6,6,8,13,14,5,5,5,11,5,1,6,1,1,2,1,5,1,6,5,1,12,5,1,13,5,3,3,1,2,2,2,1,3,2,1,3,- -  -,
2000052349,Fabio Cerqueira Martins,D (C),75%,12,12,8,7,14,10,10,5,9,6,9,7,9,13,16,5,4,5,14,6,4,7,2,2,2,1,5,1,11,3,2,13,3,2,11,6,1,1,3,2,2,3,2,2,2,1,1,- -  -,
67180735,Soufiane Chakla,D (C),87%,11,9,11,15,12,12,11,15,8,12,11,11,14,13,17,5,11,11,13,10,9,10,3,6,7,6,8,2,15,5,6,14,9,9,14,6,1,3,3,3,1,3,1,2,2,2,3,- -  -,Opt
22014594,Bozhidar Chorbadzhiyski,D (C),71%,10,10,12,17,12,11,13,12,13,11,17,8,9,9,13,4,12,8,11,16,10,13,4,7,8,7,9,8,14,7,9,10,9,9,12,9,1,3,2,1,1,2,2,1,2,2,2,- -  -,
55073780,Costinha,D (C),78%,13,13,7,10,11,11,12,6,6,11,9,7,7,13,13,7,2,6,13,6,1,7,2,1,2,1,7,1,13,5,4,13,3,1,10,3,1,3,3,1,1,1,1,1,1,2,3,- -  -,
2000011613,Soumaïla Coulibaly,D (C),84%,12,10,10,14,11,13,11,12,8,9,11,13,11,11,3,5,1,8,15,10,11,10,7,6,7,8,9,4,11,4,4,11,13,7,10,11,1,3,3,1,1,3,3,1,2,1,1,- -  -,Loa
96160057,Patryk Czerech,D (C),88%,9,8,9,15,13,9,9,12,13,10,10,10,11,10,8,6,9,7,10,10,5,10,6,4,4,5,9,4,11,9,9,10,9,4,11,9,3,1,2,3,3,3,1,2,2,2,1,- -  -,Inj
43020394,Jakub Czerwiński,D (C),83%,11,9,13,13,12,12,13,13,14,14,14,12,13,12,13,4,9,8,14,13,9,16,5,5,7,6,10,4,13,6,8,14,11,7,14,10,3,3,1,1,4,3,2,2,3,1,2,- -  -,
53151383,Jesper Daland,D (C),90%,14,11,13,14,15,13,15,13,8,15,11,13,12,12,9,7,12,11,13,12,13,11,8,9,10,7,12,7,14,5,5,12,12,6,11,11,3,3,1,3,2,1,2,1,3,1,2,- -  -,
