UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000139923,Mukrim Abdalla,D (C),78%,9,9,8,12,9,7,5,5,9,9,9,7,5,9,2,5,15,7,15,7,6,8,5,2,1,1,5,1,9,2,1,9,7,4,10,3,2,3,3,2,3,1,3,3,3,3,2,- -  -,
2000137720,Muhammad Abdallah,D (C),76%,12,12,5,3,12,12,2,4,12,9,7,5,7,12,4,5,13,2,12,4,3,4,1,2,1,1,3,1,12,4,2,12,5,2,12,1,3,2,3,3,2,3,1,3,1,1,2,- -  -,
2000147674,Isse Abdulkadir,D (C),74%,11,9,6,10,6,8,5,6,7,10,8,5,7,12,13,5,1,2,13,5,4,6,2,2,3,5,6,1,12,4,1,11,6,1,12,3,3,2,2,2,2,1,2,2,2,1,4,- -  -,
13201853,Matsiko Abubakari,D (C),81%,9,8,2,1,12,8,4,2,12,6,6,5,6,14,16,5,7,4,14,4,1,5,2,1,1,1,2,1,7,1,1,12,5,1,9,1,2,2,1,3,1,3,3,3,2,3,3,- -  -,
13194877,Wahab Adams,D (C),79%,13,13,7,8,15,13,12,11,14,11,9,7,13,13,19,5,4,6,12,6,2,7,1,1,4,4,7,4,13,1,1,11,7,3,13,6,1,2,2,2,2,2,2,3,3,1,3,- -  -,
2000168025,Andinet Adane,D (C),82%,13,12,6,15,16,13,8,6,10,9,8,6,7,6,8,5,8,5,11,5,4,6,1,1,1,1,5,1,13,3,1,8,5,2,11,1,3,3,1,4,2,2,2,1,1,3,1,- -  -,
2000226422,Tsega Alemayehu,D (C),77%,13,13,6,6,8,13,7,6,13,7,6,6,9,9,7,5,11,5,9,5,3,6,1,2,5,2,5,1,6,5,5,10,6,2,10,3,1,2,3,3,3,1,2,2,1,1,1,- -  -,
12093517,Nashon Alembi,D (C),80%,14,10,8,9,11,13,11,10,6,10,9,5,6,14,10,5,13,7,14,7,1,8,5,4,3,4,8,1,7,4,5,11,6,3,13,7,2,1,2,2,1,2,2,2,1,3,2,- -  -,
2000137710,Ali Badru,D (C),79%,13,13,6,6,12,13,12,7,7,9,8,3,9,6,17,5,12,5,12,4,5,7,1,2,3,5,6,1,8,1,3,11,1,1,12,1,1,1,3,1,1,2,3,4,3,3,2,- -  -,
29178758,Hassan Ali Roble,D (C),73%,10,11,6,7,12,11,5,7,8,9,8,6,6,11,13,5,8,3,13,5,2,6,3,1,1,3,6,1,13,4,4,13,5,2,11,5,1,2,1,1,1,2,3,3,1,3,3,- -  -,
2000088377,Nur Ibrahim Ali,D (C),96%,9,7,6,14,14,8,4,8,11,8,8,6,7,13,5,5,4,5,13,5,5,6,3,2,1,1,6,1,13,1,1,12,6,1,9,2,2,3,3,1,2,3,2,3,3,1,2,- -  -,
12093118,Eugene Ambulwa,D (C),83%,13,13,6,8,7,13,11,8,15,10,8,6,7,13,3,5,3,5,8,5,1,6,1,1,1,3,6,3,13,2,1,13,1,1,11,5,3,3,3,2,1,2,2,2,1,1,1,- -  -,
13221651,Ibrahim Ame,D (C),81%,11,11,11,9,13,11,12,8,11,11,10,10,12,10,12,6,9,10,9,8,7,11,9,6,5,4,8,8,11,8,7,11,11,4,16,10,1,2,3,2,2,3,1,3,2,1,2,- -  -,
2000146687,Khamis Amer,D (C),76%,9,9,8,9,12,8,9,8,14,9,9,7,9,9,7,5,14,7,10,7,1,8,1,4,3,2,3,1,9,5,2,9,6,5,14,6,3,2,3,3,2,1,2,2,2,2,3,- -  -,
2000144209,Amour Haji,D (C),75%,10,12,5,11,10,10,8,8,10,11,7,4,6,12,19,5,10,1,12,4,4,5,1,1,1,4,5,2,6,1,1,10,5,1,10,3,4,1,3,1,1,2,3,1,1,2,2,- -  -,
12086126,Boniface Andayi,D (C),81%,10,10,8,14,13,9,9,6,5,14,7,7,11,12,12,5,11,6,14,7,4,8,1,3,1,5,8,1,12,2,1,11,8,2,14,5,1,1,3,2,2,1,1,3,1,3,3,- -  -,
2000168382,Getachew Anemut,D (C),83%,12,10,6,10,12,10,5,8,12,9,8,6,4,13,10,5,14,5,13,5,5,6,1,3,5,4,6,1,13,2,1,13,4,5,9,5,3,2,1,3,1,2,1,2,1,3,1,- -  -,
2000173572,Tefera Aniley,D (C),89%,8,3,6,7,15,6,8,8,14,6,8,5,7,13,3,6,9,4,13,6,3,6,1,1,1,3,6,1,13,3,1,13,6,1,13,1,2,3,3,2,3,2,2,1,3,2,1,- -  -,
2000171659,Henok Arfechio,D (C),81%,13,11,7,13,15,12,12,7,11,9,9,7,12,13,3,5,8,6,11,6,1,7,1,6,4,5,6,1,10,2,1,8,3,1,13,6,3,1,1,3,3,3,1,1,1,2,3,- -  -,
2000120153,Menaf Awol,D (C),78%,10,7,9,13,13,7,10,7,9,10,9,11,10,10,17,5,5,4,15,8,9,9,4,1,2,6,12,1,9,5,2,9,11,8,15,11,1,3,2,2,3,2,2,1,1,3,3,- -  -,
13162742,Shafiq Bakaki,D (C),74%,9,11,7,9,15,11,12,11,5,13,9,7,14,13,1,5,5,3,11,6,6,7,3,3,1,4,7,1,11,2,1,7,7,4,10,4,1,3,1,3,4,2,2,1,2,1,1,- -  -,
2000038753,Richard Bbosa,D (C),77%,9,12,4,9,8,13,5,5,13,7,6,4,6,8,10,5,2,2,12,3,1,3,2,1,1,1,3,1,9,1,1,12,3,1,10,1,2,1,3,3,1,1,3,1,2,1,1,- -  -,
2000177172,Yonas Berta,D (C),80%,13,13,6,12,11,13,11,4,13,12,4,3,7,12,6,5,12,5,13,5,3,6,2,1,4,3,2,2,13,5,1,12,6,2,11,1,2,2,2,2,3,3,1,2,2,2,1,- -  -,
13218716,Séraphin Bigirimana,D (C),83%,10,13,7,8,12,9,11,5,8,9,8,4,8,13,5,5,11,6,10,6,4,7,2,1,4,3,6,1,9,2,1,7,7,1,11,1,2,1,1,4,3,3,4,1,2,3,1,- -  -,
2000159080,Latif Bishira,D (C),79%,9,10,7,9,10,12,10,10,8,9,9,7,10,13,14,5,9,2,13,6,4,5,1,4,2,1,7,2,13,5,3,13,7,1,13,6,2,1,3,3,1,4,2,1,1,3,3,- -  -,
2000176887,Melkamu Bogale,D (C),80%,10,10,7,7,12,11,10,9,14,11,3,6,10,13,7,5,2,4,12,5,3,6,1,1,3,1,6,1,13,4,2,11,5,2,12,5,1,2,2,2,2,2,3,3,2,1,3,- -  -,
13186211,Christophe Bukuru,D (C),78%,13,14,7,9,12,11,13,6,11,12,8,7,8,14,13,5,8,5,6,7,4,8,2,1,4,2,7,1,10,2,4,9,4,1,12,6,4,3,1,3,3,1,3,3,1,1,1,- -  -,
2000187194,Prince Buregeya,D (C),75%,13,9,8,6,11,12,6,7,8,8,9,8,7,13,3,5,2,7,14,7,6,8,4,3,1,2,7,5,14,7,4,14,7,7,13,5,3,2,4,3,3,1,2,2,1,3,1,- -  -,
2000115125,Nurdin Chona,D (C),84%,13,13,8,9,13,13,8,9,9,9,8,7,12,9,12,5,9,6,12,6,3,7,1,6,4,1,6,1,13,3,5,13,7,4,13,3,1,3,2,4,1,2,2,2,2,4,2,- -  -,
13210714,Paterne Counou,D (C),75%,13,10,9,12,12,12,14,6,10,10,10,9,10,14,6,7,9,7,14,8,8,9,6,2,1,6,9,3,14,2,2,10,6,3,14,5,3,2,4,3,3,2,3,1,3,3,2,- -  -,
29162870,Faydine Daroussi,D (C),74%,9,7,7,8,10,7,4,8,12,11,8,6,11,7,16,5,12,5,12,6,6,6,3,2,1,4,7,1,12,1,3,8,7,6,14,6,1,2,2,2,2,4,1,3,2,1,1,- -  -,
2000158086,Mignot Debebe,D (C),78%,14,14,9,11,14,14,14,9,8,9,8,8,12,9,8,5,4,8,14,8,4,9,4,2,1,3,7,1,12,6,4,14,8,4,13,5,2,2,3,3,1,3,3,3,1,3,3,- -  -,
2000174672,Tsegasew Demamu,D (C),78%,12,9,7,6,15,13,12,10,15,8,9,6,9,13,18,5,10,4,13,6,1,7,1,1,1,1,7,1,12,3,3,13,7,3,10,6,2,2,1,2,1,2,2,3,3,1,3,- -  -,
2000165416,Kwaku Duah,D (C),76%,9,13,7,6,12,13,9,7,9,8,8,7,10,13,6,5,12,6,13,6,6,7,2,1,1,6,6,1,13,4,4,14,6,1,10,3,1,3,3,1,1,3,2,2,1,1,3,- -  -,
2000079993,Stephen Duah,D (C),73%,13,13,7,9,6,13,10,11,11,10,9,7,10,8,8,5,9,6,13,6,6,7,1,1,1,2,7,1,7,1,1,13,7,1,13,4,2,1,3,2,3,1,4,2,3,2,1,- -  -,
2000092919,Moussa Fahmi,D (C),82%,11,11,4,10,11,12,8,8,13,6,8,5,10,12,1,5,12,2,9,4,2,3,1,1,1,1,5,1,12,1,1,9,5,1,11,1,2,1,3,4,1,1,4,4,1,1,1,- -  -,
2000200711,Najib Fesali,D (C),83%,11,8,10,12,14,9,6,10,11,11,9,10,9,7,11,5,4,6,9,7,4,10,5,6,4,7,10,2,11,6,3,11,10,7,13,8,1,3,2,1,1,2,2,3,3,1,1,- -  -,
2000168024,Ashenafi Fida,D (C),84%,13,13,7,8,17,9,4,6,8,11,9,7,7,13,3,5,2,6,9,6,6,7,3,1,1,1,6,3,10,1,2,13,7,5,11,5,2,3,1,3,2,1,1,2,2,2,1,- -  -,
