UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000015911,Sadick Abubakar,D (C),71%,12,11,13,12,12,12,13,14,13,11,13,10,8,11,12,7,12,7,11,9,7,11,7,9,7,8,9,6,13,8,10,13,9,9,12,9,1,3,3,2,2,1,2,2,3,3,2,- -  -,
19398901,Alan Dias,D (C),78%,12,11,8,15,7,14,11,9,12,9,10,9,12,14,14,5,14,7,12,7,4,8,4,1,8,3,8,1,14,5,5,14,9,1,13,7,3,1,1,1,3,2,3,2,4,3,1,- -  -,
2000207537,Levente András Almássy,D (C),83%,11,10,10,13,10,10,12,7,15,10,6,8,11,10,12,5,5,2,7,8,7,10,5,7,6,3,7,3,11,1,7,11,9,5,14,8,1,1,2,3,1,1,3,1,3,3,3,- -  -,Yth
59004209,Igor Armaş,D (C),83%,7,7,10,15,15,8,12,13,14,12,11,12,11,12,15,10,12,10,11,11,9,13,7,7,6,8,9,7,14,9,11,14,10,8,13,11,3,1,2,3,2,1,1,3,2,2,2,- -  -,Wnt
22081540,Ivan Arsov,D (C),91%,10,9,10,17,13,11,13,12,13,11,14,10,12,10,15,8,11,8,12,13,8,11,6,7,9,7,9,7,11,8,5,11,10,4,12,10,1,3,2,3,2,1,3,2,1,1,3,- -  -,
62167477,Emir Azemović,D (C),89%,10,12,12,14,13,10,12,14,15,10,9,9,11,10,13,3,10,6,12,13,8,12,5,8,6,5,9,9,12,7,6,12,11,5,12,9,2,3,2,4,1,3,1,3,3,1,2,- -  -,Inj
62236340,Vasilije Bakić,D (C),86%,10,10,12,15,6,10,12,15,11,13,12,14,11,13,3,5,14,10,12,13,6,12,6,4,5,6,10,3,13,3,4,11,11,2,12,5,3,2,2,3,1,4,2,3,2,2,2,- -  -,
57006116,Ionuţ Balaur,D (C),87%,6,9,9,15,13,9,12,11,12,11,10,12,12,12,12,6,8,10,12,12,10,12,6,7,8,7,10,6,13,6,8,13,10,8,12,9,1,2,2,2,2,2,1,1,1,1,2,- -  -,
38019996,Bence Batik,D (C),91%,10,11,13,15,10,10,13,14,13,12,14,10,10,12,13,12,12,14,13,14,8,15,3,6,5,8,8,3,13,4,7,11,10,8,13,8,3,1,3,1,2,2,2,3,2,3,2,- -  -,
36113580,Nikos Baxevanos,D (C),82%,11,10,13,11,10,11,12,11,13,14,12,11,13,14,12,7,11,10,13,11,8,11,5,5,6,8,11,7,14,7,6,14,10,7,13,9,3,1,3,2,3,2,1,3,2,3,1,- -  -,
57030122,Florin Bejan,D (C),80%,10,10,13,13,14,9,12,12,11,13,11,10,11,10,12,7,10,12,12,13,10,12,7,9,7,7,8,8,13,9,11,12,12,11,14,9,3,1,2,2,2,1,1,2,2,1,1,- -  -,
57000920,Alexandru Benga,D (C),81%,10,11,10,15,12,10,12,15,10,11,12,11,12,11,10,7,14,6,12,13,6,13,8,7,6,6,9,6,13,9,10,14,10,6,13,8,3,3,1,1,1,3,3,2,1,1,3,- -  -,
48031634,Messie Biatoumoussoka,D (C),84%,13,13,7,13,14,13,8,13,8,11,9,7,9,13,15,5,12,6,11,6,5,7,2,3,4,1,7,1,12,5,1,13,9,1,8,4,1,2,3,2,3,1,1,1,1,2,2,- -  -,
83103184,Jean Claude Billong,D (C),85%,11,10,13,14,15,12,14,16,13,11,10,11,10,11,12,10,15,8,13,10,9,10,6,9,6,5,9,6,14,7,9,14,11,7,12,7,2,3,1,1,2,3,2,2,4,4,1,- -  -,
84154307,Mihailo Bogićević,D (C),89%,10,12,12,16,10,10,12,15,13,10,11,12,11,11,13,9,12,8,12,10,10,10,3,4,7,5,9,5,14,8,8,13,9,6,12,9,2,3,1,2,3,3,2,1,1,3,2,- -  -,Opt
