UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
54201760,Karrar Aamer,D (C),79%,14,15,10,6,13,15,14,10,7,13,10,8,14,12,16,7,12,8,9,8,6,9,4,3,3,1,7,2,12,4,6,15,9,1,12,5,2,3,3,2,2,2,1,2,1,1,3,- -  -,
23325099,Abbas Qasim,D (C),82%,8,13,9,12,11,11,8,10,15,14,11,6,10,11,8,5,9,7,14,9,7,9,5,6,6,1,5,1,8,5,4,14,7,5,12,3,3,4,2,2,2,1,3,3,3,1,2,- -  -,
23240927,Abdalla Saleh,D (C),80%,5,7,8,12,10,6,6,4,5,10,9,8,6,14,9,5,10,7,14,8,6,8,3,1,3,6,7,1,14,8,1,10,8,2,13,3,3,3,2,1,1,1,3,3,3,4,2,- -  -,
23320674,Ashraf Abdul Kareem,D (C),88%,11,7,7,10,12,10,11,6,15,13,9,4,8,13,5,5,4,4,13,6,1,8,5,2,3,2,6,3,6,1,3,12,5,5,10,6,2,1,3,1,3,3,2,1,2,1,2,- -  -,
2000133896,Mohammed Abdul Kareem,D (C),100%,14,14,7,8,7,13,10,4,10,11,9,7,8,13,10,5,8,4,7,6,5,7,1,1,3,1,7,1,4,5,3,12,7,1,12,6,3,3,2,2,1,2,3,2,4,2,3,- -  -,
23089018,Ahmed Abdul-Nabi,D (C),81%,8,8,7,10,14,6,5,6,9,10,9,7,7,14,1,5,9,6,12,7,3,8,3,5,1,1,8,5,10,3,1,14,6,4,11,5,1,3,3,1,1,3,1,2,3,2,1,- -  -,
54203084,Hassan Abdul-Zahra,D (C),86%,10,12,7,11,12,11,12,10,14,10,9,7,8,13,12,7,11,4,11,4,1,7,2,1,1,5,6,1,11,4,1,13,7,2,11,1,1,3,2,2,2,3,2,2,2,4,3,- -  -,
54202393,Mohammed Abdul-Zahra,D (C),85%,9,11,8,13,12,7,8,9,12,9,6,8,13,14,3,5,6,5,14,8,8,7,6,1,3,4,7,6,8,6,1,14,7,2,10,6,1,1,1,2,4,2,3,2,2,2,1,- -  -,Inj
2000079143,Abdulkareem Sultan,D (C),78%,10,13,8,11,12,11,6,7,15,13,9,8,6,14,9,5,9,7,12,6,4,8,2,1,1,1,6,1,11,6,2,14,6,4,10,4,2,1,1,3,2,1,1,1,1,2,3,- -  -,Loa
54202162,Muntadher Abdulsada,D (C),80%,13,13,4,8,12,13,4,8,10,11,9,7,8,13,3,5,8,6,13,6,1,7,2,1,1,3,2,1,12,6,1,13,7,3,13,1,1,3,3,3,2,1,2,2,2,2,1,- -  -,
23190581,Anas Abou Saleh,D (C),80%,9,7,7,8,8,8,8,4,9,7,9,6,9,11,8,5,4,7,14,7,2,8,4,6,4,4,8,2,14,5,6,13,8,6,11,4,2,1,2,2,1,2,2,3,3,3,1,- -  -,
23480206,Ali Aboud,D (C),77%,13,8,7,7,7,11,13,7,12,12,5,7,10,11,2,7,9,5,14,7,6,8,4,1,1,3,7,5,11,6,1,14,6,5,10,3,1,1,1,3,2,3,3,3,1,3,1,- -  -,
