UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
72048221,Lalas Abubakar,D (C),86%,13,10,12,14,12,13,14,16,14,11,13,9,11,10,12,12,12,8,13,12,9,13,5,7,7,7,9,6,15,6,8,14,10,5,13,10,1,1,1,1,1,1,1,1,1,1,1,- -  -,
2000029466,Oskar Ågren,D (C),82%,11,9,9,14,9,11,12,13,10,13,9,11,10,13,10,4,11,7,10,12,10,12,6,4,5,8,10,4,12,5,6,11,12,10,11,10,1,3,1,1,3,3,2,1,2,2,4,- -  -,
51008455,Oswaldo Alanís,D (C),88%,11,11,12,13,13,10,12,12,7,13,12,11,12,12,18,10,10,10,13,12,12,15,7,8,6,7,13,13,11,9,10,11,12,16,14,13,3,3,2,1,1,1,3,3,1,1,3,- -  -,
19171009,Antônio Carlos,D (C),91%,13,11,12,16,14,12,15,13,14,13,14,12,12,12,12,10,12,8,15,13,8,13,5,6,6,7,11,6,15,6,7,14,10,7,13,11,2,3,3,2,3,3,3,2,2,1,3,- -  -,
51011883,Néstor Araujo,D (C),81%,13,12,11,14,12,12,14,14,8,13,13,13,14,13,13,9,13,9,15,13,12,12,6,7,8,5,13,7,10,9,12,15,14,11,13,13,3,2,3,1,1,3,3,3,3,3,3,- -  -,
67030522,Alejandro Arribas,D (C),100%,8,9,12,13,14,10,11,11,15,13,14,12,12,12,14,8,9,7,14,15,11,13,10,4,6,3,11,5,14,5,8,14,12,4,14,9,1,2,1,1,3,3,3,2,1,2,3,- -  -,
5667722,Hugo Ayala,D (C),85%,10,11,12,13,13,10,13,11,10,15,13,13,14,13,12,8,14,8,16,13,12,12,7,8,6,4,7,6,15,9,6,13,10,7,13,13,1,2,2,3,1,1,1,3,2,3,1,- -  -,
14071188,Miguel Barbieri,D (C),76%,13,13,12,12,13,11,15,13,15,14,13,13,13,11,14,10,12,7,13,14,9,13,4,7,9,8,10,4,15,7,11,14,12,7,15,12,3,2,2,2,1,3,1,2,1,3,1,- -  -,
76022052,Jaine Barreiro,D (C),82%,14,12,13,15,6,13,13,13,10,13,13,12,13,13,12,5,12,12,13,14,12,13,6,6,6,8,14,9,11,8,8,13,13,10,14,11,4,2,1,4,1,3,2,2,3,2,3,- -  -,
51056570,Paul Bellón,D (C),67%,12,9,9,13,10,12,11,11,9,11,10,9,12,11,11,7,10,10,11,10,10,11,9,8,10,9,11,9,11,8,11,13,13,9,12,13,3,2,3,1,3,3,1,3,2,3,3,- -  -,
