UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
13175662,Emmanuel Affi,D (C),85%,9,12,10,13,12,10,12,14,13,13,13,10,10,10,14,7,10,8,13,12,9,12,4,6,6,6,10,7,12,6,10,11,8,8,12,10,1,3,2,3,4,2,1,1,3,1,3,- -  -,
2000113366,Kristers Atars,D (C),77%,12,12,5,6,6,12,2,5,6,9,6,4,5,12,7,5,1,3,10,3,1,4,1,1,1,3,4,1,12,3,1,12,2,1,10,1,3,2,3,3,3,2,3,2,4,2,1,- -  -,
47040312,Vladimir Avilov,D (C),83%,10,9,13,12,14,10,12,11,8,17,12,8,12,10,12,3,8,6,11,12,5,8,2,3,3,4,8,5,10,4,4,13,9,6,11,8,2,1,2,3,3,2,3,2,1,3,2,- -  -,
71099015,Oleksandr Avramenko,D (C),90%,13,13,6,10,12,13,10,7,9,10,9,7,10,13,16,5,10,6,13,6,3,7,1,2,2,6,5,1,7,6,1,13,4,1,8,4,2,4,2,1,2,2,3,1,3,2,1,- -  -,
71090206,Vladyslav Babohlo,D (C),82%,13,12,15,14,11,12,13,14,11,12,13,12,11,12,16,5,11,9,13,13,10,13,3,4,5,3,8,6,13,5,7,15,8,7,15,6,1,3,2,1,3,3,4,3,1,1,3,- -  -,
47051586,Daniels Balodis,D (C),87%,11,8,8,11,10,11,10,11,9,11,9,9,12,10,10,4,5,9,12,13,7,12,5,6,7,5,8,6,12,8,8,12,11,7,13,8,1,3,4,1,1,1,1,1,2,1,1,- -  -,
24046674,Silvije Begic,D (C),90%,9,9,13,18,10,12,12,15,12,12,12,10,15,13,7,6,8,8,13,12,5,16,6,5,9,7,8,5,13,8,11,12,10,8,12,11,3,1,4,2,2,1,4,1,2,1,3,- -  -,
2000115499,Igors Boļšakovs,D (C),57%,11,12,4,5,12,12,6,7,9,8,5,1,7,12,10,5,4,2,11,3,2,4,1,1,2,1,1,1,4,1,1,8,4,1,12,1,2,2,1,2,2,2,2,2,2,2,1,- -  -,
71093182,Valeriy Bondar,D (C),82%,12,13,13,13,14,13,13,12,14,12,16,10,12,12,14,7,15,11,16,14,12,10,5,7,9,5,12,4,12,5,7,11,11,6,13,12,2,2,1,1,2,1,4,3,3,1,3,- -  -,
71049997,Valeriy Bondarenko,D (C),83%,11,9,9,15,15,12,12,14,15,14,13,15,12,10,16,6,7,6,13,12,9,10,2,3,3,4,8,5,13,6,12,14,12,5,15,8,2,3,2,1,4,4,3,2,4,3,1,- -  -,
