UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000057305,Yamal Abuín,D (C),77%,9,4,5,13,12,4,4,6,10,5,6,4,9,13,17,5,9,4,4,4,1,5,2,4,1,3,4,1,12,3,3,12,5,1,12,4,3,2,1,1,1,1,3,2,3,3,2,- -  -,
2000039441,Filitoga Aeau,D (C),77%,12,9,3,9,15,9,1,3,9,3,6,3,7,12,5,5,12,2,12,2,1,3,1,2,1,1,1,1,3,1,1,7,1,1,8,1,3,1,3,4,3,2,1,4,1,1,3,- -  -,
2000206378,Billy Afi,D (C),86%,9,6,2,15,13,7,4,6,15,5,5,5,7,13,5,5,5,4,8,5,5,6,2,4,4,1,4,1,10,2,1,13,6,3,12,3,2,2,2,2,2,3,2,1,1,4,2,- -  -,
88029084,Poufa Aiomanu,D (C),82%,6,7,4,5,10,7,3,3,11,6,6,2,7,7,5,5,8,3,13,3,1,4,1,1,1,1,4,1,4,1,1,9,4,2,5,1,2,1,2,1,2,1,3,1,3,1,1,- -  -,
2000057073,Amos Aiviji,D (C),81%,12,9,4,6,12,11,7,6,12,5,7,2,5,12,15,5,7,2,10,3,1,5,1,1,1,1,4,1,5,3,1,9,3,3,6,1,1,3,1,3,3,3,2,3,3,3,3,- -  -,
30052946,Junior Albert,D (C),87%,12,10,6,12,12,12,8,8,10,8,8,6,6,9,8,5,4,5,8,5,1,6,3,2,3,4,3,1,9,2,1,13,4,1,10,3,1,2,2,3,2,2,3,3,3,1,2,- -  -,
2000036650,Yannick Albert,D (C),72%,12,11,5,8,10,9,11,3,7,9,7,4,9,11,4,5,10,4,10,4,1,6,1,1,1,4,4,3,9,1,1,11,4,1,13,1,1,1,3,1,2,2,1,2,2,3,2,- -  -,
28017376,Tom Aldred,D (C),84%,10,10,13,13,10,10,14,14,16,12,15,12,11,11,13,5,15,5,11,12,8,14,3,7,6,8,10,5,14,8,8,12,9,7,15,8,1,1,1,2,1,4,4,2,1,3,2,- -  -,
37042041,Uota Ale,D (C),69%,7,4,3,3,7,5,6,4,5,8,5,3,6,11,12,4,13,1,11,2,1,3,1,1,1,2,2,1,9,1,1,10,3,1,9,2,3,3,3,2,1,1,2,3,1,1,1,- -  -,
2000030198,Alexandre Sio,D (C),87%,5,8,11,8,10,8,3,7,10,12,10,7,12,9,9,4,10,7,11,11,4,10,4,1,1,5,6,1,8,4,1,9,6,3,10,4,4,3,3,1,2,4,4,2,2,3,2,- -  -,
2000047641,Jack Allatt,D (C),92%,8,6,7,13,14,10,13,14,17,9,17,6,11,6,7,5,13,9,9,9,5,14,7,4,3,3,4,3,13,4,3,9,6,1,12,5,1,1,3,3,2,1,1,3,4,3,3,- -  -,
15019018,Nick Ansell,D (C),80%,11,10,11,12,12,11,10,13,12,10,12,8,11,10,15,5,14,5,12,14,12,10,6,6,9,4,8,6,12,3,5,12,12,4,14,12,2,3,3,3,3,2,2,3,3,2,3,- -  -,
2000119509,Ashley Napoarapoe,D (C),73%,11,6,3,9,8,7,3,7,15,6,6,5,7,12,11,5,11,2,13,4,1,5,1,2,1,3,5,2,13,3,1,13,2,1,11,4,3,3,1,2,3,2,1,3,2,1,2,- -  -,
15055197,Jonathan Aspropotamitis,D (C),86%,11,9,12,12,15,10,12,12,14,12,14,12,10,10,15,6,10,5,13,13,7,11,8,5,6,5,7,8,12,6,7,13,7,4,12,7,1,1,1,3,2,2,2,3,3,3,2,- -  -,
88029659,Suivai Ataga,D (C),79%,7,5,5,9,8,4,6,6,12,6,6,7,5,7,9,5,9,4,10,5,2,5,1,2,1,2,7,1,12,5,1,9,4,2,11,4,2,2,3,1,1,2,1,3,4,3,1,- -  -,
2000095565,Peter Babka,D (C),79%,8,9,5,12,12,10,7,5,5,6,7,5,8,8,4,5,11,4,13,4,4,5,1,2,1,1,5,1,9,3,2,13,5,1,12,1,3,2,3,3,2,3,4,3,3,3,3,- -  -,
88024017,Poasa Bainivalu,D (C),72%,7,6,8,10,12,8,15,7,8,9,10,10,10,11,4,5,10,6,11,10,3,12,3,1,5,6,9,1,8,5,11,11,9,7,10,8,3,2,1,2,2,3,3,1,4,4,3,- -  -,Inj
88029618,Donatus Bandi,D (C),89%,11,12,4,4,14,13,11,4,5,9,7,5,5,13,4,5,9,3,13,4,1,6,3,1,1,3,1,1,10,1,4,6,1,1,6,1,4,3,1,1,2,1,4,2,1,3,3,- -  -,
97100855,Kévin Barbe,D (C),78%,13,12,6,8,15,10,11,7,9,7,6,4,5,13,7,5,12,5,13,5,4,6,3,1,2,2,6,1,11,2,3,11,6,4,11,5,1,3,3,2,1,1,1,1,2,4,2,- -  -,
