UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
19250021,Adryelson,D (C),95%,13,13,13,14,11,12,13,12,13,13,13,13,13,12,15,9,13,11,14,13,9,14,8,10,10,8,11,8,16,10,10,14,11,9,14,10,3,2,1,2,2,3,1,2,3,2,2,- -  -,Inj
79000020,Pablo Aguilar,D (C),85%,11,12,13,13,10,11,11,12,12,14,13,13,13,12,15,8,13,7,14,14,11,14,6,8,9,7,11,8,14,8,13,14,9,6,14,9,1,1,1,3,3,1,2,2,2,1,3,- -  -,
75044443,Lucas Alarcón,D (C),82%,10,11,12,13,11,10,12,14,11,12,14,9,12,11,12,6,11,7,11,12,6,10,3,5,6,4,8,5,13,5,8,12,8,4,13,7,3,4,1,1,1,1,3,2,3,4,3,- -  -,
745751,Antolín Alcaraz,D (C),86%,7,6,12,13,6,6,6,14,15,14,15,14,11,13,15,5,15,4,13,15,6,9,8,6,6,5,12,7,13,7,10,14,12,7,14,7,1,3,4,3,3,3,2,1,3,3,2,- -  -,
79000360,Robert Aldama,D (C),67%,9,6,11,14,11,11,12,13,14,12,13,7,12,11,13,5,10,7,12,12,7,10,6,4,4,5,8,2,13,6,8,13,9,8,13,7,4,3,3,1,1,3,1,3,2,1,4,- -  -,
19371630,Alysson,D (C),77%,11,11,9,12,10,11,12,12,11,11,11,11,10,12,14,6,9,9,11,13,8,11,6,4,9,8,10,3,12,7,5,11,11,9,12,10,2,3,1,1,2,2,1,1,3,2,2,- -  -,
14080997,Emiliano Amor,D (C),83%,9,10,15,13,14,13,14,14,14,13,15,10,12,12,12,8,10,9,13,13,15,13,7,8,8,9,9,9,15,9,10,14,11,10,14,10,2,1,2,1,1,3,2,2,2,2,1,- -  -,
19028157,Anderson Conceição,D (C),78%,12,8,11,15,12,12,13,14,14,13,13,13,14,12,13,6,15,9,13,13,10,13,7,8,9,7,11,7,14,8,7,13,9,11,14,8,1,1,1,1,1,1,1,1,1,1,1,- -  -,
78074512,Federico Andueza,D (C),91%,11,12,15,16,12,11,13,13,10,12,13,11,12,10,4,5,10,11,13,13,5,14,11,7,8,6,8,8,14,6,10,14,8,8,13,9,4,2,2,2,2,2,1,2,2,2,1,- -  -,
2000088475,Eugenio Aranda,D (C),82%,13,13,8,7,12,13,13,12,10,13,10,6,10,13,10,5,11,7,7,7,5,8,5,4,1,4,8,6,13,7,3,13,4,1,13,7,3,1,1,2,1,2,1,1,1,1,1,- -  -,
75058360,Dylan Aravena,D (C),90%,9,8,8,13,11,10,11,13,13,12,11,9,12,11,6,7,9,5,12,11,7,11,3,7,7,4,9,4,12,5,5,12,8,4,12,9,3,1,1,1,2,1,2,2,2,1,3,- -  -,
86011987,Robert Arboleda,D (C),73%,13,12,12,15,13,12,13,13,12,13,10,11,15,13,12,12,11,12,15,13,12,13,8,8,7,9,11,8,15,10,9,14,11,6,14,11,1,1,3,3,2,1,1,1,3,1,2,- -  -,
79033316,Ángel Arce,D (C),67%,13,11,8,16,9,11,13,6,8,10,10,3,11,13,8,5,9,6,13,7,3,8,4,2,4,7,6,1,13,4,7,13,8,6,13,5,3,1,1,3,1,2,1,2,2,1,2,- -  -,
79013838,Fabián Balbuena,D (C),88%,11,11,13,14,11,11,13,15,13,15,13,14,14,13,14,5,15,8,14,13,8,13,6,7,6,7,10,7,14,6,8,15,10,6,15,10,1,3,3,3,1,3,4,3,3,2,3,- -  -,
2000036347,Alcides Barbotte,D (C),83%,13,11,9,8,14,12,10,6,12,6,9,9,6,14,18,5,12,7,14,7,3,9,3,2,5,6,6,1,14,1,4,13,8,6,14,2,3,2,2,1,4,3,3,1,1,4,1,- -  -,
8835988,Nery Bareiro,D (C),85%,11,8,12,13,13,11,12,13,14,14,14,13,12,12,14,5,11,10,13,13,9,13,4,6,5,7,8,5,14,4,9,13,9,8,13,7,2,2,1,1,1,3,2,4,2,1,2,- -  -,
79034857,Junior Barreto,D (C),80%,13,10,12,13,11,11,12,13,13,13,14,10,10,12,12,5,11,7,11,10,8,13,8,6,8,10,8,5,12,10,3,12,9,6,12,7,3,3,2,2,2,3,1,2,2,3,2,- -  -,
14185013,Sergio Barreto,D (C),82%,10,10,14,14,13,12,14,14,12,15,9,9,15,13,14,10,8,9,14,12,11,15,6,9,8,8,9,2,15,11,10,14,13,10,14,10,1,1,1,1,2,3,2,4,4,3,2,- -  -,
2000150957,Kevin Berkeley,D (C),84%,13,9,7,8,14,13,4,7,12,11,9,7,7,13,4,5,13,4,13,6,2,7,3,3,1,5,7,1,11,5,4,13,3,1,13,2,1,2,3,3,1,3,1,1,2,4,4,- -  -,
14005539,Bruno Bianchi,D (C),91%,10,9,12,13,11,8,13,12,14,14,15,13,13,13,13,7,15,6,15,13,11,14,3,6,4,4,12,4,14,7,9,14,12,5,15,13,1,1,2,3,1,3,3,1,2,3,2,- -  -,
14210720,Patricio Boolsen,D (C),86%,10,11,13,12,12,11,13,15,12,14,10,10,12,12,13,7,9,11,13,11,9,12,6,8,11,8,10,5,11,7,8,13,11,8,13,13,2,4,1,3,2,1,2,2,3,2,1,- -  -,
2000084902,Maicol Borba,D (C),73%,10,9,8,15,9,12,5,7,9,11,9,7,8,13,12,5,9,7,14,7,4,8,3,2,3,1,10,1,14,3,6,14,11,5,14,11,2,1,2,3,3,3,2,2,1,1,2,- -  -,
19334013,Oscar Brizuela,D (C),86%,10,14,9,13,12,12,8,7,15,9,14,8,15,14,13,5,3,7,14,8,7,9,4,5,1,8,9,2,14,7,1,14,9,5,14,4,3,2,1,1,3,3,3,3,3,2,1,- -  -,
78083518,Santiago Brunelli,D (C),87%,11,11,13,15,7,11,16,13,15,11,14,9,14,9,13,7,14,7,13,15,10,12,5,7,8,9,12,4,14,7,4,13,10,4,12,10,1,1,1,2,2,2,3,1,4,1,4,- -  -,
19110275,Bruno Alves,D (C),71%,14,13,12,13,14,13,15,13,12,13,14,12,13,11,13,11,13,9,14,14,10,13,7,9,10,9,11,7,13,7,9,13,9,7,15,10,3,3,3,4,1,4,3,1,3,3,3,- -  -,
