UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
70056874,Yusuf Abdioğlu,D (C),90%,12,13,12,13,14,11,13,13,14,14,14,12,13,9,13,6,12,7,13,15,7,11,5,5,8,8,9,5,15,4,5,14,11,4,13,10,1,2,2,2,3,2,3,3,2,2,2,- -  -,
43007511,Daniel Adejo,D (C),86%,10,10,14,12,14,12,12,15,16,9,15,9,9,9,15,6,12,10,13,12,9,14,4,9,9,8,10,6,13,8,13,14,11,4,13,10,1,3,3,1,1,1,3,2,3,3,1,- -  -,
12000121,Khaled Adénon,D (C),88%,8,8,13,14,13,10,9,13,12,13,14,11,13,10,14,9,12,4,12,13,8,13,6,8,7,6,10,6,13,10,6,13,10,6,12,10,2,2,3,2,3,4,3,2,2,3,3,- -  -,
2000046325,Arsen Ağcabəyov,D (C),88%,12,12,6,9,12,13,3,8,6,11,6,2,9,12,2,5,14,4,12,5,5,6,1,1,1,1,6,1,9,5,5,13,6,1,12,3,2,2,2,1,3,2,3,2,2,2,3,- -  -,
70079807,Samet Akaydin,D (C),84%,13,13,13,15,13,13,14,14,18,12,18,10,13,9,14,6,11,10,13,14,8,15,5,5,8,6,8,4,14,4,4,14,10,7,14,9,4,2,3,1,2,2,3,1,3,3,1,- -  -,
70002723,Murat Akça,D (C),88%,11,12,10,13,14,11,14,14,16,14,15,12,14,11,13,3,9,8,13,12,10,12,3,6,10,4,9,9,14,5,8,13,11,5,14,11,1,1,1,1,3,1,3,2,1,4,2,- -  -,
2002083315,Ömer Akıncı,D (C),86%,11,9,16,8,17,10,12,5,12,10,11,7,9,11,13,4,10,7,12,18,7,14,6,7,5,6,12,5,11,6,3,8,9,4,11,8,1,1,1,3,3,1,3,2,3,2,3,- -  -,
19187876,Alysson dos Santos,D (C),84%,12,13,12,13,14,13,13,12,13,12,13,12,12,12,13,7,8,9,12,12,10,13,5,7,11,4,11,5,12,7,6,14,13,8,14,10,1,1,1,1,2,1,2,3,4,2,1,- -  -,
62143046,Nemanja Anđelković,D (C),85%,10,11,12,13,7,12,12,13,12,10,10,10,10,11,16,5,14,8,12,10,10,12,7,7,7,5,11,5,12,4,6,12,12,4,11,7,3,2,3,4,3,1,3,1,1,3,1,- -  -,
2000206462,Konstantinos Antonopoulos,D (C),75%,8,8,9,11,11,8,8,10,8,8,8,8,9,7,11,4,6,5,8,8,9,9,3,6,7,5,7,5,11,5,6,9,8,6,9,7,2,2,1,3,3,4,2,1,3,2,3,- -  -,Yth
