UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000203766,Arjan Abazi,D (C),76%,12,8,6,12,15,12,3,6,15,6,8,4,10,13,17,5,2,2,7,6,2,6,1,1,3,1,6,1,10,5,3,13,6,1,10,5,1,1,2,2,1,2,2,3,1,2,1,- -  -,
2000216516,Nicolò Accosta,D (C),81%,5,5,5,10,6,5,3,5,12,8,6,2,3,11,13,5,10,1,7,3,1,5,1,1,1,1,4,1,6,1,1,11,2,1,12,1,1,2,1,3,3,2,1,3,2,3,2,- -  -,
43017499,Francesco Acerbi,D (C),82%,10,10,15,16,20,11,15,15,15,17,15,14,14,13,19,11,14,9,15,15,12,15,3,9,7,9,12,8,17,3,3,15,13,9,17,12,3,3,3,1,2,2,3,1,1,1,2,- -  -,
43393674,Maicol Acquarelli,D (C),55%,11,10,3,6,12,11,6,8,5,9,6,1,6,9,15,5,9,1,11,2,1,3,1,1,1,1,1,1,7,1,1,11,3,2,8,1,2,2,2,2,2,3,2,1,3,1,2,- -  -,
43078070,Davide Adorni,D (C),83%,12,10,13,13,12,12,15,14,17,14,14,14,14,13,14,5,12,5,11,12,7,13,4,8,8,8,11,3,13,7,9,15,9,5,14,9,1,1,1,3,3,2,3,1,2,1,3,- -  -,
5785722,Andrei Agius,D (C),83%,5,5,7,12,11,8,10,11,10,12,12,10,10,9,14,7,14,9,12,12,2,11,1,4,3,4,5,2,13,2,4,12,7,4,12,6,2,2,1,1,2,2,2,3,1,3,1,- -  -,
14202910,Juan Cruz Aguilar,D (C),81%,13,10,7,11,13,13,11,5,5,8,8,7,7,13,11,5,11,6,12,6,2,7,4,3,1,2,6,1,12,1,2,13,7,1,13,1,1,2,3,3,4,2,2,1,2,1,1,- -  -,
13209132,Benjamin Agyare,D (C),78%,13,13,7,10,12,14,7,7,10,13,9,6,9,12,11,5,6,6,13,6,5,7,1,1,2,1,7,1,13,1,1,14,7,4,14,4,1,3,1,3,3,2,1,3,1,2,2,- -  -,
98009096,Arlind Ajeti,D (C),87%,10,11,15,12,12,11,13,16,14,12,11,13,10,11,15,4,12,8,13,11,6,11,4,6,6,7,10,4,14,7,10,13,9,8,14,9,1,3,2,3,2,2,3,2,3,4,2,- -  -,Inj
2000208833,Joao Henrique Alessi Castanha,D (C),71%,11,8,7,14,14,8,5,8,8,5,5,5,7,13,11,6,6,2,12,6,5,5,1,1,3,1,4,1,12,4,1,12,5,1,10,5,4,2,2,3,2,3,2,2,2,1,2,- -  -,Yth
60032113,Luca Angelini,D (C),80%,4,3,3,10,10,4,3,4,10,8,6,3,6,12,12,5,11,3,12,3,1,4,1,1,1,1,4,1,7,1,1,13,4,1,12,1,4,2,1,2,4,2,3,3,2,1,1,- -  -,
2000208621,Oleg Antkotovych,D (C),50%,12,11,4,11,8,12,3,3,14,3,6,1,10,7,11,5,9,1,13,3,1,4,1,1,1,1,3,1,5,3,1,9,4,1,4,1,2,1,3,3,1,4,1,1,2,3,1,- -  -,
43486341,Andrei Antonio Anton,D (C),83%,12,10,8,12,14,11,7,7,13,10,8,6,7,14,16,6,5,2,13,6,1,6,3,1,1,1,6,4,13,1,1,12,3,1,13,3,4,2,1,1,2,1,3,3,2,3,1,- -  -,Yth
47037388,Ferdinando Apap,D (C),88%,12,11,11,16,10,12,12,10,11,6,11,11,8,8,13,7,12,6,6,5,8,9,6,4,7,7,6,1,15,6,4,11,8,6,10,8,3,3,1,2,4,2,2,1,1,3,1,- -  -,
43109322,Nicholas Arrigoni,D (C),78%,9,8,10,12,15,9,7,8,7,8,7,9,9,8,9,5,10,6,10,9,7,8,5,6,5,5,7,5,7,6,7,9,8,6,9,7,1,1,1,1,1,1,1,1,1,1,1,- -  -,
11022263,Sodiq Atanda,D (C),85%,11,10,12,10,11,10,10,13,10,11,12,13,12,9,10,8,9,11,11,10,8,11,8,10,9,7,12,8,13,7,8,14,12,7,12,11,1,3,2,1,2,3,3,3,3,1,2,- -  -,
62220461,Anto Babić,D (C),85%,11,11,11,11,12,11,12,13,9,11,11,11,12,12,13,5,13,8,11,10,8,12,7,7,7,5,11,10,12,7,7,12,11,13,12,8,1,1,2,1,1,2,2,1,1,1,3,- -  -,
62178147,Medin Bajrami,D (C),83%,14,13,8,10,13,13,5,9,7,10,9,8,8,14,13,5,9,7,13,7,4,8,3,7,2,7,8,1,12,2,1,12,8,3,7,5,1,2,3,1,3,1,3,2,3,3,4,- -  -,
2000172578,Reart Bajrami,D (C),68%,9,11,8,9,9,9,6,10,6,6,4,3,9,12,8,5,10,2,13,5,5,7,4,1,1,1,5,1,13,1,4,13,7,1,13,1,3,1,2,2,2,1,2,1,1,2,2,- -  -,
2000120820,Adin Bajrić,D (C),89%,12,11,6,8,13,9,11,8,6,6,5,6,9,12,15,6,5,3,13,4,2,6,1,1,1,1,2,3,12,3,2,12,6,1,13,5,2,1,1,2,2,2,2,2,2,1,1,- -  -,
43091093,Mattia Bani,D (C),89%,11,13,13,14,15,13,13,15,14,15,13,12,13,13,12,6,10,8,13,14,9,13,6,10,8,8,11,7,15,8,10,13,12,8,14,12,1,1,1,2,1,4,1,1,3,2,1,- -  -,
62093794,Jovan Baošić,D (C),86%,9,11,9,14,15,9,11,12,14,10,11,9,12,10,11,5,10,7,11,8,6,10,4,6,6,9,7,7,12,7,5,12,9,7,11,7,3,3,2,2,4,2,3,1,1,3,3,- -  -,
43087000,Alberto Barison,D (C),93%,11,11,13,12,13,11,12,13,12,12,12,14,12,12,12,12,11,12,12,14,11,12,8,11,12,10,12,7,13,11,12,12,11,7,12,7,2,1,1,1,1,3,1,1,3,3,1,- -  -,
43117691,Antonio Barretta,D (C),91%,12,9,4,7,10,12,9,11,9,10,3,4,6,12,13,5,9,1,8,3,1,4,1,1,1,1,4,1,11,1,1,12,4,1,12,3,3,2,1,3,3,1,2,3,1,2,2,- -  -,
43252460,Alessandro Bastoni,D (C),83%,14,14,16,16,17,14,15,16,14,16,16,13,16,14,16,12,12,11,14,17,15,15,4,10,11,8,14,5,15,5,12,15,15,8,17,14,1,3,2,1,1,2,4,3,3,2,3,- -  -,
43000005,Giuseppe Bellusci,D (C),83%,10,10,13,12,18,10,12,15,19,14,16,11,12,12,15,11,18,6,14,13,10,14,6,10,10,6,9,11,13,12,9,13,10,9,14,9,1,3,2,1,2,1,2,2,3,2,1,- -  -,
43061205,Davide Bertoncini,D (C),79%,10,9,13,14,16,10,12,12,9,14,11,12,12,12,12,5,10,9,12,11,8,11,7,9,6,4,11,5,14,3,8,13,12,4,14,11,2,4,3,4,3,3,1,3,1,1,3,- -  -,
43316726,Davide Bettella,D (C),84%,13,13,13,13,14,14,13,14,12,13,12,11,12,11,15,6,9,7,13,11,9,12,5,7,6,6,12,7,14,10,11,14,11,6,14,10,1,2,2,2,1,1,2,3,1,2,3,- -  -,
19179987,Bianor Neto,D (C),79%,13,12,7,12,16,12,12,10,12,10,8,5,6,10,1,5,2,5,13,5,1,7,3,1,1,3,6,3,8,3,1,13,5,3,13,3,2,1,2,2,2,3,1,3,3,2,1,- -  -,
28122833,Luis Binks,D (C),84%,10,11,13,13,8,9,12,15,13,13,14,12,13,12,12,10,12,13,14,13,11,11,3,6,6,4,10,3,14,3,8,13,11,3,14,11,2,4,2,1,3,2,2,3,1,2,2,- -  -,nEU
60000079,Juri Biordi,D (C),80%,5,4,9,12,7,6,7,13,17,8,12,5,7,7,13,4,14,4,11,8,5,5,3,3,3,5,5,5,9,3,6,10,5,3,10,4,1,1,1,1,1,1,1,1,1,1,1,- -  -,
11022929,Eneo Bitri,D (C),78%,13,12,8,10,13,13,12,13,5,10,10,8,13,13,16,5,13,4,13,7,7,9,5,2,7,7,8,5,13,2,3,11,9,4,13,4,3,1,1,2,1,1,3,2,3,2,2,- -  -,
1410956,Leonardo Bonucci,D (C),84%,11,11,11,14,15,10,10,15,11,18,17,15,15,13,20,10,20,6,19,16,17,12,4,9,7,10,14,12,15,12,5,14,17,12,13,13,2,2,1,1,3,1,3,2,2,2,2,- -  -,
2000107565,Luka Boričić,D (C),84%,13,10,8,12,13,14,9,10,11,9,10,8,11,13,14,5,12,4,13,7,6,8,2,1,5,4,7,1,13,6,4,13,6,4,13,7,3,3,2,3,2,1,2,2,2,3,1,- -  -,
19009397,Éric Botteghin,D (C),88%,8,7,15,16,12,7,11,15,12,15,14,13,15,13,12,9,14,9,14,14,12,16,6,5,8,8,12,8,16,7,8,14,8,6,15,10,2,2,2,1,3,1,2,2,3,2,2,- -  -,
2000162458,Luca Bottoni,D (C),72%,11,10,4,8,13,10,6,3,5,4,6,4,8,5,17,5,8,2,13,3,1,4,1,3,1,1,4,1,6,1,1,13,2,1,10,3,1,2,1,1,1,3,1,1,2,2,3,- -  -,
19270493,Bremer,D (C),85%,14,13,13,16,16,15,14,18,14,18,13,13,15,14,16,7,10,7,13,12,13,14,4,6,10,10,11,5,15,7,5,18,12,5,17,12,1,1,2,2,2,2,3,3,1,1,4,- -  -,nEU
43061484,Andrea Brighi,D (C),81%,10,9,10,11,12,11,10,9,8,10,9,7,9,10,10,7,10,10,11,9,6,8,6,7,6,6,8,6,11,6,8,10,9,10,11,7,2,1,2,6,3,1,2,1,3,2,2,- -  -,
24051735,Mihael Briški,D (C),84%,12,10,12,12,15,12,10,13,11,14,11,13,10,11,6,12,12,9,12,6,11,11,2,6,8,9,11,3,12,13,8,12,7,7,12,9,1,2,3,3,1,3,3,3,2,3,3,- -  -,
43081382,Mattia Caldara,D (C),81%,12,11,12,15,9,11,12,14,12,13,11,12,12,12,14,7,12,7,15,13,10,13,4,4,6,9,11,4,15,6,11,14,13,8,13,11,3,4,1,1,3,4,1,3,1,2,1,- -  -,
43009070,Michele Camporese,D (C),85%,10,10,13,15,12,11,15,14,14,14,13,12,12,13,13,10,10,9,12,12,9,13,5,5,7,8,9,7,16,5,11,14,10,6,13,8,1,3,1,1,2,2,1,1,2,2,2,- -  -,
43317665,Simone Canestrelli,D (C),85%,12,12,12,14,14,12,12,13,14,13,11,11,12,15,14,3,12,8,14,10,12,12,2,3,5,4,10,2,13,5,3,12,11,3,13,9,1,2,1,2,2,1,2,1,2,2,3,- -  -,Inj
43094086,Elio Capradossi,D (C),53%,13,13,12,13,13,13,12,13,12,13,10,12,13,12,13,7,8,7,12,12,8,12,4,9,9,10,10,6,12,9,11,13,12,5,13,11,3,1,1,2,1,2,3,2,1,1,1,- -  -,
43612951,Nicola Carlini,D (C),100%,11,9,4,8,12,6,4,1,9,7,4,2,7,12,15,5,1,1,8,2,1,3,1,1,1,1,3,1,9,1,1,8,1,1,12,1,1,1,2,3,1,1,2,3,2,1,3,- -  -,Inj
14010471,Oscar Carniello,D (C),85%,8,6,12,9,13,9,13,12,14,13,13,11,12,8,14,5,13,8,13,13,7,13,4,5,5,8,8,7,13,7,11,12,11,6,13,7,3,3,1,2,2,4,2,4,3,3,3,- -  -,
156330,Luca Ceppitelli,D (C),84%,9,10,12,15,15,11,10,12,13,13,13,12,14,12,13,4,10,9,13,14,7,14,2,8,5,9,9,3,15,10,9,14,12,3,14,7,3,3,3,3,3,2,1,2,1,2,3,- -  -,
