UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
41025562,Rahman Abanda,D (C),69%,7,9,7,7,11,9,11,8,12,9,9,8,7,10,17,5,12,7,13,7,7,8,4,7,1,6,8,2,11,4,2,14,8,5,14,6,1,4,1,2,2,3,3,2,2,3,1,- -  -,
41026350,Haudi Abdillah,D (C),83%,10,13,7,8,9,13,8,8,12,11,9,7,11,8,1,5,5,3,8,6,2,3,1,1,4,4,5,1,10,1,2,14,5,2,13,3,2,1,2,1,2,4,3,3,2,2,1,- -  -,
23342370,Azharuddin Abdul Ghani,D (C),85%,12,11,3,5,7,11,8,2,9,5,5,1,6,6,7,5,12,1,8,2,1,3,1,1,1,2,3,1,8,1,1,4,1,1,9,1,3,3,3,1,3,3,3,1,2,1,3,- -  -,
1037656,Muhd Khairuddin Abdul Kadir,D (C),71%,5,5,5,5,12,4,3,6,5,4,7,3,3,13,18,4,11,4,13,4,1,5,4,3,1,3,5,1,12,4,1,13,5,1,9,2,2,2,3,2,2,1,2,2,4,2,2,- -  -,
23342530,Muhd Hardyman Abdul Lamit,D (C),80%,5,9,3,8,9,8,4,2,11,7,5,1,4,13,5,5,1,1,4,2,1,4,1,1,1,1,2,1,9,1,1,10,4,1,9,1,3,1,3,2,3,2,1,1,1,2,1,- -  -,
23342425,Mohd Qamarulluddin Abdul Rahim,D (C),79%,9,10,3,3,17,8,2,2,12,5,4,3,5,11,15,5,11,1,10,1,1,2,1,1,1,1,2,1,4,1,1,11,1,1,8,1,2,1,2,2,2,2,2,2,2,1,3,- -  -,
8650903,Shahrul Rizal Abdul Rahman,D (C),76%,5,5,4,9,13,5,5,5,6,6,8,7,8,13,4,4,5,5,9,6,5,7,3,5,1,2,6,1,7,2,1,10,4,4,10,4,1,3,1,2,4,2,2,2,2,3,3,- -  -,
23342284,Mohd Fardaus Abu Bakar,D (C),75%,9,12,4,1,8,12,4,7,14,5,6,4,5,10,14,5,11,3,11,3,3,4,1,1,1,1,2,1,9,2,1,12,1,1,9,3,3,2,1,2,3,3,3,3,2,2,1,- -  -,
41066695,Yuswanto Aditya,D (C),81%,13,12,6,3,16,12,4,6,12,9,8,6,5,13,18,5,14,5,13,6,2,6,1,1,6,1,5,1,13,3,1,11,6,1,13,4,1,3,2,3,1,1,1,1,4,3,1,- -  -,
13170481,Bernard Agele,D (C),90%,11,13,7,7,14,11,11,10,10,10,9,6,11,10,15,5,3,5,13,6,5,7,1,1,4,1,5,3,11,1,3,13,4,2,13,1,3,3,1,3,2,3,3,3,1,3,4,- -  -,
23352780,Amani Aguinaldo,D (C),87%,11,10,9,11,12,10,11,11,15,13,13,10,12,12,8,6,7,3,13,5,3,8,2,3,3,4,9,2,11,3,3,13,7,5,11,6,1,1,1,3,1,1,2,1,3,2,3,- -  -,
23342421,Mohd Khalil Ahmad Kamil,D (C),79%,10,10,4,4,12,8,7,2,5,6,5,1,5,6,11,5,9,1,12,2,1,3,1,1,1,1,2,1,7,1,1,12,3,1,9,1,4,2,3,2,1,1,2,3,4,2,1,- -  -,
23203190,Ahmad Haziq Ahmad Puad,D (C),54%,12,12,5,8,5,12,11,7,7,7,7,5,8,12,3,5,9,2,10,4,1,6,1,1,1,3,4,1,8,2,1,12,4,1,9,2,4,1,1,2,1,2,3,2,2,1,1,- -  -,
23426906,Mohd Heshamudin Ahmad,D (C),68%,10,11,5,5,9,10,8,7,8,8,7,4,9,9,14,5,3,4,10,3,4,5,2,1,1,2,4,1,9,1,1,13,4,1,13,4,4,2,2,2,4,2,1,1,2,2,3,- -  -,
23047435,Mohd Muslim Ahmad,D (C),90%,8,6,6,11,17,6,7,7,12,8,7,7,7,13,7,5,14,6,10,6,1,7,2,1,1,4,7,1,8,5,1,11,7,1,12,5,2,1,3,2,3,1,2,2,2,2,2,- -  -,
23342291,Mohd Nor Akmal Hayat Ahmad,D (C),79%,13,11,4,8,10,9,11,12,7,3,2,5,5,13,1,5,1,3,6,4,2,6,2,1,1,1,4,2,8,1,4,6,2,1,8,1,4,3,2,3,3,2,3,3,2,1,2,- -  -,Inj
19157376,Aírton,D (C),82%,12,10,10,16,13,12,13,14,12,12,13,10,11,11,12,6,11,9,13,13,8,12,3,8,8,7,8,4,13,9,9,12,9,9,12,8,1,2,3,3,3,2,3,2,3,2,1,- -  -,
2000093499,Abbel Akwensivie,D (C),78%,12,8,6,3,13,10,5,9,11,8,6,4,8,13,15,5,12,4,10,4,1,4,1,1,1,1,4,1,6,1,1,11,3,3,5,1,2,3,3,2,1,2,2,1,1,2,2,- -  -,
23238345,Yazan Al-Arab,D (C),81%,14,12,9,9,18,14,8,14,10,11,10,9,10,14,15,5,7,8,14,8,6,9,2,5,3,5,9,6,14,4,7,14,9,3,14,8,1,3,1,1,4,3,2,1,1,2,2,- -  -,Opt
23222950,Amer Hakeem,D (C),81%,12,9,5,14,12,11,3,6,15,6,7,6,5,13,4,5,12,4,12,4,1,5,2,1,1,2,5,1,7,1,1,11,3,1,10,1,1,2,2,2,2,2,2,1,3,3,1,- -  -,
23494360,Wafi Aminuddin,D (C),90%,6,10,6,10,12,10,7,7,12,10,4,6,8,14,14,5,6,4,11,5,3,6,3,1,1,1,6,1,8,5,3,9,4,1,7,4,1,1,3,2,1,3,3,1,2,3,3,- -  -,
23342304,Kasim Amit,D (C),81%,14,14,6,2,12,14,5,4,10,9,7,6,10,7,9,5,6,5,6,5,4,6,3,1,1,1,5,2,7,4,1,14,5,1,11,1,4,3,2,1,1,3,1,2,2,1,1,- -  -,
66035911,An Sae-Hee,D (C),80%,9,10,8,11,12,9,7,9,11,12,11,10,11,13,10,7,12,5,10,12,9,11,4,4,6,4,8,5,10,5,6,11,10,8,10,7,1,1,1,2,3,2,2,3,1,2,1,- -  -,
23378720,Muhd Amirul Ashraf Ariffin,D (C),71%,11,11,3,6,9,11,8,11,12,4,5,2,4,11,12,5,11,1,11,2,1,4,1,1,1,1,3,1,8,1,1,8,3,1,7,1,1,3,2,4,3,1,1,3,2,4,4,- -  -,
19072024,Arthur,D (C),83%,7,8,7,16,14,7,5,6,8,11,8,6,10,12,14,5,11,3,11,7,2,8,4,2,3,3,8,1,12,7,6,14,6,1,14,7,3,1,2,3,1,1,1,2,1,3,2,- -  -,
41015817,Fachrudin Aryanto,D (C),85%,8,9,8,10,14,10,10,11,9,11,12,10,9,10,13,7,13,6,11,12,8,10,7,4,4,5,8,7,11,4,7,12,12,8,11,8,1,1,2,1,1,1,2,4,3,2,1,- -  -,
23342279,Nur Hazwan Khan Asmah Khan,D (C),74%,12,10,2,5,12,9,3,1,11,5,1,1,6,12,3,5,5,1,10,2,1,3,1,1,1,1,1,1,2,1,1,12,3,1,8,1,3,1,3,1,1,1,2,3,2,3,3,- -  -,Inj
23405002,Aung Hein Soe Oo,D (C),83%,9,11,6,1,11,11,4,1,7,12,7,6,6,13,6,5,3,1,10,5,3,6,2,1,1,1,3,1,9,4,1,14,5,1,11,1,1,1,2,3,2,2,2,4,1,1,1,- -  -,Yth
23348876,Aung Thu,D (C),69%,14,14,6,5,16,14,8,6,12,10,6,5,6,6,12,5,14,3,6,5,1,6,2,1,3,1,4,3,9,2,1,14,4,1,10,1,1,2,1,2,4,3,3,3,3,3,3,- -  -,
8650909,Mohd Saiful Rizal Awang,D (C),75%,11,11,2,8,13,11,3,5,11,4,4,1,7,9,12,5,1,1,11,1,1,2,1,1,1,1,1,1,9,1,1,11,1,1,9,1,3,1,1,3,3,1,1,2,1,3,3,- -  -,
23342269,Mohd Fakrullah Azanie,"D (C), ST (C)",81%,12,12,2,3,11,12,8,1,15,7,2,5,3,2,4,5,4,7,6,1,1,3,1,1,3,4,1,2,5,1,1,4,2,1,3,3,2,3,2,3,3,2,1,3,2,1,2,- -  -,
43204336,Marco Ballini,D (C),36%,10,7,10,12,6,8,10,10,7,12,10,7,12,10,14,6,6,6,10,8,7,7,5,8,6,4,7,7,10,7,16,10,9,6,10,7,1,2,1,1,1,3,3,3,4,1,4,- -  -,
41022781,Yanto Basna,D (C),77%,11,12,9,5,10,11,14,14,5,12,10,6,13,12,2,5,10,6,11,8,3,9,6,3,1,5,9,7,11,3,4,12,6,1,11,8,3,3,1,3,2,1,2,2,3,2,1,- -  -,
91123788,Manuel Bihr,D (C),87%,10,10,11,12,13,11,13,13,12,12,12,10,11,12,10,10,8,9,13,11,11,13,5,6,8,6,10,5,12,5,4,12,11,4,13,10,2,1,2,1,2,2,3,2,2,2,1,- -  -,
23342604,Junaidi Brahim,D (C),66%,7,8,4,3,11,8,4,2,8,2,6,4,6,13,5,5,9,2,13,3,2,4,1,1,1,1,2,1,3,1,3,11,3,1,9,1,1,1,3,3,2,2,3,4,2,3,2,- -  -,
19054535,Brinner,D (C),81%,11,10,8,14,12,10,10,10,11,14,12,13,13,12,15,12,12,9,12,13,9,8,5,4,6,7,10,4,13,4,2,12,10,9,12,11,3,3,2,2,1,3,2,3,1,3,1,- -  -,
2000183582,Chonnapat Buaphan,D (C),85%,11,10,9,12,11,10,13,10,13,12,12,10,12,12,12,6,5,3,12,9,5,6,3,5,4,5,7,3,14,3,4,12,8,4,11,5,4,2,3,3,1,3,2,1,2,1,1,- -  -,
41009915,Gunawan Dwi Cahyo,D (C),81%,11,8,7,11,15,9,11,9,8,9,12,8,8,10,9,5,11,6,10,10,8,9,4,7,8,8,7,2,10,5,7,9,8,5,9,7,3,2,2,2,1,2,1,3,1,2,1,- -  -,
19191285,Cássio,D (C),94%,9,10,13,16,14,10,12,16,14,11,13,11,12,9,13,5,14,8,11,13,8,13,6,7,7,6,9,5,13,8,7,13,9,7,13,9,2,3,1,2,1,2,3,2,3,1,3,- -  -,
2000073454,Chan Sophea,D (C),65%,6,8,4,6,11,7,8,7,15,8,5,4,4,12,11,5,12,2,9,3,1,4,1,1,1,3,2,1,9,3,3,11,1,3,12,3,3,2,2,1,2,1,3,1,1,1,1,- -  -,
64046218,Phoomy Chanthalungsy,D (C),75%,13,12,3,2,12,12,2,1,11,8,6,2,5,12,17,5,14,2,5,2,1,5,1,1,1,1,3,2,5,1,1,10,3,2,12,1,3,1,3,2,1,1,3,3,3,3,1,- -  -,
2000143827,Chhom Sokhay,D (C),82%,10,13,3,4,6,11,2,4,14,7,4,4,6,13,15,5,7,2,12,2,1,3,1,1,1,1,3,1,8,1,1,11,2,1,5,1,2,3,4,3,3,2,1,2,1,2,1,- -  -,
23281881,Thossapol Chomchon,D (C),78%,10,9,9,10,11,10,10,9,11,10,13,10,10,9,15,5,13,3,10,9,4,8,4,3,5,3,8,3,10,4,15,10,8,4,11,5,2,1,2,3,3,1,3,2,1,3,2,- -  -,
23198984,Kingsley Chukwudi,D (C),81%,5,10,7,13,12,7,4,6,14,13,9,6,7,12,11,5,8,6,13,6,5,7,3,1,1,2,7,1,13,1,1,13,6,3,13,6,3,1,3,2,2,2,1,3,1,3,2,- -  -,Wnt
2000035510,Jordão da Silva,D (C),79%,9,5,5,12,15,7,10,6,13,4,7,2,11,11,11,5,9,1,8,4,2,5,2,2,3,1,4,1,11,3,1,13,5,1,13,4,1,1,2,3,2,3,1,1,3,3,3,- -  -,
23342486,Muhd Hafiy Danan,D (C),83%,8,10,2,6,12,10,6,4,11,6,4,1,5,10,7,5,12,1,11,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,4,1,2,3,2,2,3,2,3,3,3,2,2,- -  -,
2000157733,Afizal Danilo,D (C),80%,14,11,4,10,12,13,5,5,12,6,8,5,8,9,11,5,11,6,10,6,4,7,5,1,1,1,6,1,7,1,1,12,7,1,9,4,3,3,2,1,2,3,1,1,3,3,1,- -  -,Int
23494104,Danish Iftiqar,D (C),94%,10,7,4,4,6,8,2,6,11,9,5,3,6,11,10,5,3,1,11,2,1,3,1,1,1,1,2,1,6,2,1,8,4,1,12,1,2,1,1,1,3,3,3,1,4,3,1,- -  -,
23299483,Dao Duy Khanh,D (C),88%,8,7,9,10,8,8,9,8,10,10,9,8,11,9,7,4,8,4,11,4,6,8,3,3,4,4,5,3,10,6,5,9,7,4,11,5,1,3,1,3,1,3,1,3,3,2,1,- -  -,
23462802,Dao Van Nam,D (C),77%,10,10,9,10,11,9,10,10,4,8,6,7,7,10,8,4,9,5,10,8,4,8,3,3,3,3,4,3,11,4,5,10,6,4,11,7,4,3,3,1,1,2,2,2,3,3,3,- -  -,
18080224,Pape Diakité,D (C),92%,9,8,14,15,17,11,13,16,13,8,16,8,12,10,12,4,6,7,9,12,6,11,6,6,7,6,9,6,14,7,3,12,9,6,14,10,2,3,3,2,3,2,2,2,1,1,2,- -  -,
2000211768,Mar Diano,D (C),86%,12,14,7,7,12,14,6,8,5,9,8,4,6,10,16,5,7,6,13,6,5,6,3,2,5,2,6,1,13,5,1,11,5,4,11,3,3,1,2,3,3,1,1,1,1,2,3,- -  -,
23299504,Diep Hoai Xuan,D (C),79%,13,9,6,10,15,13,12,5,13,8,8,3,6,7,18,5,14,4,13,5,5,7,1,2,2,1,5,1,8,2,1,13,4,1,13,1,1,2,1,3,2,2,4,4,2,3,1,- -  -,
93053880,Elias Dolah,D (C),86%,11,8,10,13,12,9,12,12,13,13,12,11,11,12,11,5,4,2,12,8,3,10,3,5,5,8,11,4,13,4,9,12,11,3,13,5,2,1,1,3,3,1,1,3,3,3,3,- -  -,
23267418,Dominic Tan,D (C),78%,11,10,6,8,8,11,12,6,8,12,7,6,7,13,3,5,12,5,13,5,3,7,2,1,2,5,6,1,11,5,2,12,6,5,7,3,3,1,2,1,2,1,3,1,2,1,1,- -  -,
23295987,Duong Thanh Hao,D (C),78%,7,10,11,9,8,8,10,8,9,11,10,9,11,11,9,6,10,4,12,5,4,8,3,4,4,3,6,2,11,4,9,10,7,6,12,7,4,1,2,1,2,1,2,3,2,2,4,- -  -,
41000909,Fabiano Beltrame,D (C),100%,5,6,6,11,10,8,7,9,9,11,10,4,11,12,6,5,14,7,11,8,2,10,5,6,1,1,7,6,11,8,7,10,8,2,10,8,2,1,1,1,1,2,1,2,2,2,3,- -  -,
