UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
95054075,Amine Abdou,D (C),100%,11,9,4,14,13,9,7,5,13,7,3,4,5,12,3,5,10,3,4,3,1,3,1,1,1,1,3,1,6,2,1,6,3,1,11,1,1,2,2,3,2,1,1,2,3,3,1,- -  -,
13153801,Abdul,D (C),87%,11,9,12,12,13,11,12,15,15,13,13,10,13,12,7,7,13,12,12,12,5,13,2,3,6,2,10,1,11,8,7,13,8,6,12,10,3,4,3,1,3,3,2,2,3,2,3,- -  -,
2000226171,Rúben Adérito,D (C),80%,8,12,3,15,14,11,9,8,6,5,8,3,8,13,12,5,5,2,12,6,1,6,2,1,3,2,6,3,6,1,1,13,6,1,13,1,3,1,1,2,1,2,1,1,1,1,3,- -  -,
83174377,Agenor,D (C),84%,14,14,8,12,7,14,10,8,12,13,9,8,8,14,14,5,8,6,8,8,2,8,1,1,4,4,8,1,12,3,3,11,8,1,12,4,2,3,1,4,1,1,2,2,3,2,2,- -  -,
2000196570,Danilson Alberto,D (C),77%,10,12,8,6,7,13,8,8,12,6,8,7,8,14,5,6,10,3,13,6,4,6,4,1,1,1,6,3,13,1,6,14,5,4,13,4,3,1,1,2,3,1,2,3,2,2,1,- -  -,
95058446,Ahamada Ali,D (C),79%,7,7,4,10,13,5,9,6,13,7,6,4,8,12,7,5,12,3,7,3,1,5,1,1,1,1,3,1,12,2,1,11,1,1,7,1,1,3,3,2,2,4,3,2,1,3,1,- -  -,
13183267,Andry,D (C),74%,12,10,7,12,12,9,5,6,6,13,7,3,8,13,5,4,4,4,13,6,3,7,1,3,1,1,4,2,9,5,2,12,6,3,13,6,1,1,2,2,1,4,3,3,2,1,1,- -  -,Inj
95058460,Nassuhou Anli,D (C),57%,8,10,3,13,14,10,4,5,11,9,7,3,6,11,4,4,1,2,7,2,1,3,1,1,1,1,2,1,10,2,1,4,3,1,9,1,3,2,1,2,3,1,1,3,1,2,2,- -  -,
95054073,Ismael Athoumane,D (C),50%,11,7,3,11,9,10,5,4,5,9,5,3,4,11,9,5,9,2,9,2,2,4,1,1,1,1,2,1,11,1,1,7,1,1,8,2,3,2,1,1,3,1,3,2,2,1,3,- -  -,
13165869,Faustin Bakodila,D (C),86%,7,9,10,13,7,8,6,9,13,12,10,10,10,12,10,5,6,10,16,10,7,11,6,5,4,8,6,4,11,5,8,12,3,5,15,6,2,1,2,1,2,2,3,3,2,1,1,- -  -,
2000009753,Carlos Balsa,D (C),79%,11,9,5,11,10,10,7,6,13,5,6,4,3,12,10,5,11,2,12,3,1,4,1,1,1,1,3,2,11,1,1,11,4,1,12,1,3,1,4,3,3,1,1,1,1,2,2,- -  -,
2000162867,Isenge Banda,D (C),80%,13,13,7,7,7,13,7,6,9,9,7,6,9,13,16,5,6,6,10,6,1,7,2,1,2,1,7,1,11,1,2,13,7,1,13,6,3,3,2,1,1,3,3,1,2,2,3,- -  -,
13208564,Peter Banda,D (C),76%,14,14,8,3,11,14,6,5,14,8,9,8,11,14,20,5,5,7,14,7,1,8,5,3,1,5,8,1,14,2,1,13,6,3,13,7,2,4,1,2,2,2,4,1,1,2,2,- -  -,
2000166568,Shadreck Banda,D (C),91%,6,6,13,12,14,5,7,12,8,10,10,16,11,11,1,5,11,9,9,9,7,10,5,5,4,1,9,3,13,5,6,12,8,5,11,5,2,2,2,3,2,2,1,1,2,3,2,- -  -,
