UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000215024,Zayd Abada,D (C),56%,13,14,5,4,13,12,5,4,10,8,7,4,9,14,14,5,7,4,10,5,1,4,3,1,1,3,2,1,10,1,1,12,4,1,11,3,3,4,3,3,4,3,3,2,3,3,1,- -  -,
52036394,Jonny Addis,D (C),81%,10,10,12,12,12,9,12,11,9,9,11,15,11,12,11,8,13,7,11,13,13,11,7,6,13,5,11,7,5,7,16,10,14,9,10,11,3,3,1,2,3,2,3,2,2,1,4,- -  -,
93064994,Anel Ahmedhodžić,D (C),80%,14,10,13,16,12,14,14,13,14,15,14,14,14,15,15,10,12,10,13,11,13,11,5,12,11,5,12,7,15,7,7,13,14,8,14,13,1,1,2,2,3,3,3,3,3,1,2,- -  -,Set
29193532,Sam Allardyce,D (C),94%,11,10,10,12,8,9,10,10,13,9,10,9,8,7,10,4,9,7,9,12,7,10,4,3,7,4,8,5,12,3,7,10,8,5,10,8,4,3,2,3,3,3,2,3,2,3,3,- -  -,Ask
27069975,Joachim Andersen,D (C),81%,13,11,13,17,14,13,13,14,12,15,13,15,13,13,15,11,13,11,14,14,13,12,8,9,9,6,13,11,13,8,5,15,15,9,14,14,3,2,1,1,3,3,2,3,1,3,3,- -  -,Set
29084773,Myles Anderson,D (C),80%,9,10,9,13,11,11,12,9,10,9,7,7,9,8,1,7,8,7,8,9,8,10,3,3,1,5,7,7,11,5,6,10,9,8,11,8,2,3,2,1,1,1,3,1,3,3,1,- -  -,
28059786,Tom Anderson,D (C),88%,8,7,11,16,11,7,14,13,12,10,16,12,12,11,14,2,16,6,12,14,6,14,6,6,3,6,8,4,14,4,8,13,8,2,13,6,2,1,3,3,1,3,4,3,2,1,4,- -  -,
29132088,Adam Anson,D (C),86%,9,7,8,12,9,8,8,12,10,9,12,6,10,10,16,2,12,9,11,11,9,7,4,6,6,4,7,4,12,6,10,12,6,6,11,5,1,2,2,1,3,3,3,3,2,3,4,- -  -,
2000064698,Þorsteinn Aron Antonsson,D (C),87%,14,8,7,17,6,12,12,8,15,11,9,8,10,14,9,5,10,5,10,7,5,8,2,3,2,2,8,1,14,1,3,13,8,3,11,6,2,3,2,2,3,3,1,2,2,1,1,- -  -,Yth
61042104,Lee Ashcroft,D (C),86%,8,9,10,15,16,8,16,12,12,12,13,9,12,10,12,5,12,6,12,14,8,18,5,5,9,5,6,4,15,6,6,13,8,7,13,8,2,1,3,3,1,2,1,1,4,2,1,- -  -,
2000026552,Josh Ashman,D (C),88%,12,11,6,14,12,13,3,5,8,10,8,5,8,11,15,5,6,5,11,5,1,6,2,1,1,2,3,1,9,5,1,13,4,2,9,4,1,3,4,3,1,1,3,2,3,1,3,- -  -,
28059948,Ryan Astles,D (C),90%,8,6,12,18,11,7,10,15,7,7,11,9,11,8,9,3,8,8,11,10,7,12,1,1,2,4,7,3,14,3,8,9,6,3,13,8,4,2,4,1,2,3,2,2,2,1,2,- -  -,
28122173,Ryan Astley,D (C),84%,14,8,11,11,13,14,12,13,10,12,9,11,12,11,6,8,12,10,12,13,7,14,9,8,7,7,11,6,12,4,6,11,10,4,12,11,1,2,1,3,3,1,2,3,3,3,2,- -  -,
28018268,Daniel Ayala,D (C),87%,7,8,9,16,11,8,12,15,15,13,16,12,13,15,12,4,15,10,16,13,8,10,3,3,3,7,9,3,17,3,5,14,7,3,12,7,1,2,1,1,2,2,2,3,2,4,3,- -  -,Set
49039789,Loïc Badé,D (C),86%,12,14,13,13,14,14,14,14,9,13,10,7,12,13,13,9,10,12,13,10,13,11,3,7,9,7,11,2,14,6,6,13,13,8,14,10,3,3,3,3,2,3,1,1,3,1,3,- -  -,Inj
29233179,Elkan Baggott,D (C),87%,11,10,11,16,16,11,15,13,7,11,11,12,9,8,14,7,9,8,11,14,9,12,3,4,6,6,10,3,13,6,9,10,11,5,11,10,1,3,2,2,3,2,1,1,3,2,1,- -  -,
