UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000164729,Yoann Abasq,D (C),86%,10,9,7,10,13,9,11,9,14,12,9,6,9,12,10,5,9,5,10,6,6,7,3,1,1,4,5,1,13,1,4,10,7,1,13,6,1,2,2,2,2,2,2,2,1,1,3,- -  -,
85122308,Yunis Abdelhamid,D (C),84%,10,10,15,16,16,10,15,15,15,14,16,12,15,13,15,8,12,8,14,13,9,14,3,10,4,5,12,4,14,6,5,15,12,7,14,8,1,3,3,3,3,3,2,1,3,1,3,- -  -,
19076427,Aderllan Santos,D (C),88%,11,10,10,14,12,10,13,14,15,13,16,10,10,10,14,6,15,8,15,13,11,12,5,6,8,8,9,8,14,11,10,15,12,10,13,10,1,2,1,4,1,3,1,1,4,2,3,- -  -,
55063744,João Afonso,D (C),85%,9,9,11,14,15,12,13,14,8,13,14,8,14,13,12,5,14,7,15,12,8,12,5,6,7,8,9,8,11,8,8,13,11,8,11,10,3,2,3,2,2,3,3,1,2,3,1,- -  -,
12081410,Ange Ahoussou,D (C),87%,14,14,8,12,13,14,8,11,15,12,9,4,8,14,10,5,9,4,14,7,11,7,2,1,2,1,7,2,14,3,1,12,11,4,12,7,3,1,3,2,2,2,2,1,1,3,1,- -  -,
13158416,Joseph Aidoo,D (C),73%,14,15,15,12,15,14,15,16,12,12,14,11,10,13,14,7,11,8,13,14,11,13,7,7,7,4,11,8,14,7,9,15,11,6,15,11,1,4,2,2,3,1,1,3,3,2,1,- -  -,
2000226549,Felipe Alarcón,D (C),81%,10,10,7,12,15,11,7,8,15,12,6,3,11,14,12,5,5,6,13,7,1,7,2,5,1,2,5,1,12,1,4,9,5,1,13,1,3,3,1,3,2,1,2,1,2,3,1,- -  -,Inj
85079206,Josué Albert,D (C),87%,12,9,15,14,14,11,13,16,14,12,14,12,13,12,14,6,10,7,12,13,7,14,4,9,6,6,9,7,13,8,6,13,9,6,12,9,1,4,2,1,2,2,2,2,3,1,2,- -  -,
7452450,Raúl Albiol,D (C),81%,9,10,15,14,13,10,11,14,11,13,15,13,13,15,13,6,14,8,15,16,11,15,3,9,5,8,11,5,14,10,11,15,11,8,15,11,3,1,1,2,3,2,2,1,1,1,3,- -  -,Wnt
67031045,Pedro Alcalá,D (C),88%,11,9,7,14,12,11,12,14,12,13,12,13,13,13,15,13,12,6,14,13,9,12,10,7,8,7,8,14,15,12,8,12,10,8,13,12,1,1,1,1,2,3,1,1,4,2,3,- -  -,
2000049280,Jesús Alcantar,D (C),80%,12,9,13,14,12,14,13,13,11,13,10,10,11,12,13,7,11,7,12,12,10,12,5,6,5,8,10,6,13,6,11,12,10,6,11,10,4,3,3,3,3,1,3,2,1,2,2,- -  -,
83282675,Alexsandro Ribeiro,D (C),89%,10,9,14,16,17,13,14,15,15,14,15,10,12,13,13,8,8,7,13,12,8,13,4,5,8,8,10,5,14,7,7,14,10,5,13,10,3,2,1,1,3,3,1,3,1,3,1,- -  -,Inj
67212024,José María Amo,D (C),83%,11,10,13,14,10,10,13,14,11,14,13,12,14,13,13,5,11,5,12,13,9,12,6,8,8,5,11,3,13,7,4,15,12,5,14,8,2,3,3,1,2,2,2,2,2,1,2,- -  -,
86016110,Wilker Ángel,D (C),83%,11,10,13,15,16,12,13,14,12,13,16,12,13,11,12,4,13,5,13,11,5,12,4,4,7,9,11,5,15,11,10,13,11,11,12,11,2,2,4,2,1,2,3,3,2,4,4,- -  -,Inj
83261896,Gabriel Araújo,D (C),85%,14,13,13,11,13,14,10,12,11,13,12,10,11,10,12,7,8,8,11,12,7,12,6,9,10,8,12,7,12,6,8,12,10,6,12,9,1,1,2,2,3,2,1,1,1,1,3,- -  -,
83243060,Tomás Araújo,D (C),67%,13,12,12,13,15,13,12,13,13,13,14,11,12,12,14,12,13,8,12,12,12,11,5,6,8,7,11,5,13,4,4,13,12,5,13,12,1,1,3,3,4,3,2,2,1,3,1,- -  -,
34011525,Cédric Avinel,D (C),78%,10,9,14,13,15,11,12,14,13,12,15,11,13,12,14,5,12,8,12,13,7,14,4,6,8,6,10,6,13,7,5,14,11,7,12,10,2,3,3,3,3,1,4,1,3,2,2,- -  -,
8441455,Jean-Sylvain Babin,D (C),95%,9,10,9,13,13,9,14,16,12,13,15,11,14,10,12,6,12,8,17,13,8,13,7,7,6,8,10,8,14,7,7,14,11,7,14,10,1,3,4,2,3,2,2,2,3,3,2,- -  -,
49038942,Benoît Badiashile,D (C),86%,14,12,15,17,16,15,15,17,10,14,14,13,13,13,15,10,12,7,15,14,12,12,4,5,10,6,12,4,16,7,8,15,14,7,14,13,3,3,2,1,1,2,3,1,3,2,1,- -  -,
49049778,Dann-Faustin Banzuzi,D (C),87%,12,10,8,13,16,11,5,6,13,11,9,8,9,14,4,5,2,7,14,7,7,8,5,2,3,4,8,1,14,4,4,12,8,1,8,7,2,2,2,1,1,3,1,1,2,2,2,- -  -,
2000024345,Yacouba Barry,D (C),76%,14,13,8,4,11,14,9,10,9,8,9,7,6,12,11,6,10,6,13,7,3,7,3,1,2,5,7,3,13,4,1,13,7,1,13,6,2,2,3,2,4,2,3,2,3,3,2,- -  -,
85012238,Syam Ben Youssef,D (C),84%,5,6,14,14,16,7,9,11,10,13,16,12,13,14,12,4,12,5,15,15,8,12,6,7,7,8,9,5,14,8,6,13,11,11,14,8,3,3,3,2,2,3,2,2,2,1,3,- -  -,
67042897,Álvaro Benítez,D (C),79%,5,8,7,9,9,6,7,7,10,14,9,8,9,14,13,5,9,7,9,3,4,8,2,1,3,7,6,4,12,5,1,13,8,1,13,6,3,4,2,3,2,3,1,3,3,2,3,- -  -,
67010361,Bernardo,D (C),89%,9,11,10,16,15,12,15,17,14,15,14,13,13,12,12,9,12,8,13,14,11,14,3,3,3,5,10,4,16,5,6,13,10,5,15,12,1,2,2,2,3,1,3,1,2,3,1,- -  -,
67248397,Juan Berrocal,D (C),84%,12,12,9,15,13,12,15,16,10,13,12,10,12,11,12,7,8,8,13,15,10,12,7,7,7,8,10,11,12,9,8,13,11,7,13,10,3,3,3,1,3,2,1,3,2,1,3,- -  -,Inj
2000100253,El Chadaille Bitshiabu,D (C),86%,9,11,12,16,15,11,12,15,12,12,12,11,12,11,10,9,11,7,12,11,12,11,6,7,7,7,11,6,15,8,4,11,10,6,11,11,2,3,2,2,1,2,3,3,3,1,3,- -  -,Int
2000125191,Lucas Bitzberger,D (C),78%,14,11,8,9,7,12,6,9,14,9,7,7,8,12,10,5,1,6,11,6,4,7,3,1,1,3,4,1,8,4,2,13,7,1,13,5,4,2,1,1,1,2,3,3,1,1,2,- -  -,
67240618,Pablo Bobadilla,D (C),94%,10,10,10,13,12,10,11,13,12,12,11,12,14,12,12,12,12,9,12,13,8,12,6,8,8,11,11,6,13,8,8,13,10,2,14,9,3,3,1,1,3,2,1,1,1,2,3,- -  -,
49054319,Baptiste Boit,D (C),85%,8,12,8,11,7,11,9,10,9,7,9,6,6,13,6,5,10,6,13,6,3,7,1,4,1,1,8,1,12,6,1,10,6,2,13,6,2,2,2,2,2,4,2,1,1,3,3,- -  -,
83320105,Gabriel Brás,D (C),89%,10,9,9,12,9,9,8,12,11,13,9,12,12,11,14,7,9,7,12,11,10,13,6,6,9,4,10,5,12,5,6,11,9,7,13,9,2,1,1,1,2,2,3,2,2,1,2,- -  -,Wnt
19164859,Bruno Pirri,D (C),83%,12,13,12,13,14,13,12,13,14,13,16,8,13,11,16,8,12,8,13,14,10,14,7,7,10,7,9,10,11,10,10,14,8,9,13,10,3,2,1,2,3,3,2,1,1,2,2,- -  -,Inj
