UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000205393,Jarvis Jones,"M (C), AM (RC)",40%,13,13,5,6,15,12,11,3,10,7,4,9,1,9,15,8,5,3,5,4,11,9,3,5,4,9,9,3,3,5,1,2,7,2,3,8,1,2,1,1,1,2,2,1,2,2,2,- -  -,Yth
73100206,Wilberne Augusmat,M (C),100%,11,11,3,6,10,11,11,2,11,8,4,5,2,11,10,5,6,6,4,5,5,9,2,2,1,2,10,2,2,4,1,6,12,1,3,7,1,2,1,4,3,1,3,2,3,2,2,- -  -,
82072863,Miguel Abraham,M/AM (C),39%,5,6,5,8,9,6,6,2,15,8,3,5,6,8,13,9,12,7,7,7,8,11,4,1,5,10,13,5,5,6,1,6,6,1,3,11,3,2,2,1,3,1,1,2,2,1,1,- -  -,Ama
2000046349,Shakeem Lewis,"M (C), AM (LC)",53%,6,11,5,1,13,7,7,1,6,11,6,5,6,12,4,15,10,5,7,6,10,4,5,5,10,5,12,5,2,6,2,5,8,1,3,7,2,1,3,3,3,1,3,1,1,1,1,- -  -,Ama
82085010,Liomar Croes,M (C),61%,12,12,5,3,12,12,13,4,12,8,2,8,4,9,3,5,6,8,8,6,8,10,5,3,4,1,11,5,5,5,5,6,11,1,3,9,2,3,3,3,2,3,1,1,3,4,3,- -  -,
73100065,Rodymar Paesch,"WB (L), DM, M (C)",72%,7,6,5,9,11,6,8,4,14,8,3,4,6,11,12,5,12,4,5,7,11,11,3,3,1,4,8,4,4,6,4,5,3,1,4,9,1,3,2,1,1,2,1,2,1,2,3,- -  -,
2000046514,Deakwan Romney,M (C),67%,4,6,7,16,14,5,6,7,9,6,5,9,7,10,15,6,6,8,7,7,6,8,6,5,3,4,9,4,2,7,1,8,6,2,4,13,3,2,2,2,1,2,2,1,3,2,1,- -  -,Ama
82086601,Jeremy Baez,M (C),40%,12,11,7,7,11,11,7,7,6,7,5,8,5,14,9,5,9,11,8,8,9,12,6,5,6,3,9,6,3,6,5,4,12,6,4,11,2,1,1,3,1,3,1,2,3,1,3,- -  -,Ctr
45021548,Ulterguens St. Victor,M/AM (RC),49%,9,13,6,5,14,9,7,5,14,9,5,13,6,13,13,13,11,7,6,7,9,12,6,7,3,7,13,4,1,7,5,6,9,2,4,13,2,4,1,1,4,3,3,3,3,2,1,- -  -,
2000173260,Anniel Rojas,M (C),50%,11,12,6,10,14,9,9,4,7,7,5,5,5,4,7,8,9,2,3,6,4,10,4,6,2,2,10,2,4,5,2,6,11,2,4,5,3,2,1,3,3,4,1,1,4,2,2,- -  -,
82087533,Lemoy Augustine,M/AM (C),55%,12,12,5,1,15,12,7,1,10,7,6,12,5,12,3,12,14,6,5,6,11,9,6,2,6,6,12,1,4,6,1,5,8,2,4,11,2,4,2,2,2,1,1,3,4,3,2,- -  -,
82070836,Jowan Sawyers,M/AM (RLC),40%,12,12,6,12,14,12,5,4,15,6,5,7,5,9,6,15,2,9,3,6,11,8,4,8,11,4,12,5,4,6,1,4,8,1,4,11,1,2,2,2,1,2,1,3,2,2,2,- -  -,
82050113,Lionel Christopher Stacie,M/AM (C),34%,3,5,5,9,9,4,6,5,5,8,5,10,5,11,10,12,13,7,6,7,7,11,4,1,5,7,13,4,4,4,1,2,7,6,4,11,2,2,2,1,1,1,1,2,1,2,2,- -  -,
90051200,Jason Ebanks,M (C),54%,9,7,1,3,11,10,8,3,8,8,3,4,5,12,7,5,14,6,7,5,7,10,4,4,1,2,13,3,3,10,1,8,8,1,4,10,2,1,1,3,1,3,1,3,3,3,1,- -  -,Ama
73100063,Ulises Núñez,M/AM (RC),41%,7,8,7,6,12,10,12,4,12,6,4,8,7,11,15,13,5,11,6,8,10,13,6,9,11,8,12,5,6,5,2,7,9,5,4,9,1,2,1,3,3,1,1,2,1,1,2,- -  -,
82064046,Akeem Humphrey,M/AM (C),44%,13,13,6,2,12,13,13,4,10,8,8,10,7,13,16,15,13,10,8,7,8,14,6,2,9,9,12,6,6,5,3,8,9,6,5,9,3,2,1,2,1,3,4,3,2,1,1,- -  -,
82064290,Jamal John,M (C),44%,13,12,5,7,14,13,12,9,10,6,3,6,6,13,15,5,7,10,9,7,13,11,1,3,2,1,12,4,5,5,1,11,11,2,5,8,1,2,2,3,3,1,3,2,2,4,3,- -  -,
82070823,Deno John,M/AM (C),71%,12,11,4,3,11,11,10,6,9,6,6,6,4,10,16,11,12,6,5,5,8,12,4,4,6,12,10,4,4,6,1,6,12,2,5,6,4,3,1,3,1,2,1,3,3,3,2,- -  -,
82074136,Hakeem Joseph,M/AM (C),54%,9,8,6,5,12,6,7,5,6,11,1,6,6,11,3,8,9,10,9,8,9,12,7,6,8,11,11,7,4,10,1,8,13,5,5,10,2,2,2,3,1,1,1,3,3,1,2,- -  -,
2000095670,Eliader Dorlus,M/AM (C),54%,14,14,8,5,7,13,9,1,12,7,8,8,8,9,17,15,13,12,7,4,11,9,5,4,7,6,10,7,3,8,3,8,14,1,5,11,1,4,2,2,2,1,1,2,3,1,1,- -  -,
82085837,London Steede-Jackson,M/AM (C),47%,8,11,10,15,11,8,11,10,5,12,8,7,9,9,13,8,13,9,9,9,12,7,8,3,7,8,10,8,8,8,8,10,12,12,5,9,1,1,1,2,2,1,1,2,2,1,4,- -  -,Ama
2000085716,Raymel Niles,M/AM (RC),66%,13,10,5,4,12,12,5,3,7,4,2,6,5,7,3,8,4,5,4,6,5,10,2,6,8,5,11,1,3,2,1,5,4,3,5,8,1,3,2,1,3,3,3,2,3,1,2,- -  -,Ama
2000046539,Rasheem Thompson,M (LC),44%,6,7,7,10,10,5,8,6,8,10,3,6,5,14,9,6,11,7,3,6,8,8,4,6,8,3,6,5,5,7,2,7,7,3,5,11,1,2,2,3,1,3,1,1,4,3,3,- -  -,Ama
2000063008,Wilmane Exumé,M/AM (C),34%,13,13,7,3,15,13,12,7,12,9,6,6,6,11,17,7,14,7,5,7,11,12,6,5,8,10,12,6,6,13,6,4,8,1,5,7,3,2,2,1,2,3,1,1,3,1,2,- -  -,
82084986,Jeamirr Howell,M (C),58%,11,10,5,5,10,7,12,4,5,9,1,8,5,12,3,5,10,6,5,5,7,9,3,1,1,3,13,4,4,4,1,6,12,3,5,12,2,1,1,1,4,2,3,3,3,1,1,- -  -,
82070344,Vasbert Ledger,M/AM (C),58%,13,12,2,1,11,13,5,1,5,6,7,8,5,10,12,13,10,7,5,7,13,10,3,3,7,9,13,5,1,5,3,6,5,1,5,13,2,3,3,1,1,2,2,3,2,2,2,- -  -,
2000046441,Armoni Gumbs,M (LC),54%,4,6,7,5,13,3,9,3,11,7,4,4,8,15,13,5,5,5,9,8,6,5,5,6,7,5,8,6,3,8,3,4,5,2,5,7,2,3,2,2,2,1,3,1,3,3,2,- -  -,Ama
82089734,Marnix Eustachia,M/AM (LC),34%,12,9,7,7,12,8,13,4,14,7,7,9,5,12,10,12,11,12,6,7,7,12,4,7,8,10,11,5,5,3,2,5,7,3,5,12,1,2,1,1,3,2,3,3,1,1,3,- -  -,Ctr
82089445,Jurven Koffy,M/AM (C),52%,14,12,8,17,9,9,7,8,8,11,6,11,8,6,10,9,13,8,8,8,8,12,6,6,7,11,8,5,4,8,4,6,9,7,5,11,2,3,1,2,2,3,3,1,1,1,4,- -  -,Ama
82088798,Junior Vilgrain,M/AM (C),68%,14,14,8,7,16,14,13,5,9,9,5,7,7,11,5,8,14,11,6,8,6,12,6,7,8,9,11,6,3,9,1,6,10,5,5,8,2,1,1,3,2,3,1,1,2,1,2,- -  -,
2000171689,Kadeem Riley,M/AM (C),42%,13,9,6,10,10,13,10,7,15,7,4,7,6,7,4,12,10,10,7,6,12,10,6,4,6,6,12,5,5,9,1,4,11,1,5,9,1,3,3,3,3,2,2,3,1,2,1,- -  -,Ama
2000180005,Jonathan Ruiz,M (C),55%,13,13,6,2,17,13,12,1,5,8,2,9,6,13,8,5,3,5,5,7,9,12,5,1,1,3,9,5,4,4,1,10,9,3,6,11,3,3,1,1,2,3,3,1,2,3,1,- -  -,
2000166802,Jayvon Lloyd,"M (C), AM (LC)",66%,6,6,5,12,13,6,5,5,10,6,1,7,3,11,8,11,13,9,6,5,9,6,4,4,5,6,3,1,2,6,1,3,7,2,6,8,1,2,2,3,1,2,1,4,2,1,1,- -  -,Ama
82075122,Jessus Ebanks,M/AM (C),69%,8,11,5,12,15,10,4,3,5,8,6,5,5,12,17,9,7,6,5,7,8,11,5,4,3,9,14,5,5,5,1,4,8,6,6,10,3,1,1,2,2,4,3,3,2,2,3,- -  -,Ama
30001195,Wendell Rennie,M (C),49%,5,6,5,7,11,6,7,7,11,10,5,6,5,10,4,5,12,10,8,8,11,11,6,5,4,5,14,4,1,7,1,8,8,2,6,14,1,3,2,2,3,1,1,2,2,3,3,- -  -,
30040156,Damian Bailey,M (C),55%,6,7,5,7,8,7,9,3,6,7,5,3,5,8,4,5,13,3,8,6,7,11,4,4,2,3,10,4,1,8,1,6,12,2,6,7,3,3,2,2,2,2,4,2,1,3,1,- -  -,Ama
82001093,Seyoum Tuzo,M (C),59%,13,13,4,3,11,12,13,3,7,6,5,8,5,9,15,5,14,7,5,6,12,11,4,2,3,4,9,5,4,3,1,8,10,2,6,4,1,3,1,3,1,1,2,4,2,1,1,- -  -,
2000163171,Javis Jones,M/AM (C),44%,11,8,13,5,13,12,6,5,15,7,4,4,1,8,14,5,8,6,3,12,3,10,4,2,5,4,12,4,3,4,1,3,12,2,6,7,3,1,3,1,2,2,3,2,2,3,3,- -  -,Yth
81035728,Davion Garrison,"M (LC), AM (C)",50%,11,10,10,9,14,12,9,10,8,9,6,9,9,9,13,13,14,9,10,10,10,11,9,10,9,8,11,9,9,8,9,9,10,4,6,10,2,3,2,1,2,1,3,1,1,3,3,- -  -,
90051309,Lacey Pauletta,M/AM (C),67%,10,6,7,4,15,10,9,4,13,6,3,9,6,7,11,11,7,10,7,8,9,12,6,4,7,5,13,6,4,6,1,8,8,5,6,8,2,3,1,1,1,2,3,2,3,2,2,- -  -,
82000273,Kelvin Modeste,M (RC),58%,7,8,6,7,13,6,7,6,11,8,7,11,9,7,12,5,13,7,7,9,13,13,7,7,3,7,9,2,6,9,1,9,13,5,6,10,2,3,1,1,4,1,3,2,3,3,1,- -  -,
2000062974,Wendy Louis-Jean,M/AM (C),57%,13,12,6,10,10,12,12,4,9,6,8,8,6,11,11,11,12,9,7,7,13,12,6,5,8,9,13,6,3,5,5,7,11,7,6,11,2,3,3,4,2,2,1,2,3,2,2,- -  -,
82082083,Djoulès Valcourt,M/AM (C),60%,13,10,7,8,9,11,13,5,14,7,8,5,6,12,16,17,11,9,7,8,13,13,7,6,12,10,10,7,6,10,2,5,11,2,6,11,2,1,1,2,2,4,2,2,2,3,1,- -  -,
82080514,Robert Raynier Rosado,M (C),50%,13,13,6,4,13,12,12,4,15,9,3,4,4,10,14,5,12,8,6,6,10,11,3,1,2,4,8,5,5,7,1,8,13,1,6,9,2,2,1,2,1,3,2,1,2,1,2,- -  -,Ctr
82081445,Dutherson Clerveaux,M/AM (C),58%,11,11,12,12,11,11,12,10,11,11,12,8,8,12,12,12,12,11,9,8,11,13,5,8,10,13,10,7,8,9,1,9,11,8,6,14,3,3,3,2,2,3,3,2,2,2,1,- -  -,
82077482,Kevon Piper,M/AM (C),60%,8,9,7,6,12,9,5,3,7,9,8,8,8,14,8,13,8,11,9,8,8,12,6,7,3,11,12,6,7,7,1,9,14,4,6,14,1,3,2,1,3,1,1,3,3,2,4,- -  -,
72007735,Andrés Cabrero,M/AM (LC),49%,8,7,7,10,9,7,6,7,9,8,3,8,9,9,9,7,9,11,10,14,12,10,9,10,8,11,13,9,9,8,8,5,12,8,6,10,2,4,3,2,3,1,3,1,4,1,2,- -  -,
2000046392,Calvin McKenzie,M/AM (C),44%,8,8,7,6,10,8,10,3,8,10,7,9,7,8,12,12,5,7,6,7,8,7,1,4,8,7,8,6,4,5,3,8,7,5,6,13,1,3,3,3,2,2,2,1,2,3,3,- -  -,Ama
82070858,Billy Jeffers,M (C),20%,5,5,7,4,14,5,6,3,14,11,4,13,7,7,14,9,11,6,5,8,12,12,4,5,1,2,12,6,6,7,1,8,13,4,6,7,2,2,1,3,3,2,2,1,1,2,1,- -  -,
