UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
23320405,Scott Kim,M (C),67%,8,11,2,2,12,9,7,1,9,3,3,3,2,5,15,5,11,5,3,4,6,9,1,1,1,1,7,1,1,2,1,3,7,1,1,3,4,2,3,3,3,1,1,1,2,3,1,- -  -,Ama
23320401,Joel Fruit,M/AM (C),60%,11,11,1,4,16,11,7,1,9,2,2,4,1,9,9,13,9,4,2,3,3,8,2,1,1,6,9,1,1,4,1,1,4,1,1,10,3,2,3,1,3,1,2,4,3,1,3,- -  -,Ama
45098736,David Okuhama,M (LC),100%,12,12,3,6,11,12,9,3,12,3,1,3,2,5,5,5,2,2,3,4,3,9,1,3,3,1,5,1,1,3,1,3,9,1,1,5,4,3,1,3,1,3,1,3,2,2,2,- -  -,Ama
2000011660,Pürevdorj Bayartsengel,M (LC),47%,5,7,2,14,5,7,5,8,15,4,1,5,5,13,9,8,14,7,6,7,6,12,4,6,6,4,11,4,4,5,5,6,5,1,1,13,2,4,2,2,1,1,2,3,2,1,2,- -  -,Ctr
23355291,Cliff Tyquiengco,M (C),59%,12,12,3,1,14,12,7,1,13,3,4,3,2,9,10,5,13,1,6,5,2,10,1,1,1,2,10,2,1,4,1,6,9,1,1,5,3,1,3,1,3,3,3,1,1,1,3,- -  -,Ama
23078520,Loi Wai Hong,M (C),36%,11,10,3,3,7,11,11,4,5,4,1,3,1,9,3,5,9,3,1,4,11,8,1,1,1,2,9,1,2,6,1,7,9,1,1,5,2,2,1,1,2,3,3,3,2,2,1,- -  -,Ama
23447163,Nasikhat Abdulla,M (C),45%,12,12,4,4,16,12,3,7,10,3,2,1,3,8,6,5,10,3,3,5,5,8,2,1,2,1,10,1,2,3,1,3,5,1,1,5,2,1,2,2,2,2,2,1,2,2,2,- -  -,Ama
23354929,Jonassar Dapiawen,M (C),57%,11,10,4,1,15,9,11,1,5,4,3,4,3,5,4,4,14,3,5,5,6,10,2,1,1,2,6,2,1,7,1,4,9,1,2,3,1,3,3,3,2,3,2,2,3,3,1,- -  -,Ama
23355402,Francisco Acfalle,M (C),41%,12,9,4,3,7,8,5,3,14,2,1,5,4,5,4,5,1,3,4,5,7,10,2,1,1,3,8,3,1,7,1,1,12,1,2,6,1,2,3,3,2,3,1,3,2,2,1,- -  -,Ama
23355301,Jarred Collado,M (C),50%,11,11,2,1,12,11,11,2,5,2,3,4,1,5,13,5,5,4,4,2,11,7,1,1,1,2,10,1,1,3,1,4,9,1,2,5,3,2,2,2,1,4,4,3,1,1,3,- -  -,Ama
