UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
78037277,Christian Alba,ST (C),54%,7,7,11,16,5,12,13,13,6,7,10,12,7,10,11,8,8,11,9,13,12,11,8,8,9,12,12,7,14,11,7,6,10,7,8,10,4,1,1,2,1,2,1,3,2,3,3,Not for Sale,- -  -,
2000138133,Asprellia Alexander,ST (C),21%,14,13,7,8,11,13,9,3,12,11,6,10,6,11,10,7,5,13,6,6,7,11,5,5,7,10,11,5,8,3,2,5,6,7,1,7,1,2,2,1,3,2,2,4,3,3,1,€0,- -  -,
82072782,Glenville Allen,ST (C),35%,5,6,5,7,11,7,6,7,5,6,7,6,5,6,18,7,5,13,4,4,4,6,4,1,5,11,7,3,13,2,1,4,5,1,2,7,1,2,3,2,2,3,2,3,2,2,2,€0,- -  -,
2000172032,Daniel Alza,ST (C),23%,11,6,6,8,16,9,11,6,7,11,2,9,6,11,12,11,7,11,5,5,6,7,2,4,5,9,11,5,9,6,3,5,5,6,1,6,2,1,2,1,4,2,1,2,1,1,4,€0,- -  -,
82001085,Chris Anderson,ST (C),23%,13,11,4,4,12,12,11,4,6,9,5,10,4,8,7,8,1,8,4,3,5,6,3,2,7,13,7,4,13,2,1,3,4,4,3,7,3,3,1,3,1,2,1,1,3,3,3,€10K - €28K,- -  -,Inj
82001115,Keimo Bean,ST (C),34%,11,10,4,14,15,11,4,5,6,10,2,7,1,9,4,9,8,6,2,3,3,4,3,3,7,12,9,3,10,4,1,3,4,1,1,7,4,1,3,2,1,1,1,2,3,2,2,€7K - €22K,- -  -,
82085832,Keishon Bean,ST (C),33%,10,11,6,10,12,11,4,5,8,10,5,13,6,13,12,11,13,11,5,6,7,7,2,5,7,14,13,6,11,6,3,4,7,5,3,11,3,4,1,2,2,1,2,1,1,1,2,€28K - €85K,- -  -,
82088805,Marc Beldor,ST (C),28%,13,13,7,8,10,13,8,7,6,9,2,10,6,10,11,12,10,11,7,6,7,7,4,2,9,12,13,3,13,5,2,5,7,6,1,9,2,2,2,3,2,3,4,2,3,1,1,€16K - €50K,- -  -,
82050359,Kurlson Benjamin,ST (C),26%,6,7,2,5,16,7,2,6,10,10,5,12,7,8,9,11,6,11,6,6,4,6,6,2,5,14,14,4,12,7,4,6,5,11,3,12,1,2,3,1,2,2,3,1,2,2,2,€0,- -  -,
73100058,Jean-Luc Bergen,ST (C),36%,10,9,5,6,14,9,5,5,7,10,1,11,3,12,13,12,6,7,5,6,4,6,2,1,6,12,12,4,5,7,5,2,6,3,1,6,1,2,3,1,2,2,2,2,2,3,1,€0,- -  -,
