UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
2000226389,Eric Abanke,ST (C),24%,12,11,6,6,14,12,10,9,15,9,4,12,6,12,16,8,6,12,5,5,5,6,5,3,12,12,11,4,12,5,1,4,6,6,1,7,2,1,2,2,3,3,2,1,2,1,2,€6K - €18K,- -  -,
2000169775,Wenceslao Afugu,ST (C),30%,13,13,7,8,13,13,13,6,14,10,5,10,7,8,13,12,9,10,6,6,3,8,6,5,11,13,13,3,13,2,3,4,2,7,1,12,2,2,2,2,2,3,3,1,1,3,2,€2.5K - €8K,- -  -,Inj
13115899,Patrick Anaba,ST (C),36%,13,13,6,9,12,13,12,11,9,6,6,6,7,10,17,13,8,7,5,6,3,7,5,2,11,12,12,6,8,5,2,4,7,2,1,8,2,3,2,4,3,3,1,3,3,1,4,€0,- -  -,
13232437,Kévin Assiga,ST (C),43%,13,13,6,4,14,13,13,13,12,13,6,7,8,13,17,12,13,13,8,7,6,8,7,3,10,13,8,7,13,8,5,8,8,3,3,11,2,3,2,3,3,3,2,2,1,1,3,€10K - €30K,- -  -,
13203971,Pedro Oba Asu,ST (C),35%,13,13,7,4,15,13,8,8,8,9,7,11,6,14,17,11,10,12,8,6,5,7,6,5,8,14,7,6,7,6,2,6,7,9,2,12,1,3,2,2,2,2,2,1,1,2,2,€1K - €3K,- -  -,Inj
13157220,Jean Paul Atangana,ST (C),23%,13,9,7,6,15,12,7,9,9,13,5,12,7,12,14,13,11,13,6,6,4,7,6,4,13,13,11,6,12,6,1,5,6,7,2,14,3,2,3,1,2,3,3,1,2,2,4,€12K - €35K,- -  -,
2000166846,Brilliant Awamukala,ST (C),45%,12,10,7,11,8,12,12,7,10,7,5,6,7,12,3,13,8,13,7,6,3,7,5,2,13,13,13,5,13,7,1,5,6,3,1,13,1,3,3,1,1,3,1,2,2,2,3,€0,- -  -,
13232400,Fahad Bardiro,ST (C),30%,12,12,6,11,14,12,12,5,10,11,6,9,7,11,17,12,13,13,5,5,1,7,6,1,13,12,10,5,13,6,2,4,7,9,1,8,2,1,1,1,3,1,1,1,1,2,3,€150K - €450K,- -  -,
211199,Didier Bassamagne,ST (C),37%,12,12,6,2,13,12,12,9,10,12,5,12,6,11,15,7,8,12,6,6,4,7,5,6,12,12,11,5,6,6,1,5,5,9,1,6,3,1,2,2,2,2,1,3,2,2,3,€4.5K - €14K,- -  -,
2000051758,Mambote Batshi,ST (C),30%,13,13,7,10,16,13,6,4,10,5,7,6,7,11,2,11,8,13,7,2,5,7,3,5,10,13,10,5,13,4,6,6,7,3,4,11,4,2,3,2,3,3,3,4,3,3,2,€90K - €275K,- -  -,
13112649,Christian Bayokolack,ST (C),26%,12,12,7,12,14,12,12,5,9,7,7,10,6,12,9,9,10,10,6,5,3,7,6,4,12,13,12,5,9,2,2,4,6,4,1,7,3,4,1,3,2,1,1,1,2,2,3,Not for Sale,- -  -,
2000167126,Emmanuel Beken,ST (C),37%,13,11,7,7,14,11,12,12,13,8,8,11,6,8,9,11,12,13,7,6,2,7,5,7,10,13,12,6,12,7,2,3,6,4,1,10,3,2,1,1,4,1,3,2,3,3,2,€12K - €35K,- -  -,Inj
2000097788,Junior Bessong,ST (C),31%,12,11,7,6,10,11,6,9,11,10,8,9,5,7,10,10,7,13,7,7,5,7,6,7,13,13,13,6,11,5,3,4,5,3,1,10,2,1,1,1,3,2,3,2,3,1,3,€6K - €20K,- -  -,
13232194,Joël Beya,ST (C),33%,14,13,9,10,12,13,8,9,15,10,8,12,9,13,11,9,3,13,9,7,8,9,7,4,13,14,13,7,13,8,2,7,8,10,5,8,4,1,3,3,2,2,1,3,2,4,3,€275K - €800K,- -  -,
2000223476,Miskey Boukar,ST (C),33%,13,9,3,13,8,10,6,6,5,5,8,6,6,11,5,8,9,13,7,6,6,7,6,3,13,13,13,6,12,6,6,5,7,5,2,9,3,3,4,1,2,2,3,3,1,3,1,€6K - €18K,- -  -,
13171752,Léon Boyomo,ST (C),43%,13,11,5,12,10,13,12,7,8,8,4,13,7,13,11,13,1,10,5,6,7,7,6,6,12,13,13,6,13,7,1,6,5,8,1,13,3,3,2,2,2,2,2,1,3,3,3,€9K - €26K,- -  -,
2000111199,Ivan Cabrel,ST (C),29%,13,10,7,7,17,11,7,5,5,8,3,9,7,15,12,8,12,15,6,5,7,7,5,5,8,13,11,5,13,5,1,4,6,7,1,7,3,2,3,1,2,1,3,3,3,1,3,€16K - €50K,- -  -,
2000219803,Emmanuel Chu,ST (C),31%,13,13,6,10,18,13,4,7,5,11,7,8,6,10,17,10,12,10,4,5,5,6,1,1,12,13,8,4,10,5,1,5,6,6,2,10,3,3,2,2,3,2,2,3,2,3,3,€2K - €6K,- -  -,
12007283,Kamilou Daouda,ST (C),39%,12,12,10,11,12,11,11,10,13,12,13,8,9,8,18,10,10,13,4,8,8,11,6,6,10,12,11,8,10,10,6,4,8,4,4,11,3,3,2,2,3,3,3,3,2,1,2,€0,- -  -,
2000223480,Didier Divioka,ST (C),30%,9,13,6,7,7,12,6,6,9,12,5,9,4,10,3,11,10,13,4,5,4,5,4,6,10,13,10,5,12,3,2,2,6,4,1,8,1,3,1,1,1,3,3,1,3,2,2,€9K - €26K,- -  -,
2000085133,Chadrack Djendo,ST (C),31%,11,6,6,8,15,9,9,4,9,10,7,9,2,5,15,12,1,10,5,4,5,5,5,2,8,12,13,4,12,6,1,1,6,5,1,10,3,1,2,2,3,2,3,3,1,2,2,€0,- -  -,
2000048030,Eric Embe,ST (C),38%,12,11,5,11,9,12,7,7,10,7,3,8,5,7,3,8,10,8,4,4,3,5,2,1,12,12,11,4,12,5,1,3,5,3,2,7,2,3,1,3,1,3,2,2,1,3,1,€9K - €26K,- -  -,
2000119703,Gilles Vivian Enanombel,ST (C),56%,14,10,7,10,13,12,10,11,9,9,4,10,6,9,3,11,3,10,7,5,7,7,5,6,9,13,10,5,10,8,5,5,7,9,6,9,1,3,2,1,3,4,2,1,3,1,3,€3.5K - €10K,- -  -,
2000221028,Philippe Essama,ST (C),32%,11,6,7,8,10,9,12,6,13,7,8,7,6,12,15,12,12,14,7,7,7,8,7,8,11,14,13,7,14,8,3,7,8,6,2,13,3,2,3,2,1,1,2,1,1,2,2,€0,- -  -,
2000119208,Bertrand Essiane Ndjongolo,ST (C),30%,9,7,3,6,3,8,7,7,3,6,2,7,3,6,9,2,3,7,4,2,3,3,9,7,17,17,17,10,12,6,5,10,14,10,5,17,1,1,1,1,1,1,1,1,2,3,3,€7K - €20K,- -  -,
2000175759,Eugene Jordan Essomba,ST (C),45%,12,11,5,12,5,12,5,7,5,10,1,12,5,5,11,9,12,11,2,4,2,5,3,1,8,12,12,3,12,3,2,3,5,8,1,7,1,3,2,2,3,3,3,1,3,3,3,€3.5K - €10K,- -  -,
2000045480,Etienne Eto'o,ST (C),59%,12,9,6,15,11,10,5,7,7,9,3,8,7,12,14,8,13,14,6,7,5,8,7,6,7,14,12,7,14,8,4,6,8,8,2,7,3,1,1,2,2,2,3,3,1,3,2,€12K - €35K,- -  -,
2000097398,Roche Foning Tazon,ST (C),24%,13,9,10,10,10,12,9,5,10,5,5,14,7,11,8,10,9,13,7,7,6,12,6,2,13,12,13,6,8,7,3,6,12,9,3,10,2,2,3,2,1,2,2,1,2,1,3,€18K - €50K,- -  -,
13190953,Fabrice Fosso,ST (C),24%,14,12,8,7,12,13,10,5,5,12,8,8,6,12,16,11,9,14,8,7,7,8,7,5,13,14,14,6,9,6,1,5,6,8,1,12,4,1,2,4,1,2,2,1,1,3,3,€14K - €40K,- -  -,
13226754,Doilon Gofité,ST (C),21%,12,12,5,6,14,12,3,5,15,7,1,7,4,9,8,8,5,10,5,4,3,5,3,5,6,12,11,1,7,2,1,2,5,7,1,6,2,3,3,2,3,1,3,3,1,1,2,€0,- -  -,
13231083,Max Gomesse,ST (C),30%,13,11,4,7,13,10,8,4,12,10,6,13,7,9,17,10,1,9,4,6,7,7,6,3,13,13,13,6,13,2,5,4,5,7,1,10,1,3,1,3,2,1,3,2,1,1,2,€0,- -  -,
13177208,Mahamat Harouna,ST (C),37%,13,11,8,9,13,12,12,11,11,10,7,9,7,11,5,13,14,10,5,6,5,7,3,3,13,13,9,1,13,4,2,5,5,4,3,14,2,1,2,3,1,2,4,1,3,3,3,€10K - €35K,- -  -,
2000018867,Amine Hiver,ST (C),26%,13,12,8,5,5,10,13,5,12,10,3,7,8,8,8,12,7,14,8,7,7,8,7,3,9,14,12,7,13,7,1,7,8,4,5,13,3,3,3,3,1,1,2,3,1,3,3,€8K - €24K,- -  -,
95057955,Jean-Claude Kameni Ngamalieu,ST (C),24%,12,12,6,8,12,12,9,9,5,4,1,7,5,10,6,12,6,11,4,5,6,6,5,6,12,12,12,4,12,2,1,3,6,5,1,11,1,3,3,2,3,2,1,3,1,3,3,€4.5K - €12K,- -  -,
13231080,Lois Kaya,ST (C),28%,13,13,6,3,14,13,8,6,9,10,7,10,6,13,7,14,5,8,6,5,3,6,1,3,9,13,13,5,13,6,1,3,6,6,4,9,2,3,2,2,2,1,3,1,1,2,1,€0,- -  -,
13175065,Junior Kemajou-Dimabi,ST (C),55%,12,9,8,14,9,11,7,14,10,11,9,11,9,11,2,6,4,11,8,7,6,8,7,6,11,12,9,5,14,7,4,7,7,7,6,8,3,2,2,2,3,1,2,3,1,1,2,€9K - €26K,- -  -,
2000229629,Chadly Kennedy,ST (C),26%,13,13,7,3,15,13,12,5,5,11,7,11,7,13,12,12,11,13,7,6,3,7,5,7,13,13,13,6,10,7,1,5,6,4,1,11,1,3,3,3,2,1,1,1,1,1,2,€75K - €230K,- -  -,
2000227331,Joseph King,ST (C),25%,12,12,5,10,11,12,10,12,12,8,6,11,5,9,8,10,8,12,5,4,5,5,4,5,6,12,5,4,12,5,2,3,5,8,1,9,1,3,2,3,1,2,3,2,2,3,3,€0,- -  -,
