UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
80001544,Leonardo Adams,ST (C),36%,5,5,6,9,9,4,6,5,11,14,8,15,12,16,3,14,10,17,9,11,11,11,11,7,5,17,17,11,13,11,6,10,10,11,10,12,2,4,2,3,1,2,3,1,2,2,1,€0,- -  -,
76036147,Rafael Agámez,ST (C),34%,13,11,11,12,12,14,11,11,7,12,10,10,11,10,10,13,6,13,9,9,12,10,11,13,11,11,12,8,9,9,6,8,13,12,8,11,1,1,2,4,2,2,1,3,2,3,1,€20K - €60K,- -  -,
86006368,Edwin Aguilar,ST (C),43%,12,10,12,14,14,11,10,11,14,14,14,12,12,12,14,9,8,15,7,11,7,13,8,8,8,14,12,7,14,11,6,5,8,15,6,12,3,3,1,2,3,2,4,1,4,3,1,€1K - €3K,- -  -,
76016332,Erick Alcázar,ST (C),30%,12,11,9,10,12,11,8,10,10,10,9,12,8,8,10,9,8,8,2,10,10,8,3,9,8,10,8,3,10,9,2,4,9,11,2,10,3,2,2,4,1,1,3,1,1,3,1,€0,- -  -,
2000188504,Jahir Alvarado,ST (C),24%,12,13,5,9,17,13,4,4,5,4,1,7,5,6,6,5,9,11,2,3,2,4,3,2,4,13,8,1,7,4,1,1,3,6,1,5,3,1,1,2,1,1,1,3,2,2,3,€0,- -  -,
76022003,Justin Arboleda,ST (C),42%,11,10,13,15,12,11,12,13,12,11,10,12,12,12,10,8,11,14,9,10,10,10,9,10,10,11,16,11,13,11,5,11,12,5,9,12,3,2,2,3,3,1,3,3,2,2,2,€24K - €70K,- -  -,
51010738,Othoniel Arce,ST (C),54%,11,12,13,16,16,10,15,14,12,13,10,14,12,12,13,6,10,10,12,13,8,13,11,8,7,10,10,11,15,12,9,7,10,11,6,11,1,3,2,1,2,3,2,1,3,1,2,€75K - €220K,- -  -,
79030662,Diego Areco,ST (C),39%,10,12,8,12,14,11,14,7,5,14,5,13,11,11,13,10,7,13,8,8,8,9,8,5,11,14,14,8,14,9,7,7,9,12,4,11,3,3,1,3,3,4,3,1,3,3,2,€6K - €18K,- -  -,
8825805,Jairo Arrieta,ST (C),46%,11,13,10,9,13,12,10,8,11,10,9,9,12,11,14,10,9,11,8,13,9,13,13,10,11,12,12,9,12,11,7,5,11,8,7,13,3,3,1,3,2,3,2,3,2,1,2,Not for Sale,- -  -,
2000176034,Elian Arzú,ST (C),50%,7,8,5,10,12,9,5,5,14,6,1,6,4,5,6,8,3,13,2,4,5,4,3,1,11,13,8,3,11,3,2,1,4,3,1,7,2,3,3,3,3,3,2,2,1,1,1,€1.5K - €5K,- -  -,Yth
14188889,Agustín Auzmendi,ST (C),32%,13,13,11,12,10,12,13,12,10,11,12,12,12,10,2,8,6,11,6,12,11,12,7,10,12,12,10,7,9,8,5,8,12,13,8,12,2,2,1,4,3,4,2,2,2,1,3,€55K - €170K,- -  -,
79029208,Pedro Báez,ST (C),44%,11,11,10,12,13,11,11,12,12,11,12,10,9,11,16,7,10,12,7,12,8,13,8,10,15,12,13,9,12,7,2,9,10,6,5,9,1,3,3,2,2,3,2,2,3,1,3,€35K - €100K,- -  -,
80036252,Sebastian Barquero,ST (C),21%,12,10,4,9,12,10,6,4,8,7,4,7,5,5,9,7,6,11,3,4,4,5,4,1,7,13,9,4,7,2,1,4,2,4,1,7,2,3,1,4,2,3,1,2,1,3,1,€0,- -  -,
87002075,Jerry Bengtson,ST (C),44%,10,10,10,13,14,11,11,12,13,12,13,12,12,11,10,8,11,12,9,11,8,11,5,8,7,15,11,6,14,7,6,10,11,13,9,12,1,3,3,1,3,1,2,3,3,3,3,Not for Sale,- -  -,
87039712,Jorge Benguché,ST (C),50%,10,10,15,15,15,13,12,16,14,10,12,7,10,8,12,11,10,12,10,10,10,13,6,8,10,11,12,10,13,11,2,4,10,6,1,11,2,2,2,3,2,3,1,2,3,2,3,€45K - €130K,- -  -,
