UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
96148402,Rafał Adamski,ST (C),58%,8,8,13,15,15,10,12,13,12,12,14,8,9,11,9,13,9,12,8,10,7,13,7,8,9,9,9,7,13,11,6,9,6,6,5,8,3,3,1,3,1,2,1,2,3,3,2,€18K - €55K,- -  -,
84153137,Kemal Ademi,ST (C),100%,9,11,16,17,8,11,12,16,12,12,14,12,10,12,13,6,8,12,8,14,8,14,5,8,10,11,10,5,11,9,6,8,11,12,6,10,3,3,2,2,3,2,1,3,3,3,4,€450K - €1.3M,- -  -,
2000167234,Emmanuel Agbor,ST (C),18%,14,13,7,1,14,13,9,4,12,10,6,7,6,10,10,7,10,14,2,6,7,7,6,3,11,13,12,3,12,7,1,5,7,7,1,7,2,3,1,3,2,2,3,1,3,2,1,€50K - €160K,- -  -,
98029947,Albian Ajeti,ST (C),45%,12,12,15,11,13,14,14,16,12,15,15,12,13,15,15,8,9,15,10,14,10,12,7,7,14,12,13,7,12,10,4,8,8,12,8,13,1,2,1,1,1,2,2,3,1,1,3,€3.8M - €11.5M,- -  -,Set
2000212734,Anas Alaoui,ST (C),38%,14,13,9,14,14,10,7,10,11,11,6,12,3,12,6,12,6,12,6,7,7,8,8,3,12,12,11,4,14,8,4,3,7,5,1,13,1,2,2,2,2,1,1,2,1,2,1,€850K - €2.5M,- -  -,
14046979,Lucas Alario,ST (C),41%,11,13,13,12,13,11,13,13,12,16,14,14,13,14,16,10,9,15,7,13,12,12,6,9,11,16,14,9,16,11,5,6,11,14,7,14,1,1,2,2,2,2,3,4,1,3,1,€3.1M - €9.2M,- -  -,Inj
63031331,Ladislav Almási,ST (C),56%,11,10,14,18,11,12,12,15,12,13,14,13,15,14,15,8,7,14,7,11,12,14,6,9,11,14,12,6,15,8,4,8,13,11,8,10,1,3,4,3,1,3,1,3,3,2,1,€800K - €2.4M,- -  -,
68015776,Sebastian Andersson,ST (C),51%,11,12,14,17,13,11,15,15,12,14,16,13,14,15,12,10,12,13,7,16,10,14,6,7,9,13,11,7,16,9,5,6,9,12,7,11,1,3,2,2,2,3,1,2,3,1,3,€550K - €1.7M,- -  -,
2000188036,Emmanuel Anquibou,ST (C),48%,12,10,8,8,15,11,5,5,11,7,3,11,7,10,10,12,10,14,7,6,5,7,6,3,9,14,9,4,14,2,1,6,7,4,4,11,3,2,3,2,2,2,3,2,1,3,3,€1.5K - €4K,- -  -,
78080689,Joaquín Ardaiz,ST (C),47%,11,12,13,13,15,12,14,13,11,13,10,12,12,11,8,15,11,12,7,11,10,12,7,10,12,13,12,12,13,11,7,7,10,12,6,12,2,3,1,1,3,1,2,3,2,3,2,€600K - €1.9M,- -  -,
2000063715,Mohamed Asaidi,ST (C),20%,9,13,5,13,8,12,10,5,15,10,9,6,8,8,7,11,12,9,4,14,7,13,7,4,8,9,9,7,8,7,1,7,5,5,4,7,3,2,3,1,3,1,1,1,2,2,2,€4.5K - €14K,- -  -,
91205129,Fisnik Asllani,ST (C),33%,14,13,10,10,15,10,8,7,15,13,12,12,9,14,14,10,9,9,5,8,12,11,8,9,12,14,13,8,12,9,1,5,9,7,5,12,3,2,1,1,3,3,3,3,1,1,2,€1.7M - €5M,- -  -,
78043518,Felipe Avenatti,ST (C),58%,9,11,16,17,14,12,12,16,10,12,12,12,11,13,14,11,8,11,13,17,10,13,11,8,10,13,12,8,17,10,5,5,10,12,9,13,3,2,4,2,2,1,3,1,3,3,1,€400K - €1.2M,- -  -,
96142623,Tomasz Bała,ST (C),53%,6,6,7,15,11,8,13,12,12,8,7,8,6,12,15,8,6,14,8,7,8,8,7,4,14,14,12,7,12,7,3,7,8,7,7,10,2,2,3,3,1,3,2,1,1,1,3,€0,- -  -,Trn
63031658,Filip Balaj,ST (C),50%,9,5,12,18,12,12,13,14,8,11,11,10,10,11,11,7,8,13,4,13,8,10,5,8,8,12,12,6,15,10,6,5,12,3,8,9,2,2,1,3,2,1,2,2,2,3,1,€110K - €325K,- -  -,
43001238,Mario Balotelli,ST (C),57%,12,11,15,14,13,11,10,14,11,11,9,15,8,13,14,17,10,12,4,9,14,8,9,12,10,14,14,15,14,16,5,3,13,18,5,16,2,3,3,1,1,2,3,1,3,2,3,€1.5M - €4.5M,- -  -,
25062337,Fortune Bassey,ST (C),29%,14,16,13,11,11,13,11,13,15,12,10,13,10,12,9,13,5,15,6,10,6,10,3,5,14,14,11,6,7,9,1,8,8,9,5,8,1,2,3,2,1,1,2,2,3,2,2,€500K - €1.5M,- -  -,
91196156,André Becker,ST (C),53%,14,11,9,17,11,13,8,12,5,13,8,9,8,12,12,10,13,14,5,8,9,9,8,4,12,7,14,8,17,8,7,5,9,2,5,11,2,1,3,2,2,1,1,1,3,1,3,€35K - €110K,- -  -,
211522,Chris Bedia,ST (C),51%,12,12,14,16,15,12,13,15,8,13,14,12,11,12,12,10,8,13,8,13,10,13,7,8,10,12,11,10,13,10,6,7,10,13,7,11,1,3,3,3,2,3,3,3,2,1,2,€425K - €1.3M,- -  -,
2000081515,Ahmed Nadhir Benbouali,ST (C),53%,13,12,13,15,10,13,13,12,11,13,13,12,12,14,6,11,12,15,9,11,13,12,6,8,12,13,13,10,13,9,4,10,12,10,7,13,2,3,2,2,1,2,2,2,3,1,2,€750K - €2.2M,- -  -,
