UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
19161405,Ademílson,ST (C),28%,14,14,11,8,6,13,14,10,12,14,14,13,12,13,12,12,8,15,6,13,12,15,7,10,11,13,13,10,10,13,7,6,13,13,6,13,1,1,3,3,1,3,2,1,1,2,1,€4.1M - €12.5M,- -  -,
23355125,Anthony Aguon,ST (C),38%,12,9,4,7,12,10,2,3,13,6,1,9,4,5,3,9,1,5,3,2,2,4,2,2,8,4,3,1,8,1,1,1,4,3,1,4,3,2,1,1,1,1,3,1,2,2,3,€0,- -  -,
23445393,Ganbat Anarkhüü,ST (C),17%,7,4,5,12,15,5,6,5,10,5,1,9,5,9,5,9,11,10,5,4,2,5,3,1,6,12,12,1,12,3,1,4,1,4,1,8,1,3,3,1,1,3,2,2,3,2,4,€0,- -  -,
23355092,Yaw Antwi-Agyei,ST (C),34%,12,8,3,9,14,9,8,5,5,6,2,7,3,4,13,7,4,3,3,2,1,3,2,1,3,12,11,2,12,3,1,2,3,3,2,6,4,2,1,2,3,4,2,1,2,1,4,€0,- -  -,
23161354,Eric Atalig,ST (C),27%,12,11,3,1,14,11,3,1,9,3,3,6,1,7,8,6,12,6,1,1,1,2,1,1,3,4,10,1,9,1,1,1,1,4,1,6,1,2,1,4,4,3,1,2,2,1,3,€0,- -  -,
23355175,Leon Bamba,ST (C),24%,12,10,4,3,15,11,5,1,5,3,1,11,2,6,9,8,9,10,3,2,1,4,3,1,9,8,4,2,9,1,1,1,2,5,1,5,3,1,2,3,2,2,2,4,1,2,1,€0,- -  -,
23447169,Chültem Bat-Erdene,ST (C),18%,12,11,3,4,14,12,5,4,11,4,2,11,1,4,13,9,8,4,1,1,2,2,1,1,4,3,5,1,2,1,1,1,1,5,1,7,3,3,1,3,1,3,3,2,1,3,2,€0,- -  -,
23447079,Bat-Erdene Battüshig,ST (C),33%,12,11,4,6,14,11,2,5,8,5,1,10,1,9,12,10,10,11,3,3,1,4,2,1,6,11,10,3,8,4,1,1,1,3,1,5,2,1,2,2,2,2,1,1,2,1,3,€0,- -  -,
23355173,Jake Benito,ST (C),30%,11,12,2,4,6,11,9,7,11,7,4,10,1,5,12,8,1,6,1,1,1,4,1,1,6,12,11,1,5,2,1,1,2,8,1,7,3,2,1,2,1,2,2,2,2,2,2,€0,- -  -,
23055860,Bi Jinhao,"D (C), ST (C)",82%,9,9,10,14,7,10,7,13,10,11,10,13,10,10,9,11,4,10,10,12,10,12,2,3,8,8,8,7,12,7,5,9,10,7,9,10,3,1,1,2,3,4,3,1,2,3,3,€375K - €1.1M,- -  -,Inj
