UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
16038432,Orhan Ademi,ST (C),25%,12,11,13,13,12,12,10,11,13,13,11,9,8,11,10,14,5,12,6,12,11,12,7,10,12,10,13,7,12,10,4,5,11,13,5,11,2,1,2,4,2,1,2,2,2,1,2,€75K - €230K,- -  -,
22063452,Ahmed Ahmedov,ST (C),36%,12,11,13,13,12,14,11,13,13,13,14,11,10,10,14,9,12,13,6,12,9,13,6,7,10,12,11,9,13,10,4,4,9,12,7,10,1,3,3,2,3,3,1,4,1,3,1,€120K - €350K,- -  -,
24051701,Matko Babic,ST (C),43%,12,13,11,10,13,13,12,10,11,12,9,9,10,11,12,12,6,12,4,13,11,12,4,7,12,11,13,4,10,8,5,4,11,11,5,13,2,1,2,3,2,1,3,2,4,3,2,€55K - €170K,- -  -,
57057749,Adrian Bălan,ST (C),48%,11,11,13,11,12,10,13,12,11,12,11,13,11,12,10,10,11,13,9,12,11,12,9,9,11,12,12,12,13,13,7,6,10,8,5,12,1,3,2,2,1,1,2,2,1,3,1,€60K - €180K,- -  -,
2000207535,Erik Berényi,ST (C),19%,12,9,4,6,8,12,5,11,13,11,12,7,4,11,9,11,4,11,6,7,5,10,5,5,13,14,13,5,10,5,2,3,6,9,1,10,3,3,3,4,3,3,1,3,2,3,3,€16K - €50K,- -  -,Yth
38031491,Gergely Bobál,ST (C),35%,11,10,11,14,11,12,12,11,8,13,9,13,11,11,12,10,10,10,7,9,7,8,6,6,10,12,10,9,11,11,5,8,10,13,4,12,2,3,4,3,3,3,3,3,2,4,1,€90K - €275K,- -  -,
62239648,Vukašin Bogdanović,ST (C),63%,12,11,10,12,12,12,10,10,14,11,12,12,10,10,3,9,12,13,11,12,11,12,10,8,11,12,11,9,12,9,3,7,11,5,4,11,4,2,1,1,2,2,3,3,2,2,2,€275K - €850K,- -  -,
53075025,Boli,ST (C),36%,16,14,14,8,15,14,11,16,12,8,11,14,9,11,11,15,5,14,12,12,9,15,6,8,12,13,12,7,9,10,5,6,9,10,5,12,3,1,3,1,3,1,1,1,1,2,2,€22K - €65K,- -  -,Opt
22067634,Preslav Borukov,ST (C),52%,12,11,13,15,16,13,13,14,13,14,14,12,13,11,14,9,11,15,7,12,11,12,8,10,10,13,11,9,14,10,6,5,10,10,7,12,2,3,3,2,2,1,3,3,2,3,2,€700K - €2M,- -  -,
57050847,Sergiu Buş,ST (C),58%,11,12,12,11,10,13,12,14,11,12,13,12,11,10,13,10,12,13,10,14,13,14,7,8,8,12,9,11,12,11,8,7,9,11,9,9,2,1,2,1,1,3,1,2,2,2,3,€120K - €350K,- -  -,
12093026,Mamadou Camara,ST (C),44%,8,11,9,13,13,13,10,7,14,6,9,10,4,14,4,9,13,15,8,8,10,10,8,7,14,14,14,8,14,9,3,8,7,6,5,10,2,3,3,3,4,1,3,1,1,2,1,€85K - €250K,- -  -,Opt
29059537,Lamin Colley,ST (C),67%,14,14,11,16,14,14,13,16,13,11,13,9,9,8,11,10,9,12,6,9,8,12,4,6,14,11,8,8,11,8,4,5,9,10,7,13,2,1,1,2,1,3,3,1,1,3,2,€240K - €700K,- -  -,
43108998,Andrea Compagno,ST (C),45%,11,11,12,17,10,11,11,15,10,13,13,13,12,12,12,10,10,13,12,13,11,12,5,6,11,13,14,5,15,9,5,4,8,13,6,10,2,2,1,1,2,2,3,2,3,4,3,€900K - €2.7M,- -  -,
13108065,Kalifa Coulibaly,ST (C),64%,12,12,16,17,13,12,13,17,11,12,13,12,12,12,13,8,11,11,7,12,10,11,6,7,10,11,11,8,15,11,4,5,11,12,5,10,2,3,3,2,2,3,3,2,3,3,3,€8K - €24K,- -  -,
