UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
23433993,Ala'a Abbas,ST (C),41%,13,12,11,12,14,14,11,11,11,12,11,13,7,8,13,9,8,12,3,7,8,8,5,8,10,14,12,7,13,12,7,2,8,11,4,11,3,2,1,2,3,3,1,3,2,4,3,€1.5K - €4.5K,- -  -,
13218538,Sudi Abdallah,ST (C),34%,12,9,8,10,15,11,10,10,7,10,9,14,9,13,7,15,9,14,9,8,5,9,8,4,14,14,13,8,9,6,2,6,9,8,1,12,1,2,1,1,2,2,3,3,3,3,3,€500 - €2K,- -  -,
2000041034,Ahmed Abdel Razzaq,ST (C),38%,12,9,7,9,15,12,10,7,14,12,4,9,6,10,15,14,6,12,5,6,6,6,6,1,12,13,9,5,12,4,1,5,6,2,3,9,4,3,3,1,3,1,2,3,2,3,3,€0,- -  -,
64039802,Mehdi Abdi,ST (C),41%,14,14,10,10,8,14,12,8,5,10,10,11,10,14,15,13,10,13,10,9,9,10,8,4,14,13,10,9,13,7,6,8,5,7,3,14,1,4,1,2,1,3,1,1,1,4,2,€50K - €150K,- -  -,
2000081064,Sulaiman Abdo Hizam,ST (C),22%,13,13,6,6,8,13,10,5,8,10,4,6,5,12,11,10,11,13,6,5,1,6,5,4,6,13,10,5,13,6,1,4,5,7,1,10,3,2,1,1,3,2,2,1,3,3,3,€2K - €6K,- -  -,Inj
23328628,Ahmed Abdoh Jaber,ST (C),36%,14,13,9,6,15,13,13,8,7,12,6,10,8,11,14,11,4,14,7,7,6,8,6,8,13,14,13,5,13,8,7,4,8,6,3,12,3,2,2,3,2,3,3,2,1,2,4,€375K - €1.1M,- -  -,
54200945,Falah Abdul Kareem,ST (C),29%,13,13,7,10,16,13,12,5,13,11,7,9,7,11,18,7,5,13,7,6,6,8,5,2,13,10,12,5,10,3,5,6,7,2,1,7,1,3,2,1,3,2,3,1,3,3,2,€0,- -  -,
65032405,Fiston Abdul Razak,ST (C),44%,15,8,8,12,12,13,13,12,13,10,9,8,7,9,3,13,5,12,9,7,11,8,6,8,8,10,12,8,11,9,6,6,9,1,8,11,2,2,2,1,3,3,1,3,3,2,1,€30K - €90K,- -  -,
2000118515,Moamal Abdul Ridha,ST (C),21%,13,10,8,7,9,13,11,7,6,11,5,13,6,9,15,10,8,13,6,4,5,7,6,6,7,13,14,6,13,7,1,6,4,8,1,10,3,1,3,1,3,2,4,2,1,3,3,€0,- -  -,
64046937,Abdulaziz Khalid,ST (C),21%,13,13,7,2,10,13,12,7,11,7,5,12,7,13,10,10,10,11,6,6,7,7,6,6,12,13,13,6,13,4,6,5,7,10,1,10,1,2,4,3,3,3,3,3,1,1,2,€5K - €16K,- -  -,
23088988,Mahdi Abduljabbar,ST (C),31%,12,10,9,5,12,9,11,9,15,10,6,7,9,12,7,13,9,14,6,8,8,9,8,5,6,14,14,8,14,7,4,7,9,6,7,11,1,2,1,1,3,2,3,3,1,2,1,Not for Sale,- -  -,
