UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
13151135,Mohamed Abdel Rahman,ST (C),25%,13,13,8,8,15,13,8,8,14,14,8,14,6,14,8,11,9,10,7,7,8,8,7,9,10,14,14,6,13,3,2,6,9,9,4,12,1,1,2,2,1,2,1,2,1,4,1,€100K - €300K,- -  -,
2000103572,Yaqoub Abdullah,ST (C),37%,12,10,7,11,11,10,7,7,10,14,8,11,8,8,14,13,5,13,7,7,7,8,7,5,7,14,14,7,13,4,4,7,8,8,2,10,1,2,2,2,1,3,1,1,2,1,3,€0,- -  -,
12061257,Lamine Abid,ST (C),40%,13,11,8,13,15,13,13,8,9,11,6,12,5,12,10,9,10,13,7,7,6,8,7,5,13,13,9,7,10,7,1,6,8,7,1,10,3,3,3,3,3,2,3,2,3,3,2,Not for Sale,- -  -,
2000231324,Mahmoud Abou-Gouda,ST (C),24%,13,13,13,5,15,13,7,3,9,14,8,6,10,11,9,11,13,13,8,7,6,12,4,6,11,14,8,5,9,8,2,7,13,2,4,12,3,2,3,1,3,1,4,1,3,2,2,€24K - €75K,- -  -,
2000103578,Nor Alaslam Aburawi,ST (C),46%,9,9,7,11,12,9,6,5,10,9,8,9,8,11,13,12,9,13,8,7,7,8,7,6,8,14,14,7,14,7,1,3,8,5,1,13,1,2,2,1,3,3,1,3,1,3,3,€0,- -  -,
13167441,Elmutasem Abushnaf,ST (C),39%,13,10,8,14,12,12,13,6,10,12,8,12,8,12,11,7,14,10,5,7,4,8,2,5,13,12,12,7,13,8,5,5,6,11,4,7,3,3,2,1,4,3,1,2,2,3,1,€1K - €3.5K,- -  -,
2000166360,Kossi Adetu,ST (C),39%,12,12,6,13,9,11,12,7,14,10,8,8,7,7,2,13,4,12,7,5,6,7,6,6,7,13,13,6,11,6,1,5,4,2,1,12,3,3,3,1,2,2,3,1,3,2,2,€0,- -  -,
2000121156,Mouad Ajendouz,ST (C),73%,13,6,2,13,16,9,7,12,7,7,5,10,5,13,9,9,12,13,6,6,5,6,6,5,13,13,13,7,13,8,4,3,8,6,6,8,1,1,2,2,1,2,2,3,3,3,3,€40K - €120K,- -  -,
2000179518,Akinade Moses,ST (C),41%,14,14,8,5,10,14,9,10,10,10,7,9,6,11,9,11,9,10,7,6,6,7,6,5,12,13,14,3,12,7,1,6,7,8,2,12,3,1,3,1,3,1,1,3,1,3,1,€75K - €230K,- -  -,
2000137608,Mohamed Aimen Akziz,ST (C),42%,13,11,6,5,10,9,11,3,11,12,7,7,6,6,6,10,13,9,6,5,5,6,5,5,11,13,13,5,12,7,1,5,6,7,1,10,3,2,2,1,3,3,2,3,2,2,1,€0,- -  -,
2000167362,Sughair Al Kanouni,ST (C),31%,12,10,7,9,13,12,12,6,7,7,4,11,7,10,3,13,12,10,6,6,4,7,6,3,11,13,13,5,8,7,1,6,7,6,5,12,1,1,1,1,2,1,3,4,3,2,2,€0,- -  -,
13232378,Akram Al Zuway,ST (C),29%,13,13,7,7,18,13,12,5,12,12,9,13,6,11,13,13,6,13,8,7,8,8,2,4,12,13,13,6,13,6,5,6,8,9,6,13,3,2,2,2,2,3,3,1,4,2,1,Not for Sale,- -  -,
2000121688,Ahmed Al-Ajnaf,ST (C),40%,13,13,7,10,8,13,12,5,6,9,7,9,7,6,15,12,11,11,7,6,4,8,5,5,13,13,12,2,13,7,4,5,4,4,3,9,1,4,1,1,2,3,2,3,3,1,3,€1.5K - €4.5K,- -  -,
2000171820,Mohammed Al-Deek,ST (C),43%,11,10,7,10,10,10,12,7,10,4,7,11,7,6,7,9,5,13,3,6,2,6,6,5,8,14,14,1,13,6,3,5,6,8,1,9,2,3,3,2,2,3,2,2,2,3,1,€1.5K - €4K,- -  -,
2000122658,Mohammed Al-Dresi,ST (C),7%,13,13,7,9,12,12,12,7,14,13,8,10,6,12,7,12,11,12,7,6,7,7,6,2,12,12,11,6,8,6,5,2,7,6,4,12,1,2,3,1,1,3,2,1,2,1,1,€500 - €2K,- -  -,
2000170912,Islam Al-Ghennai,ST (C),30%,12,7,8,7,9,9,5,5,9,10,6,9,8,12,11,13,10,14,8,7,4,7,6,3,11,14,13,6,14,5,3,5,7,6,1,13,3,3,3,3,2,2,2,3,1,2,2,€0,- -  -,
2000087942,Mohammed Al-Ghunaimi,ST (C),22%,10,10,15,11,8,10,9,7,14,11,9,10,9,13,8,13,11,10,9,8,6,9,8,6,10,10,13,8,10,9,4,8,9,8,2,10,1,1,3,1,3,2,3,3,1,2,3,€0,- -  -,
23388122,Ibrahim Al-Jareh,ST (C),35%,13,13,7,9,13,13,12,8,11,10,2,13,7,13,13,10,7,13,5,6,6,7,6,6,12,12,13,6,13,5,2,6,7,5,2,9,2,1,1,1,2,3,3,3,2,3,3,€1K - €2.5K,- -  -,
2000171818,Moataz Al-Jurnazi,ST (C),8%,13,12,7,2,8,13,7,10,6,8,8,9,7,10,17,10,8,10,7,6,7,7,4,6,13,13,13,6,10,7,1,5,7,8,2,10,1,3,1,3,1,3,1,3,3,2,3,€1.5K - €4K,- -  -,
2000171539,Maher Al-Khitouni,ST (C),29%,10,12,7,3,17,11,11,6,7,10,7,14,6,11,6,9,9,13,5,6,5,6,6,5,6,12,13,5,10,5,2,5,6,9,1,9,2,3,2,2,1,2,1,2,3,4,1,€0,- -  -,
2000171531,Ezzeddine Al-Mariami,ST (C),29%,13,13,8,4,9,13,7,8,14,11,8,8,5,12,15,9,11,11,4,6,6,7,6,5,10,13,11,6,13,8,1,6,7,6,1,9,3,2,3,3,4,1,3,2,3,1,1,€0,- -  -,
2000171232,Husain Al-Obaidi,ST (C),22%,13,13,6,8,15,13,7,3,10,11,3,8,6,10,9,12,13,10,5,5,5,6,3,5,13,10,8,5,13,6,1,5,6,4,1,12,2,3,1,3,1,2,3,1,2,3,1,€0,- -  -,
2000142723,Mohamed Al-Sharif,ST (C),13%,12,12,6,4,10,12,12,7,10,9,8,9,6,10,8,10,9,12,3,5,3,7,3,4,12,13,12,5,12,6,1,5,1,4,2,10,1,1,2,3,2,1,2,2,1,2,3,€0,- -  -,
2000103537,Abdulraouf Al-Shebli,ST (C),39%,12,9,4,10,13,8,6,9,6,11,2,13,8,7,12,12,12,13,6,7,5,8,6,5,13,14,14,5,13,6,1,5,8,6,3,11,3,2,1,1,2,3,3,2,2,2,1,€0,- -  -,
13196967,Alimi Sikiru,ST (C),40%,14,11,9,10,8,13,10,8,15,11,9,13,9,14,15,11,1,11,7,8,4,9,8,7,8,14,14,8,14,9,4,7,8,6,3,12,2,2,2,1,4,1,2,3,1,1,1,€6K - €20K,- -  -,
12079525,Jocelyn Amian,ST (C),29%,14,10,9,5,12,14,11,8,7,12,6,11,9,14,16,10,10,11,9,8,9,9,8,7,12,14,8,8,14,9,5,7,9,4,2,10,4,3,3,4,1,3,2,1,2,3,2,€35K - €110K,- -  -,
2000179499,Ayoub Ammar,ST (C),30%,12,12,5,8,9,12,10,9,9,11,4,12,6,10,14,9,5,9,6,5,2,6,4,5,12,12,12,3,12,6,1,4,6,8,1,8,3,3,2,2,3,2,4,1,3,1,3,€0,- -  -,
23322218,Austin Amutu,ST (C),28%,13,14,14,11,10,13,11,12,14,10,13,11,7,7,7,15,4,13,6,7,12,13,10,8,13,12,12,10,8,8,3,3,11,7,5,13,2,3,3,2,2,2,1,3,1,2,3,€220K - €650K,- -  -,
13202638,Omar Aribi Hammad,ST (C),34%,13,13,5,7,14,13,6,6,7,11,8,8,5,13,10,11,8,13,7,6,7,7,6,2,10,12,12,6,13,7,1,6,3,5,4,11,2,4,1,2,1,2,3,3,1,1,3,€0,- -  -,
2000141857,Mohamed Askri,ST (C),33%,10,12,8,7,15,11,7,6,7,7,8,8,8,12,12,11,7,14,7,6,9,7,7,4,14,14,14,6,14,8,1,6,8,5,1,12,2,4,3,2,2,1,1,4,1,1,3,€35K - €100K,- -  -,
2000131705,Abdelrahman Atef,ST (C),42%,14,10,8,14,12,12,7,7,9,13,7,14,2,10,6,8,2,11,6,6,4,5,6,7,13,14,12,6,13,7,1,6,6,5,3,8,1,3,2,2,1,2,2,3,2,2,1,€95K - €275K,- -  -,
95079029,Abdellah Azakan,ST (C),25%,13,14,8,10,15,13,5,6,13,9,5,12,7,14,13,9,11,10,8,7,6,3,5,7,13,13,11,6,11,3,5,6,6,10,1,9,3,3,3,3,2,1,2,1,1,2,2,€16K - €45K,- -  -,
2000212918,Mohamed Bakhkhach,ST (C),50%,13,12,7,10,15,12,8,9,12,9,5,10,6,13,11,11,7,13,6,6,7,7,6,5,12,13,10,6,13,6,5,6,7,3,3,11,2,1,3,4,1,1,1,1,2,1,1,€40K - €120K,- -  -,
12026025,Abou Sofiane Balegh,ST (C),31%,10,10,3,2,15,10,10,6,10,8,5,6,8,9,13,14,11,14,8,7,8,8,7,3,11,14,14,7,14,6,3,7,8,5,1,13,3,4,2,3,3,2,3,2,1,2,3,€0,- -  -,
2000137291,Abdelillah Barkat,ST (C),35%,13,13,7,6,14,13,12,6,7,8,8,9,7,12,13,11,5,13,5,6,8,7,6,7,7,13,7,6,13,5,3,5,7,9,1,11,1,2,3,1,2,2,1,3,2,3,3,€6K - €18K,- -  -,
2000068266,Omar Bassam,ST (C),32%,10,10,15,11,13,10,8,9,15,8,14,10,9,12,19,9,7,10,8,8,7,9,7,5,9,10,15,8,8,8,5,4,9,7,4,10,1,2,2,3,1,2,3,2,1,1,3,€20K - €55K,- -  -,
2000197639,Youssef Becha,ST (C),67%,13,9,3,10,10,12,8,10,12,8,6,9,1,8,6,14,12,13,5,6,5,6,5,4,10,12,12,4,13,7,2,3,7,7,1,11,1,1,2,1,2,1,3,2,1,2,3,€26K - €75K,- -  -,Yth
13207013,Hamza Belahouel,ST (C),41%,14,14,9,7,15,14,11,11,8,9,9,13,7,11,14,10,11,9,8,8,7,9,7,7,14,11,10,4,13,9,1,7,9,3,2,10,1,3,2,2,1,2,1,1,3,1,1,€70K - €200K,- -  -,
2000028665,Khier-Anes Belaid,ST (C),28%,14,9,8,5,11,11,10,7,12,12,7,10,8,11,9,13,8,11,8,7,6,7,7,7,13,14,14,6,13,8,1,6,8,7,3,9,3,2,1,2,2,1,2,3,2,2,3,€22K - €65K,- -  -,
2000079146,Yasser Belaribi,ST (C),30%,13,11,7,8,14,12,6,9,13,9,4,7,7,11,4,15,2,10,7,6,6,7,6,4,13,13,13,3,12,7,1,3,5,4,3,12,3,1,1,2,1,3,2,3,1,2,3,€14K - €45K,- -  -,
2000083904,Ilyas Belfakih,ST (C),60%,14,11,4,10,14,13,5,8,10,5,3,11,6,12,5,12,15,10,5,7,7,8,6,3,14,14,13,7,14,6,4,6,8,5,4,12,3,1,4,1,1,3,1,1,3,3,2,€35K - €110K,- -  -,
12040202,Ismaïl Belkacemi,ST (C),28%,12,12,12,4,5,12,15,12,10,12,10,11,10,11,11,9,8,15,9,9,8,10,9,5,15,15,15,8,15,10,6,9,7,10,5,12,2,3,1,2,3,3,1,2,3,1,2,€50K - €150K,- -  -,
