UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
79024208,Luis Amarilla,ST (C),47%,13,14,12,12,13,12,15,13,9,13,11,12,9,12,11,14,7,16,7,9,11,13,8,8,11,14,13,9,15,10,6,6,13,14,6,13,2,2,2,2,2,3,2,3,1,3,1,€2.1M - €6.4M,- -  -,
86006511,Fernando Aristeguieta,ST (C),56%,12,11,13,15,13,12,14,15,14,13,15,12,12,11,12,9,12,14,10,13,12,13,8,7,10,15,10,7,15,12,5,6,10,15,4,10,2,2,3,2,1,2,3,1,2,2,2,€30K - €90K,- -  -,Opt
51074788,David Ayala,ST (C),36%,13,13,10,12,12,11,12,10,8,11,7,11,11,12,16,11,7,11,11,10,11,10,8,9,12,12,11,10,12,11,9,8,11,11,6,12,1,2,4,2,2,4,1,1,4,2,3,€14K - €45K,- -  -,Wnt
51078635,Ettson Ayón,ST (C),42%,11,10,11,10,8,7,9,6,9,9,10,11,10,10,6,7,8,10,12,10,9,9,6,8,12,12,10,3,10,10,6,5,8,10,6,9,3,1,2,3,1,3,2,2,1,3,1,€1.5K - €4.5K,- -  -,
79027228,Adam Bareiro,ST (C),31%,14,13,13,13,15,13,15,13,16,13,15,10,14,14,13,14,10,16,8,14,12,17,7,9,12,13,12,8,14,9,5,9,13,11,8,14,1,3,1,2,1,1,1,1,1,2,4,€475K - €1.4M,- -  -,
5662576,Martín Barragán,ST (C),44%,12,9,10,13,10,11,9,13,11,14,12,9,12,12,13,11,8,13,12,13,10,12,9,10,11,12,14,9,14,12,9,8,10,13,6,11,3,1,1,3,3,3,2,1,3,2,1,€12K - €35K,- -  -,
18009139,Christian Benteke,ST (C),45%,12,13,16,18,14,12,14,19,15,12,14,10,12,11,16,12,10,12,8,11,11,9,7,7,10,12,9,9,18,10,7,9,10,10,4,13,1,3,1,3,2,2,3,1,1,1,3,Not for Sale,- -  -,
19302917,Brenner,ST (C),25%,15,15,10,6,15,14,13,10,12,13,12,14,13,12,15,13,11,15,8,12,12,13,10,9,14,15,14,10,13,10,10,7,11,15,7,13,3,1,3,1,2,1,4,2,3,3,2,€2.5M - €7.6M,- -  -,
78058339,Lucas Cavallini,ST (C),47%,13,11,15,12,14,14,14,16,16,11,16,13,15,10,15,9,11,13,11,12,9,16,11,11,9,13,10,11,16,7,11,12,10,12,6,11,2,1,1,3,1,1,3,2,3,1,4,€2.2M - €6.6M,- -  -,
86050497,Miguel Celis,ST (C),64%,11,11,12,15,15,12,12,12,10,11,13,10,11,16,7,6,10,12,7,14,11,11,9,6,10,11,10,10,13,9,6,9,10,8,3,11,2,3,2,1,3,2,3,2,1,1,2,€230K - €700K,- -  -,
