UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
58137501,Gamid Agalarov,ST (C),40%,14,14,14,10,14,13,14,10,9,12,15,10,15,12,11,11,4,13,6,8,10,10,6,6,9,16,12,7,12,8,6,6,8,12,8,11,3,2,3,3,3,1,1,3,2,1,1,€2.6M - €7.8M,- -  -,Inj
71102708,Danyil Alefirenko,ST (C),29%,12,12,12,10,12,12,12,12,9,12,10,11,11,9,12,9,8,12,7,12,11,13,5,8,12,14,11,7,10,9,4,8,10,13,10,13,2,3,1,3,3,3,1,1,2,2,2,€220K - €650K,- -  -,
2000015373,Evgeniy Apanasovich,ST (C),14%,13,12,8,10,12,12,6,7,6,8,7,9,7,11,15,6,5,14,6,6,6,6,5,4,12,13,10,6,10,6,6,4,9,9,5,12,3,2,1,1,3,3,2,3,3,4,3,€14K - €45K,- -  -,
2000109423,Roberts Aršauskis,ST (C),23%,13,8,5,11,12,9,10,5,11,8,4,9,5,12,15,11,10,7,4,5,4,6,4,1,9,13,11,5,9,5,1,1,3,7,1,7,4,2,1,1,2,1,1,2,3,1,2,€0,- -  -,
62230052,Dušan Bakić,ST (C),54%,11,10,12,13,10,13,10,12,7,9,8,11,10,10,13,13,12,13,10,9,13,11,5,8,11,12,12,8,12,12,6,6,12,12,4,9,2,3,2,2,3,1,3,3,1,3,1,€18K - €55K,- -  -,
71080313,Artem Besedin,ST (C),51%,12,12,16,15,13,13,15,15,13,13,16,10,12,11,16,8,9,14,9,16,12,19,4,6,10,12,9,9,15,10,4,5,11,11,8,10,3,1,2,1,3,2,1,2,1,3,3,€850K - €2.6M,- -  -,
2000196768,Vakhtang Bezarashvili,ST (C),30%,13,10,6,4,10,10,6,7,10,11,7,11,6,10,3,11,8,7,6,5,4,6,5,3,9,13,9,5,14,3,1,4,6,5,1,11,3,4,2,3,1,3,4,2,2,2,3,€30K - €90K,- -  -,
2000084050,Valeriy Blazhko,ST (C),44%,12,10,7,15,16,11,7,5,8,9,5,7,7,10,13,11,9,11,7,6,7,7,5,2,12,13,10,5,13,6,1,6,6,3,4,11,3,3,2,2,2,1,1,2,1,1,1,€6K - €18K,- -  -,
58123846,Fedor Chalov,ST (C),27%,14,13,11,10,13,14,14,13,13,14,14,12,13,13,17,16,11,15,10,14,14,11,10,11,12,13,13,10,6,11,9,7,13,13,6,14,2,2,3,3,3,2,1,2,2,2,2,€5.2M - €15.5M,- -  -,
17041055,Zakhar Chervyakov,ST (C),57%,12,13,13,14,9,9,11,12,10,9,7,9,8,9,13,12,8,10,9,11,10,6,9,5,11,12,11,9,12,7,4,8,9,8,4,10,3,1,2,1,2,3,3,2,1,3,1,€35K - €110K,- -  -,
85046997,Salif Cissé,ST (C),50%,11,11,13,13,13,13,11,13,13,10,8,9,10,8,6,12,5,11,5,9,10,10,8,10,10,8,10,9,16,9,1,8,8,1,5,10,3,3,2,2,3,3,1,3,3,2,3,€60K - €190K,- -  -,
