UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
2000190513,Elias Aarflot,ST (C),37%,12,13,13,9,14,12,11,10,11,12,11,12,10,12,16,9,6,12,5,11,8,12,5,8,10,12,12,6,9,11,3,5,9,11,5,10,3,3,4,3,2,1,1,3,3,3,1,€400K - €1.2M,- -  -,
93100901,Assad Al-Hamlawi,ST (C),63%,12,11,12,13,10,12,10,12,11,10,13,10,10,11,10,11,5,12,11,12,10,12,4,8,11,10,11,8,12,9,4,4,8,8,8,11,2,3,2,3,1,1,4,3,2,2,1,€65K - €200K,- -  -,
93117698,Jacob Bergström,ST (C),58%,12,7,16,16,9,13,13,17,12,12,19,11,12,12,15,5,8,13,8,15,8,15,6,7,8,11,10,6,14,9,8,7,7,9,11,10,1,1,4,2,1,3,1,2,2,3,2,€210K - €600K,- -  -,
27024589,Andreas Cornelius,ST (C),67%,11,10,16,17,16,13,14,18,13,14,14,13,12,12,14,8,9,12,6,15,12,16,6,7,11,14,12,7,15,12,5,5,12,10,7,12,2,3,3,2,1,2,3,3,2,1,2,€3.9M - €11.5M,- -  -,
93081617,Edvin Crona,ST (C),65%,13,10,12,15,11,13,12,13,9,10,11,10,10,10,13,11,9,12,6,11,8,11,6,7,10,9,11,8,12,11,6,5,7,12,6,11,2,3,2,2,3,2,2,1,2,2,3,€65K - €190K,- -  -,
32024955,Hans Marius Davidsen,ST (C),60%,7,4,9,16,13,8,8,14,6,11,13,9,8,7,8,7,10,9,5,11,8,8,6,11,4,9,5,7,11,6,8,3,10,4,7,7,3,3,1,2,3,1,3,3,2,3,3,€0,- -  -,
37057359,Jelle Duin,ST (C),45%,12,12,15,13,12,12,12,12,12,12,11,10,12,12,11,7,9,12,8,13,10,14,6,6,8,12,12,7,13,10,6,6,10,12,7,12,1,2,4,3,2,1,1,4,1,2,1,€250K - €750K,- -  -,
68012169,Pontus Engblom,ST (C),48%,13,10,11,13,10,13,12,11,8,11,12,12,12,12,12,7,13,13,9,13,9,13,7,8,10,13,12,9,13,11,6,4,9,13,5,10,3,2,2,1,2,1,1,2,2,3,1,Not for Sale,- -  -,
93049377,Gustav Engvall,ST (C),47%,13,11,12,11,14,14,12,12,12,13,13,13,13,13,14,11,8,13,7,13,11,12,6,9,10,13,12,6,10,8,11,4,11,9,7,12,1,2,1,1,1,2,3,1,3,3,3,€250K - €750K,- -  -,
27156353,Wahid Faghir,ST (C),42%,11,11,11,13,12,12,10,13,11,12,12,14,11,12,11,12,4,13,5,10,11,9,5,8,11,15,12,7,11,11,5,5,11,12,6,12,3,2,1,3,2,3,1,2,2,4,1,€1M - €3.1M,- -  -,
2000097252,Dánjal Frederiksberg,ST (C),15%,10,8,5,3,13,8,4,7,6,10,5,5,5,5,7,10,11,5,5,4,3,5,4,4,11,14,9,3,8,3,4,2,3,4,2,8,2,4,2,1,2,2,3,2,1,3,3,€0,- -  -,
93012883,Per Frick,ST (C),46%,11,8,15,12,13,12,13,14,16,12,16,11,14,12,15,7,14,12,12,15,9,15,7,10,9,12,12,8,14,10,10,10,11,10,14,11,1,1,2,3,1,1,2,2,3,3,2,Not for Sale,- -  -,
47082826,Chinedu Geoffrey,ST (C),61%,8,10,13,13,11,10,15,15,10,11,8,13,9,10,12,13,9,12,9,10,12,10,9,9,11,13,12,10,14,12,9,7,10,10,8,8,2,2,3,1,1,1,2,2,1,3,3,€120K - €350K,- -  -,
67269924,Andri Lucas Guðjohnsen,ST (C),67%,10,9,13,15,15,11,14,15,12,12,12,13,13,12,14,10,7,10,12,12,11,11,4,7,8,12,11,6,14,9,8,3,11,10,6,10,3,2,1,2,1,3,3,1,1,3,2,€400K - €1.2M,- -  -,
39046556,Sveinn Aron Guðjohnsen,ST (C),67%,11,9,13,13,14,12,14,14,17,12,15,11,12,12,14,8,10,12,10,14,11,14,7,8,9,12,10,8,14,8,16,8,10,11,11,11,1,4,3,3,2,2,3,1,2,3,1,€425K - €1.3M,- -  -,
68007650,John Guidetti,ST (C),45%,11,8,13,14,12,12,12,14,16,13,15,12,13,12,15,10,13,13,10,13,11,12,7,12,12,14,13,13,14,14,9,6,12,16,7,13,2,2,1,3,4,4,2,1,4,4,2,Not for Sale,- -  -,
43116921,Vahid Hambo,ST (C),50%,11,10,13,15,7,12,9,13,8,11,13,11,10,9,10,11,5,13,5,8,8,9,5,6,10,13,11,5,12,7,6,4,8,10,4,10,2,2,2,2,1,3,2,1,1,3,3,€80K - €230K,- -  -,
2000192812,Onni Hänninen,ST (C),50%,14,11,4,8,10,14,9,8,7,9,5,9,6,13,14,11,4,6,5,5,6,7,5,3,13,14,10,6,13,7,2,2,7,6,3,7,3,3,2,3,2,1,1,2,1,2,2,€65K - €200K,- -  -,
2000231302,Teemu Hytönen,ST (C),40%,13,11,7,6,9,13,12,9,11,4,1,6,4,6,12,8,10,12,6,5,5,7,5,5,10,11,12,5,12,4,1,3,5,1,1,7,2,2,2,1,3,1,2,1,2,3,3,€20K - €55K,- -  -,
93038087,Alexander Jeremejeff,ST (C),55%,11,8,15,14,10,12,13,15,12,14,12,14,14,15,13,11,9,12,8,11,12,12,7,10,11,15,13,8,14,10,7,7,15,16,7,12,2,1,1,1,1,3,3,1,2,2,2,€375K - €1.1M,- -  -,Opt
27162510,Thomas Junge,ST (C),36%,12,9,10,11,11,11,9,9,6,8,7,6,7,12,4,8,14,15,5,7,8,8,7,5,9,9,15,6,11,5,5,5,6,3,2,10,1,3,3,1,2,2,3,1,1,1,3,€2K - €6K,- -  -,
67213719,Sory Kaba,ST (C),49%,12,14,15,16,14,13,14,16,13,14,14,13,11,13,12,12,8,13,8,8,8,11,4,9,9,11,11,4,13,9,6,4,10,12,6,12,3,3,1,4,1,2,1,3,2,2,3,€600K - €1.9M,- -  -,Frt
