UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
2000036647,Alfred Adams,ST (C),28%,12,12,4,3,16,12,7,10,14,7,2,10,4,6,7,9,9,10,4,3,3,4,2,1,8,12,6,3,5,4,2,1,2,7,1,5,3,3,3,3,2,1,3,3,3,1,3,€1.5K - €4.5K,- -  -,
63010577,Fanendo Adi,ST (C),49%,9,9,13,17,15,12,12,16,14,12,11,9,12,10,15,7,8,14,6,11,12,10,4,6,10,13,14,7,14,9,5,5,12,12,6,11,3,1,2,1,3,1,1,2,2,1,1,€150K - €450K,- -  -,
88029100,Kitiona Alaivaa,ST (C),27%,11,11,3,3,12,11,5,2,5,9,4,9,3,6,1,5,7,7,3,2,1,3,1,1,6,10,8,2,4,3,1,2,1,7,1,4,2,2,1,3,4,2,3,2,1,2,1,€0,- -  -,
20500621,Leaford Allen,ST (C),46%,7,6,10,11,10,7,10,11,13,12,8,12,8,12,5,10,13,13,6,7,6,8,7,6,11,14,12,7,14,7,3,7,6,12,1,12,3,1,1,1,1,1,4,3,2,1,2,€0,- -  -,
2000057640,Christian Amros,ST (C),21%,7,9,5,4,13,9,3,4,7,11,6,10,5,11,11,8,6,7,6,5,5,5,4,4,3,10,14,3,13,6,2,4,2,5,1,8,2,2,2,3,1,1,3,2,1,3,3,€0,- -  -,
88024754,Jack Anderson,ST (C),25%,13,8,5,5,12,11,3,6,5,7,7,9,3,11,13,14,1,13,6,5,5,6,5,2,9,11,10,5,10,6,2,4,6,5,3,5,3,2,1,1,3,1,3,3,3,4,1,€0,- -  -,
2000056435,Abraham Aperaamo,ST (C),16%,12,11,4,5,12,12,9,5,11,4,4,5,2,7,15,8,4,10,2,2,3,5,2,1,9,7,4,1,2,3,1,1,2,3,1,3,3,3,2,3,3,3,2,3,2,2,3,€0,- -  -,
36522045,Eli Apwong,ST (C),22%,12,8,1,8,14,11,3,5,7,4,2,8,2,9,5,8,1,4,2,1,1,2,1,1,10,4,6,1,3,1,1,1,1,1,1,2,1,1,3,3,3,3,1,1,3,3,2,€0,- -  -,
2000036583,Kenry Arsen,ST (C),47%,12,8,4,9,16,9,3,7,5,7,6,12,3,8,7,8,10,9,4,4,3,5,4,1,9,12,10,4,12,4,1,2,5,7,1,8,3,1,2,1,3,1,1,1,1,3,2,€3.5K - €10K,- -  -,
2000095517,Ariitapu Asen,ST (C),36%,11,10,4,3,14,10,8,4,13,11,3,11,3,7,2,11,10,8,1,3,3,3,3,1,7,12,12,1,6,2,1,1,4,6,1,7,2,1,1,2,3,2,3,2,3,3,3,€1.5K - €5K,- -  -,
29063111,Charlie Austin,ST (C),52%,6,9,12,14,9,5,8,15,15,14,15,13,13,13,14,11,11,15,8,12,10,10,7,10,9,15,13,7,15,9,3,8,11,14,5,12,1,2,3,3,1,1,4,3,1,3,2,€45K - €140K,- -  -,
2000094922,Mansen Avock,ST (C),33%,13,12,6,5,13,13,12,7,10,7,3,8,5,10,14,8,12,9,4,5,4,7,5,4,5,13,6,5,10,3,5,4,6,8,1,8,3,1,1,2,3,2,1,4,2,2,2,€4K - €12K,- -  -,
2000088360,Clement Baegeni,ST (C),21%,13,13,6,3,15,13,5,5,5,10,6,12,6,10,17,12,11,10,3,5,2,6,2,3,10,10,8,4,8,5,1,4,6,7,1,12,3,1,3,3,3,2,1,1,1,4,2,€8K - €22K,- -  -,
88024967,Aidan Barbour-Ryan,ST (C),24%,12,12,11,9,14,11,11,7,5,9,6,9,8,8,11,12,14,9,7,6,7,7,7,8,11,9,9,7,3,4,4,5,8,7,3,11,2,3,2,3,1,2,2,3,2,1,1,€0,- -  -,
2000057131,Lenus Bob,ST (C),23%,10,7,1,7,12,8,7,6,9,10,6,6,5,10,11,7,5,4,4,4,2,5,3,2,8,13,9,1,10,5,1,2,5,4,1,5,2,2,3,3,3,2,2,2,3,2,2,€0,- -  -,
88023589,Gianni Bouzoukis,ST (C),42%,12,11,9,7,12,11,10,11,9,12,6,10,9,8,16,8,9,10,7,8,10,10,6,8,14,13,11,8,11,9,3,8,7,5,5,11,2,2,3,1,2,3,1,1,2,1,3,€0,- -  -,
2000014910,Fraser Brown,ST (C),34%,12,9,3,7,8,10,10,4,9,8,4,11,4,15,13,8,5,15,2,6,6,7,5,3,9,12,13,6,14,7,2,6,8,4,3,10,3,3,1,2,2,1,1,1,2,1,1,€0,- -  -,
2000056993,Ajay Bule,ST (C),23%,8,7,5,7,11,7,10,4,13,7,3,6,4,8,7,9,11,13,4,4,1,6,1,3,6,13,12,2,10,5,1,2,5,7,1,7,3,1,3,1,3,2,1,2,3,1,2,€0,- -  -,
14131586,Juan Cruz Canay,ST (C),18%,13,13,7,4,12,14,11,2,12,10,8,9,6,10,9,8,4,13,7,7,7,6,3,5,13,12,11,6,11,5,6,2,7,3,1,9,2,2,1,4,2,3,3,1,1,1,1,€0,- -  -,
2000067309,Romain Carlot,ST (C),32%,12,11,4,1,13,11,10,4,13,8,5,12,4,9,12,7,4,10,3,3,4,6,1,1,9,12,5,1,12,4,1,1,4,7,2,5,2,2,4,1,3,2,3,2,3,2,1,€3K - €9K,- -  -,
57109433,Anthony Carter,ST (C),63%,11,13,11,14,12,12,11,13,12,9,8,13,9,8,12,13,7,12,6,10,11,9,7,10,11,11,12,13,12,9,5,5,10,10,5,13,3,2,3,3,3,3,1,1,1,3,1,€10K - €28K,- -  -,
88028408,Denny Cheshire,ST (C),17%,12,12,4,7,10,12,3,5,5,5,1,5,3,6,5,6,8,5,3,2,1,3,2,1,8,10,8,3,9,1,1,1,1,1,1,6,2,3,2,1,3,3,1,3,2,1,1,€0,- -  -,
2000056883,Robert Collins,ST (C),40%,11,7,4,5,13,8,5,2,10,5,3,8,2,3,15,9,4,10,2,3,2,4,3,1,6,13,6,3,9,4,1,3,3,8,1,5,1,2,1,1,3,2,1,4,1,1,1,€0,- -  -,
61064592,Jason Cummings,ST (C),32%,12,13,12,10,4,11,12,12,13,13,14,12,10,14,14,15,5,13,11,8,14,13,10,12,12,14,11,6,12,13,2,6,13,15,8,13,2,2,4,2,1,3,3,1,2,2,3,€500K - €1.5M,- -  -,
15062171,Nicholas D'Agostino,ST (C),38%,13,12,13,8,6,11,11,12,11,11,12,8,12,11,7,9,10,12,10,10,11,13,10,7,11,12,9,10,12,9,7,10,11,5,5,12,2,1,4,3,2,1,2,1,2,1,3,€300K - €850K,- -  -,
2000062818,Micheal Dan,ST (C),22%,12,11,4,8,12,12,2,4,5,7,3,10,2,7,9,14,1,12,4,3,4,4,3,3,5,11,12,3,12,4,1,3,4,4,1,7,3,2,1,3,1,1,1,3,2,1,3,€0,- -  -,
30053117,Bernard Daniel,ST (C),22%,12,12,4,10,12,11,11,6,9,11,4,7,3,6,12,10,10,11,5,4,2,6,1,1,9,12,5,4,6,5,1,2,3,1,2,4,2,3,2,2,1,2,1,3,1,2,1,€1.5K - €4K,- -  -,
88029021,Victor Elikana,ST (C),23%,6,4,5,9,9,5,10,4,8,9,5,4,3,9,6,7,6,10,4,4,2,5,3,1,5,13,8,3,8,5,1,3,5,2,1,5,1,2,2,2,3,3,1,3,3,3,3,€0,- -  -,
2000056445,Niko Faalogo Ene,ST (C),28%,8,5,1,7,13,6,9,3,10,9,5,9,4,7,9,7,6,6,2,3,1,5,1,4,6,13,10,2,7,1,1,3,2,7,1,6,2,1,2,1,3,3,2,2,3,1,2,€0,- -  -,
