UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
82003103,Anthony Abrams,ST (C),27%,3,4,4,7,13,3,4,4,11,9,5,13,8,12,15,10,13,12,7,7,6,8,7,6,3,15,15,7,15,7,1,6,8,9,1,12,2,3,2,3,2,2,3,3,3,3,3,€0,- -  -,
2000027701,Mateo Aguilar,ST (C),47%,13,13,7,13,14,13,9,10,11,8,8,12,5,11,11,13,13,11,5,6,6,7,4,4,13,11,13,6,13,7,3,3,7,7,3,13,3,3,2,2,1,1,3,1,1,2,2,€150K - €450K,- -  -,
86076755,Matías Aguirre,ST (C),52%,12,11,11,12,10,11,8,9,10,12,8,11,6,11,6,13,10,12,10,10,8,11,10,7,12,9,11,10,16,7,6,8,11,9,5,16,1,2,2,2,1,2,4,2,2,3,1,Not for Sale,- -  -,
2000142848,José Alarcón,ST (C),33%,14,11,6,8,13,10,9,7,13,9,4,12,3,6,14,14,9,13,4,5,5,6,6,5,13,15,14,4,13,6,1,4,6,6,1,10,1,2,1,3,3,2,3,2,2,2,3,€70K - €200K,- -  -,
78036300,Gustavo Alles,ST (C),62%,9,9,15,16,10,13,12,13,12,12,12,11,12,9,9,6,11,13,9,12,9,12,7,8,9,14,11,9,15,7,7,8,11,14,10,12,2,2,3,3,2,3,1,1,2,2,1,Not for Sale,- -  -,
86055056,Willan Álvarez,ST (C),49%,11,10,12,13,14,12,13,15,11,14,11,13,11,13,13,11,11,16,7,12,10,10,4,8,11,14,10,7,15,8,5,5,10,12,5,10,2,1,3,1,1,4,1,3,3,1,3,€70K - €210K,- -  -,
86009682,Juan Luis Anangonó,ST (C),69%,9,11,15,14,11,9,9,14,7,13,14,15,13,12,13,10,10,16,9,14,12,15,7,9,11,14,11,7,15,11,6,7,11,10,7,12,1,1,3,1,3,1,2,1,3,3,1,Not for Sale,- -  -,
86000165,Irwin Antón,ST (C),42%,9,10,12,9,11,10,8,10,8,13,11,12,13,11,10,8,15,12,6,10,11,8,8,7,9,12,13,8,12,8,6,4,10,14,5,11,2,2,1,2,1,3,3,1,1,2,3,€8K - €24K,- -  -,
2000015340,Andrés Averos,ST (C),32%,13,13,8,8,17,10,6,8,5,14,5,11,8,10,12,8,5,14,6,6,7,8,7,3,13,13,12,7,14,8,4,6,6,5,1,9,3,1,1,2,2,2,4,3,2,2,1,€35K - €110K,- -  -,
80000450,Jaime Ayoví,ST (C),59%,8,7,13,13,9,7,7,14,7,14,13,14,15,13,15,10,12,14,7,13,11,15,8,9,10,15,13,11,16,13,8,6,12,13,7,12,2,3,2,1,2,1,1,3,1,3,3,€12K - €35K,- -  -,Inj
76003938,Carlos Bacca,ST (C),36%,11,11,11,9,12,10,10,13,9,14,12,15,14,14,15,14,13,15,7,12,14,10,6,12,12,15,14,6,13,12,8,5,14,13,6,14,3,3,2,3,2,3,2,4,4,1,2,€65K - €200K,- -  -,
957614,Hernán Barcos,ST (C),50%,8,10,12,15,14,6,9,13,12,12,14,13,13,14,14,14,13,15,8,13,14,12,4,8,10,14,13,8,15,13,8,7,13,14,7,14,1,3,2,2,1,1,1,1,3,1,2,€2.5K - €8K,- -  -,
14023038,Jonatan Bauman,ST (C),43%,12,13,13,10,13,12,11,14,11,14,12,15,13,12,10,9,10,15,9,14,12,15,7,11,13,14,12,8,14,9,6,7,12,13,8,12,1,3,1,4,2,2,3,1,2,2,1,Not for Sale,- -  -,
14030457,Raúl Becerra,ST (C),50%,7,9,13,15,11,6,6,12,12,14,15,16,13,14,13,7,11,16,6,14,10,16,5,9,11,16,9,5,15,11,2,4,10,15,4,9,3,2,3,3,1,2,3,1,3,3,1,€4K - €12K,- -  -,
14000554,Alexis Blanco,ST (C),46%,10,10,9,14,12,10,11,12,8,11,11,13,12,12,12,8,8,13,9,12,11,12,5,7,11,14,10,6,13,8,5,4,10,12,4,11,4,1,1,1,1,3,2,3,2,2,2,€3.5K - €10K,- -  -,
76016177,Jean Carlos Blanco,ST (C),51%,13,11,12,13,12,13,11,13,12,12,13,12,12,12,11,11,11,13,8,11,12,13,9,10,12,12,11,11,12,11,6,5,12,11,7,12,3,3,2,3,3,1,2,1,2,3,3,Not for Sale,- -  -,
76057661,Jhonier Blanco,ST (C),44%,13,12,11,13,12,13,13,12,10,11,11,11,10,11,10,11,3,12,8,10,9,10,9,10,13,11,10,10,10,10,6,4,11,10,6,12,2,3,2,3,3,1,2,2,2,1,2,€190K - €550K,- -  -,
14037193,Oswaldo Blanco,ST (C),48%,13,11,12,10,13,13,14,13,10,12,10,11,11,8,11,9,8,12,10,10,10,10,5,11,14,12,10,5,9,10,5,9,11,9,5,14,3,3,2,1,3,2,3,1,1,1,3,Not for Sale,- -  -,
76047241,Ruyery Blanco,ST (C),33%,14,12,12,9,12,13,13,13,8,13,11,11,11,12,13,12,7,13,8,12,9,13,7,11,13,13,11,9,10,11,4,4,12,13,5,13,4,1,1,2,1,3,2,2,1,1,2,€400K - €1.2M,- -  -,
76042841,Edward Bolaños,ST (C),41%,11,11,13,12,12,12,11,14,9,12,11,10,11,12,13,12,9,13,7,10,9,13,8,10,12,12,18,9,9,9,1,2,10,12,4,12,1,3,2,3,1,1,2,2,2,3,4,€170K - €500K,- -  -,
86071986,Jovanny Bolívar,ST (C),37%,14,13,13,12,9,12,14,10,13,13,12,13,11,11,16,14,11,13,8,13,11,11,6,10,12,12,11,14,12,12,5,4,10,6,5,12,2,3,2,3,2,3,3,2,2,1,1,€150K - €450K,- -  -,
14036253,Cristian Bordacahar,ST (C),53%,13,11,13,12,12,11,15,13,16,13,13,12,12,12,12,10,8,13,13,15,10,16,5,9,10,11,11,6,11,8,5,11,11,14,9,10,1,1,3,3,1,2,2,1,1,3,3,€75K - €220K,- -  -,
13202826,Thabiso Brown,ST (C),35%,11,11,12,7,12,11,15,9,5,11,9,12,10,10,14,12,11,15,8,9,10,10,4,7,12,11,13,4,14,8,7,9,10,8,5,13,3,4,2,1,3,2,1,2,3,1,1,€50K - €150K,- -  -,
14010841,Pablo Bueno,ST (C),22%,12,12,9,12,12,12,11,10,9,13,10,9,11,11,9,9,8,13,7,12,11,9,5,10,12,13,12,5,11,11,4,3,11,11,3,13,1,4,1,2,3,2,2,1,2,3,3,€45K - €140K,- -  -,
