UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
14021140,Ramón Ábila,ST (C),65%,7,8,15,12,6,10,11,16,6,8,18,14,12,11,14,13,11,15,8,15,13,8,7,9,12,16,15,8,15,13,6,8,12,17,7,14,2,3,2,4,2,2,2,1,3,3,3,Not for Sale,- -  -,
14024920,Mateo Acosta,ST (C),14%,10,11,15,16,14,9,14,17,10,11,14,11,13,12,12,10,15,14,11,13,10,15,5,9,9,13,12,5,16,12,7,6,10,12,7,13,2,4,3,3,2,2,2,3,1,1,2,€1.3M - €4M,- -  -,Inj
2000060967,Valentín Adamo,ST (C),50%,12,10,4,16,15,10,10,10,5,7,9,10,9,10,6,12,4,14,8,8,7,9,8,5,9,14,11,8,14,7,7,8,9,9,4,13,2,1,2,3,3,2,1,4,3,1,3,€45K - €130K,- -  -,
2000184179,Milciades Adorno,ST (C),54%,13,12,13,12,13,13,12,13,12,10,14,10,10,9,8,7,7,13,7,13,10,14,10,7,9,12,11,10,14,10,9,5,9,8,9,10,3,3,3,3,2,3,2,3,1,1,2,€425K - €1.2M,- -  -,
78065581,Mauricio Affonso,ST (C),50%,10,9,13,16,12,12,12,15,10,14,11,12,12,12,12,10,8,10,10,12,11,9,11,8,10,14,10,8,16,13,7,9,11,12,3,12,2,2,3,3,3,2,3,1,3,1,2,Not for Sale,- -  -,
19296892,Alerrandro,ST (C),49%,12,14,14,12,13,13,12,13,9,14,12,13,12,13,12,13,9,14,9,12,12,12,6,11,12,14,14,9,13,12,7,8,10,12,7,12,3,3,3,3,1,2,2,1,2,2,3,€2.7M - €8.2M,- -  -,Wnt
14209815,Antony Alonso,ST (C),45%,13,12,12,13,10,12,12,12,13,11,12,12,13,9,12,14,7,13,8,9,12,13,9,7,12,14,11,8,12,11,7,6,8,12,6,13,1,3,1,1,2,2,2,1,3,1,1,€170K - €500K,- -  -,
78034110,Jonatan Álvez,ST (C),45%,9,11,10,12,9,11,7,13,13,12,14,15,12,11,14,14,9,16,6,7,10,13,8,10,11,15,12,10,13,12,9,5,12,13,4,14,3,2,2,3,3,1,2,1,1,2,4,Not for Sale,- -  -,
14047023,Federico Anselmo,ST (C),52%,8,9,15,15,14,12,15,14,8,12,11,12,10,12,7,9,8,13,8,9,7,13,10,8,8,13,12,10,15,13,4,8,11,14,7,13,3,2,3,3,1,1,4,3,1,2,3,€200K - €600K,- -  -,
14207709,Francisco Apaolaza,ST (C),50%,11,10,14,14,13,12,13,13,11,13,11,11,12,13,13,14,14,13,12,14,12,16,9,11,11,13,13,11,14,14,9,9,12,8,13,12,1,4,3,2,3,3,4,4,1,3,1,€650K - €1.9M,- -  -,
14130713,Alejandro Aranda,ST (C),51%,12,11,12,11,13,12,12,13,9,12,9,12,10,11,10,11,8,12,11,10,11,12,10,10,10,13,11,10,12,11,6,5,10,4,5,11,3,3,3,2,2,2,3,3,1,1,3,€150K - €425K,- -  -,
79033405,Alex Arce,ST (C),45%,12,9,13,13,9,11,12,13,13,12,13,13,10,9,4,12,8,12,5,8,9,14,11,7,11,13,16,11,13,10,8,10,9,12,6,12,3,3,2,3,1,4,2,2,2,3,1,€50K - €150K,- -  -,Inj
78063525,Junior Arias,ST (C),28%,14,13,14,10,14,12,14,14,15,9,15,11,14,10,12,7,8,15,12,13,11,15,8,11,11,12,10,9,13,11,7,8,12,14,10,12,3,2,1,4,2,2,1,4,1,4,1,€250K - €800K,- -  -,
14207821,Tomás Badaloni,ST (C),60%,13,11,12,14,15,12,12,13,5,13,8,9,11,10,11,9,14,13,12,9,11,13,9,10,10,12,9,5,15,10,3,5,10,11,5,13,2,3,3,1,3,3,1,3,1,1,2,€850K - €2.6M,- -  -,
14253357,Bruno Báez,ST (C),57%,11,11,15,14,14,10,10,10,15,15,12,12,7,14,6,11,11,11,10,9,10,10,9,7,10,12,12,9,13,8,8,9,11,11,6,11,3,3,1,3,2,1,3,1,1,2,3,€425K - €1.3M,- -  -,
14201364,Juan Baiardino,ST (C),39%,14,12,12,10,13,13,12,13,11,9,9,13,10,9,5,10,11,11,12,13,11,12,10,9,12,13,12,11,11,9,7,7,11,11,4,14,2,1,1,2,2,1,2,3,1,3,3,€500K - €1.6M,- -  -,
2000150976,Azeez Balogun,ST (C),43%,11,12,9,10,15,11,7,8,10,9,6,9,8,13,6,12,10,7,9,8,9,9,7,4,14,12,11,8,15,8,7,8,7,5,6,14,1,2,1,1,1,1,3,3,1,2,3,€4.5K - €14K,- -  -,
14226929,José Barreto,ST (C),27%,11,11,10,10,13,10,12,12,12,13,5,12,11,15,5,9,10,16,9,10,10,11,7,7,9,13,11,9,13,10,6,5,9,12,5,11,3,3,3,2,1,1,1,3,3,3,2,€600K - €1.7M,- -  -,
14018059,Darío Benedetto,ST (C),39%,12,12,13,12,13,13,13,14,9,13,11,13,14,13,14,13,12,15,6,14,14,12,8,11,14,15,14,12,14,15,3,5,14,14,4,15,3,3,2,1,1,2,2,2,2,3,2,Not for Sale,- -  -,Inj
