UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
13220927,Moussa Abagana,ST (C),31%,14,14,8,8,14,14,9,6,5,14,6,9,7,11,16,12,2,11,7,7,8,8,7,3,14,13,12,7,14,7,2,4,8,6,2,13,2,3,2,3,3,2,1,2,2,1,1,€2.5K - €8K,- -  -,
23214277,Adil Abdul Rahman,ST (C),21%,7,11,4,1,12,8,10,2,9,14,6,9,6,7,17,8,13,12,4,6,7,6,6,6,11,10,9,5,12,7,1,6,5,5,1,9,3,1,2,2,1,1,1,1,1,1,2,€0,- -  -,
2000049683,Nurul Absar,ST (C),31%,13,13,6,1,5,13,12,3,5,5,4,6,3,9,15,9,11,12,3,5,4,7,1,1,8,12,6,5,12,2,1,4,6,7,1,9,2,1,3,2,1,1,2,1,1,3,1,€1K - €2.5K,- -  -,
40038825,Philip Adjah,ST (C),27%,11,10,11,14,8,13,12,8,7,12,8,7,11,7,10,10,3,10,5,10,6,14,10,10,8,9,8,10,7,11,3,9,5,5,8,7,4,2,3,1,2,3,3,3,3,3,3,€1.5K - €4K,- -  -,
23161552,Ranasinghe Arachchige Ajith Priyankara,ST (C),25%,13,10,6,5,16,11,12,4,11,6,4,12,5,11,15,7,13,12,4,5,3,7,5,2,5,10,7,5,13,3,2,4,2,8,2,7,2,2,2,2,1,2,1,1,3,1,1,€0,- -  -,Inj
23194279,Monsur Amin,ST (C),24%,11,11,2,5,14,11,5,7,5,4,2,9,2,7,5,6,11,9,2,1,1,2,1,1,10,12,9,1,3,3,1,1,1,7,1,5,1,1,1,3,3,2,1,3,1,2,1,€0,- -  -,
2000151638,Maaz Arshad,ST (C),25%,12,11,2,3,7,12,10,2,9,8,5,9,3,2,11,9,8,7,3,2,3,5,2,2,10,8,10,2,6,3,1,1,2,1,1,5,1,1,2,3,3,1,1,2,3,1,1,€0,- -  -,
23214503,Mohamed Bassem,ST (C),21%,12,12,3,2,5,12,8,1,12,7,1,9,1,8,7,5,1,8,1,2,1,3,1,1,10,7,3,1,10,3,1,1,3,5,1,4,2,1,3,1,1,1,1,1,2,4,1,€0,- -  -,
2000223615,Yendrembam Boby SIingh,ST (C),13%,10,11,3,3,15,11,9,1,14,5,2,4,1,1,7,8,2,10,2,1,2,4,1,1,8,7,8,1,7,1,1,1,1,1,1,5,1,1,3,1,1,2,3,4,3,1,1,€3K - €9K,- -  -,Yth
5633730,Mohamed Ramlan Branudeen,ST (C),27%,10,9,3,5,12,9,4,2,6,6,2,10,3,4,9,6,1,11,2,2,2,3,1,1,10,11,9,1,6,1,1,2,1,5,1,5,3,1,3,2,4,1,1,4,1,2,2,€0,- -  -,
