UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
2000218546,Mubarak Ahmed,ST (C),29%,12,8,4,7,15,11,3,4,13,4,2,4,1,3,13,7,2,8,2,2,1,3,2,2,5,12,8,2,12,3,1,2,3,4,2,6,2,3,2,3,1,3,2,2,2,1,1,€0,- -  -,
63036213,Izet Ajrullahu,ST (C),25%,13,13,7,7,8,13,11,6,11,9,8,9,7,8,6,13,6,13,4,6,7,6,5,2,13,13,13,3,13,7,5,5,7,8,1,8,3,3,1,3,3,2,2,2,3,1,2,€18K - €55K,- -  -,
70118958,Ali Akman,ST (C),25%,13,14,12,9,12,13,12,9,8,14,9,12,12,12,13,14,8,15,6,12,13,13,7,8,12,14,14,7,11,7,3,4,12,14,6,13,1,3,1,2,2,3,1,2,3,1,1,€2.7M - €8.2M,- -  -,
91108273,Hamadi Al Ghaddioui,ST (C),50%,9,9,13,16,13,10,14,16,14,12,13,10,13,12,13,10,9,12,7,16,12,14,6,7,10,12,14,9,14,11,5,8,11,14,7,11,3,1,2,2,3,1,2,3,4,1,3,€3K - €8K,- -  -,
36044069,Marjan Altiparmakovski,ST (C),58%,9,8,12,12,9,10,9,10,8,12,5,10,10,9,9,6,11,10,10,9,9,10,6,10,6,11,10,7,12,8,4,6,10,14,8,9,1,3,2,2,2,1,1,2,1,3,2,€2.5K - €8K,- -  -,
18115885,James Amasihohu,ST (C),38%,10,12,8,8,9,12,9,7,6,6,5,11,8,13,16,13,8,13,3,7,7,8,5,6,12,13,13,7,13,6,1,7,7,6,2,10,3,3,2,2,1,3,1,1,2,4,3,€26K - €75K,- -  -,
23055737,Karim Ansarifard,ST (C),37%,11,12,13,12,12,12,12,13,13,13,15,13,12,12,14,13,11,13,7,9,11,12,5,8,12,13,12,8,12,9,5,6,11,14,7,13,2,2,1,2,3,3,1,1,1,1,4,€120K - €350K,- -  -,
2000214236,Giorgos Apostolou,ST (C),57%,13,14,7,2,18,14,7,2,14,9,2,5,3,5,11,12,5,8,1,5,5,5,4,5,10,13,6,4,13,3,1,3,6,2,2,11,1,3,2,3,2,1,3,2,2,3,3,€8K - €24K,- -  -,Inj
67253897,Manu Appeh,ST (C),46%,12,14,12,13,14,14,15,15,13,12,14,9,12,11,13,11,9,13,7,12,9,14,6,7,10,12,10,6,13,10,5,5,9,11,7,10,1,2,2,3,3,2,3,3,1,3,2,€325K - €950K,- -  -,
47055945,David Arshakyan,ST (C),55%,8,7,11,16,12,12,7,15,11,13,15,11,10,12,5,7,6,11,7,10,11,9,4,7,6,12,6,6,11,9,8,8,10,9,7,8,1,1,3,3,3,2,3,3,1,2,4,€28K - €85K,- -  -,
59089997,Imeda Ashortia,ST (C),30%,13,9,7,9,16,12,6,5,12,13,8,10,7,12,12,13,11,10,7,6,7,7,6,3,13,13,13,6,11,5,4,6,3,5,3,8,2,1,3,2,1,3,3,2,2,3,1,€35K - €100K,- -  -,
14000819,Jerónimo Barrales,ST (C),56%,9,8,15,14,13,10,10,15,20,12,15,12,11,13,16,10,9,13,8,14,11,15,6,9,9,12,11,8,18,11,6,8,11,16,9,11,1,2,4,3,1,3,3,2,3,4,2,€70K - €210K,- -  -,
18053710,Michy Batshuayi,ST (C),43%,13,14,16,13,12,13,15,15,14,12,14,11,11,10,9,14,4,14,8,15,11,16,5,8,12,12,12,9,13,13,3,6,12,14,5,14,2,1,3,1,3,1,2,2,3,2,1,€3.1M - €9.2M,- -  -,
67195861,Asier Benito,ST (C),33%,12,13,13,8,13,12,15,10,12,14,10,8,8,13,13,9,9,15,7,9,7,12,9,10,9,10,12,8,13,10,6,9,9,6,6,8,2,2,3,1,1,1,3,1,4,2,1,€65K - €200K,- -  -,
17040750,Egor Bogomolskiy,ST (C),31%,13,12,11,10,11,12,10,8,6,10,9,10,8,11,9,7,6,12,8,9,10,12,6,6,12,8,12,6,9,7,5,6,10,11,4,12,3,1,1,3,3,3,1,3,3,3,3,€160K - €475K,- -  -,
59115487,Famil Camalov,ST (C),17%,13,11,5,3,14,13,11,4,5,11,5,13,6,13,8,13,2,10,7,6,5,7,5,2,13,13,10,6,13,6,1,5,7,7,2,8,2,2,2,2,2,3,1,1,1,2,1,€0,- -  -,
2000224836,Braian Canales,ST (C),15%,13,13,7,1,13,13,12,2,5,10,6,10,7,12,17,11,6,13,7,6,5,8,2,4,13,13,12,5,13,5,2,6,5,8,3,9,1,3,2,1,4,4,2,3,1,3,3,€0,- -  -,
67018484,Pedro Conde,ST (C),42%,9,11,13,12,13,10,12,11,9,13,12,14,12,14,13,11,10,14,6,12,9,12,7,8,10,15,14,13,14,10,3,8,10,16,6,11,3,1,3,2,2,1,1,4,2,2,2,€7K - €20K,- -  -,Opt
73100158,Jonel Désirè,ST (C),34%,9,14,10,11,18,15,7,11,15,13,15,9,9,11,10,9,12,9,9,13,7,11,7,4,7,9,14,5,7,9,3,7,6,4,1,9,1,2,2,2,3,2,2,3,1,2,2,€14K - €40K,- -  -,
43130485,Mbaye Diagne,ST (C),56%,13,13,13,16,17,14,14,16,7,16,7,16,7,9,12,13,5,14,6,11,12,11,5,7,10,13,12,8,13,10,4,5,9,13,4,10,3,3,1,2,2,3,3,3,2,1,3,Not for Sale,- -  -,
85117426,Famara Diédhiou,ST (C),46%,13,13,15,15,15,12,14,16,13,11,13,12,9,12,11,11,8,13,6,12,9,11,5,7,10,14,11,6,14,12,5,4,9,14,6,12,1,2,2,4,1,2,4,4,3,1,1,€900K - €2.6M,- -  -,
62143054,Milan Đokić,ST (C),51%,12,10,10,14,12,12,10,11,11,11,11,12,12,10,12,11,8,12,7,7,13,12,7,7,11,11,11,9,12,9,3,7,11,11,8,11,1,2,3,1,1,3,1,3,3,1,1,€110K - €325K,- -  -,
19136137,Douglas Tanque,ST (C),55%,11,10,15,14,16,13,13,18,17,11,15,13,13,12,14,11,10,13,7,11,11,13,4,10,13,13,12,11,13,14,10,6,12,13,7,13,1,1,2,2,1,2,3,3,1,2,2,€1.9M - €5.6M,- -  -,
2000063354,Abdoul Aziz Doumbia,ST (C),37%,14,14,9,8,10,14,8,6,13,6,4,10,8,6,6,12,4,13,8,7,6,8,7,8,14,13,9,3,14,6,3,6,8,7,1,13,3,1,1,2,3,3,3,2,2,2,3,€130K - €375K,- -  -,
36102523,Kostas Doumtsios,ST (C),71%,12,11,12,12,13,12,13,13,13,13,12,10,10,9,14,10,10,11,8,10,10,15,5,6,9,10,9,6,12,7,10,8,10,5,2,10,2,1,2,1,1,1,3,1,1,3,3,€4K - €12K,- -  -,
36095157,Fiori Durmishaj,ST (C),38%,13,12,13,14,13,14,14,14,14,10,15,11,9,11,16,12,7,13,8,13,10,15,6,7,8,11,10,7,12,12,4,7,9,10,4,10,3,1,3,2,2,1,3,4,3,3,1,€300K - €950K,- -  -,
8085570,Artem Dzyuba,ST (C),58%,7,8,12,17,16,7,10,14,14,14,18,14,15,14,13,11,14,12,12,14,12,9,7,7,8,15,13,8,15,9,9,7,12,14,7,13,1,4,4,3,1,1,2,3,3,3,3,€18K - €55K,- -  -,
29023774,Youssef El Arabi,ST (C),38%,10,11,15,12,17,11,10,13,10,14,12,14,11,12,14,15,12,16,7,13,13,12,6,9,13,15,15,6,14,12,4,6,12,14,6,16,3,2,1,2,1,3,3,3,1,2,1,€190K - €550K,- -  -,
59126031,Wilfried Eza,ST (C),36%,13,13,7,7,7,13,7,8,12,11,7,13,6,12,10,10,9,13,6,6,6,7,6,3,10,13,13,4,13,6,3,4,6,10,1,9,4,4,3,3,2,2,1,1,2,1,2,€0,- -  -,
33071488,Emeka Eze,ST (C),34%,13,12,13,14,14,13,12,14,11,12,14,10,12,10,12,12,10,13,7,12,10,11,8,9,12,14,12,7,12,9,4,4,10,13,8,11,3,3,1,2,2,3,2,3,3,1,1,€750K - €2.2M,- -  -,
59136738,İbrahim Əliyev,ST (C),23%,13,13,6,8,8,13,8,5,10,7,6,8,6,10,14,11,6,13,6,5,5,6,1,4,10,13,7,1,11,3,1,4,6,5,3,10,3,2,3,3,2,3,1,1,2,3,2,€0,- -  -,
59130468,Narek Ghasumyan,ST (C),20%,13,13,6,8,10,13,9,4,11,9,1,7,6,13,11,7,1,12,5,5,6,6,5,2,9,10,9,5,8,4,1,5,5,6,1,7,2,1,3,1,3,2,2,1,3,2,1,€1K - €3.5K,- -  -,
47085804,Pepi Gjorgiev,ST (C),25%,13,12,7,8,14,13,9,6,11,11,7,9,7,13,1,10,6,10,4,6,6,7,6,5,9,13,13,6,10,5,1,4,7,8,1,10,2,2,1,2,3,3,2,3,3,3,3,€0,- -  -,
21029849,Aleksandar Glišić,ST (C),40%,14,14,10,8,15,14,13,12,13,11,5,8,8,14,13,14,13,11,6,7,5,8,5,3,10,10,13,2,13,6,3,7,8,1,7,13,1,3,2,2,3,2,2,2,3,2,3,€55K - €160K,- -  -,
78078886,Maximiliano Gómez,ST (C),65%,12,11,16,16,15,12,14,17,14,15,16,14,16,14,15,12,13,16,5,15,10,15,5,8,12,15,13,13,18,13,8,11,11,14,10,11,2,2,3,4,3,2,1,1,1,2,4,€7.2M - €22M,- -  -,Inj
919763,Bafétimbi Gomis,ST (C),33%,9,9,16,12,18,10,7,14,15,15,14,17,13,13,15,14,16,16,10,14,12,13,5,7,12,15,15,7,13,11,5,2,12,13,4,13,2,3,2,3,3,1,1,3,2,2,4,€20K - €60K,- -  -,
29038609,Andre Gray,ST (C),46%,13,14,12,10,12,13,13,15,14,14,12,11,10,12,15,10,7,14,6,12,10,10,7,11,12,13,10,7,13,12,5,5,11,13,5,12,3,2,2,3,3,3,4,2,3,1,3,€800K - €2.4M,- -  -,
11010599,Sindrit Guri,ST (C),45%,11,11,13,16,15,12,12,13,14,12,13,11,12,12,12,9,6,11,8,9,9,9,8,9,10,9,10,8,9,11,8,9,9,13,10,13,1,1,4,2,1,2,2,1,4,3,3,€130K - €400K,- -  -,
59110984,Razmik Hakobyan,ST (C),37%,13,13,7,6,13,13,12,13,6,9,4,6,4,8,15,10,9,10,7,6,6,7,5,2,10,13,11,6,13,5,3,5,7,1,1,10,2,3,1,2,2,2,2,1,3,3,2,€0,- -  -,
2000019661,Samvel Hakobyan,ST (C),29%,10,11,3,9,12,10,6,7,8,13,7,7,5,12,3,8,11,15,2,5,4,7,6,4,9,14,14,5,14,6,1,5,7,6,1,9,1,2,1,3,2,3,3,2,3,2,1,€18K - €50K,- -  -,
12041043,Ahmed Hassan,ST (C),55%,9,9,13,16,13,12,14,15,10,13,14,13,13,13,12,12,7,14,8,15,13,12,8,8,12,15,13,8,15,10,6,7,12,13,7,12,3,4,3,2,3,2,3,3,3,3,1,€70K - €210K,- -  -,
71029507,Robert Hehedosh,ST (C),38%,13,11,8,10,10,12,12,10,5,12,11,13,7,10,12,9,8,12,5,10,11,10,12,7,9,12,11,10,11,5,4,3,10,11,4,10,3,2,2,3,1,1,3,1,3,4,3,€0,- -  -,
37039412,Sam Hendriks,ST (C),36%,11,11,13,11,13,12,12,11,11,11,11,14,10,12,11,11,7,13,5,11,8,13,4,7,11,13,12,10,12,6,9,5,9,14,6,10,2,1,1,3,3,2,2,1,3,3,2,€150K - €450K,- -  -,
66029640,Hwang Ui-Jo,ST (C),57%,12,12,13,12,12,13,14,14,12,12,14,13,12,13,12,12,9,13,9,15,12,15,4,10,12,13,12,5,12,14,3,8,12,12,7,13,1,2,4,1,2,2,3,1,2,2,1,€2.2M - €6.6M,- -  -,
67046662,Mauro Icardi,ST (C),51%,14,15,16,13,14,14,12,12,8,15,11,17,13,13,14,14,12,15,6,11,10,12,4,7,11,18,15,4,17,12,2,5,12,17,5,14,1,1,1,3,1,1,1,2,2,3,4,€18.5M - €55M,- -  -,
29086218,Uche Ikpeazu,ST (C),64%,13,11,13,15,12,14,14,18,16,9,13,9,9,9,16,13,11,12,7,13,7,15,4,8,9,14,14,6,15,11,9,8,10,12,8,10,2,3,1,4,2,4,2,1,4,1,1,€1.4M - €4.1M,- -  -,
36138739,Fotis Ioannidis,ST (C),34%,13,12,15,14,13,13,13,17,15,13,16,12,12,12,15,10,8,14,9,10,9,16,5,8,11,12,10,6,11,11,6,9,10,7,7,12,3,2,3,3,3,2,1,1,1,1,3,€2.1M - €6.4M,- -  -,
36061269,Nikos Ioannidis,ST (C),44%,11,11,14,13,10,12,13,13,13,11,13,11,9,9,12,14,8,13,7,10,12,13,4,6,13,12,13,6,12,9,5,6,11,15,6,14,3,2,3,2,3,1,2,2,2,1,1,€275K - €800K,- -  -,
19296886,João Figueiredo,ST (C),46%,12,10,11,12,14,12,12,11,13,11,12,11,10,10,13,8,7,13,11,13,9,14,11,8,8,13,12,8,14,12,6,7,12,10,7,13,3,2,1,4,2,2,3,1,3,1,2,€375K - €1.1M,- -  -,
2111977,Jonathas,ST (C),62%,11,9,13,17,15,13,11,15,16,13,17,12,11,10,8,10,12,12,7,12,10,9,6,8,9,13,12,8,15,9,6,7,10,13,7,11,2,2,3,2,3,3,3,2,2,3,4,€12K - €35K,- -  -,
