UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
23320323,Khairul Anwar Abdul Rahim,ST (C),23%,11,10,3,2,13,10,5,3,7,6,1,5,1,4,10,12,13,10,2,1,1,2,1,1,6,10,9,1,7,2,1,1,1,1,1,5,2,1,2,1,1,2,2,2,1,3,2,€0,- -  -,Inj
23342265,Aizudin Abdul Rahman,ST (C),18%,12,10,1,3,13,11,7,1,12,4,3,7,2,4,13,7,7,7,1,1,1,2,1,1,11,11,4,1,5,2,1,1,1,5,1,2,3,2,2,2,2,4,1,1,3,1,1,€0,- -  -,
23342378,Mohd Nazirul Helmi Abdul Rahman,ST (C),23%,12,6,4,4,12,8,5,4,9,8,1,4,4,6,5,6,12,4,1,3,4,5,4,2,7,7,6,4,8,3,1,1,5,1,1,7,1,1,1,1,1,4,3,3,1,3,2,€0,- -  -,
2000030910,Muhd Adli Abdul Rahman,ST (C),14%,12,10,4,2,15,8,6,1,12,3,3,9,5,9,12,8,4,12,5,4,1,5,1,3,12,14,9,4,7,5,1,4,5,3,1,4,1,2,3,1,3,3,3,1,3,3,2,€0,- -  -,
23267436,Abdul Rahim Abdul Razak,ST (C),35%,12,12,4,3,10,12,10,7,12,8,3,7,4,6,12,8,11,7,4,3,2,6,3,1,12,10,11,3,12,2,1,1,4,1,1,7,1,2,2,2,2,4,3,2,2,3,1,€2K - €6K,- -  -,
23342428,Nursukryzal Abdul Wahab,ST (C),27%,9,8,1,3,14,10,6,2,7,2,3,3,1,4,5,11,5,6,1,1,1,1,1,1,4,10,8,1,3,1,1,1,1,1,1,5,1,3,1,1,1,2,3,3,4,3,2,€0,- -  -,
23047403,Mohd Nazirul Nazreen Abdullah,ST (C),22%,11,9,4,9,9,9,6,5,15,8,7,7,6,13,18,11,7,13,6,5,4,6,5,4,6,13,5,5,12,1,5,4,5,3,1,4,1,1,2,1,3,3,2,1,1,1,1,€0,- -  -,
23342444,Mohd Rusydi Said Abdullah,ST (C),28%,11,9,3,7,12,11,8,2,12,5,2,6,1,5,4,6,2,10,2,1,1,4,1,1,6,11,6,1,5,2,1,1,2,3,1,5,4,3,2,1,1,3,3,1,3,1,2,€0,- -  -,
2000128785,Kadek Dimas Adiputra,ST (C),40%,10,9,7,7,15,10,6,7,5,13,5,13,4,8,15,12,7,13,7,6,2,6,6,4,13,10,7,6,14,6,2,3,7,7,1,10,1,1,4,1,1,4,1,2,1,1,3,€26K - €75K,- -  -,
2000064906,Adriano,ST (C),34%,11,12,10,8,11,11,12,10,11,12,13,11,9,10,12,7,8,12,6,11,10,11,6,8,10,11,10,9,10,10,7,6,10,7,7,10,3,2,3,1,2,2,2,2,2,3,3,€18K - €50K,- -  -,
12035437,Uche Agba,ST (C),52%,12,10,12,13,13,13,11,12,13,10,10,6,7,7,14,13,1,13,5,7,9,12,5,7,10,8,12,8,12,11,3,5,9,9,4,11,2,2,1,3,3,2,2,1,2,1,1,€1.5K - €4.5K,- -  -,
23342586,Abdul Azizi Ali Rahman,ST (C),34%,7,10,3,6,14,8,8,1,8,11,6,10,7,10,16,13,10,15,7,7,7,8,3,3,7,15,11,7,11,8,5,6,8,9,1,11,3,4,1,2,2,2,2,3,1,3,1,€0,- -  -,
1037660,Hidayatur Rahim Aliuddin,ST (C),27%,10,9,5,6,13,10,8,5,6,5,6,4,3,5,16,9,7,10,4,4,2,5,1,1,5,13,7,4,7,1,1,3,3,1,1,5,1,3,2,3,1,3,2,1,3,3,3,€0,- -  -,
41025745,Sirvi Arfani,ST (C),23%,13,13,6,2,7,13,11,1,8,11,5,8,5,12,4,7,13,12,5,5,4,6,5,2,12,13,11,3,10,6,1,6,4,3,1,8,3,3,1,2,3,1,2,1,2,2,3,€0,- -  -,
41005544,Samsul Arief,ST (C),27%,8,7,8,9,14,10,9,6,9,8,10,10,13,11,14,9,8,10,6,7,7,8,8,8,7,10,11,8,10,6,6,3,9,6,6,10,3,4,1,2,2,3,3,2,1,3,3,€0,- -  -,
23410546,Poramet Arjwirai,ST (C),60%,12,12,5,9,11,12,11,9,7,11,12,11,9,11,11,13,3,11,5,8,8,9,7,6,12,12,10,6,10,8,4,4,8,9,7,13,1,2,2,3,2,1,2,1,2,2,1,€60K - €180K,- -  -,
23342605,Mohd Nazirul Arsat,ST (C),17%,12,12,4,1,12,11,7,1,8,10,1,6,3,8,9,5,12,10,2,3,1,4,1,3,8,12,4,3,10,3,1,3,4,3,2,5,2,3,2,2,2,2,2,3,1,2,1,€0,- -  -,
23496027,Patrick Asare,ST (C),29%,12,12,5,6,16,12,11,6,6,12,7,7,6,12,17,12,12,12,4,5,6,6,6,3,12,12,9,5,12,5,1,5,6,4,1,9,4,1,1,1,2,3,2,1,1,3,2,€12K - €35K,- -  -,
97206253,Aung Hlaing Win,ST (C),23%,13,12,5,8,10,12,9,3,8,13,4,10,6,9,11,11,8,12,6,5,5,6,5,4,8,8,12,5,4,5,1,4,5,6,1,7,1,2,3,3,1,3,2,1,1,1,2,€1K - €2.5K,- -  -,
23486506,Aung Myat Thu,ST (C),23%,13,12,1,1,13,13,11,2,9,8,3,10,4,9,4,6,1,10,4,4,1,6,4,2,4,12,9,2,13,4,2,2,5,5,1,6,3,2,2,2,1,3,1,3,2,2,1,€0,- -  -,
23197591,Aung Myo Thura,ST (C),39%,12,8,4,12,14,8,3,3,8,6,4,8,4,6,15,10,12,9,4,3,1,3,3,1,4,10,12,2,12,2,2,1,1,3,1,9,2,2,2,3,1,3,3,1,3,2,3,€0,- -  -,
23342269,Mohd Fakrullah Azanie,"D (C), ST (C)",81%,12,12,2,3,11,12,8,1,15,7,2,5,3,2,4,5,4,7,6,1,1,3,1,1,3,4,1,2,5,1,1,4,2,1,3,3,2,3,2,3,3,2,1,3,2,1,2,€0,- -  -,
23250754,Landry Babo,ST (C),25%,14,11,5,9,13,11,10,8,15,12,8,7,10,11,13,9,5,11,10,9,8,11,9,6,13,10,11,9,10,10,7,8,10,7,7,10,4,3,3,2,1,2,1,3,1,2,2,Not for Sale,- -  -,
41054588,Septian Bagaskara,ST (C),33%,13,12,6,5,12,13,10,8,9,8,6,7,5,9,17,5,4,9,5,5,5,6,5,5,13,13,11,5,13,6,1,5,3,4,1,4,2,2,2,3,2,2,1,3,2,1,2,€14K - €40K,- -  -,
2000094041,Aqil Idham Bahari,ST (C),13%,11,11,3,11,7,11,4,4,5,3,3,8,1,6,11,6,1,6,1,2,2,3,2,1,9,11,6,2,10,1,1,2,3,6,1,4,3,3,1,1,3,2,1,1,2,1,3,€2.5K - €7K,- -  -,
23342287,Muhd Bazli Bahrum,ST (C),20%,13,8,5,5,14,9,6,4,14,9,1,12,5,10,10,9,6,11,5,4,3,5,5,4,9,13,5,4,7,2,1,4,5,4,2,5,1,2,1,1,3,1,1,2,1,2,2,€0,- -  -,
29114006,Admir Bajrovic,ST (C),29%,12,11,10,9,11,11,12,10,12,11,10,11,9,10,10,11,4,11,9,8,8,9,11,10,10,12,12,14,10,12,5,5,10,16,8,12,1,3,1,2,1,1,2,3,2,3,2,€60K - €180K,- -  -,
23328627,Barros Tardeli,ST (C),36%,11,10,9,11,13,12,12,10,5,14,11,14,12,14,14,14,7,13,6,12,11,9,7,8,10,13,11,7,11,12,6,5,9,13,11,11,3,3,2,2,3,2,1,3,3,2,3,€40K - €130K,- -  -,
23342422,Mohd Nur Syafiq Besar,ST (C),28%,10,9,4,3,11,7,5,4,15,6,5,5,4,7,9,9,10,5,3,3,4,4,3,1,2,12,8,3,5,4,1,1,4,7,1,8,3,3,4,3,1,1,1,3,1,2,2,€0,- -  -,
318693,Beto,ST (C),28%,11,6,3,6,12,11,13,12,11,11,4,12,8,11,5,12,13,12,7,6,6,6,5,2,1,12,11,3,9,7,1,10,8,5,6,12,1,2,3,1,2,3,4,3,1,1,1,€0,- -  -,
2000184782,Bintang,ST (C),19%,12,9,5,8,16,12,7,3,13,7,1,5,4,7,8,7,8,12,2,3,3,2,3,1,7,12,11,2,11,4,3,3,5,1,1,5,1,2,2,2,1,3,1,3,2,1,3,€16K - €45K,- -  -,
41011442,Titus Bonai,ST (C),20%,11,8,8,9,6,9,10,9,7,9,8,12,11,12,18,15,14,12,5,9,11,13,9,6,8,10,12,9,7,6,2,5,8,7,4,11,3,2,1,3,1,1,1,2,2,3,3,€5K - €16K,- -  -,
23342553,Brian Lim,ST (C),25%,7,6,6,7,11,7,7,7,5,5,4,14,6,8,14,11,5,10,4,12,7,7,5,3,7,13,9,2,4,4,2,5,6,5,1,11,4,2,2,3,2,3,1,3,2,4,3,€0,- -  -,
1014427,Mohd Mardi Bujang,ST (C),22%,6,9,5,3,13,13,4,2,13,7,6,8,5,10,11,8,7,7,4,4,2,5,1,3,4,13,6,2,9,5,1,2,4,2,1,10,2,3,3,2,2,3,2,3,3,2,3,€0,- -  -,
81061769,Atapharoy Bygrave,ST (C),68%,13,11,15,10,15,12,8,10,15,12,10,11,10,9,10,13,11,11,10,9,10,10,5,8,10,11,13,8,16,8,4,7,10,5,6,11,1,1,1,1,4,2,3,2,1,3,3,€40K - €130K,- -  -,
19106889,Caion,ST (C),34%,12,12,11,10,12,13,13,10,10,11,11,10,8,8,13,13,6,14,5,9,11,9,7,9,11,12,13,6,12,10,8,5,10,9,4,13,2,2,3,2,2,3,4,2,3,2,1,€14K - €45K,- -  -,
19368057,Caíque,ST (C),44%,12,13,13,13,12,12,13,14,11,12,13,12,10,10,13,12,8,13,7,11,11,12,6,7,12,12,12,8,12,10,8,5,11,11,7,12,2,3,3,1,1,2,2,3,3,1,1,€55K - €160K,- -  -,
19156939,Casagrande,ST (C),55%,7,6,8,15,13,8,9,10,11,15,5,10,9,11,16,8,9,15,13,8,9,9,4,5,10,9,15,6,12,7,4,8,9,6,3,10,3,1,3,1,4,1,2,2,1,3,1,€1.5K - €5K,- -  -,
2000161201,Ricky Cawor,ST (C),21%,13,13,7,1,13,13,13,2,11,12,8,9,7,8,3,8,13,13,8,6,5,8,6,4,13,13,8,6,9,5,1,5,7,7,1,9,1,2,1,1,3,3,1,3,2,2,1,€20K - €60K,- -  -,
2000190417,Chan Nyein,ST (C),29%,12,12,4,3,15,12,9,4,6,9,5,11,4,9,6,11,4,11,4,3,1,4,2,1,8,11,5,3,6,2,1,2,4,3,1,6,1,1,1,2,3,3,2,3,1,2,3,€0,- -  -,
23298278,Chan Oo,ST (C),22%,13,11,5,1,13,12,10,2,9,7,1,9,5,6,11,7,7,9,5,4,1,5,4,2,8,9,11,4,12,3,1,4,5,1,2,7,1,1,3,2,2,3,1,1,1,1,3,€0,- -  -,
23377273,Muhd Nur Izzat Che Awang,ST (C),22%,13,13,4,2,10,13,9,1,10,8,4,10,5,8,5,13,13,12,3,4,5,5,4,2,6,12,12,4,13,5,2,3,1,5,1,8,3,3,3,2,3,1,2,2,1,4,2,€2K - €6K,- -  -,
23085750,Chatree Chimtale,ST (C),42%,7,7,11,11,12,8,7,5,5,11,12,11,10,11,15,13,13,12,5,13,5,7,2,4,7,12,11,2,12,3,2,3,10,12,3,7,1,3,1,2,1,1,2,3,1,1,2,€0,- -  -,
59123204,Claudir,ST (C),36%,12,12,7,9,6,12,12,4,13,12,2,10,7,11,10,12,3,12,7,6,7,7,3,4,12,13,12,6,12,7,5,5,8,9,3,12,1,3,1,3,4,2,1,1,2,2,3,€35K - €110K,- -  -,
2000154956,Anizo Correia,ST (C),17%,12,12,6,7,12,12,4,7,7,10,2,10,3,9,11,9,3,9,4,5,6,6,5,3,6,10,12,5,9,6,1,3,6,6,1,8,1,1,2,1,1,3,3,1,3,2,1,€0,- -  -,
23396545,Ricardo Correira Mendonça,ST (C),22%,12,12,4,3,12,11,4,5,5,6,5,11,1,3,13,11,11,11,1,3,3,3,3,2,7,11,11,3,11,3,1,2,4,3,1,7,3,3,2,1,2,2,2,2,3,2,4,€0,- -  -,
2000034966,Ejivânio Costa,ST (C),29%,12,9,6,5,15,13,7,6,15,6,1,7,4,6,8,8,7,6,1,4,5,6,1,2,10,10,13,3,6,3,1,1,4,3,1,7,3,2,3,3,4,4,2,2,1,3,1,€0,- -  -,
