UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
13204275,Zikiru Adams,ST (C),26%,13,13,8,4,14,13,13,5,10,12,9,10,6,9,7,15,6,13,5,7,8,8,6,8,13,13,13,7,13,5,1,4,6,6,6,11,3,1,3,2,3,1,2,4,3,2,1,€55K - €170K,- -  -,
13226577,Ambrosius Amseb,ST (C),24%,13,13,7,7,9,13,12,6,6,8,5,7,7,8,14,14,10,11,7,6,7,7,7,2,11,13,13,6,10,6,4,6,7,3,3,11,2,1,1,3,2,2,3,2,1,2,3,€10K - €30K,- -  -,
13177806,Rojo Andriamanjato,ST (C),35%,13,10,7,8,10,13,11,8,12,11,3,10,7,13,12,13,8,10,7,6,4,7,7,4,11,13,12,5,9,2,1,3,7,9,2,13,1,2,1,2,1,3,3,3,2,3,3,€0,- -  -,
2000087525,Roselio Antalika,ST (C),26%,12,11,5,6,9,12,11,7,9,8,4,4,4,9,5,8,10,8,5,4,5,6,1,1,6,12,11,4,9,2,3,4,5,2,2,7,2,3,2,2,2,3,3,1,3,1,2,€0,- -  -,
95063659,Clive Augusto,ST (C),11%,13,13,8,7,6,13,6,6,8,13,5,11,5,13,7,10,11,13,7,8,8,8,8,5,11,14,11,7,13,7,3,6,9,4,5,10,3,1,1,3,3,1,2,3,2,2,3,€2.5K - €7K,- -  -,
12091363,Latif Bamba,ST (C),49%,14,13,7,13,12,13,11,8,11,13,14,10,7,7,15,10,5,13,6,11,6,12,6,7,10,13,11,5,10,8,4,5,8,4,6,11,3,1,1,2,1,2,1,2,4,2,2,€28K - €85K,- -  -,
2000137711,Ricky Banda,ST (C),42%,12,11,8,10,13,12,8,12,12,13,5,9,2,13,7,11,8,13,5,6,8,7,6,2,10,14,12,5,13,10,4,6,7,8,1,7,2,1,3,2,1,3,1,2,3,2,3,€9K - €28K,- -  -,
2000050391,Baba Basile,ST (C),56%,9,4,11,14,13,11,10,12,5,10,9,12,10,15,16,6,13,13,8,9,9,10,4,5,6,12,10,5,14,8,4,6,8,10,6,6,3,1,3,3,2,2,1,3,1,2,1,Not for Sale,- -  -,
95068366,Fadhula Batomanga,ST (C),23%,12,12,4,5,8,12,9,6,5,5,3,6,4,10,5,7,11,10,4,4,1,5,4,3,9,12,8,4,11,4,1,3,5,5,1,6,1,2,3,4,2,2,2,2,1,2,3,€0,- -  -,
2000009755,Ben Arfa,ST (C),31%,10,7,7,7,12,9,7,7,10,10,5,8,3,13,5,13,14,13,7,6,6,7,7,3,13,13,13,6,14,7,1,6,4,7,1,12,2,3,3,1,1,2,3,2,1,2,3,€60K - €180K,- -  -,
