UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
29188714,Emile Acquah,ST (C),52%,9,8,9,14,12,9,10,12,6,11,12,12,8,9,2,7,5,10,4,9,8,12,5,7,9,9,10,8,11,6,5,7,9,11,5,6,1,3,1,3,1,2,1,2,1,4,2,€0,- -  -,
28098307,Elijah Adebayo,ST (C),51%,14,13,12,15,11,14,15,14,10,12,12,13,12,12,11,6,7,10,9,11,8,14,6,7,13,14,13,8,15,9,6,9,10,7,9,12,3,3,3,4,1,1,3,3,1,2,1,€4.3M - €13M,- -  -,
2000051481,Adetayo Adedoja,ST (C),10%,7,6,6,5,14,9,11,7,11,11,2,12,2,12,11,10,9,6,3,5,5,6,4,5,7,11,7,5,7,5,1,3,7,5,4,7,3,2,4,1,2,2,2,3,1,3,1,€0,- -  -,
29225860,Gassan Ahadme,ST (C),63%,11,12,11,15,11,11,12,12,13,11,12,11,10,10,11,12,7,10,6,13,9,12,5,8,10,12,12,6,12,8,3,3,9,10,5,11,1,1,3,2,3,1,3,4,2,1,2,€140K - €425K,- -  -,Wnt
2000216762,Kareem Ahmed,ST (C),23%,13,13,5,10,15,13,7,7,10,9,6,7,1,7,13,5,5,12,2,4,3,4,3,1,12,13,8,3,7,5,1,2,2,2,1,5,2,1,1,1,3,1,2,3,4,2,3,€12K - €35K,- -  -,
31035527,Ibby Akanbi,ST (C),38%,11,9,10,8,10,12,8,13,10,8,10,7,6,7,5,8,4,10,5,7,7,11,3,7,9,10,9,7,10,9,2,2,8,12,4,9,4,2,1,1,3,3,1,3,3,2,1,€0,- -  -,
29006437,John Akinde,ST (C),55%,11,8,8,14,10,10,10,15,15,11,18,11,9,10,7,7,7,11,9,13,7,11,5,8,9,11,11,5,12,7,6,4,11,15,5,9,3,2,1,4,2,2,2,1,2,1,2,€7K - €22K,- -  -,
29179757,Élie Akobeto,ST (C),30%,12,12,10,11,10,12,5,7,10,5,4,8,3,8,8,13,10,10,3,4,1,9,3,1,8,12,12,1,5,2,1,3,7,1,3,10,1,3,1,3,3,1,1,3,3,3,2,€0,- -  -,Set
28084927,Chuba Akpom,ST (C),47%,17,14,15,13,14,16,14,14,12,11,14,12,10,10,13,13,8,14,6,13,10,14,6,9,10,11,10,7,10,8,4,7,10,10,7,12,4,2,2,2,1,1,4,3,3,1,3,€7.6M - €23M,- -  -,
76062094,Juan Alegría,ST (C),59%,12,12,10,11,12,13,12,14,13,9,13,7,10,10,10,8,7,12,5,11,11,11,6,8,8,9,9,7,11,8,8,5,10,12,6,10,4,1,2,3,1,3,1,3,3,1,3,€8K - €24K,- -  -,
29194059,George Alexander,ST (C),27%,12,10,10,10,14,13,13,7,15,10,12,10,10,10,12,7,9,12,5,11,10,15,5,9,11,10,9,7,8,5,3,3,7,12,5,11,1,2,3,1,3,2,2,1,2,3,3,€90K - €275K,- -  -,Wnt
5123221,Curtis Allen,ST (C),39%,9,9,10,11,12,11,8,9,10,11,9,9,8,7,13,12,6,9,5,8,9,9,5,8,8,13,9,8,11,8,3,2,9,17,4,10,2,1,1,1,3,4,4,2,3,4,2,€3K - €10K,- -  -,
28047901,Aaron Amadi-Holloway,ST (C),56%,10,10,12,13,8,11,8,15,11,8,13,9,8,9,16,7,6,10,7,13,8,11,5,7,8,9,10,6,13,8,11,7,10,7,7,10,3,1,3,2,2,2,1,4,2,1,3,€1.5K - €5K,- -  -,Opt
2000155563,Stanley Anaebonam,ST (C),55%,12,11,10,12,12,11,11,13,12,8,11,9,8,8,8,11,5,11,8,9,9,10,3,8,10,11,10,4,12,6,4,5,9,8,5,7,3,1,3,2,3,3,2,2,4,4,4,€0,- -  -,Wnt
2000202044,Sadat Anaku,ST (C),35%,13,10,12,8,8,13,11,12,12,12,6,13,10,10,12,13,12,11,6,9,10,12,9,6,13,15,12,9,15,11,6,9,7,9,6,12,2,2,3,2,2,1,1,1,3,2,2,€300K - €900K,- -  -,
61072978,Bruce Anderson,ST (C),33%,13,13,12,10,12,13,12,11,8,13,11,12,11,10,12,10,8,13,10,14,11,15,7,10,11,14,11,9,10,10,4,6,9,10,8,11,1,2,2,1,1,4,2,3,3,3,2,€375K - €1.1M,- -  -,
19110282,André,ST (C),56%,13,13,13,13,13,13,14,14,11,12,13,12,10,11,14,12,10,13,7,13,13,10,7,9,10,12,10,10,12,11,10,7,12,13,9,12,1,1,3,2,4,1,1,2,1,3,1,€28K - €85K,- -  -,Opt
29219088,Cameron Archer,ST (C),38%,15,13,11,11,14,14,13,12,9,10,10,14,12,11,12,13,8,14,11,10,11,14,5,7,12,15,12,7,11,9,3,4,9,10,4,13,2,1,3,3,2,1,1,3,1,1,3,€4.9M - €14.5M,- -  -,
29107901,Luke Armstrong,ST (C),41%,11,10,10,12,11,12,11,12,14,11,14,11,9,14,8,6,7,12,6,16,7,17,5,8,9,13,10,5,11,9,6,6,11,7,8,9,2,2,1,4,3,3,3,2,4,2,2,€50K - €150K,- -  -,Wnt
61064444,Nathan Austin,ST (C),56%,12,10,10,13,9,13,11,12,10,10,9,8,10,9,15,11,8,12,10,9,10,9,9,8,12,14,8,9,12,5,2,4,8,12,4,11,1,3,3,4,3,3,3,1,1,2,1,€10K - €35K,- -  -,
2000053798,Temi Babalola,ST (C),55%,14,7,5,15,11,11,6,7,5,7,7,7,6,6,3,14,12,10,6,5,6,5,4,7,9,10,8,6,13,7,5,5,6,2,1,6,1,3,1,4,1,2,3,2,2,1,1,€0,- -  -,
2000015388,Eden Bailey,ST (C),33%,10,8,10,9,11,11,13,12,10,12,10,8,6,9,15,12,8,10,5,9,8,14,5,7,9,10,9,5,8,8,5,4,6,8,7,9,3,2,3,1,4,2,2,1,3,2,3,€30K - €90K,- -  -,
29107561,Courtney Baker-Richardson,ST (C),53%,12,12,9,14,13,12,12,15,14,11,14,12,10,8,12,12,7,10,4,8,8,12,5,8,10,12,10,5,13,9,5,3,9,11,5,10,1,1,3,1,1,1,2,3,2,3,1,€35K - €100K,- -  -,
30008071,Tyrone Barnett,ST (C),53%,6,8,10,13,10,5,7,14,10,12,8,8,8,9,10,8,9,8,9,10,6,5,5,6,7,10,9,5,15,10,5,7,9,9,8,8,1,3,3,2,3,2,4,2,1,3,2,€0,- -  -,
2000022070,Quaine Bartley,ST (C),54%,9,7,11,14,11,9,12,16,14,12,13,13,10,9,12,11,8,12,9,13,8,13,9,7,7,10,10,9,9,7,4,6,7,8,6,13,1,1,2,1,1,2,2,1,1,1,1,€80K - €240K,- -  -,
89065470,Tom Bearwish,ST (C),24%,13,11,2,10,15,12,5,6,6,8,1,6,5,11,7,14,11,11,5,5,5,7,4,2,9,14,9,5,9,6,1,5,4,1,4,8,1,3,2,4,2,3,1,2,2,3,2,€0,- -  -,
2003439,Stuart Beavon,ST (C),63%,7,7,11,11,10,7,8,9,14,10,15,11,8,8,15,8,8,11,5,15,10,13,3,7,7,11,9,5,8,10,4,4,9,7,6,9,1,3,1,3,1,1,1,2,1,3,4,Not for Sale,- -  -,
29071158,Mark Beck,ST (C),56%,6,5,8,19,15,6,10,16,7,11,10,12,10,13,11,6,8,11,15,12,9,15,4,2,6,12,12,4,16,7,7,10,11,8,6,7,4,1,1,3,1,4,2,1,3,1,2,€3K - €9K,- -  -,Wnt
