UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
13229275,Umar Abba,ST (C),50%,13,12,7,14,6,11,12,8,15,12,5,13,7,4,6,12,10,13,6,6,4,7,6,5,8,12,12,5,13,7,2,5,7,8,3,10,3,2,1,2,3,1,3,3,3,2,3,€50K - €150K,- -  -,
13176271,Amadou Abdelkader,ST (C),25%,12,10,12,4,14,11,9,7,8,11,8,10,6,8,14,13,4,12,4,6,7,11,6,1,12,12,11,2,7,6,1,5,12,6,2,13,3,1,3,4,2,3,1,3,4,3,3,€1.5K - €4K,- -  -,
30033407,Basit Abdul Khalid,ST (C),63%,10,7,13,12,14,12,14,15,10,9,14,12,10,12,7,9,7,12,7,13,10,11,6,7,9,12,10,7,14,10,5,6,10,9,7,10,1,2,2,3,3,2,1,1,1,1,3,€55K - €170K,- -  -,
2000133082,Labandoo Abdulai,ST (C),22%,10,9,8,8,17,9,8,6,9,14,5,10,8,13,12,12,2,14,8,7,8,8,5,4,11,14,11,4,11,4,2,5,8,9,4,13,1,1,2,1,2,2,3,1,3,3,2,€28K - €85K,- -  -,
13222139,Israel Abia,ST (C),43%,13,12,7,8,15,13,10,12,10,11,8,8,7,13,5,12,11,13,7,6,5,7,5,3,10,12,13,6,13,3,2,4,7,6,4,12,1,2,3,2,3,1,1,2,1,1,2,€35K - €100K,- -  -,
12095044,Jérôme Abissa,ST (C),25%,13,13,7,7,12,14,12,6,7,9,2,13,2,11,7,14,3,9,6,6,6,8,6,7,12,14,13,5,13,2,2,5,7,5,1,10,3,3,3,1,4,1,2,2,1,1,3,€50K - €160K,- -  -,
12094264,Arafat Abodji,ST (C),24%,13,11,6,10,12,13,6,6,10,8,4,6,7,13,15,10,10,8,6,6,6,7,6,3,12,13,13,6,13,7,2,5,7,6,2,10,3,2,2,1,1,2,3,3,2,3,2,€1K - €2.5K,- -  -,
2000201050,Abou N'Diaye,ST (C),31%,15,13,8,6,10,12,9,6,12,9,2,10,7,11,6,10,3,10,8,7,6,8,7,7,14,14,12,7,13,8,1,7,7,8,1,11,1,1,3,2,2,2,1,3,2,2,3,€30K - €90K,- -  -,
12094240,Emmanuel Abradou,ST (C),50%,12,12,6,3,12,12,12,9,7,11,3,9,5,9,1,12,3,12,4,3,4,7,6,4,13,13,7,6,13,7,1,5,7,8,2,12,1,2,4,1,4,2,1,2,1,1,1,€0,- -  -,
23455583,Daniel Adade,ST (C),41%,13,13,7,12,11,13,7,7,10,11,4,8,7,10,15,13,9,8,7,6,8,8,4,5,13,13,9,10,11,10,1,5,4,2,3,13,3,1,1,3,3,2,3,4,2,3,1,€18K - €55K,- -  -,
13219889,Ademola Adebambo,ST (C),36%,14,12,9,13,8,10,8,8,13,11,6,8,8,5,14,14,3,14,9,7,8,9,8,4,12,11,15,7,11,9,3,7,9,5,1,15,2,1,1,1,3,1,3,1,1,1,1,€0,- -  -,
2000147881,Kamoru Adebari,ST (C),16%,13,13,7,4,14,13,6,5,14,13,3,11,6,9,9,12,8,12,5,6,5,7,1,2,12,13,13,5,13,6,6,6,7,6,4,13,1,2,1,2,2,1,1,1,1,3,2,€0,- -  -,
2000162029,Mustapha Adebayo,ST (C),27%,13,13,7,6,13,13,12,9,5,10,5,7,6,10,4,12,11,12,7,6,7,7,4,4,13,12,8,1,13,5,1,3,6,5,3,11,2,1,1,2,3,2,3,3,3,3,1,€2.5K - €7K,- -  -,
13207959,Adérito Andrade,ST (C),34%,11,9,4,11,17,8,9,6,11,9,5,4,4,9,3,11,2,4,2,3,2,4,1,1,9,12,11,3,12,1,1,3,2,3,1,7,3,2,2,1,1,1,2,3,2,1,1,€0,- -  -,
13207845,Adilson Santos,ST (C),31%,11,10,3,4,13,8,11,6,6,8,4,7,5,7,5,11,10,10,4,4,4,6,4,1,12,13,9,4,9,4,2,4,4,6,2,8,1,2,1,2,2,1,3,2,2,1,3,€0,- -  -,
13220009,Samuel Agba,ST (C),47%,12,10,6,12,15,11,11,7,10,9,7,7,5,12,15,8,6,8,5,5,4,7,5,6,12,13,10,5,11,5,1,2,6,6,3,7,1,2,3,2,1,2,1,2,3,2,1,€2K - €6K,- -  -,
13187277,Komlan Agbodo,ST (C),19%,13,13,7,5,12,13,12,5,8,10,5,9,7,12,13,13,7,13,7,6,5,8,4,2,11,13,11,6,10,7,2,5,7,9,1,13,2,1,2,3,1,2,2,2,1,1,2,€0,- -  -,
13204864,Ashraf Agoro,ST (C),29%,13,14,8,6,9,13,14,6,9,12,6,9,8,14,11,10,14,10,8,8,7,8,7,3,10,13,12,7,14,6,1,6,9,4,2,11,4,3,2,3,2,3,3,2,3,2,3,€3.5K - €10K,- -  -,
2000147865,Abdul Ahmed,ST (C),48%,13,13,7,8,7,13,7,9,9,8,4,11,7,9,15,8,13,13,4,6,7,7,4,4,13,13,12,6,13,5,5,5,7,8,3,8,2,3,2,3,3,1,3,3,3,3,1,€18K - €55K,- -  -,
13187020,Nestor Ahovey,ST (C),38%,12,12,3,8,14,12,12,9,9,11,7,12,5,8,13,12,11,12,4,5,3,7,4,6,8,12,12,4,9,6,1,4,7,6,4,9,1,3,2,3,4,2,3,3,1,2,2,€3K - €9K,- -  -,
55083829,Aílton,ST (C),23%,14,13,12,6,11,13,12,8,8,6,7,9,9,7,10,7,6,13,8,12,8,12,7,9,13,10,9,7,7,8,6,4,9,11,6,12,2,1,2,3,3,1,1,3,2,1,4,€0,- -  -,
13207875,Ailton Santos,ST (C),29%,11,11,1,11,15,11,7,10,14,5,4,6,3,10,15,6,10,11,2,2,1,3,1,1,7,11,9,1,8,3,2,2,1,1,1,4,3,3,2,1,3,2,3,2,3,1,1,€0,- -  -,
2000083844,Kwadjo Akakpo,ST (C),39%,12,12,8,9,18,10,7,6,5,10,4,8,8,10,14,10,4,8,7,7,7,8,6,8,11,14,14,7,14,5,5,5,8,4,2,11,1,3,4,3,3,4,1,1,1,1,2,€500 - €2K,- -  -,
