UID,Name,Position,Hdr %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Transfer Value,Rec,Inf
2000025526,Hamza Abdallah,ST (C),23%,11,13,8,8,12,13,8,7,8,11,8,10,4,12,10,15,12,13,6,7,3,7,6,5,14,11,11,7,11,6,5,3,6,4,4,11,1,1,1,2,1,3,3,1,1,2,2,€24K - €70K,- -  -,
49053833,Joe-Loïc Affamah,ST (C),28%,13,10,9,9,17,8,11,8,8,11,7,13,9,11,15,12,1,14,4,7,9,9,5,6,12,14,14,8,10,7,2,8,6,8,4,13,1,1,2,2,2,1,1,4,4,1,1,€240K - €700K,- -  -,
85103818,Ludovic Ajorque,ST (C),65%,12,12,16,17,15,12,14,16,13,14,15,13,15,13,15,13,12,12,7,15,11,16,4,10,12,16,13,7,17,12,4,4,12,15,2,13,2,2,1,4,2,1,3,1,1,2,1,€7.4M - €22M,- -  -,
67153924,Álex Alegría,ST (C),74%,11,10,11,15,12,10,12,15,11,11,14,12,11,10,10,13,8,11,13,13,11,13,8,9,12,11,11,8,15,11,7,6,12,14,8,12,1,2,1,3,1,3,3,1,1,3,3,€170K - €500K,- -  -,
67173047,Florin Andone,ST (C),47%,14,14,13,11,13,14,13,13,16,13,15,11,13,13,17,13,13,14,8,15,10,16,10,11,13,15,13,11,12,12,9,6,13,13,7,14,1,4,2,3,2,4,2,2,3,2,3,€1.9M - €5.6M,- -  -,
50084296,Carnejy Antoine,ST (C),51%,13,8,13,15,14,12,12,14,9,12,10,13,12,11,8,7,8,13,12,11,8,12,5,8,12,14,11,4,13,11,3,6,9,7,7,10,1,3,3,3,4,1,3,1,2,4,2,€6K - €18K,- -  -,
67159345,Antonio Sánchez,ST (C),31%,10,11,8,13,15,8,11,7,13,12,3,11,8,13,15,10,6,13,8,7,6,14,7,5,13,13,14,7,12,4,2,6,8,4,2,10,2,1,3,3,2,2,2,2,1,3,1,€0,- -  -,Inj
67196098,Kofi Antwi,ST (C),25%,13,13,5,3,12,13,9,4,8,8,2,8,7,13,5,10,10,13,6,6,4,7,5,5,13,13,9,6,11,7,3,4,7,3,2,10,1,1,1,3,2,1,3,1,1,1,3,€2K - €6K,- -  -,Inj
67287667,Juan Carlos Arana,ST (C),30%,13,11,10,12,14,13,14,11,11,13,8,13,12,11,6,13,5,12,9,12,11,13,11,10,10,14,12,11,12,10,6,6,13,11,6,11,3,3,3,2,3,2,3,1,1,1,2,€550K - €1.7M,- -  -,Inj
83261904,Henrique Araújo,ST (C),40%,14,14,14,13,13,13,13,12,14,14,13,15,13,13,15,14,11,15,6,12,13,14,10,11,13,15,13,7,13,11,6,5,13,14,7,13,1,3,1,3,4,2,1,2,2,1,3,€12M - €35M,- -  -,
