UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000149417,Deshawn Richardson,D (C),64%,6,6,5,15,5,6,6,6,11,4,7,7,6,3,16,5,8,2,4,4,4,6,1,3,1,1,4,1,5,3,4,6,5,1,8,1,3,3,1,1,2,1,1,2,3,3,2,- -  -,Ama
82083297,Fernando Baez,D (C),69%,10,7,4,8,8,10,9,4,12,9,7,5,5,4,5,5,4,3,10,4,1,6,2,2,1,4,5,1,11,1,2,13,2,3,11,3,1,1,2,1,4,2,3,4,2,1,2,- -  -,
2000048289,Jack Watson,D (C),69%,6,8,5,12,12,5,5,4,14,7,6,2,10,4,13,5,12,2,13,4,3,5,1,1,1,1,5,1,7,1,1,13,5,1,8,1,2,2,3,2,2,1,4,3,3,3,1,- -  -,Ama
2000186717,Hakim Baird,D (C),66%,10,10,8,12,12,9,10,7,13,6,8,10,9,6,5,5,13,7,9,8,5,8,3,1,7,1,5,1,6,3,7,10,8,4,12,7,2,2,2,1,4,1,3,1,2,2,3,- -  -,Ama
90051190,Paul Brown,D (C),70%,9,7,5,12,12,8,11,11,13,11,7,2,5,6,9,5,13,2,13,4,4,6,2,2,1,1,3,1,11,4,1,8,5,14,6,1,1,3,4,1,4,4,1,4,1,3,3,- -  -,Ama
90051187,Encuma Brown,D (C),67%,4,4,3,14,12,4,4,3,14,11,7,6,6,6,5,5,7,5,12,5,3,6,1,2,1,2,5,1,13,1,4,14,2,1,14,3,2,1,3,2,1,1,2,3,2,1,2,- -  -,Ama
82072579,David Jasmin,D (C),65%,8,7,7,9,15,6,8,8,14,8,8,13,6,6,13,5,11,6,8,6,4,7,4,2,1,1,7,1,8,6,3,8,3,1,13,2,1,2,2,2,1,1,2,3,3,1,2,- -  -,Ama
2000149419,Gethin Jones,D (C),66%,10,8,9,15,11,8,5,7,13,10,8,13,8,6,16,5,4,6,8,8,2,9,4,2,2,4,9,2,9,5,3,8,6,5,14,5,1,4,4,2,3,4,3,2,1,1,1,- -  -,Ama
565031,Jonathan Straker,D (C),71%,7,7,9,12,12,10,9,10,8,6,13,5,7,7,12,3,14,5,7,12,3,12,5,1,1,3,6,3,11,2,5,7,4,1,8,6,1,1,1,1,1,1,1,1,1,1,1,- -  -,
82072703,Jaleel Scarbrough,D (C),66%,12,13,6,10,9,12,4,10,15,7,8,5,9,7,14,5,9,5,10,5,1,6,2,1,1,2,3,1,7,4,1,12,6,3,8,1,2,1,1,2,3,1,3,1,3,3,3,- -  -,Ama
2000171704,Shamoy Thompson,D (C),66%,11,13,5,5,16,12,11,7,5,7,5,2,7,7,14,5,5,3,13,4,1,6,1,2,2,1,5,1,11,1,5,8,5,1,10,2,2,2,2,1,3,3,3,1,1,2,2,- -  -,Ama
82001306,Dunn-ya Taylor,D (C),74%,9,5,4,10,13,5,6,6,11,3,6,4,4,7,13,5,8,3,13,3,3,4,1,1,1,2,4,1,9,1,1,10,4,1,11,1,3,1,3,2,2,1,2,1,2,2,3,- -  -,
30001610,Reginal Richardson,D (C),71%,11,8,6,16,14,8,7,7,5,7,9,6,11,7,7,5,8,6,13,6,1,7,4,1,1,6,7,1,12,1,2,12,7,1,6,4,1,3,1,3,3,3,2,3,3,1,3,- -  -,
82086022,Jerome Douchet,D (C),68%,4,4,3,11,8,4,4,4,8,8,7,6,8,7,12,5,9,5,14,5,3,6,1,2,2,1,6,1,7,3,1,13,6,1,13,3,1,2,2,1,1,3,1,2,1,1,3,- -  -,Ama
2000166814,Kymani Hodge,D (C),56%,4,6,5,11,15,6,8,8,9,8,6,5,8,7,9,5,14,5,6,6,4,7,5,2,2,2,6,5,5,2,2,5,7,2,9,2,1,1,1,3,4,3,1,2,1,1,2,- -  -,Ama
82081422,Emerson Georges,D (C),69%,13,9,6,14,10,9,6,6,7,10,8,6,7,7,12,5,12,2,13,5,5,6,1,1,1,5,6,1,13,1,1,13,5,3,13,4,2,3,1,1,1,1,3,3,2,1,3,- -  -,
82079488,Youri Richards,D (C),71%,12,9,5,8,13,10,11,7,7,9,7,4,9,7,3,5,4,2,12,4,3,6,1,1,1,1,3,1,8,3,1,9,4,1,9,1,2,1,1,2,3,1,3,1,2,3,2,- -  -,Ama
2000046544,Noah Bradshaw,D (C),79%,8,9,8,11,12,7,6,5,5,9,7,9,7,7,12,5,8,4,5,7,6,8,6,2,7,4,5,3,9,7,3,6,7,4,11,3,1,1,4,2,2,1,3,2,3,3,3,- -  -,Ama
82087592,Kacey Smith,D (C),69%,14,11,7,7,12,11,12,7,9,9,6,7,9,7,14,5,3,6,14,6,1,8,6,2,1,1,7,3,11,3,1,12,7,1,7,3,1,2,2,3,3,1,2,2,1,2,1,- -  -,
2000139894,Malik Cocking,D (C),70%,10,10,11,11,13,10,9,9,12,11,9,13,8,7,16,5,11,6,12,9,4,10,4,1,4,5,9,5,9,8,7,12,10,5,15,8,2,3,2,2,1,3,3,1,1,1,2,- -  -,
2000046494,Caleb Bryan,D (C),63%,9,10,9,12,15,10,9,5,9,9,6,8,11,7,11,5,10,8,9,8,6,9,6,4,4,6,5,2,10,6,3,7,8,3,13,5,1,1,1,2,4,1,3,3,1,3,2,- -  -,Ama
2000085729,Kente Sam,D (C),66%,4,4,6,12,13,4,7,6,12,6,8,9,8,8,11,5,8,6,6,6,2,7,3,1,1,4,7,1,8,1,1,8,4,1,14,5,1,3,3,1,3,2,3,3,1,3,4,- -  -,Ama
2000083152,Chavoi Gumbs,D (C),65%,8,8,7,10,12,8,3,7,5,6,6,14,8,8,6,5,10,6,7,6,3,7,4,1,1,1,7,1,7,5,1,8,7,3,12,2,4,1,2,2,1,1,3,1,1,1,1,- -  -,Ama
2000054420,Jepthe François,D (C),69%,7,7,6,14,6,7,8,7,8,7,8,8,8,8,3,5,15,5,8,6,2,7,2,1,1,4,5,1,7,3,1,8,6,4,13,5,2,3,3,1,3,1,3,3,2,3,1,- -  -,Ctr
82076842,Taryk Sampson,D (C),65%,10,14,10,13,12,10,12,11,15,11,10,10,9,8,14,5,7,7,9,9,2,10,6,2,1,5,10,1,9,7,8,14,5,9,8,9,1,3,1,1,2,1,1,1,3,1,1,- -  -,Ama
30001524,Nathan Justin,D (C),65%,4,4,5,8,9,4,5,5,10,12,9,8,7,8,6,5,6,5,9,6,4,7,1,3,1,5,7,1,15,6,7,13,8,4,13,6,3,1,2,3,2,2,2,2,3,3,3,- -  -,Ama
2000094767,Ben O'Neill,D (C),66%,5,9,9,11,11,6,8,4,10,8,9,10,8,8,7,4,11,7,10,8,1,10,8,3,2,4,7,5,10,6,6,9,8,5,16,8,2,4,2,2,1,2,2,3,2,3,3,- -  -,Ama
30040161,Javille Brooks,"D (C), ST (C)",75%,6,6,5,13,14,7,6,6,8,10,6,10,6,8,8,8,12,8,7,5,3,5,5,2,1,11,7,5,11,2,1,10,5,3,7,7,1,2,3,1,2,2,2,3,2,1,3,- -  -,Ama
82070971,Ranaldo Bailey,"D (C), ST (C)",59%,10,7,11,9,13,6,12,11,10,11,9,5,6,8,5,11,12,8,9,12,10,10,3,4,8,9,7,5,13,7,1,13,7,7,12,4,3,2,2,3,1,3,2,1,1,2,2,- -  -,
30040164,Ikenya Browne,D (C),78%,4,6,5,10,18,6,7,10,5,9,7,3,7,8,4,5,10,4,13,4,4,5,1,1,1,1,3,1,7,1,1,13,4,1,7,3,2,2,1,1,2,3,2,1,1,1,3,- -  -,Ama
2000046542,Sedu Bradshaw,D (C),75%,8,6,8,17,7,9,9,8,15,7,7,11,6,8,9,5,1,4,6,7,3,8,6,2,3,2,7,5,9,6,1,7,9,2,9,3,3,3,2,3,3,2,3,2,3,2,1,- -  -,Ama
81061846,Raheem Depass,D (C),58%,13,10,8,11,13,13,10,12,7,8,6,10,8,8,14,5,10,6,14,7,6,8,3,1,2,3,9,6,7,1,3,10,11,6,13,9,1,1,2,1,1,1,1,1,1,1,3,- -  -,
2000088592,Kerry Gokarran,D (C),68%,8,6,7,10,7,7,8,5,12,8,3,5,8,8,3,5,12,4,8,6,5,7,1,4,1,2,5,1,8,3,1,8,6,3,9,1,2,2,3,2,3,1,3,3,1,3,3,- -  -,Ama
90051219,Andre McFarlane,D (C),67%,8,7,6,10,8,5,6,5,15,9,7,7,6,8,9,5,10,5,10,5,2,6,4,1,5,6,7,1,11,2,1,12,2,3,9,5,1,3,1,1,3,4,1,2,2,3,3,- -  -,Ama
82071399,Troy Williams,D (C),69%,3,3,3,14,11,3,4,6,11,7,6,4,6,8,4,5,5,3,13,4,1,4,3,1,1,4,3,1,8,1,1,8,2,1,8,1,2,1,1,1,3,1,3,1,1,2,3,- -  -,Ama
29129364,Colin Bernard,D (C),73%,4,4,12,9,5,4,4,11,9,8,7,7,9,9,16,5,6,6,14,6,5,7,2,1,2,1,5,3,10,1,2,8,6,4,11,1,2,1,2,1,1,1,4,2,3,3,3,- -  -,
82071074,Akeem Maloney,D (C),66%,12,10,7,6,10,12,9,8,14,6,7,5,9,9,16,5,11,1,12,4,4,5,1,1,1,1,1,1,12,3,4,11,5,1,12,1,3,1,3,1,1,1,1,1,3,2,2,- -  -,
82075556,Matías Jaurretche,D (C),71%,4,8,5,13,15,6,9,3,14,8,3,5,8,9,11,4,9,2,12,4,1,5,1,1,3,2,5,1,13,1,1,13,5,1,13,4,1,1,3,2,1,1,4,3,2,3,1,- -  -,Ama
82082334,Carlos Espinal,D (C),68%,12,13,7,6,14,10,3,5,5,8,8,6,8,9,6,5,6,4,13,5,3,7,5,1,2,1,1,4,10,3,3,14,5,1,13,1,3,2,1,3,3,1,3,1,1,3,1,- -  -,
2000046517,Omando Hodge,D (C),65%,4,7,8,13,13,7,6,5,7,9,8,9,9,9,9,5,13,5,9,7,7,8,6,4,6,3,4,2,9,5,1,8,6,5,14,6,2,3,2,2,2,2,2,3,3,3,3,- -  -,Ama
2000136762,Odean Pennycooke,D (C),74%,10,9,9,15,14,9,7,7,12,10,9,8,10,9,11,5,14,8,15,4,10,9,4,2,2,7,8,1,10,6,1,10,9,5,14,8,1,2,1,1,3,2,3,3,2,1,1,- -  -,
